"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",47.688,47.748,46.538,46.299999,6737800,45.90416
"2017-01-04",47.032,47.849,46.75,46.700001,5859600,46.300739
"2017-01-05",46.921,47.335,46.003,45.889999,6825300,45.497662
"2017-01-06",46.245,47.123,45.862,46.209999,7260200,45.814926
"2017-01-09",46.407,47.748,46.175,47.080002,4704600,46.67749
"2017-01-10",47.405,48.928,47.375,48.48,7483800,48.065517
"2017-01-11",49.715,50.33,48.515,48.639999,6925800,48.224152
"2017-01-12",49.09,49.423,47.244,48.099998,5447300,47.688766
"2017-01-13",48.575,48.848,47.95,47.650002,3541700,47.242619
"2017-01-17",47.97,48.162,47.072,46.75,5337100,46.350307
"2017-01-18",47.809,48.212,47.052,47.639999,5176500,47.232704
"2017-01-19",48.051,48.505,47.284,47.259998,3729300,46.855949
"2017-01-20",47.95,48.575,47.647,48,5611800,47.589622
"2017-01-23",48.313,48.505,47.153,46.939999,4284200,46.538685
"2017-01-24",47.456,48.212,47.204,47.540001,4926700,47.13356
"2017-01-25",48.313,48.626,48.021,47.91,5075800,47.500393
"2017-01-26",48.848,50.139,48.747,49.59,10332800,49.166031
"2017-01-27",50.431,50.431,47.123,46.950001,19411100,46.548599
"2017-01-30",46.013,46.316,44.238,44.900002,16786100,44.516125
"2017-01-31",45.176,45.227,44.117,44.25,11719800,43.871685
"2017-02-01",45.136,45.388,44.289,44.049999,7955500,43.673393
"2017-02-02",43.986,44.904,43.946,44.009998,7607700,43.633736
"2017-02-03",44.692,44.934,44.137,44.200001,6357900,43.822113
"2017-02-06",45.186,45.993,45.126,45.299999,6496100,44.912708
"2017-02-07",46.145,46.528,45.398,45.169998,6120000,44.783821
"2017-02-08",45.65,45.65,44.894,45.060001,4329900,44.674763
"2017-02-09",45.358,46.898,45.227,46.299999,7089900,46.006256
"2017-02-10",46.918,46.998,46.465,46.450001,4040600,46.155304
"2017-02-13",46.857,48.085,46.797,47.41,6158600,47.109219
"2017-02-14",47.562,47.582,46.747,46.57,6240900,46.274544
"2017-02-15",47.894,48.357,47.23,47.540001,8394800,47.238392
"2017-02-16",47.803,47.954,46.958,46.970001,5681800,46.672009
"2017-02-17",47.129,47.401,46.726,46.91,4581600,46.612385
"2017-02-21",47.31,47.572,46.877,46.810001,4672000,46.513023
"2017-02-22",46.797,46.998,46.163,46.32,5799600,46.026134
"2017-02-23",46.716,47.622,46.183,46.099998,5247000,45.807522
"2017-02-24",46.294,46.596,45.871,46.279999,4489600,45.986382
"2017-02-27",46.475,46.656,45.972,46.32,4130500,46.026134
"2017-02-28",46.616,47.018,46.324,46.360001,4935600,46.06588
"2017-03-01",47.089,48.447,46.998,47.09,8278900,46.791245
"2017-03-02",46.968,47.038,45.931,45.720001,7590700,45.429939
"2017-03-03",46.143,47.562,46.062,46.82,7256900,46.522957
"2017-03-06",46.706,46.978,44.663,45.310001,11336600,45.022541
"2017-03-07",45.307,45.519,44.845,44.84,4565300,44.555523
"2017-03-08",45.076,45.589,44.885,44.889999,5520400,44.605202
"2017-03-09",44.784,45.217,43.526,43.330002,9330100,43.055103
"2017-03-10",43.737,44.231,43.244,43.900002,6842300,43.621487
"2017-03-13",44.009,44.402,42.53,42.369999,8882300,42.101185
"2017-03-14",42.329,42.369,41.101,41.209999,10208500,40.948551
"2017-03-15",40.759,42.459,40.467,42.09,13986200,41.822968
"2017-03-16",42.449,42.62,41.715,42.130001,7058300,41.862713
"2017-03-17",42.268,42.48,41.866,41.720001,10185800,41.455318
"2017-03-20",42.449,42.691,41.715,41.700001,6229800,41.435444
"2017-03-21",42.147,42.248,40.598,40.419998,7938700,40.163563
"2017-03-22",40.034,40.809,39.46,40.349998,9943000,40.094006
"2017-03-23",40.96,42.127,40.738,41.41,9516600,41.147282
"2017-03-24",41.956,42.339,41.684,41.73,6596600,41.465248
"2017-03-27",41.332,42.157,40.819,41.740002,6050500,41.475189
"2017-03-28",42.097,43.204,41.815,42.599998,6185800,42.329731
"2017-03-29",42.963,43.033,42.137,41.959999,5331400,41.69379
"2017-03-30",42.117,42.912,42.057,42.540001,3681400,42.270111
"2017-03-31",42.641,43.214,42.54,42.299999,5427700,42.031631
"2017-04-03",42.6,42.842,41.896,42.450001,5764700,42.180683
"2017-04-04",42.359,42.5,41.081,40.900002,7254700,40.640518
"2017-04-05",41.413,42.399,41.322,41.310001,7012700,41.047916
"2017-04-06",41.664,42.228,41.423,41.720001,3627600,41.455318
"2017-04-07",41.795,42.369,41.544,41.810001,4137000,41.544746
"2017-04-10",42.077,42.942,41.886,42.32,4650500,42.05151
"2017-04-11",43.053,44.231,42.681,43.93,10269600,43.651295
"2017-04-12",45.076,45.64,44.11,43.959999,9991100,43.681103
"2017-04-13",44.231,44.301,43.617,43.349998,5504900,43.074966
"2017-04-17",43.748,44.533,43.637,44.23,4563200,43.949394
"2017-04-18",44.311,44.814,43.677,43.810001,5808900,43.532055
"2017-04-19",44.351,45.066,44.18,44.400002,6573400,44.118313
"2017-04-20",44.995,45.67,44.845,45.220001,4956500,44.933109
"2017-04-21",45.791,45.791,45.277,45.150002,5536000,44.863556
"2017-04-24",45.791,46.737,45.76,46.439999,6335300,46.145367
"2017-04-25",47.099,47.693,46.676,46.610001,5960600,46.314289
"2017-04-26",46.807,47.199,46.535,46.400002,6027600,46.105621
"2017-04-27",44.19,44.492,42.681,43.98,18988600,43.700977
"2017-04-28",44.301,44.341,42.832,42.619999,13344500,42.349606
"2017-05-01",43.033,43.234,42.278,42.080002,8591400,41.813034
"2017-05-02",42.329,44.19,42.318,43.869999,9402500,43.591675
"2017-05-03",43.949,44.452,43.697,43.919998,5144300,43.641354
"2017-05-04",44.462,44.673,43.476,43.91,4476100,43.63142
"2017-05-05",44.281,44.804,44.049,44.509998,5462800,44.227612
"2017-05-08",44.885,45.338,44.804,44.939999,6190700,44.654888
"2017-05-09",45.69,47.602,45.539,47.080002,11116800,46.781307
"2017-05-10",47.33,48.085,46.968,47.299999,7379800,46.999916
"2017-05-11",47.511,47.542,45.941,46.540001,6086300,46.244736
"2017-05-12",46.455,46.636,45.923,45.830002,3888700,45.637302
"2017-05-15",45.893,47.188,45.883,46.68,5534500,46.483727
"2017-05-16",46.988,47.329,44.929,46.939999,4627800,46.74263
"2017-05-17",46.445,46.757,45.07,44.919998,6906700,44.731125
"2017-05-18",44.587,45.592,44.567,44.650002,6626700,44.462261
"2017-05-19",44.989,45.572,44.929,45.220001,6736700,45.029865
"2017-05-22",45.521,46.445,45.521,46.209999,4428600,46.015701
"2017-05-23",46.465,46.887,46.134,46.66,3008500,46.46381
"2017-05-24",46.937,47.63,46.847,46.77,3885100,46.573345
"2017-05-25",47.188,48.323,47.018,48.02,5441800,47.818092
"2017-05-26",47.992,49.026,47.932,48.740002,5979300,48.535065
"2017-05-30",48.524,48.785,47.992,47.959999,5512900,47.758343
"2017-05-31",48.404,48.685,47.731,48.41,4486100,48.206451
"2017-06-01",48.705,49.568,48.504,49.049999,4421400,48.843758
"2017-06-02",49.769,50.683,49.578,49.52,7708600,49.311787
"2017-06-05",49.739,50.161,49.609,49.740002,5466700,49.530861
"2017-06-06",49.679,50.312,49.528,49.740002,4473500,49.530861
"2017-06-07",49.649,51.125,49.006,50.860001,7078400,50.646152
"2017-06-08",51.075,52.089,50.623,51.43,6517800,51.213753
"2017-06-09",51.828,52.169,50.462,50.27,7204300,50.058632
"2017-06-12",50.312,50.432,48.303,49.48,8597900,49.27195
"2017-06-13",49.769,50.121,49.046,49.450001,5153300,49.242081
"2017-06-14",49.85,49.99,49.096,49.389999,4027800,49.182331
"2017-06-15",49.347,49.528,48.574,49.110001,4579600,48.903507
"2017-06-16",49.106,49.659,48.825,48.790001,6622100,48.584854
"2017-06-19",49.337,49.93,49.026,49.66,4104300,49.451199
"2017-06-20",49.428,49.568,48.213,48.029999,6035100,47.828049
"2017-06-21",48.534,48.845,48.333,48.43,3469500,48.226368
"2017-06-22",50.713,50.773,48.996,48.970001,9792100,48.764099
"2017-06-23",49.207,49.307,48.675,48.630001,12682000,48.425526
"2017-06-26",49.016,49.99,48.745,48.779999,3992900,48.574898
"2017-06-27",48.805,49.769,48.705,48.5,4264400,48.296074
"2017-06-28",49.026,50.01,49.016,49.25,4259700,49.042919
"2017-06-29",49.488,49.9,49.026,49.619999,6170100,49.411362
"2017-06-30",50.131,50.723,49.809,50.32,6618700,50.108418
"2017-07-03",50.994,51.497,50.583,50.389999,2906500,50.178123
"2017-07-05",50.653,51.768,50.392,51.259998,5157500,51.044468
"2017-07-06",51.185,52.802,51.075,52.049999,7021400,51.831146
"2017-07-07",52.521,53.605,52.4,53.029999,6597000,52.807022
"2017-07-10",53.204,53.384,52.451,52.66,4600000,52.438583
"2017-07-11",52.802,52.882,51.687,51.610001,4545700,51.392998
"2017-07-12",53.344,54.057,52.671,53.799999,8348400,53.573788
"2017-07-13",53.625,54.71,53.374,53.810001,5346700,53.583748
"2017-07-14",54.027,54.509,53.565,54.220001,4537900,53.992023
"2017-07-17",54.439,54.509,54.077,53.869999,3727400,53.643494
"2017-07-18",54.057,54.067,53.244,53.150002,4101400,52.926525
"2017-07-19",52.481,53.415,51.999,52.610001,5774700,52.38879
"2017-07-20",52.943,53.003,52.32,52.34,4836200,52.119926
"2017-07-21",52.35,52.772,51.667,51.91,4544400,51.691738
"2017-07-24",52.009,52.25,51.456,51.279999,4876400,51.064384
"2017-07-25",51.717,52.119,50.763,50.610001,4484900,50.397202
"2017-07-26",50.844,51.386,50.221,51.009998,4776100,50.795517
"2017-07-27",50.553,50.553,48.956,50,10260300,49.789764
