"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",36.72,37.41,36.43,37,910100,37
"2017-01-04",37.97,38.54,37.75,38.369999,1666700,38.369999
"2017-01-05",38.3,38.48,37.44,37.57,1035100,37.57
"2017-01-06",37.63,37.86,36.93,36.93,612800,36.93
"2017-01-09",36.88,36.9,36.02,36.029999,797300,36.029999
"2017-01-10",36.21,37.19,35.88,37.150002,843500,37.150002
"2017-01-11",37.28,37.46,36.58,36.959999,1058600,36.959999
"2017-01-12",36.71,36.77,34.61,35.52,2980900,35.52
"2017-01-13",35.53,36.24,35.53,35.959999,978800,35.959999
"2017-01-17",36.01,36.3,35.24,35.299999,603400,35.299999
"2017-01-18",35.47,35.75,35.26,35.700001,853300,35.700001
"2017-01-19",35.8,36.15,35.05,35.360001,692100,35.360001
"2017-01-20",35.57,35.78,35.22,35.450001,583500,35.450001
"2017-01-23",35.39,35.49,34.75,35.310001,737100,35.310001
"2017-01-24",35.63,37.6,35.6,37.419998,1795000,37.419998
"2017-01-25",38.07,39.32,37.9,39.130001,2021800,39.130001
"2017-01-26",39.24,39.5,38.23,38.59,1003100,38.59
"2017-01-27",38.55,38.87,37.72,37.869999,854300,37.869999
"2017-01-30",37.5,37.5,36.44,37,1211100,37
"2017-01-31",36.99,37.38,36.24,36.93,949900,36.93
"2017-02-01",37.32,37.71,36.74,37.200001,749400,37.200001
"2017-02-02",37.07,37.15,36.29,36.549999,766900,36.549999
"2017-02-03",37.04,37.61,36.64,37.220001,770700,37.220001
"2017-02-06",37.13,37.35,36.75,37.150002,1826300,37.150002
"2017-02-07",38.85,39.27,37.52,38.119999,1949100,38.119999
"2017-02-08",38.05,38.05,36.75,37.029999,1306700,37.029999
"2017-02-09",37.03,38.25,36.87,38.09,1691400,38.09
"2017-02-10",38.18,38.41,37.45,38.400002,1370000,38.400002
"2017-02-13",38.6,38.8,37.8,37.91,862300,37.91
"2017-02-14",37.76,38.37,37.18,38.34,772000,38.34
"2017-02-15",38.29,38.94,38.19,38.849998,842400,38.849998
"2017-02-16",38.69,38.91,37.87,38.400002,470200,38.400002
"2017-02-17",38.17,38.24,37.3,37.75,752400,37.75
"2017-02-21",37.98,38.67,37.86,38.41,816300,38.41
"2017-02-22",38.18,38.38,37.73,37.990002,1060900,37.990002
"2017-02-23",38.19,38.19,36.03,36.349998,1840500,36.349998
"2017-02-24",36.08,36.14,35.29,35.77,1695900,35.77
"2017-02-27",35.77,37.16,35.67,37.150002,1637900,37.150002
"2017-02-28",37.05,37.23,36.2,36.349998,1575100,36.349998
"2017-03-01",37.32,38.15,37.12,37.84,1833600,37.84
"2017-03-02",37.88,37.89,36.92,36.959999,935100,36.959999
"2017-03-03",36.86,37.59,36.71,37.110001,1289300,37.110001
"2017-03-06",36.79,36.9,36.12,36.509998,1184400,36.509998
"2017-03-07",36.55,36.73,36.14,36.369999,841700,36.369999
"2017-03-08",36.55,36.74,35.77,35.810001,1695300,35.810001
"2017-03-09",35.68,35.89,34.85,35.110001,874100,35.110001
"2017-03-10",35.62,36.09,35.42,36.07,961400,36.07
"2017-03-13",36.1,36.92,36.02,36.25,882300,36.25
"2017-03-14",35.97,35.98,34.96,35.720001,804400,35.720001
"2017-03-15",35.9,36.56,35.64,36.349998,1316400,36.349998
"2017-03-16",36.65,36.84,35.94,36.080002,968300,36.080002
"2017-03-17",36.21,36.28,35.26,35.650002,2070400,35.650002
"2017-03-20",35.6,35.7,34.98,35.130001,501400,35.130001
"2017-03-21",35.4,35.49,33.69,34.080002,977100,34.080002
"2017-03-22",33.8,34.61,33.8,34.459999,1080700,34.459999
"2017-03-23",34.45,34.89,34.25,34.540001,668700,34.540001
"2017-03-24",34.6,34.9,33.93,34.099998,595500,34.099998
"2017-03-27",33.46,33.99,33.11,33.860001,990300,33.860001
"2017-03-28",33.76,34.72,33.76,34.52,777400,34.52
"2017-03-29",34.44,35.14,34.26,35.040001,644900,35.040001
"2017-03-30",35.18,35.99,35.18,35.619999,822700,35.619999
"2017-03-31",35.5,36.02,35.35,35.59,580800,35.59
"2017-04-03",35.75,36.08,34.5,34.869999,662300,34.869999
"2017-04-04",34.77,35.41,34.7,34.860001,925300,34.860001
"2017-04-05",35.26,35.71,34.8,35.009998,1511600,35.009998
"2017-04-06",35.01,35.66,34.9,35.389999,536900,35.389999
"2017-04-07",33.68,33.98,32.68,33.02,3609400,33.02
"2017-04-10",32.98,34.21,32.96,33.779999,1202600,33.779999
"2017-04-11",33.68,34.06,33.28,33.830002,1056300,33.830002
"2017-04-12",33.57,33.61,32.63,32.98,907300,32.98
"2017-04-13",32.81,33.18,32.5,32.610001,1556900,32.610001
"2017-04-17",32.65,33.38,32.29,33.369999,1428100,33.369999
"2017-04-18",33.05,33.85,32.83,33.75,1233300,33.75
"2017-04-19",34,34.23,33.36,33.439999,920700,33.439999
"2017-04-20",33.77,33.77,33.14,33.459999,1397400,33.459999
"2017-04-21",33.42,33.46,32.8,33.41,928500,33.41
"2017-04-24",34.17,34.47,33.86,34.27,1132700,34.27
"2017-04-25",34.69,34.88,34.35,34.669998,485100,34.669998
"2017-04-26",34.61,35.06,34.61,34.709999,1484500,34.709999
"2017-04-27",34.66,34.93,34.35,34.849998,1540400,34.849998
"2017-04-28",34.95,34.95,34.02,34.209999,1223900,34.209999
"2017-05-01",34.34,34.48,33.83,33.990002,1234000,33.990002
"2017-05-02",34.01,34.21,33.76,34.189999,790100,34.189999
"2017-05-03",33.87,33.97,33.13,33.639999,944500,33.639999
"2017-05-04",33.62,33.74,33.19,33.650002,1054300,33.650002
"2017-05-05",33.65,33.82,33.16,33.810001,629300,33.810001
