"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",88.114,89.095,87.943,88.050003,975600,87.086243
"2017-01-04",89.702,92.159,89.671,90.699997,1147600,89.707245
"2017-01-05",91.643,92.401,90.723,90.389999,913200,89.400635
"2017-01-06",91.623,92.007,90.854,90.809998,550900,89.816032
"2017-01-09",91.734,91.987,91.37,90.480003,936100,89.489647
"2017-01-10",91.866,92.179,90.076,89.879997,825000,88.89621
"2017-01-11",91.572,95.172,91.077,93.300003,1807500,92.278786
"2017-01-12",94.565,95.354,93.22,93.75,1042200,92.723854
"2017-01-13",95.212,95.991,94.373,94,603400,92.971123
"2017-01-17",96.193,96.85,94.949,94.349998,844600,93.317284
"2017-01-18",95.89,96.061,93.321,92.599998,1104800,91.586441
"2017-01-19",93.776,95.455,93.564,93.050003,609600,92.031525
"2017-01-20",94.595,95.091,93.867,93.360001,701600,92.338127
"2017-01-23",94.413,94.949,93.878,93.699997,349400,92.6744
"2017-01-24",94.98,96.901,94.747,95.550003,921900,94.504166
"2017-01-25",96.88,96.921,94.282,94,1083700,92.971123
"2017-01-26",95.131,96.951,95.081,95.480003,795800,94.434921
"2017-01-27",96.395,96.931,95.809,95.419998,452800,94.37558
"2017-01-30",95.839,95.9,94.545,94.57,677400,93.534882
"2017-01-31",95.657,95.728,93.544,92.639999,1453700,91.626007
"2017-02-01",94.221,94.676,92.674,93.410004,855100,92.387581
"2017-02-02",94.434,94.434,92.513,92.910004,588900,91.893044
"2017-02-03",94.413,95.495,94.029,94.269997,446800,93.238167
"2017-02-06",95.081,95.515,94.808,94.290001,478100,93.257935
"2017-02-07",95.04,95.495,93.281,92.800003,756200,91.784264
"2017-02-08",93.938,95.435,93.22,94.349998,661600,93.317284
"2017-02-09",95.394,95.9,94.686,93.910004,498300,92.882103
"2017-02-10",95.495,95.495,94.302,93.699997,637800,92.6744
"2017-02-13",95.374,96.466,94.686,94.75,660400,93.712906
"2017-02-14",95.414,95.414,91.35,91.190002,1654700,90.191872
"2017-02-15",92.32,94.039,92.027,92.760002,1510500,91.74469
"2017-02-16",93.908,95.03,93.089,92.410004,593700,91.398521
"2017-02-17",93.463,93.827,92.583,91.919998,1016700,90.913887
"2017-02-21",93.534,94.868,93.433,93.779999,790200,92.753517
"2017-02-22",94.444,94.686,93.402,92.440002,652200,91.428192
"2017-02-23",94.151,94.272,92.786,92.410004,738600,91.398521
"2017-02-24",92.947,94.171,92.027,92.93,7e+05,91.912834
"2017-02-27",94.019,94.434,93.241,92.459999,930600,91.447975
"2017-02-28",96.86,103.695,96.8,101.510002,4246500,100.398926
"2017-03-01",104.039,105.485,103.129,102.660004,2591800,101.536339
"2017-03-02",103.948,105.94,103.28,103.059998,2040100,101.931953
"2017-03-03",104.544,106.364,104.221,104.769997,1153200,103.62323
"2017-03-06",103.048,103.806,99.721,102.110001,2329000,100.992355
"2017-03-07",103.24,105.98,102.694,103.790001,1396700,102.653969
"2017-03-08",104.736,105.04,103.371,102.739998,1285100,101.615448
"2017-03-09",104.099,104.514,103.159,102.5,1457100,101.378082
"2017-03-10",103.837,105.161,103.493,103.050003,1422600,101.922058
"2017-03-13",103.393,105.379,102.96,104.5,1336600,103.678146
"2017-03-14",104.834,105.218,103.877,103.949997,752600,103.132462
"2017-03-15",105.328,106.346,104.683,105.220001,781700,104.392479
"2017-03-16",105.933,106.568,104.532,104.010002,1017400,103.191994
"2017-03-17",105.318,107.374,105.228,106.209999,1436900,105.374695
"2017-03-20",106.881,107.032,105.953,106.07,1032400,105.235786
"2017-03-21",106.911,108.413,104.895,104.25,1249500,103.430107
"2017-03-22",105.429,106.306,104.119,105.220001,984800,104.392479
"2017-03-23",106.014,107.233,105.681,105.150002,690000,104.323029
"2017-03-24",106.377,107.022,104.855,104.449997,527400,103.62854
"2017-03-27",104.441,105.782,103.464,104.599998,841100,103.777359
"2017-03-28",105.409,106.296,104.955,104.879997,805000,104.055145
"2017-03-29",105.832,106.79,105.732,105.040001,916300,104.213898
"2017-03-30",105.913,106.931,105.671,105.139999,671400,104.31311
"2017-03-31",105.792,107.334,105.207,105.639999,936800,104.809174
"2017-04-03",106.568,107.143,104.653,105.029999,991500,104.203972
"2017-04-04",105.802,106.76,105.641,105.5,884000,104.670273
"2017-04-05",106.528,107.546,105.742,105.209999,1168300,104.382561
