"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",49.324,49.656,48.831,49.220001,1965500,48.936672
"2017-01-04",49.937,50.36,49.585,49.810001,2478500,49.523277
"2017-01-05",49.857,50.038,48.942,49.18,1433100,48.8969
"2017-01-06",49.696,50.481,49.465,50.07,1534100,49.781776
"2017-01-09",50.179,50.41,49.575,49.630001,1499700,49.344311
"2017-01-10",50.028,50.36,49.636,49.869999,1411200,49.582928
"2017-01-11",50.068,50.37,49.907,49.98,1121100,49.692303
"2017-01-12",50.179,50.802,49.827,50.439999,1410300,50.149647
"2017-01-13",50.843,51.295,50.843,50.66,1471600,50.368385
"2017-01-17",50.833,50.953,50.219,50.279999,1356600,49.990566
"2017-01-18",50.682,51.064,50.481,50.709999,2030400,50.418098
"2017-01-19",51.205,51.476,50.732,50.68,1685800,50.388271
"2017-01-20",51.245,51.476,50.923,50.810001,1224300,50.517525
"2017-01-23",50.923,51.275,50.35,50.459999,1332900,50.169533
"2017-01-24",51.034,51.647,50.782,51.18,1026000,50.885387
"2017-01-25",51.919,52.734,51.808,52.400002,2017500,52.098366
"2017-01-26",52.683,53.136,52.291,52.18,1880000,51.879635
"2017-01-27",52.482,52.734,51.929,51.810001,1343100,51.511768
"2017-01-30",52.11,52.341,51.195,51.389999,1470900,51.094177
"2017-01-31",51.677,51.758,51.144,51.099998,1688200,50.805851
"2017-02-01",51.647,51.859,50.953,51.09,1706100,50.795906
"2017-02-02",51.074,51.376,50.732,51.040001,1025100,50.746197
"2017-02-03",51.718,51.999,51.376,51.509998,2067200,51.21349
"2017-02-06",51.677,52.291,51.486,51.66,3851900,51.362629
"2017-02-07",52.311,53.176,51.587,51.68,4780600,51.382507
"2017-02-08",52.009,52.784,51.607,52.349998,2368400,52.048649
"2017-02-09",52.864,53.749,52.774,53.130001,1850700,52.824165
"2017-02-10",53.548,53.961,53.367,53.52,1712300,53.211922
"2017-02-13",54.061,54.202,53.82,53.669998,1741700,53.361053
"2017-02-14",53.79,53.941,53.508,53.580002,2152900,53.271576
"2017-02-15",54.313,54.715,53.93,54.279999,2007700,53.967541
"2017-02-16",54.634,54.745,54.232,54.369999,1763400,54.057026
"2017-02-17",54.413,54.816,54.222,54.5,1719500,54.186279
"2017-02-21",54.795,55.499,54.675,55.150002,6020000,54.832539
"2017-02-22",55.238,55.64,55.067,55.310001,2534700,54.991615
"2017-02-23",55.64,55.801,54.474,54.490002,1771300,54.176338
"2017-02-24",54.474,54.976,54.373,54.630001,997700,54.315533
"2017-02-27",55.037,55.127,54.715,54.5,1468800,54.186279
"2017-02-28",54.836,54.987,54.142,53.970001,1337500,53.659328
"2017-03-01",55.067,55.691,55.067,55.259998,1526800,54.941898
"2017-03-02",55.63,55.63,54.976,54.700001,1141300,54.385124
"2017-03-03",55.077,55.339,54.745,54.849998,1913200,54.53426
"2017-03-06",54.675,55.057,54.594,54.610001,1042600,54.295647
"2017-03-07",55.057,55.208,54.755,54.509998,1041300,54.19622
"2017-03-08",55.067,55.278,54.705,54.52,1572100,54.206161
"2017-03-09",54.856,54.936,54.061,53.790001,1339400,53.480362
"2017-03-10",54.232,54.564,53.86,53.619999,2266300,53.311344
"2017-03-13",54.011,54.614,53.971,54.27,1869700,53.957603
"2017-03-14",54.232,54.232,53.488,53.5,1647200,53.192036
"2017-03-15",53.86,54.482,53.82,54.099998,1779600,53.879215
"2017-03-16",54.553,54.573,54.101,54.099998,1815000,53.879215
"2017-03-17",54.553,54.623,54.081,54.310001,1814400,54.08836
"2017-03-20",54.583,54.583,54.241,54.209999,773800,53.988766
"2017-03-21",54.593,54.673,53.428,53.299999,1902000,53.082481
"2017-03-22",53.508,53.749,53.127,53.360001,1503700,53.142239
"2017-03-23",53.478,53.97,53.348,53.459999,873700,53.241833
"2017-03-24",53.669,54.111,53.418,53.419998,1363500,53.201992
"2017-03-27",52.685,53.89,52.635,53.5,1283600,53.281666
"2017-03-28",53.468,54.412,53.428,53.93,1290400,53.709915
"2017-03-29",54.081,54.743,53.9,54.189999,1357700,53.968849
"2017-03-30",54.312,54.633,54.151,54.119999,1158000,53.899136
"2017-03-31",54.141,54.482,54,54.080002,1214700,53.859299
"2017-04-03",54.312,54.713,53.739,53.669998,1570400,53.450974
"2017-04-04",53.81,54.141,53.719,53.759998,877400,53.5406
"2017-04-05",54.282,54.753,53.81,53.689999,1099200,53.47089
"2017-04-06",53.95,54.653,53.88,54.209999,1054400,53.988766
"2017-04-07",54.342,54.502,54.141,54.150002,1408500,53.929012
"2017-04-10",54.352,55.085,54.352,54.509998,835000,54.287544
"2017-04-11",54.633,54.774,54.161,54.490002,694400,54.267628
"2017-04-12",54.573,54.713,53.689,53.52,2350700,53.301586
"2017-04-13",53.569,54.01,53.408,53.200001,1736800,52.982891
"2017-04-17",53.719,54.201,53.538,53.970001,1173400,53.749748
"2017-04-18",54,54.432,53.87,53.98,1211600,53.759708
"2017-04-19",54.372,54.613,53.93,53.860001,1130400,53.640198
"2017-04-20",54.412,55.105,54.332,54.77,1658900,54.546482
"2017-04-21",55.025,55.396,54.984,54.84,2092800,54.616196
"2017-04-24",55.758,56.892,55.507,56.580002,2501800,56.349098
"2017-04-25",57.173,57.565,56.922,57.029999,1810700,56.79726
"2017-04-26",57.354,57.685,57.254,57.099998,2058000,56.866978
"2017-04-27",57.344,57.796,57.193,57.259998,1391700,57.026321
"2017-04-28",57.465,57.826,57.183,57.200001,2094000,56.966564
"2017-05-01",57.625,57.876,56.892,57.59,3255000,57.354973
"2017-05-02",57.746,59.774,57.675,59.029999,4210000,58.789097
"2017-05-03",59.141,60.678,59.141,59.91,3772600,59.665508
"2017-05-04",60.246,60.939,60.155,60.389999,2431800,60.143551
"2017-05-05",60.668,60.919,60.366,60.189999,2398500,59.944363
"2017-05-08",60.356,60.567,60.045,59.93,1476000,59.685421
"2017-05-09",60.035,60.668,60.025,60.299999,1056100,60.053917
"2017-05-10",60.206,60.447,59.884,59.950001,965200,59.705345
"2017-05-11",59.864,60.125,59.423,59.849998,1287600,59.605751
"2017-05-12",59.894,60.075,59.533,59.470001,1158000,59.227303
"2017-05-15",59.935,60.176,59.714,59.720001,1138300,59.47628
"2017-05-16",59.965,60.196,59.674,59.810001,856700,59.565918
"2017-05-17",60.055,60.055,59.292,59.470001,1649000,59.227303
"2017-05-18",59.242,59.824,58.971,59.139999,2145800,58.898647
"2017-05-19",59.744,60.617,59.603,60.060001,1455100,59.814896
"2017-05-22",60.527,61.069,60.386,60.580002,1016700,60.332771
"2017-05-23",60.989,61.119,60.688,60.560001,1195700,60.312859
"2017-05-24",61.079,61.551,60.878,60.990002,1175800,60.7411
"2017-05-25",61.37,61.621,61.119,61.09,873400,60.840691
"2017-05-26",61.2,61.521,60.979,60.869999,568900,60.621586
"2017-05-30",60.899,61.119,60.668,60.799999,732400,60.551876
"2017-05-31",61.14,61.35,60.497,61.02,1315500,60.770977
"2017-06-01",61.451,62.003,61.079,61.509998,1627100,61.25898
"2017-06-02",61.842,62.445,61.611,61.860001,1186100,61.607552
"2017-06-05",62.124,62.385,61.923,61.799999,741900,61.547794
"2017-06-06",61.632,62.013,61.501,61.5,1256100,61.24902
"2017-06-07",61.913,62.083,61.481,61.529999,1070300,61.278893
"2017-06-08",61.782,62.274,61.501,61.959999,1185400,61.707142
"2017-06-09",62.314,63.118,62.224,62.380001,1580700,62.125427
"2017-06-12",62.595,62.927,62.003,61.759998,1200800,61.507957
"2017-06-13",62.134,62.515,61.973,62.049999,586100,61.796772
"2017-06-14",62.234,62.284,61.592,61.540001,900600,61.37788
"2017-06-15",61.332,62.404,61.261,62.209999,783300,62.046116
"2017-06-16",62.455,62.785,62.104,62.330002,1464400,62.165798
"2017-06-19",62.705,63.056,62.495,62.860001,707500,62.694401
"2017-06-20",62.856,62.916,61.993,61.869999,977900,61.707008
