"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",35.899,35.919,34.878,34.66,4198500,34.284729
"2017-01-04",35.12,35.858,34.938,34.959999,4385800,34.581478
"2017-01-05",35.353,35.818,35.221,35.240002,1025900,34.858452
"2017-01-06",35.525,35.676,35.262,34.919998,1677200,34.541916
"2017-01-09",35.302,35.636,35.08,34.700001,1365600,34.324295
"2017-01-10",34.372,34.918,33.937,34.02,2711700,33.651657
"2017-01-11",34.271,34.392,33.937,33.93,4029800,33.562634
"2017-01-12",34.079,34.322,33.998,33.740002,1916800,33.374691
"2017-01-13",34.251,34.352,34.13,33.889999,1106700,33.523064
"2017-01-17",34.16,34.392,33.846,33.5,2940600,33.137287
"2017-01-18",34.089,34.119,33.574,33.299999,2629100,32.939453
"2017-01-19",33.614,33.796,33.523,33.189999,1834800,32.830643
"2017-01-20",33.513,33.685,33.432,33.130001,2016500,32.771294
"2017-01-23",33.493,33.584,33.23,33.080002,3466800,32.721844
"2017-01-24",33.452,33.816,33.452,33.349998,5002900,32.988907
"2017-01-25",33.786,34.069,33.624,33.59,3268700,33.226318
"2017-01-26",33.978,34.119,33.877,33.599998,1663000,33.236202
"2017-01-27",33.887,34.13,33.887,33.700001,992600,33.335121
"2017-01-30",33.846,34.069,33.786,33.529999,801900,33.166965
"2017-01-31",33.948,34.221,33.685,33.84,1877800,33.473606
"2017-02-01",34.261,34.301,33.371,33.16,2033200,32.800968
"2017-02-02",33.412,34.221,33.361,33.82,1887800,33.453827
"2017-02-03",34.301,34.504,34.14,34.02,1503400,33.651657
"2017-02-06",34.504,34.514,33.826,33.48,2470500,33.117508
"2017-02-07",35.12,36.485,35.12,35.169998,5026600,34.789207
"2017-02-08",35.515,36.293,35.424,35.509998,3065700,35.125523
"2017-02-09",35.838,36.04,35.757,35.41,1701000,35.026608
"2017-02-10",36.04,36.182,35.686,35.509998,1528600,35.125523
"2017-02-13",35.855,36.087,35.522,35.290001,2086400,35.009457
"2017-02-14",35.664,36.117,35.492,35.639999,2499000,35.35667
"2017-02-15",35.926,36.198,35.905,35.709999,1736100,35.426113
"2017-02-16",36.006,36.258,35.905,35.669998,1844300,35.386433
"2017-02-17",35.905,36.157,35.724,35.75,1236900,35.465801
"2017-02-21",35.956,36.258,35.825,35.970001,2015800,35.684048
"2017-02-22",36.178,36.54,35.936,35.919998,1593000,35.634445
"2017-02-23",36.268,36.369,35.956,35.790001,1600200,35.505482
"2017-02-24",36.036,36.117,35.845,35.810001,1344300,35.525326
"2017-02-27",36.087,36.248,36.036,35.869999,1146600,35.584846
"2017-02-28",36.137,36.238,35.996,35.740002,2082500,35.455879
"2017-03-01",36.278,36.309,35.936,35.689999,1202000,35.406277
"2017-03-02",36.772,36.772,35.926,35.900002,1511600,35.614609
"2017-03-03",36.137,36.48,36.137,36.169998,1736400,35.882462
"2017-03-06",36.178,36.551,36.178,36.040001,1515900,35.753494
"2017-03-07",36.238,36.349,36.208,36.009998,1234700,35.723728
"2017-03-08",36.238,36.52,36.198,36.18,1257100,35.892384
"2017-03-09",36.52,36.682,36.399,36.310001,1726000,36.021351
"2017-03-10",36.823,36.883,36.631,36.52,1177700,36.229679
"2017-03-13",36.571,36.903,36.409,36.509998,1278100,36.219757
"2017-03-14",36.823,37.044,36.651,36.5,1128200,36.209839
"2017-03-15",36.823,37.176,36.823,36.759998,1031200,36.46777
"2017-03-16",37.024,37.579,36.984,37.259998,2298200,36.963795
"2017-03-17",37.498,37.851,37.498,37.509998,1591700,37.211807
"2017-03-20",37.69,38.083,37.286,37.060001,1784100,36.765388
"2017-03-21",37.407,37.569,36.843,36.580002,1899800,36.289204
"2017-03-22",36.863,37.095,36.752,36.619999,1196300,36.328884
"2017-03-23",36.984,37.256,36.883,36.599998,895300,36.30904
"2017-03-24",36.994,37.095,36.772,36.57,744200,36.279282
"2017-03-27",36.5,36.863,36.44,36.490002,771500,36.199921
"2017-03-28",36.803,37.155,36.621,36.82,1167800,36.527294
"2017-03-29",37.024,37.236,36.984,36.889999,636300,36.596737
"2017-03-30",37.206,37.498,37.196,37.130001,619200,36.834831
"2017-03-31",37.347,37.417,37.165,36.869999,1263600,36.576897
"2017-04-03",37.165,37.357,36.903,36.73,1071600,36.438007
"2017-04-04",36.994,37.044,36.712,36.490002,808400,36.199921
"2017-04-05",36.863,37.085,36.651,36.41,952500,36.120552
"2017-04-06",36.853,37.024,36.601,36.650002,1079100,36.358646
"2017-04-07",36.742,37.024,36.682,36.459999,768100,36.170155
"2017-04-10",36.692,36.984,36.672,36.439999,495200,36.150314
"2017-04-11",36.682,36.863,36.52,36.5,582000,36.209839
"2017-04-12",36.823,36.944,36.53,36.330002,718600,36.041191
"2017-04-13",36.631,36.742,36.349,36.110001,815800,35.822941
"2017-04-17",36.45,36.752,36.44,36.459999,824400,36.170155
"2017-04-18",36.52,36.843,36.52,36.400002,1119700,36.110634
"2017-04-19",36.823,36.994,36.46,36.27,1332600,35.981667
"2017-04-20",36.742,36.964,36.571,36.599998,696300,36.30904
"2017-04-21",36.883,37.044,36.833,36.720001,589800,36.428089
"2017-04-24",37.266,37.478,37.014,36.970001,933400,36.676102
"2017-04-25",37.357,37.357,36.994,36.759998,877400,36.46777
"2017-04-26",37.085,37.085,36.833,36.650002,1314700,36.358646
"2017-04-27",36.984,37.105,36.843,36.610001,546400,36.318966
"2017-04-28",36.954,36.954,36.45,36.52,950300,36.229679
"2017-05-01",36.843,37.024,36.641,36.509998,1128200,36.219757
"2017-05-02",36.883,36.913,36.571,36.560001,1481700,36.269363
"2017-05-03",36.903,36.913,36.51,36.509998,1211800,36.219757
"2017-05-04",36.873,36.954,36.621,36.450001,675000,36.160236
"2017-05-05",36.873,37.075,36.732,36.720001,1265300,36.428089
"2017-05-08",36.944,37.014,36.561,36.279999,2617200,35.991585
"2017-05-09",36.54,37.7,36.54,37.400002,2331400,37.102684
"2017-05-10",37.911,38.587,37.559,37.330002,1768800,37.033241
"2017-05-11",37.569,37.649,37.286,37.119999,1383000,36.824909
"2017-05-12",37.377,37.377,37.115,36.830002,857500,36.537216
"2017-05-15",36.941,37.353,36.85,37.040001,1690500,36.848598
"2017-05-16",37.242,37.253,36.86,36.93,1144300,36.739166
"2017-05-17",36.881,37.122,36.7,36.52,893800,36.331284
"2017-05-18",36.77,36.991,36.589,36.630001,842200,36.44072
"2017-05-19",36.82,37.011,36.77,36.599998,1287400,36.41087
"2017-05-22",36.881,37.132,36.83,36.869999,1124400,36.679474
"2017-05-23",37.102,37.202,36.86,36.720001,902700,36.530254
"2017-05-24",36.891,37.323,36.81,36.950001,963200,36.759064
"2017-05-25",37.242,37.474,37.132,37.040001,734400,36.848598
"2017-05-26",37.202,37.323,37.132,37.029999,1051700,36.838646
"2017-05-30",37.142,37.353,37.062,37.029999,845500,36.838646
"2017-05-31",37.273,37.514,37.162,37.259998,1879100,37.067459
"2017-06-01",37.594,38.871,37.524,38.66,1943100,38.460228
"2017-06-02",38.971,39.062,38.65,38.790001,1154600,38.589554
"2017-06-05",38.831,39.182,38.831,38.919998,1539900,38.71888
"2017-06-06",39.132,39.353,39.002,39.029999,1861000,38.828312
"2017-06-07",39.414,39.806,39.182,39.529999,1845600,39.325729
"2017-06-08",39.745,39.846,39.484,39.57,1377400,39.36552
"2017-06-09",39.745,39.836,39.574,39.540001,1564900,39.335682
"2017-06-12",39.745,40.097,39.725,39.82,1585700,39.614231
"2017-06-13",40.158,40.318,39.856,40.029999,1414000,39.823147
"2017-06-14",40.399,40.73,40.359,40.419998,1740800,40.211128
"2017-06-15",40.318,40.921,40.268,40.59,1676200,40.380253
"2017-06-16",40.952,41.173,40.741,40.84,1526900,40.628963
"2017-06-19",41.112,41.324,40.751,41.02,1554900,40.808029
"2017-06-20",41.092,41.253,40.952,41.02,2819600,40.808029
"2017-06-21",41.233,41.454,41.173,41.09,2238300,40.877666
"2017-06-22",41.374,41.464,41.102,40.990002,1229000,40.778187
"2017-06-23",41.253,41.776,41.203,41.459999,2568800,41.245754
"2017-06-26",41.796,41.917,41.565,41.48,932600,41.265656
"2017-06-27",41.736,41.937,41.213,41,926200,40.788136
"2017-06-28",41.414,41.555,41.243,41.130001,1201900,40.917465
"2017-06-29",41.394,41.394,40.68,40.689999,615900,40.479736
"2017-06-30",41.092,41.354,40.962,40.98,1137700,40.768238
"2017-07-03",41.374,41.394,41.173,41.07,400300,40.857773
"2017-07-05",41.334,41.394,40.851,40.93,1141200,40.718494
"2017-07-06",40.71,40.831,40.077,39.880001,1717200,39.67392
"2017-07-07",40.338,40.479,40.158,40.240002,1476500,40.032063
"2017-07-10",40.519,40.761,40.117,40.09,1595400,39.882835
"2017-07-11",40.168,40.168,39.675,39.720001,2337600,39.514748
"2017-07-12",40.178,40.781,40.047,40.360001,1205500,40.15144
"2017-07-13",40.63,40.66,40.147,40.220001,1087700,40.012165
"2017-07-14",40.338,40.761,40.268,40.389999,1370900,40.181286
