"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",27.41,27.71,27.2,27.65,2515600,27.65
"2017-01-04",27.8,28.05,27.78,27.93,2632200,27.93
"2017-01-05",27.91,28.019,27.74,27.809999,1301700,27.809999
"2017-01-06",27.83,27.897,27.56,27.6,1092900,27.6
"2017-01-09",27.39,27.74,27.25,27.610001,1791700,27.610001
"2017-01-10",27.52,27.72,27.27,27.280001,1660100,27.280001
"2017-01-11",27.31,27.91,27.22,27.91,2226200,27.91
"2017-01-12",27.83,28.05,27.66,28.040001,1714700,28.040001
"2017-01-13",28.04,28.315,28.025,28.18,1690100,28.18
"2017-01-17",27.99,28.2,27.96,28.059999,1465100,28.059999
"2017-01-18",28.14,28.49,27.96,28.469999,4816000,28.469999
"2017-01-19",28.5,28.73,28.43,28.6,2322900,28.6
"2017-01-20",28.77,28.83,28.54,28.75,1394100,28.75
"2017-01-23",28.75,28.92,28.645,28.75,1380300,28.75
"2017-01-24",28.88,29.27,28.76,29.129999,1906600,29.129999
"2017-01-25",29.29,29.43,28.89,29.32,2019800,29.32
"2017-01-26",29.53,29.92,29.2,29.219999,2313300,29.219999
"2017-01-27",29.24,29.39,29.1,29.23,1101400,29.23
"2017-01-30",29.1,29.259,28.75,29.15,1540400,29.15
"2017-01-31",29.22,29.39,28.94,29,1703000,29
"2017-02-01",29.15,29.43,29.004,29.41,1771000,29.41
"2017-02-02",29.42,29.56,29.32,29.51,1066700,29.51
"2017-02-03",29.62,29.8,29.41,29.66,1089000,29.66
"2017-02-06",29.54,29.72,29.41,29.48,1820500,29.48
"2017-02-07",29.49,29.7,29.3,29.35,2111800,29.35
"2017-02-08",29.61,29.61,28.65,29.440001,2326600,29.440001
"2017-02-09",28.62,29.57,28.62,29.43,2017200,29.43
"2017-02-10",29.42,29.57,29.11,29.23,1520900,29.23
"2017-02-13",29.44,29.65,29.3,29.65,1583600,29.65
"2017-02-14",29.77,30.11,29.56,29.66,1253800,29.66
"2017-02-15",29.62,30,29.565,29.98,1614200,29.98
"2017-02-16",29.93,30.21,29.59,29.66,935000,29.66
"2017-02-17",29.6,29.69,29.46,29.65,920500,29.65
"2017-02-21",29.65,29.9,29.64,29.83,1074800,29.83
"2017-02-22",29.65,29.77,29.55,29.59,950500,29.59
"2017-02-23",29.98,30,29.38,29.469999,1161900,29.469999
"2017-02-24",29.35,29.41,29.14,29.379999,823000,29.379999
"2017-02-27",29.63,30,29.12,29.24,2084300,29.24
"2017-02-28",29.17,29.26,28.99,29.110001,1696700,29.110001
"2017-03-01",29.5,29.79,29.32,29.74,1277100,29.74
"2017-03-02",29.76,29.76,29.16,29.209999,1036800,29.209999
"2017-03-03",29.24,29.58,29.1,29.530001,1261400,29.530001
"2017-03-06",29.44,29.49,29.13,29.24,884600,29.24
"2017-03-07",29.17,29.23,28.87,29.049999,856200,29.049999
"2017-03-08",29,30.17,28.8,29.889999,3952000,29.889999
"2017-03-09",30.02,30.96,30.02,30.790001,6476400,30.790001
"2017-03-10",30.94,31.625,30.9,31.219999,3638400,31.219999
"2017-03-13",31.39,31.54,31.22,31.35,2135700,31.35
"2017-03-14",31.24,31.41,31.06,31.129999,1094800,31.129999
"2017-03-15",31.24,31.44,30.98,31.08,1925000,31.08
"2017-03-16",31.75,32.5,31.741,32.279999,3789300,32.279999
"2017-03-17",32.46,33.06,32.4,32.610001,3835200,32.610001
"2017-03-20",32.62,32.62,31.99,32.099998,1652300,32.099998
"2017-03-21",32.14,32.16,31.5,31.58,1896100,31.58
"2017-03-22",31.43,31.48,30.861,31.209999,3226900,31.209999
"2017-03-23",31.09,31.41,30.92,31.309999,1743700,31.309999
"2017-03-24",31.32,31.53,30.75,30.860001,1187300,30.860001
"2017-03-27",30.62,31.21,30.52,31.16,1063100,31.16
"2017-03-28",31.18,31.6,31.06,31.5,963200,31.5
"2017-03-29",31.56,31.9,31.46,31.9,1866700,31.9
"2017-03-30",31.81,32.21,31.8,32.119999,1867100,32.119999
"2017-03-31",32.1,32.29,31.94,32.200001,1694300,32.200001
"2017-04-03",32.2,32.2,31.54,31.92,1875900,31.92
"2017-04-04",31.84,32.14,31.74,32.080002,1592800,32.080002
"2017-04-05",32.1,32.29,31.52,31.58,1399200,31.58
"2017-04-06",31.57,31.69,31.38,31.49,888300,31.49
"2017-04-07",31.44,31.65,31.24,31.280001,2494300,31.280001
"2017-04-10",31.31,31.625,31.31,31.52,1241800,31.52
"2017-04-11",31.47,31.66,31.22,31.66,906100,31.66
"2017-04-12",31.81,32.15,31.06,31.290001,1442300,31.290001
"2017-04-13",31.23,31.4,30.805,31,1424400,31
"2017-04-17",31.07,31.49,31.07,31.33,1002200,31.33
"2017-04-18",31.22,31.51,31.18,31.51,1485600,31.51
"2017-04-19",31.52,31.57,30.905,30.99,3301200,30.99
"2017-04-20",31.27,31.81,31.11,31.68,1702200,31.68
"2017-04-21",31.8,31.82,31.2,31.370001,1882400,31.370001
"2017-04-24",31.78,31.95,31.65,31.92,2873600,31.92
"2017-04-25",32,32.28,31.945,32.200001,2660600,32.200001
"2017-04-26",32.74,32.93,31.25,31.83,3641200,31.83
"2017-04-27",32.05,32.1,31.56,31.99,3139600,31.99
"2017-04-28",32.04,32.08,31.35,31.370001,1928700,31.370001
"2017-05-01",31.44,31.8,31.215,31.620001,1623200,31.620001
"2017-05-02",31.58,31.661,31.13,31.190001,1635000,31.190001
"2017-05-03",31.14,31.22,30.84,30.92,1348600,30.92
