"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",17.321,17.384,17.132,16.549999,998600,15.775035
"2017-01-04",17.415,17.751,17.311,16.889999,1230000,16.099115
"2017-01-05",17.615,17.814,17.405,16.84,1145500,16.051456
"2017-01-06",17.615,17.646,17.478,16.719999,1521700,15.937075
"2017-01-09",17.425,17.446,16.771,16.209999,1909700,15.60024
"2017-01-10",16.875,16.968,16.74,16.16,894900,15.552122
"2017-01-11",16.76,16.792,16.532,15.95,1420100,15.350021
"2017-01-12",16.553,16.625,16.428,16,1543700,15.398141
"2017-01-13",16.646,16.771,16.553,15.98,1016700,15.378893
"2017-01-17",16.688,16.844,16.615,16.059999,1394300,15.455884
"2017-01-18",16.688,16.989,16.605,16.32,1201700,15.706104
"2017-01-19",16.927,16.927,16.688,16.120001,854800,15.513628
"2017-01-20",16.76,17.01,16.729,16.32,832300,15.706104
"2017-01-23",16.916,17.197,16.906,16.530001,1084300,15.908205
"2017-01-24",17.166,17.384,17.114,16.629999,995400,16.00444
"2017-01-25",17.322,17.342,17.062,16.530001,736800,15.908205
"2017-01-26",17.238,17.28,17.041,16.440001,897400,15.821589
"2017-01-27",17.124,17.124,16.75,16.190001,1104900,15.580994
"2017-01-30",16.812,16.875,16.709,16.219999,1030500,15.609863
"2017-01-31",16.854,16.937,16.709,16.1,1266000,15.494379
"2017-02-01",17.01,17.124,16.241,16,2795100,15.398141
"2017-02-02",16.625,16.781,16.563,16.09,1288400,15.484756
"2017-02-03",16.885,16.968,16.688,16.120001,897300,15.513628
"2017-02-06",16.74,16.802,16.615,16.129999,857600,15.52325
"2017-02-07",16.812,16.833,16.511,15.95,998400,15.350021
"2017-02-08",16.573,16.771,16.501,16.110001,815200,15.504004
"2017-02-09",16.781,17.031,16.781,16.219999,898600,15.609863
"2017-02-10",16.885,17.072,16.875,16.43,495000,15.811966
"2017-02-13",17.103,17.135,16.958,16.41,381400,15.792717
"2017-02-14",16.979,16.979,16.771,16.16,1204900,15.552122
"2017-02-15",16.677,16.792,16.532,15.97,2319900,15.369269
"2017-02-16",16.573,17.031,16.573,16.34,804800,15.725352
"2017-02-17",17.02,17.02,16.719,16.309999,1185300,15.696479
"2017-02-21",16.927,17.27,16.864,16.6,902500,15.975571
"2017-02-22",17.228,17.322,16.958,16.52,1019000,15.898582
"2017-02-23",17.197,17.259,17.114,16.58,743100,15.956324
"2017-02-24",17.176,17.374,17.114,16.700001,907500,16.07181
"2017-02-27",17.405,17.581,17.249,16.889999,2048300,16.25466
"2017-02-28",17.55,17.55,17.259,16.66,1076300,16.033314
"2017-03-01",17.238,17.446,17.176,16.780001,1045200,16.148802
"2017-03-02",17.311,17.374,17.135,16.58,537200,15.956324
"2017-03-03",17.228,17.259,17.02,16.610001,679000,15.985196
"2017-03-06",17.186,17.186,16.875,16.42,779300,15.802341
"2017-03-07",17.051,17.083,16.916,16.33,454800,15.715728
"2017-03-08",16.844,16.864,16.698,16.120001,670700,15.513628
"2017-03-09",16.698,16.823,16.376,15.85,557000,15.253784
"2017-03-10",16.553,16.625,16.293,15.74,756200,15.14792
"2017-03-13",16.386,16.719,16.355,15.87,1379500,15.273031
"2017-03-14",16.438,16.47,16.272,15.82,635400,15.224911
"2017-03-15",16.48,16.854,16.48,16.139999,970500,15.532875
"2017-03-16",16.74,16.833,16.667,16.08,790300,15.47513
"2017-03-17",16.74,16.885,16.646,16.23,1176100,15.619489
"2017-03-20",16.854,17.103,16.823,16.41,1411500,15.792717
