"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",48.875,49.495,48.539,47.959999,6195900,47.131294
"2017-01-04",49.098,49.597,48.925,48.709999,7735300,47.86834
"2017-01-05",49.353,49.821,48.417,48.09,5295500,47.259052
"2017-01-06",48.783,49.292,48.478,48.169998,4533800,47.337666
"2017-01-09",48.691,48.885,48.325,47.639999,5184900,46.81683
"2017-01-10",48.59,48.997,48.447,47.720001,4556400,46.895443
"2017-01-11",48.478,48.895,48.121,48.029999,4029900,47.200085
"2017-01-12",48.651,48.803,47.847,47.459999,4387500,46.639935
"2017-01-13",48.569,49.007,48.376,47.740002,4780600,46.915104
"2017-01-17",48.213,48.294,47.195,46.43,5229600,45.627735
"2017-01-18",47.287,47.328,46.259,46.23,8422000,45.431187
"2017-01-19",47.165,47.379,45.476,44.84,12816600,44.065208
"2017-01-20",45.476,45.883,44.998,44.560001,13056500,43.790047
"2017-01-23",45.191,45.547,44.621,43.869999,8209200,43.111969
"2017-01-24",44.845,45.618,44.662,44.630001,6029900,43.858833
"2017-01-25",45.842,46.015,45.181,44.91,7333800,44.133995
"2017-01-26",45.842,45.974,45.527,44.970001,6700000,44.192959
"2017-01-27",45.426,45.557,45.071,44.779999,5863700,44.192955
"2017-01-30",45.101,45.284,44.818,44.669998,6221500,44.0844
"2017-01-31",45.122,45.456,44.99,44.73,6420600,44.143616
"2017-02-01",45.669,45.993,45.496,45.02,9078500,44.429813
"2017-02-02",45.243,45.689,45.091,44.799999,5359300,44.212696
"2017-02-03",46.033,46.53,45.79,45.669998,6938400,45.071289
"2017-02-06",45.942,46.56,45.902,45.66,3915000,45.061424
"2017-02-07",46.479,46.54,45.942,45.450001,3584800,44.854176
"2017-02-08",45.8,45.932,45.507,45.139999,4602000,44.548241
"2017-02-09",45.74,46.246,45.74,45.5,4378500,44.903522
"2017-02-10",46.155,46.327,46.023,45.560001,3975200,44.962734
"2017-02-13",46.51,46.885,46.489,46.119999,4297200,45.515392
"2017-02-14",46.743,47.482,46.712,46.82,4701500,46.206215
"2017-02-15",47.645,48.161,47.422,47.43,4833100,46.80822
"2017-02-16",47.989,48.101,47.533,47.07,3501700,46.452942
"2017-02-17",47.33,47.776,47.077,47.139999,3669900,46.522022
"2017-02-21",47.878,48.273,47.857,47.5,4484100,46.8773
"2017-02-22",47.898,48.182,47.705,47.290001,3935700,46.670059
"2017-02-23",47.938,48.02,47.645,47.34,3637900,46.719402
"2017-02-24",47.533,47.726,47.33,47.09,3897000,46.472679
"2017-02-27",47.655,47.989,47.645,47.110001,3799500,46.492416
"2017-02-28",47.594,47.817,47.3,47.139999,6080800,46.522022
"2017-03-01",48.617,49.438,48.516,48.5,8605700,47.864193
"2017-03-02",49.154,49.154,48.303,47.990002,6263300,47.360878
"2017-03-03",48.465,48.861,48.384,47.950001,6125300,47.321404
"2017-03-06",48.374,48.567,48.161,47.900002,4192300,47.27206
"2017-03-07",48.536,48.627,48.222,47.669998,3791200,47.045074
"2017-03-08",48.881,49.094,48.597,48.189999,5157600,47.558254
"2017-03-09",48.901,49.114,48.435,47.93,4497900,47.301666
"2017-03-10",48.921,49.002,48.394,48.169998,3632100,47.538517
"2017-03-13",48.911,49.175,48.769,48.349998,3991700,47.716156
"2017-03-14",48.84,49.023,48.445,48.259998,3704400,47.627338
"2017-03-15",49.144,49.398,48.85,48.330002,4420200,47.696423
"2017-03-16",49.094,49.387,48.982,48.470001,3669000,47.834587
"2017-03-17",49.286,49.296,48.455,47.91,7792700,47.281929
