"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",12.55,12.82,12.43,12.77,2823700,12.77
"2017-01-04",12.87,13.54,12.83,13.22,4989300,13.22
"2017-01-05",13.17,13.26,12.8,13.11,4503100,13.11
"2017-01-06",13.15,13.15,12.62,12.68,3695400,12.68
"2017-01-09",12.71,13.09,12.51,12.85,4714800,12.85
"2017-01-10",12.83,15.58,12.61,14.8,13972600,14.8
"2017-01-11",15.36,15.63,15.05,15.46,8372200,15.46
"2017-01-12",15.63,16.29,15.62,15.89,6127200,15.89
"2017-01-13",16.03,16.13,15.63,15.81,3555200,15.81
"2017-01-17",15.81,16.3,15.68,16.110001,3892700,16.110001
"2017-01-18",16.16,16.31,15.91,16.27,4000800,16.27
"2017-01-19",16.25,16.28,15.96,15.96,3946700,15.96
"2017-01-20",16,16.14,15.55,15.67,4127400,15.67
"2017-01-23",15.72,15.88,15.27,15.41,5042800,15.41
"2017-01-24",15.39,15.62,15.32,15.57,3400700,15.57
"2017-01-25",15.62,15.77,15.34,15.36,3483200,15.36
"2017-01-26",15.3,15.47,15.27,15.29,3224800,15.29
"2017-01-27",15.41,15.45,14.74,14.78,3978800,14.78
"2017-01-30",14.67,14.94,14.4,14.87,2762400,14.87
"2017-01-31",14.81,15.27,14.78,14.97,4487200,14.97
"2017-02-01",14.99,15.53,14.92,15.06,10109300,15.06
"2017-02-02",15.09,15.74,15.04,15.44,9340400,15.44
"2017-02-03",15.47,15.57,15.3,15.43,3741100,15.43
"2017-02-06",15.42,15.46,15.2,15.26,2048900,15.26
"2017-02-07",15.3,15.48,15.11,15.27,1787400,15.27
"2017-02-08",15.23,15.4,15.06,15.29,1811500,15.29
"2017-02-09",15.29,15.5,15.18,15.42,1576400,15.42
"2017-02-10",15.41,15.41,14.53,15.15,4764900,15.15
"2017-02-13",15.2,15.2,14.66,14.84,5471900,14.84
"2017-02-14",14.64,15.68,14.3,14.94,10588200,14.94
"2017-02-15",14.66,15.32,14.62,15.23,6616300,15.23
"2017-02-16",15.28,16.23,15.06,15.38,8013000,15.38
"2017-02-17",14.79,14.99,14.11,14.37,19216700,14.37
"2017-02-21",14.31,15.31,14.2,15.07,13795700,15.07
"2017-02-22",15.15,15.17,14.68,14.69,2770200,14.69
"2017-02-23",14.78,14.78,14.47,14.67,2115400,14.67
"2017-02-24",14.59,14.66,14.37,14.46,2610400,14.46
"2017-02-27",14.41,14.63,14.27,14.63,2428200,14.63
"2017-02-28",14.54,14.71,14.34,14.4,3179400,14.4
"2017-03-01",14.55,14.63,14.15,14.31,3405300,14.31
"2017-03-02",14.3,14.3,14.05,14.09,2045700,14.09
"2017-03-03",14.11,14.29,14.04,14.14,2022500,14.14
"2017-03-06",14.04,14.04,12.95,13.16,8794800,13.16
"2017-03-07",13.07,13.45,12.93,12.95,4657700,12.95
"2017-03-08",12.95,13.01,12.62,12.69,3252000,12.69
"2017-03-09",12.67,12.73,12.45,12.6,3191100,12.6
"2017-03-10",12.69,12.78,12.55,12.57,2374300,12.57
"2017-03-13",12.57,12.68,12.33,12.46,2605800,12.46
"2017-03-14",12.35,12.48,12.14,12.22,3432800,12.22
"2017-03-15",12.39,12.39,12.14,12.27,3076800,12.27
"2017-03-16",12.3,12.35,12.16,12.3,2821900,12.3
"2017-03-17",12.31,12.31,12.16,12.23,2517800,12.23
"2017-03-20",12.2,12.22,12.09,12.15,3082100,12.15
"2017-03-21",12.15,12.25,11.93,11.96,4508500,11.96
"2017-03-22",11.92,11.94,11.69,11.91,2777600,11.91
"2017-03-23",11.9,12.09,11.8,12.03,2591300,12.03
"2017-03-24",11.96,12.16,11.93,12.1,2979900,12.1
"2017-03-27",12.35,12.99,12.33,12.7,8583100,12.7
"2017-03-28",12.64,12.88,12.55,12.82,4154600,12.82
"2017-03-29",12.82,13.18,12.75,12.95,5324900,12.95
"2017-03-30",12.93,13.27,12.89,13.19,2772600,13.19
"2017-03-31",13.22,13.5,13.11,13.43,3740100,13.43
"2017-04-03",13.43,13.5,13.07,13.08,2426100,13.08
"2017-04-04",13.07,13.16,12.86,13.03,2022200,13.03
"2017-04-05",13.1,13.34,12.89,13.11,6103200,13.11
"2017-04-06",13.11,13.29,13.02,13.24,1977100,13.24
"2017-04-07",13.2,13.26,13.04,13.06,1815300,13.06
"2017-04-10",13.08,13.35,13.04,13.13,1600800,13.13
"2017-04-11",13.06,13.14,12.97,13.08,1307200,13.08
"2017-04-12",13.1,13.16,12.86,12.96,1977200,12.96
"2017-04-13",12.99,13.15,12.74,12.93,2066600,12.93
"2017-04-17",12.91,12.95,12.76,12.89,3318700,12.89
"2017-04-18",12.82,12.91,12.73,12.86,2242500,12.86
"2017-04-19",12.93,13.22,12.91,13.07,2214600,13.07
"2017-04-20",13.15,13.26,12.93,13.13,2578700,13.13
"2017-04-21",13.1,13.18,12.95,13.01,2285700,13.01
"2017-04-24",13.15,13.17,12.86,12.89,2779400,12.89
"2017-04-25",12.95,13.08,12.89,13.01,1872200,13.01
"2017-04-26",13,13.18,12.94,13.14,1869400,13.14
"2017-04-27",13.17,13.28,12.94,13.05,1717300,13.05
"2017-04-28",13.06,13.07,12.83,12.99,1232200,12.99
"2017-05-01",13.05,13.23,12.91,13.14,1840600,13.14
"2017-05-02",13.22,13.79,13.18,13.77,3386500,13.77
"2017-05-03",13.62,13.69,13.01,13.04,2660300,13.04
"2017-05-04",13.08,13.71,12.84,13.11,5637000,13.11
"2017-05-05",13.1,13.31,13.05,13.21,3194700,13.21
"2017-05-08",13.19,13.25,12.55,12.64,6648400,12.64
"2017-05-09",13.22,13.75,13.05,13.2,8856200,13.2
"2017-05-10",13.18,14.19,13.14,14.06,4755600,14.06
