"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",25.564,25.902,25.479,24.5,1346500,23.173927
"2017-01-04",25.987,26.357,25.87,24.92,1152000,23.571194
"2017-01-05",26.145,26.779,25.976,25.290001,1886300,23.921167
"2017-01-06",26.621,26.79,26.441,25.27,1586200,23.902252
"2017-01-09",26.716,26.716,25.944,24.6,1389700,23.268515
"2017-01-10",25.955,26.029,25.722,24.440001,1495500,23.117174
"2017-01-11",25.891,26.029,25.648,24.32,1388300,23.00367
"2017-01-12",25.754,25.754,25.384,24.200001,1645100,22.890167
"2017-01-13",25.564,25.775,25.458,24.219999,1522700,22.909082
"2017-01-17",25.733,25.976,25.659,24.57,1527300,23.240139
"2017-01-18",25.86,26.124,25.828,24.68,1394800,23.344185
"2017-01-19",25.934,25.934,25.701,24.309999,2164600,22.994209
"2017-01-20",25.913,26.061,25.775,24.65,1269600,23.315807
"2017-01-23",26.145,26.367,26.039,24.870001,901400,23.523901
"2017-01-24",26.304,26.367,26.082,24.82,1440000,23.476606
"2017-01-25",26.187,26.293,26.008,24.68,1146700,23.344185
"2017-01-26",26.071,26.304,25.648,24.370001,1753700,23.050964
"2017-01-27",25.765,25.849,25.246,23.98,842200,22.682072
"2017-01-30",25.32,25.447,25.162,24.040001,1233200,22.738827
"2017-01-31",25.437,25.733,25.342,24.129999,1139600,22.823952
"2017-02-01",25.5,25.68,25.236,23.91,2150300,22.615862
"2017-02-02",25.331,25.384,25.183,23.99,1560400,22.691532
"2017-02-03",25.542,25.659,25.12,24.02,2261900,22.719908
"2017-02-06",25.416,25.532,25.141,23.98,1767800,22.682072
"2017-02-07",25.416,25.5,25.141,23.860001,1160300,22.568567
"2017-02-08",25.31,25.5,25.183,24.049999,1634600,22.748283
"2017-02-09",25.447,25.722,25.342,24.33,1243700,23.013126
"2017-02-10",25.627,25.987,25.606,24.4,1694400,23.079338
"2017-02-13",25.891,26.05,25.701,24.48,1892800,23.15501
"2017-02-14",25.902,25.944,25.246,23.9,3073700,22.606401
"2017-02-15",25.194,25.225,24.813,23.639999,3720800,22.360474
"2017-02-16",24.908,25.183,24.834,23.51,3825500,22.237513
"2017-02-17",24.929,24.961,24.602,23.440001,4036100,22.171299
"2017-02-21",24.633,25.056,24.612,23.690001,2726100,22.40777
"2017-02-22",25.056,25.183,24.813,23.719999,2172000,22.436146
"2017-02-23",25.183,25.215,24.887,23.719999,1799900,22.436146
"2017-02-24",25.056,25.215,24.654,23.559999,2333200,22.284805
"2017-02-27",24.94,25.12,24.824,23.719999,1896100,22.436146
"2017-02-28",24.961,24.961,24.528,23.34,2400700,22.076714
"2017-03-01",24.633,24.676,24.327,23.120001,2475800,21.868622
"2017-03-02",24.306,24.306,23.724,22.530001,4196400,21.310556
"2017-03-03",23.84,23.84,23.132,22.16,4391300,20.960581
"2017-03-06",23.343,23.65,23.238,22.299999,3570400,21.093002
"2017-03-07",23.576,23.618,23.026,21.809999,1940300,20.629524
"2017-03-08",22.868,22.963,22.329,21.200001,2720700,20.052542
"2017-03-09",22.487,22.709,21.948,20.799999,3704300,19.674192
"2017-03-10",22.181,22.413,21.842,21.09,4174400,19.948496
"2017-03-13",22.255,22.498,22.181,21.25,2703800,20.099833
"2017-03-14",22.392,22.815,22.339,21.57,3477900,20.402515
