"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",24,24.56,24,24.469999,648900,24.469999
"2017-01-04",24.57,25.34,24.55,25.030001,1042500,25.030001
"2017-01-05",24.49,24.95,24.06,24.85,1942500,24.85
"2017-01-06",24.92,25.47,24.731,25.209999,950700,25.209999
"2017-01-09",25.32,25.55,25.16,25.33,857000,25.33
"2017-01-10",25.29,25.33,24.84,24.879999,765700,24.879999
"2017-01-11",24.98,25.09,24.67,24.83,569100,24.83
"2017-01-12",24.86,24.99,24.54,24.82,756000,24.82
"2017-01-13",24.88,25.02,24.78,24.9,429600,24.9
"2017-01-17",24.96,25.51,24.84,25.48,924100,25.48
"2017-01-18",25.5,25.63,25.31,25.49,1058500,25.49
"2017-01-19",25.49,25.57,25.34,25.540001,1147900,25.540001
"2017-01-20",25.5,25.96,25.37,25.549999,2049900,25.549999
"2017-01-23",25.52,25.854,24.6,24.719999,981300,24.719999
"2017-01-24",24.8,24.95,24.4,24.870001,828800,24.870001
"2017-01-25",25,25.14,24.58,24.610001,735900,24.610001
"2017-01-26",24.56,25.48,24.35,24.58,728500,24.58
"2017-01-27",24.55,24.69,24.21,24.48,437700,24.48
"2017-01-30",24.47,24.58,24.06,24.299999,359200,24.299999
"2017-01-31",24.23,24.45,24.1,24.25,657600,24.25
"2017-02-01",24.42,24.75,24.19,24.67,839700,24.67
"2017-02-02",24.72,25.22,24.61,25.219999,831200,25.219999
"2017-02-03",25.39,25.48,25.21,25.41,582000,25.41
"2017-02-06",25.43,25.43,24.53,24.700001,492200,24.700001
"2017-02-07",24.74,25.1,24.65,24.91,514500,24.91
"2017-02-08",24.85,24.97,24.32,24.709999,561700,24.709999
"2017-02-09",24.74,25.32,24.7,25.27,607600,25.27
"2017-02-10",25.37,25.37,25.16,25.209999,588200,25.209999
"2017-02-13",25.24,25.24,24.79,24.84,896700,24.84
"2017-02-14",24.88,24.93,24.48,24.799999,562000,24.799999
"2017-02-15",24.78,25.3,24.72,25.25,662800,25.25
"2017-02-16",25.25,25.29,24.91,25.049999,904100,25.049999
"2017-02-17",24.9,25.065,24.46,24.85,769600,24.85
"2017-02-21",24.97,25.19,24.879,25.139999,757200,25.139999
"2017-02-22",25.12,25.32,25.05,25.209999,454200,25.209999
"2017-02-23",25.3,25.49,25.13,25.200001,825700,25.200001
"2017-02-24",25.16,25.21,24.56,24.950001,682300,24.950001
"2017-02-27",24.8,24.8,24.18,24.5,1232300,24.5
"2017-02-28",24.46,24.94,24.36,24.440001,1700300,24.440001
"2017-03-01",25.03,25.19,23.8,24.719999,1974300,24.719999
"2017-03-02",24.81,25.03,24.45,24.549999,1369400,24.549999
"2017-03-03",24.47,25.11,24.146,25.1,2108900,25.1
"2017-03-06",25,25.04,24.51,24.549999,1436400,24.549999
"2017-03-07",24.53,24.8,24.21,24.42,1218600,24.42
"2017-03-08",24.47,24.65,24.23,24.379999,1248200,24.379999
"2017-03-09",24.43,24.65,24.238,24.57,1066700,24.57
"2017-03-10",24.64,24.895,24.57,24.59,811900,24.59
"2017-03-13",24.59,24.9,24.17,24.370001,1010200,24.370001
"2017-03-14",24.34,24.41,23.95,24.200001,891000,24.200001
"2017-03-15",24.28,24.56,24.21,24.440001,424200,24.440001
"2017-03-16",24.52,24.56,24.1,24.16,865000,24.16
"2017-03-17",23.46,24.05,23.4,23.860001,1971400,23.860001
"2017-03-20",23.76,23.88,23.45,23.540001,954100,23.540001
"2017-03-21",23.53,23.63,23.24,23.42,952400,23.42
"2017-03-22",23.48,23.55,23.14,23.24,997500,23.24
"2017-03-23",23.18,23.64,23.18,23.34,612100,23.34
"2017-03-24",23.39,23.82,23.19,23.370001,555000,23.370001
"2017-03-27",23.25,23.72,22.96,23.200001,740300,23.200001
"2017-03-28",23.17,23.3,22.925,23,876100,23
"2017-03-29",22.98,23.2,22.85,23.190001,740400,23.190001
"2017-03-30",23.21,23.35,22.98,23.049999,722400,23.049999
"2017-03-31",23.05,23.26,22.92,23,573000,23
"2017-04-03",23,23.245,22.81,22.83,1144700,22.83
"2017-04-04",22.86,22.97,22.6,22.84,1799200,22.84
"2017-04-05",22.85,23.36,22.79,23.290001,1808300,23.290001
"2017-04-06",23.34,23.84,22.77,22.85,1331300,22.85
"2017-04-07",22.83,23.02,22.81,22.91,1520300,22.91
"2017-04-10",23.01,23.26,22.94,23.1,1374900,23.1
