"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",40.425,40.779,39.898,40.07,1485500,39.550014
"2017-01-04",40.516,41.438,39.685,40.82,1600900,40.290276
"2017-01-05",41.276,41.661,40.718,40.77,1775400,40.240929
"2017-01-06",41.519,41.914,41.053,41.099998,1789300,40.566643
"2017-01-09",41.529,41.863,41.053,40.82,1541500,40.290276
"2017-01-10",41.509,41.954,41.093,40.77,2786900,40.240929
"2017-01-11",41.154,41.225,39.948,40.119999,4441000,39.599361
"2017-01-12",40.668,40.911,39.837,39.990002,2436100,39.471054
"2017-01-13",40.607,41.022,40.577,40.299999,1298800,39.777027
"2017-01-17",40.647,40.81,40.171,39.790001,1600700,39.273643
"2017-01-18",40.506,40.506,40.131,39.779999,2023600,39.263771
"2017-01-19",40.445,40.506,40.141,39.82,1787900,39.303257
"2017-01-20",40.435,40.556,40.029,39.860001,1804400,39.342739
"2017-01-23",40.394,40.647,39.817,39.5,1602000,38.987408
"2017-01-24",40.313,41.063,40.293,40.43,2147200,39.905338
"2017-01-25",41.286,41.853,41.286,41.299999,911700,40.76405
"2017-01-26",41.661,41.975,41.235,40.779999,1238300,40.250801
"2017-01-27",41.326,41.468,40.729,40.400002,967100,39.875729
"2017-01-30",41.053,41.174,40.404,40.560001,1702100,40.033649
"2017-01-31",40.951,41.397,40.597,40.830002,1809000,40.300148
"2017-02-01",41.691,42.046,41.215,41.029999,1224600,40.497551
"2017-02-02",41.549,41.813,40.799,40.470001,1838100,39.944824
"2017-02-03",41.235,41.417,40.992,40.599998,1024100,40.073135
"2017-02-06",40.789,41.124,40.729,40.57,863900,40.043518
"2017-02-07",41.022,41.022,40.222,40.099998,1678400,39.57962
"2017-02-08",40.668,41.134,40.374,40.459999,1994300,39.934952
"2017-02-09",40.526,41.853,40.526,40.650002,2560200,40.122486
"2017-02-10",41.428,42.198,41.336,41.630001,2099900,41.089764
"2017-02-13",42.218,42.735,41.934,41.669998,2286000,41.12925
"2017-02-14",42.289,42.461,41.661,41.5,1689700,40.961449
"2017-02-15",42.046,42.603,41.65,41.91,1532300,41.366135
"2017-02-16",42.481,42.805,41.721,41.380001,1359400,40.843014
"2017-02-17",41.509,42.937,41.195,42.380001,2272100,41.830036
"2017-02-21",43.18,43.89,42.775,42.630001,2429400,42.076794
"2017-02-22",43.15,43.424,42.957,42.77,1382800,42.214973
"2017-02-23",43.454,43.646,42.907,42.470001,1473000,41.918865
"2017-02-24",42.552,42.603,41.772,41.529999,2535700,40.991066
"2017-02-27",41.874,42.883,41.752,42.450001,1860900,42.040852
"2017-02-28",42.601,42.974,42.469,42.189999,1762300,41.783352
"2017-03-01",43.307,43.853,43.156,42.990002,2102000,42.575645
"2017-03-02",43.429,43.812,43.348,43.139999,2023200,42.724197
"2017-03-03",43.55,43.631,43.116,42.959999,2011800,42.545929
"2017-03-06",42.823,42.914,42.217,41.900002,1722200,41.496151
"2017-03-07",42.227,42.399,41.803,41.689999,1983300,41.28817
"2017-03-08",42.136,42.49,41.985,41.939999,1505100,41.535759
"2017-03-09",42.399,42.399,41.783,41.560001,1567000,41.159428
"2017-03-10",42.338,42.57,41.944,41.790001,1677600,41.387211
"2017-03-13",42.409,43.085,42.298,42.610001,1714300,42.199306
"2017-03-14",42.712,43.54,42.641,43.02,1675100,42.605354
"2017-03-15",43.641,44.66,43.489,43.950001,1823600,43.52639
"2017-03-16",44.489,44.671,44.004,43.650002,1361400,43.229282
"2017-03-17",43.984,43.984,42.914,42.759998,2131200,42.347858
"2017-03-20",43.206,43.338,42.813,42.57,1190500,42.159691
"2017-03-21",43.186,43.186,41.187,40.84,1855400,40.446365
"2017-03-22",41.338,42.146,40.803,41.48,2907000,41.080196
"2017-03-23",41.722,41.793,41.248,41.209999,1908800,40.812801
"2017-03-24",41.742,41.914,41.399,41.279999,1508400,40.882122
"2017-03-27",41.025,41.641,40.803,41.200001,1540000,40.802898
"2017-03-28",41.621,42.348,41.47,41.75,2620500,41.347595
"2017-03-29",42.177,42.702,42.106,41.93,1049800,41.52586
"2017-03-30",42.298,42.449,42.055,41.959999,754300,41.555569
"2017-03-31",42.267,42.52,42.126,41.790001,1642000,41.387211
"2017-04-03",42.358,42.358,39.804,40.34,3897000,39.951187
"2017-04-04",40.49,40.581,38.915,38.689999,4108200,38.317085
"2017-04-05",39.39,39.481,38.511,38.18,3229600,37.812008
"2017-04-06",38.521,38.723,38.027,37.990002,3004800,37.623837
"2017-04-07",38.168,38.592,37.905,38.029999,1891300,37.663448
"2017-04-10",38.39,38.612,38.067,38,1779700,37.633739
"2017-04-11",38.329,38.653,38.006,38.25,2691800,37.881329
"2017-04-12",38.592,39.117,38.451,38.59,2784300,38.218056
"2017-04-13",38.764,39.299,38.38,38.009998,1509600,37.643642
"2017-04-17",38.552,39.137,38.41,38.740002,1209200,38.366608
"2017-04-18",38.774,39.41,38.774,38.849998,1626100,38.475544
"2017-04-19",39.551,40.389,39.511,39.650002,2170500,39.267838
"2017-04-20",40.389,41.046,40.369,40.099998,2346300,39.713497
"2017-04-21",40.389,40.541,39.753,39.509998,1701700,39.129181
"2017-04-24",40.601,40.935,40.369,40.450001,1536700,40.060123
"2017-04-25",41.025,41.48,40.813,40.84,1391300,40.446365
"2017-04-26",41.298,41.934,41.116,41.060001,1890700,40.664249
"2017-04-27",42.873,43.166,40.803,42.139999,2722300,41.733833
"2017-04-28",42.661,42.742,42.257,42.279999,2089500,41.872486
"2017-05-01",43.015,43.812,42.813,42.790001,2334600,42.377571
"2017-05-02",43.055,43.338,41.106,40.880001,3502200,40.485981
"2017-05-03",40.682,41.561,40.551,41,2460400,40.604824
"2017-05-04",41.45,41.793,41.136,41.330002,1716500,40.931644
"2017-05-05",42.005,42.156,41.601,41.73,1376300,41.327785
"2017-05-08",42.126,42.409,41.803,41.610001,2136100,41.208946
"2017-05-09",42.116,42.5,42.076,41.900002,1721900,41.496151
"2017-05-10",42.277,42.621,42.146,42.139999,1782500,41.733833
"2017-05-11",42.5,42.58,41.863,41.830002,1182700,41.426826
"2017-05-12",42.045,42.308,41.924,41.650002,1428800,41.248558
"2017-05-15",42.156,42.591,42.136,42.02,1242100,41.614994
"2017-05-16",42.762,42.782,42.156,42.209999,1227300,41.803165
"2017-05-17",42.621,42.621,40.278,39.939999,2474000,39.555038
"2017-05-18",40.298,40.753,40.187,40.130001,1126700,39.74321
"2017-05-19",40.692,41.248,40.692,40.400002,1162200,40.010609
"2017-05-22",41.197,41.843,40.894,41.369999,1528300,40.971256
"2017-05-23",41.975,41.985,41.005,40.82,1325500,40.426556
"2017-05-24",41.349,41.53,41.086,41.049999,845200,40.654343
"2017-05-25",41.651,41.712,40.409,40.43,1827000,40.040318
"2017-05-26",40.793,41.591,40.793,40.990002,976700,40.594921
"2017-05-30",41.459,42.666,41.087,42.189999,3181700,41.926552
"2017-05-31",42.656,42.817,41.519,42.509998,3022600,42.244553
"2017-06-01",43.461,45.333,43.069,44.360001,4323700,44.083004
"2017-06-02",44.528,45.112,44.156,44.27,2222100,43.993565
"2017-06-05",44.548,44.719,44.287,44.310001,1031500,44.033314
"2017-06-06",44.307,44.437,43.894,43.919998,1241900,43.645748
"2017-06-07",44.246,44.367,43.663,43.720001,1711600,43.446999
"2017-06-08",43.995,43.995,42.546,42.43,2468900,42.165054
"2017-06-09",42.626,43.502,42.224,42.959999,3003400,42.691742
"2017-06-12",43.24,44.186,43.23,43.66,1703700,43.387375
"2017-06-13",44.126,44.427,43.703,43.93,1154800,43.655689
"2017-06-14",44.196,44.317,43.321,43.240002,1560100,42.969997
"2017-06-15",43.029,43.612,42.898,43.32,1184900,43.049496
"2017-06-16",43.492,43.492,40.674,40.990002,3978900,40.734051
"2017-06-19",41.368,41.771,41.298,41.330002,1854100,41.071922
"2017-06-20",41.348,41.479,40.845,40.73,1521400,40.47567
"2017-06-21",41.328,41.409,40.724,41.029999,1440500,40.773792
"2017-06-22",41.006,41.268,40.593,40.860001,1006700,40.604858
"2017-06-23",41.087,41.509,40.855,41.200001,2708600,40.942738
"2017-06-26",41.499,42.314,41.439,41.880001,1874700,41.618488
"2017-06-27",42.143,42.143,40.251,41.07,2059200,40.813545
"2017-06-28",41.71,41.942,41.429,41.169998,2411800,40.912922
"2017-06-29",41.66,41.972,41.066,41.240002,1751000,40.982487
"2017-06-30",41.932,42.837,41.59,42.360001,2625300,42.09549
"2017-07-03",43.069,44.256,43.029,43.18,1325700,42.91037
"2017-07-05",43.371,43.612,42.344,43.18,2274000,42.91037
"2017-07-06",43.391,43.632,43.049,43,1867300,42.731495
"2017-07-07",43.119,44.538,42.958,44.09,2935200,43.814686
"2017-07-10",44.498,45.434,44.347,45.080002,3684500,44.798508
"2017-07-11",45.383,46.178,45.232,45.529999,2178400,45.245693
"2017-07-12",46.088,46.52,45.645,45.610001,2316800,45.325199
