"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",33.229,33.821,32.856,31.870001,6719700,30.710012
"2017-01-04",33.323,34.288,33.25,33.040001,5479500,31.837427
"2017-01-05",34.288,34.662,33.541,33.049999,5949600,31.847061
"2017-01-06",34.319,34.765,34.267,33.470001,2840200,32.251778
"2017-01-09",34.734,35.232,34.319,33.77,4516800,32.540855
"2017-01-10",34.672,35.056,33.624,32.73,6816000,31.53871
"2017-01-11",34.112,35.533,34.101,34.189999,6500000,32.945568
"2017-01-12",35.212,35.876,34.672,34.509998,5902000,33.253918
"2017-01-13",35.668,36.011,34.599,33.98,4144900,32.743217
"2017-01-17",35.523,35.554,34.101,32.889999,4776300,31.692888
"2017-01-18",34.132,34.163,33.51,32.32,5392300,31.143635
"2017-01-19",33.811,33.956,33.198,32.25,5020000,31.076181
"2017-01-20",34.994,35.637,34.288,34.200001,7960500,32.955208
"2017-01-23",35.284,36.623,35.201,35.25,7577100,33.966995
"2017-01-24",36.976,38.532,36.903,36.849998,10489100,35.508755
"2017-01-25",38.512,38.574,37.381,36.540001,4964000,35.210037
"2017-01-26",36.125,37.858,35.803,36.209999,6072700,34.892048
"2017-01-27",37.848,38.19,37.142,36.509998,4210200,35.181129
"2017-01-30",37.65,37.65,36.447,35.389999,4156200,34.101891
"2017-01-31",37.09,37.464,36.488,35.290001,4355300,34.005535
"2017-02-01",36.675,38.076,36.592,36.630001,4594800,35.296761
"2017-02-02",37.785,37.785,36.654,35.630001,3911000,34.33316
"2017-02-03",37.142,37.505,36.882,35.68,3189400,34.38134
"2017-02-06",37.048,37.1,36.083,35.490002,3882500,34.198257
"2017-02-07",36.374,36.903,35.647,34.889999,4909000,33.62009
"2017-02-08",36.218,36.498,35.71,34.939999,3068300,33.66827
"2017-02-09",36.218,36.332,35.751,34.490002,3718800,33.234653
"2017-02-10",36.063,37.256,35.886,35.84,4172300,34.535515
"2017-02-13",37.443,38.501,37.381,36.709999,6424300,35.373852
"2017-02-14",37.858,37.951,37.131,36.32,7958000,34.998043
