"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",57.329,57.684,55.202,55.299999,441200,54.596401
"2017-01-04",55.962,57.026,55.962,56,332700,55.287495
"2017-01-05",56.823,57.279,55.456,54.849998,376300,54.152122
"2017-01-06",55.658,55.911,54.747,54.5,341400,53.80658
"2017-01-09",55.152,55.152,54.595,54.099998,401700,53.411671
"2017-01-10",54.898,55.304,54.595,54.5,326900,53.80658
"2017-01-11",55.405,55.405,54.645,54.150002,211900,53.461033
"2017-01-12",55.861,55.861,54.747,54.400002,304400,53.707859
"2017-01-13",55.152,55.304,54.493,54.400002,310400,53.707859
"2017-01-17",54.949,55.152,54.088,53.5,261100,52.819302
"2017-01-18",54.24,55.202,54.088,54.299999,441400,53.609127
"2017-01-19",55.05,55.709,55.05,54.450001,354200,53.757217
"2017-01-20",55.152,55.962,55.101,55.200001,318500,54.497677
"2017-01-23",56.013,56.114,55.658,55.200001,168100,54.497677
"2017-01-24",56.013,56.62,55.962,55.549999,207800,54.843224
"2017-01-25",56.468,56.975,56.215,55.75,134200,55.04068
"2017-01-26",56.519,57.127,56.519,56.099998,91700,55.386223
"2017-01-27",56.924,57.076,56.62,56.049999,119600,55.336857
"2017-01-30",56.62,56.671,56.063,55.5,139500,54.793854
"2017-01-31",56.114,56.367,55.608,55.5,164000,54.793854
"2017-02-01",56.165,56.772,55.962,55.599998,207400,54.892586
"2017-02-02",56.266,56.651,55.81,55.549999,116100,54.843224
"2017-02-03",56.519,56.772,56.266,56.049999,88200,55.336857
"2017-02-06",56.62,56.924,56.266,55.650002,89900,54.941952
"2017-02-07",56.317,56.823,56.215,55.900002,125000,55.18877
"2017-02-08",56.519,57.026,56.317,56.200001,139800,55.484955
"2017-02-09",57.026,57.583,56.772,56.66,172800,55.939095
"2017-02-10",57.532,57.785,57.431,57,93900,56.274773
"2017-02-13",58.038,58.038,57.431,57.099998,153900,56.373501
"2017-02-14",57.583,57.887,57.583,57.099998,176000,56.373501
"2017-02-15",57.633,58.849,57.076,57.849998,489100,57.113956
"2017-02-16",59.254,64.268,57.846,62.549999,692800,61.754158
"2017-02-17",63.305,63.964,62.698,62.299999,479100,61.507339
"2017-02-21",63.154,63.66,61.887,61.349998,463100,60.569427
"2017-02-22",61.938,62.951,61.584,61.299999,500300,60.520061
"2017-02-23",62.343,62.495,61.077,60.610001,325900,59.838844
"2017-02-24",60.976,62.191,60.925,60.5,235300,59.73024
"2017-02-27",61.026,62.141,61.026,60.900002,306800,60.125153
"2017-02-28",61.584,62.141,61.128,60.599998,297900,59.828964
"2017-03-01",61.989,62.951,61.229,61.400002,302900,60.618793
"2017-03-02",61.938,62.951,61.837,61.650002,220700,60.865608
"2017-03-03",62.546,63.052,62.394,61.900002,328400,61.112431
"2017-03-06",62.495,63.559,62.141,62.25,288300,61.457973
"2017-03-07",62.85,63.559,62.495,61.860001,238300,61.072937
"2017-03-08",62.647,63.204,62.293,61.599998,132000,60.816242
"2017-03-09",62.191,62.951,62.191,61.75,156900,60.964336
"2017-03-10",62.647,63.154,62.495,62.25,139800,61.457973
"2017-03-13",63.154,63.508,62.951,62.299999,130200,61.507339
"2017-03-14",63.052,63.761,62.88,62.349998,150700,61.556705
"2017-03-15",63.305,64.116,63.255,63.25,163400,62.445255
"2017-03-16",64.318,64.825,63.711,62.900002,118200,62.099705
"2017-03-17",63.812,64.166,63.761,63.200001,172600,62.395889
"2017-03-20",64.014,64.116,63.204,62.900002,147600,62.099705
"2017-03-21",64.318,64.318,62.09,61.5,320700,60.717518
"2017-03-22",62.394,63.255,62.293,62.349998,131600,61.556705
"2017-03-23",63.305,64.014,63.052,62.599998,154100,61.803524
"2017-03-24",63.457,63.863,63.255,62.549999,147400,61.754158
"2017-03-27",62.9,63.589,62.444,62.349998,203200,61.556705
"2017-03-28",62.748,63.913,62.748,62.849998,158200,62.050343
"2017-03-29",63.711,64.47,63.559,63.299999,213400,62.494614
"2017-03-30",63.898,64.1,63.292,63.150002,157400,62.55901
"2017-03-31",63.747,64.201,63.09,62.599998,218700,62.014156
"2017-04-03",63.444,63.797,62.687,62.5,257200,61.915089
"2017-04-04",63.141,63.444,62.313,62.299999,165800,61.716965
"2017-04-05",63.191,64.251,62.989,62.75,188000,62.16275
"2017-04-06",62.889,63.545,62.889,62.799999,199600,62.212284
"2017-04-07",63.393,63.524,62.838,62.299999,298700,61.716965
"2017-04-10",62.838,63.595,62.838,62.299999,137000,61.716965
"2017-04-11",62.889,63.242,62.586,62.599998,294700,62.014156
"2017-04-12",63.242,63.696,62.687,62.75,113300,62.16275
"2017-04-13",63.191,63.696,62.939,62.450001,126400,61.865559
"2017-04-17",63.191,63.545,62.939,62.599998,153300,62.014156
"2017-04-18",63.141,63.393,62.434,62.349998,109600,61.766495
"2017-04-19",63.09,63.696,62.939,62.849998,272300,62.261814
"2017-04-20",63.696,63.948,63.09,63.25,107500,62.658073
"2017-04-21",63.898,63.999,63.141,62.950001,152500,62.360882
"2017-04-24",64.251,64.504,63.696,63.400002,197000,62.806671
"2017-04-25",64.504,64.605,63.797,63.5,245300,62.905731
"2017-04-26",63.999,65.21,63.999,63.849998,235900,63.252453
"2017-04-27",64.756,65.513,64.453,64.800003,257000,64.193565
"2017-04-28",65.614,65.614,63.242,62.700001,281500,62.11322
"2017-05-01",63.292,65.2,63.292,64.349998,369300,63.74778
"2017-05-02",65.109,65.866,64.605,65.150002,231900,64.540298
"2017-05-03",65.564,65.816,64.806,64.900002,255500,64.292633
"2017-05-04",65.513,67.381,63.595,66.099998,312600,65.4814
"2017-05-05",65.513,65.513,62.616,62.299999,441300,61.716965
"2017-05-08",62.687,62.989,61.677,61.599998,201500,61.023514
"2017-05-09",62.586,63.696,62.586,62.75,158300,62.16275
"2017-05-10",63.191,63.444,62.989,62.75,201200,62.16275
"2017-05-11",62.989,63.191,62.434,62.450001,96600,61.865559
"2017-05-12",62.687,62.838,62.333,61.880001,109300,61.300896
"2017-05-15",62.586,63.292,62.283,62.5,119000,61.915089
"2017-05-16",63.09,63.494,62.838,62.599998,158600,62.014156
"2017-05-17",62.636,63.343,62.555,62.450001,232900,61.865559
"2017-05-18",62.889,64.15,62.535,63,382200,62.410412
"2017-05-19",63.747,65.21,63.696,64.309998,216300,63.708153
"2017-05-22",65.109,66.018,65.079,64.849998,219800,64.243095
"2017-05-23",65.463,65.866,65.261,64.949997,183000,64.342163
"2017-05-24",65.665,65.967,64.857,64.849998,101900,64.243095
"2017-05-25",65.564,66.27,65.362,65.150002,164000,64.540298
"2017-05-26",65.412,66.371,65.311,65.599998,88700,64.986076
"2017-05-30",66.119,66.926,65.412,64.800003,139800,64.193565
"2017-05-31",65.463,65.866,65.16,64.949997,200500,64.342163
"2017-06-01",65.665,66.371,65.614,65.5,227000,64.887016
"2017-06-02",66.169,66.825,65.816,66.099998,262500,65.4814
"2017-06-05",66.876,67.078,65.564,65.099998,196100,64.490753
"2017-06-06",65.614,66.119,64.857,64.949997,280300,64.342163
"2017-06-07",65.513,66.018,64.907,64.699997,139500,64.094498
"2017-06-08",65.16,66.068,64.453,65.050003,232100,64.441231
"2017-06-09",65.665,66.119,64.605,64.150002,180500,63.549648
"2017-06-12",64.706,66.22,64.554,65,220900,64.391693
"2017-06-13",65.866,66.674,65.513,66,164600,65.382332
"2017-06-14",67.027,67.482,66.472,66.610001,152700,65.986626
"2017-06-15",66.876,67.734,66.412,66.800003,149600,66.17485
"2017-06-16",67.381,67.936,67.027,66.5,348400,65.877655
"2017-06-19",67.229,68.188,67.078,67.400002,234600,66.769234
"2017-06-20",68.037,68.441,66.371,65.900002,125500,65.283272
"2017-06-21",66.674,66.775,66.27,65.900002,102200,65.283272
"2017-06-22",66.623,66.623,65.816,65.349998,111800,64.738419
"2017-06-23",65.967,67.431,65.765,66.699997,399100,66.075783
"2017-06-26",67.582,67.986,66.775,66.25,118100,65.629997
"2017-06-27",66.674,67.633,65.715,65.150002,147900,64.540298
"2017-06-28",66.068,66.422,65.715,65.550003,121200,64.936554
"2017-06-29",65.751,65.751,63.789,64.300003,260700,63.907864
"2017-06-30",64.845,64.996,64.041,64.25,203700,63.858166
"2017-07-03",64.896,65.198,64.292,64.150002,99300,63.758774
"2017-07-05",64.644,64.946,63.87,64.349998,160300,63.957554
"2017-07-06",64.292,64.896,63.437,63.900002,251500,63.5103
"2017-07-07",64.393,64.996,63.638,63.349998,211000,62.96365
"2017-07-10",63.437,63.688,62.884,62.650002,309800,62.267921
"2017-07-11",62.833,63.195,62.833,62.650002,232200,62.267921
"2017-07-12",63.085,63.94,62.984,63.099998,294000,62.715176
"2017-07-13",63.688,64.695,63.537,63.900002,353100,63.5103
"2017-07-14",64.342,64.644,63.588,64.199997,153200,63.808464
"2017-07-17",64.644,65.55,64.292,64.599998,159500,64.206032
"2017-07-18",64.996,65.65,64.544,65.25,116800,64.852066
"2017-07-19",65.701,66.003,64.795,64.900002,114100,64.504204
"2017-07-20",65.248,65.65,64.745,64.5,114600,64.106644
"2017-07-21",64.795,64.996,64.393,64.190002,168700,63.798531
"2017-07-24",64.544,64.896,64.242,64.150002,126700,63.758774
"2017-07-25",64.745,65.147,64.493,64.349998,238300,63.957554
"2017-07-26",64.795,64.946,64.191,64,115900,63.609688
"2017-07-27",64.443,65.147,64.393,64.550003,155200,64.156342
"2017-07-28",64.845,65.047,64.594,64.550003,116100,64.156342
"2017-07-31",65.198,65.349,64.695,64.650002,145100,64.25573
"2017-08-01",65.298,65.852,64.695,65.199997,199500,64.802368
"2017-08-02",65.65,65.65,60.972,62.549999,455900,62.16853
"2017-08-03",63.336,63.336,61.777,62.099998,294800,61.721275
"2017-08-04",62.783,63.236,62.23,62.650002,222600,62.267921
"2017-08-07",63.236,63.739,62.934,62.98,140500,62.595909
"2017-08-08",63.236,63.236,61.223,60.950001,308700,60.578289
"2017-08-09",61.274,61.676,60.67,60.5,218700,60.131035
"2017-08-10",60.771,60.871,60.318,60.049999,172000,59.683777
"2017-08-11",60.117,61.676,59.966,61.200001,202900,60.826763
"2017-08-14",62.028,62.38,61.777,61.549999,112300,61.174629
"2017-08-15",61.777,62.28,61.626,61.439999,89700,61.0653
"2017-08-16",61.877,62.531,61.827,61.75,113800,61.373409
"2017-08-17",62.028,62.28,60.972,60.599998,84100,60.230423
"2017-08-18",60.871,61.072,60.62,60.400002,74500,60.031643
"2017-08-21",60.821,61.374,60.771,60.75,66800,60.379509
"2017-08-22",61.223,61.928,61.223,61.5,62100,61.124935
"2017-08-23",61.626,61.676,60.72,60.5,100400,60.131035
"2017-08-24",61.173,61.777,60.952,60.849998,92200,60.478897
"2017-08-25",61.475,61.475,60.771,60.599998,76100,60.230423
"2017-08-28",61.173,61.324,60.771,60.650002,90100,60.280121
"2017-08-29",60.821,60.922,60.368,60.150002,82700,59.783169
"2017-08-30",60.62,61.626,60.418,61.099998,122700,60.727371
"2017-08-31",61.626,62.431,61.173,62.049999,137700,61.671581
"2017-09-01",62.733,63.034,62.33,62,109100,61.621883
"2017-09-05",62.129,62.23,60.469,60.400002,127000,60.031643
"2017-09-06",60.771,61.525,60.62,61,277400,60.627983
"2017-09-07",61.324,61.425,60.268,60.200001,182900,59.832863
"2017-09-08",60.519,62.079,60.418,61.099998,99300,60.727371
"2017-09-11",61.827,62.28,61.374,61.099998,113700,60.727371
"2017-09-12",61.626,62.179,61.274,61.709999,71600,61.333652
"2017-09-13",62.028,62.481,61.676,62,115000,61.621883
"2017-09-14",62.28,62.38,61.726,62,127200,61.621883
"2017-09-15",62.129,62.28,61.726,61.450001,147700,61.075241
"2017-09-18",61.978,62.179,61.676,61.599998,87200,61.224323
"2017-09-19",61.978,62.028,61.626,61.549999,117400,61.174629
"2017-09-20",61.978,62.833,61.877,62.200001,224900,61.820667
"2017-09-21",62.582,63.286,62.431,62.650002,80200,62.267921
"2017-09-22",62.934,63.688,62.884,63.25,111000,62.864262
"2017-09-25",63.437,64.091,63.276,63.25,107600,62.864262
"2017-09-26",63.638,64.091,63.588,63.25,97900,62.864262
"2017-09-27",64.141,64.292,63.336,63.450001,137800,63.063042
"2017-09-28",63.94,64.594,63.588,64.050003,132800,63.659386
"2017-09-29",63.926,64.327,63.224,63.900002,185500,63.724205
"2017-10-02",63.926,64.899,63.876,63.75,171700,63.574615
"2017-10-03",63.876,64.327,63.525,63.849998,213500,63.674339
"2017-10-04",64.126,64.377,63.876,64,99200,63.823929
"2017-10-05",64.177,65.28,64.177,64.949997,98100,64.771309
"2017-10-06",64.979,65.731,64.929,65.449997,94400,65.269936
"2017-10-09",65.681,66.834,65.631,66.599998,114800,66.416771
"2017-10-10",66.984,67.987,66.132,66.75,148900,66.56636
"2017-10-11",66.984,67.736,66.884,67.199997,152900,67.015121
"2017-10-12",67.235,68.087,67.185,67.349998,146000,67.164711
"2017-10-13",67.887,67.887,67.185,67.349998,98100,67.164711
"2017-10-16",67.736,68.288,67.235,67.599998,181000,67.414024
"2017-10-17",67.586,68.589,66.583,68.300003,271500,68.112099
"2017-10-18",68.539,68.99,68.388,68.199997,234300,68.012375
"2017-10-19",68.137,68.94,67.736,68.449997,177600,68.261681
"2017-10-20",68.839,68.94,67.786,67.949997,124700,67.763062
"2017-10-23",68.188,68.288,67.185,67.25,162800,67.064987
"2017-10-24",67.636,67.887,67.335,67.599998,190000,67.414024
"2017-10-25",67.385,68.137,67.385,67.75,238600,67.563614
"2017-10-26",68.188,70.043,68.037,69.75,331800,69.558113
"2017-10-27",69.993,70.193,69.04,69.900002,136300,69.707695
"2017-10-30",69.842,70.344,69.441,70,159600,69.807419
"2017-10-31",70.193,70.544,69.942,69.75,338500,69.558113
"2017-11-01",70.544,70.795,69.742,69.75,161600,69.558113
"2017-11-02",69.842,70.694,69.642,69.800003,131200,69.607979
"2017-11-03",70.043,70.494,69.792,69.800003,587400,69.607979
"2017-11-06",71.396,74.906,70.745,73.800003,350000,73.59697
"2017-11-07",74.906,76.621,73.101,73.800003,552800,73.59697
"2017-11-08",74.004,74.806,73.602,73.449997,228600,73.247925
"2017-11-09",70.193,73.653,70.193,73.050003,176600,72.849037
"2017-11-10",73.602,74.605,73.051,74.099998,167500,73.896141
"2017-11-13",74.304,74.505,73.903,74.099998,316400,73.896141
"2017-11-14",74.054,74.956,74.054,74.349998,207200,74.145454
"2017-11-15",74.254,74.505,73.803,74.050003,173300,73.846283
