"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",18.899,19.077,18.866,17.17,1436200,15.489788
"2017-01-04",18.988,19.232,18.988,17.190001,1448900,15.50783
"2017-01-05",19.077,19.221,19.01,17.309999,1256300,15.616088
"2017-01-06",19.199,19.221,19.077,17.23,872100,15.543917
"2017-01-09",19.188,19.221,18.944,17.09,1007200,15.417618
"2017-01-10",18.966,19.088,18.844,17.17,1443000,15.489788
"2017-01-11",19.066,19.398,19.032,17.41,2058000,15.706302
"2017-01-12",19.343,19.398,19.177,17.450001,917600,15.742388
"2017-01-13",19.343,19.398,19.221,17.49,899400,15.778473
"2017-01-17",19.398,19.465,19.276,17.4,968900,15.697279
"2017-01-18",19.365,19.476,19.243,17.49,822400,15.778473
"2017-01-19",19.387,19.387,19.221,17.440001,798700,15.733367
"2017-01-20",19.354,19.409,19.299,17.5,489700,15.787496
"2017-01-23",19.454,19.576,19.376,17.629999,924900,15.904773
"2017-01-24",19.576,19.93,19.542,17.790001,1658200,16.049116
"2017-01-25",19.72,19.786,19.598,17.719999,1071700,15.985965
"2017-01-26",19.742,19.864,19.631,17.889999,844300,16.13933
"2017-01-27",19.897,19.953,19.653,17.83,1130300,16.085201
"2017-01-30",19.786,19.819,19.409,17.709999,1848200,15.976943
"2017-01-31",19.653,19.675,19.021,17.629999,2274500,15.904773
"2017-02-01",19.609,19.875,19.576,17.82,1419800,16.076181
"2017-02-02",19.742,19.842,19.675,17.83,974300,16.085201
"2017-02-03",19.831,19.919,19.753,17.870001,946400,16.121286
"2017-02-06",19.853,20.008,19.819,18.01,1263800,16.247589
"2017-02-07",19.941,20.063,19.842,18.02,1071900,16.256609
"2017-02-08",20.008,20.108,19.897,18.139999,984600,16.364866
"2017-02-09",20.108,20.141,20.019,18.110001,904200,16.337801
"2017-02-10",20.074,20.241,20.074,18.209999,869100,16.428013
"2017-02-13",20.219,20.396,20.219,18.280001,1252900,16.491167
"2017-02-14",20.23,20.274,20.019,18.129999,1339900,16.355844
"2017-02-15",20.13,20.196,19.576,17.99,2872100,16.229544
"2017-02-16",20.141,20.74,20.063,18.709999,2574600,16.879086
"2017-02-17",20.728,20.784,20.462,18.700001,1385600,16.870068
"2017-02-21",20.784,20.906,20.64,18.860001,1090200,17.014408
"2017-02-22",20.928,21.272,20.895,19.17,1926800,17.294073
"2017-02-23",21.249,21.394,21.105,19.09,2296100,17.221903
"2017-02-24",21.161,21.26,21.017,19.16,1369100,17.285051
"2017-02-27",21.283,21.427,21.238,19.23,1255100,17.348202
"2017-02-28",21.316,21.427,21.194,19.24,2052500,17.357222
"2017-03-01",21.327,21.416,21.172,19.299999,1486000,17.411352
"2017-03-02",21.416,21.438,21.294,19.290001,906100,17.40233
"2017-03-03",21.394,21.427,21.249,19.32,918900,17.429396
"2017-03-06",21.371,21.371,21.183,19.23,1125300,17.348202
"2017-03-07",21.283,21.438,21.26,19.209999,932700,17.33016
"2017-03-08",21.349,21.36,20.928,18.889999,1749800,17.041473
"2017-03-09",20.895,21.127,20.684,18.709999,1673000,16.879086
"2017-03-10",20.884,21.305,20.884,19.209999,1811100,17.33016
"2017-03-13",21.283,21.46,21.116,19.08,1340800,17.212879
"2017-03-14",21.272,21.416,21.161,19.209999,1428600,17.33016
"2017-03-15",21.382,21.815,21.36,19.59,2407800,17.672974
"2017-03-16",21.781,21.87,21.538,19.49,1539300,17.582758
"2017-03-17",21.671,22.014,21.66,19.83,2703600,17.889486
"2017-03-20",22.003,22.358,22.003,19.9,1673200,17.952637
"2017-03-21",22.059,22.192,21.959,19.92,1629400,17.97068
"2017-03-22",22.125,22.314,22.036,20.059999,1662300,18.096977
"2017-03-23",22.236,22.447,22.181,20.09,1934400,18.124044
"2017-03-24",22.38,22.435,22.203,20.07,1558600,18.106003
"2017-03-27",22.258,22.447,22.214,20.23,1892300,18.250345
"2017-03-28",22.435,22.79,22.435,20.41,2671600,18.412731
"2017-03-29",21.616,21.821,21.583,20.110001,2169700,18.597689
"2017-03-30",21.745,21.832,21.691,20.15,1627100,18.63468
"2017-03-31",21.843,21.918,21.734,20.18,1689400,18.662426
"2017-04-03",21.832,21.897,21.724,20.15,1288300,18.63468
"2017-04-04",21.799,22.135,21.778,20.34,2174700,18.810392
"2017-04-05",22.005,22.08,21.789,20.24,2337100,18.717915
"2017-04-06",21.853,21.918,21.68,20.24,1277600,18.717915
"2017-04-07",21.907,21.994,21.799,20.190001,1310900,18.671673
"2017-04-10",21.832,21.897,21.756,20.209999,1145400,18.690168
"2017-04-11",21.886,22.145,21.789,20.379999,1990700,18.847385
"2017-04-12",22.059,22.167,22.048,20.450001,1521000,18.912121
"2017-04-13",22.135,22.318,22.08,20.58,1240600,19.032345
"2017-04-17",22.308,22.567,22.297,20.83,1950800,19.263544
"2017-04-18",22.545,22.6,22.286,20.690001,1538300,19.134073
"2017-04-19",22.372,22.437,22.135,20.52,1282500,18.976858
"2017-04-20",22.189,22.34,21.94,20.459999,1975100,18.92137
"2017-04-21",22.189,22.318,22.102,20.49,1265000,18.949114
"2017-04-24",22.243,22.362,21.907,20.4,2224500,18.865881
"2017-04-25",22.059,22.21,21.983,20.469999,1717200,18.930616
