"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",17.678,18.653,17.596,15.86,6507600,13.501981
"2017-01-04",18.454,18.841,18.383,16,4272700,13.621167
"2017-01-05",18.712,18.894,18.465,15.86,2547600,13.501981
"2017-01-06",18.583,18.73,18.442,15.89,1911500,13.527521
"2017-01-09",18.606,18.882,18.407,15.69,3421300,13.357256
"2017-01-10",18.454,18.806,18.277,15.84,21806400,13.484955
"2017-01-11",16.297,16.297,15.241,14.44,50508500,13.264491
"2017-01-12",15.796,16.112,15.633,14.42,10733600,13.24612
"2017-01-13",15.894,16.242,15.72,14.63,7838300,13.439025
"2017-01-17",15.861,15.97,15.448,14.25,9162400,13.089959
"2017-01-18",15.448,15.513,15.001,14.1,7107200,12.952169
"2017-01-19",15.273,15.29,15.012,13.92,5362000,12.786822
"2017-01-20",15.143,15.164,14.925,13.82,3618300,12.694963
"2017-01-23",15.056,15.404,14.903,14.12,5053400,12.970541
"2017-01-24",15.458,15.85,15.448,14.5,4840200,13.319607
"2017-01-25",15.785,15.829,15.404,14.22,3688500,13.062402
"2017-01-26",15.415,15.513,15.252,14.12,2841700,12.970541
"2017-01-27",15.393,15.502,15.284,14.14,2440300,12.988914
"2017-01-30",15.241,15.284,15.001,13.85,2403900,12.722523
"2017-01-31",15.012,15.197,14.925,13.92,3573600,12.786822
"2017-02-01",15.067,15.448,15.023,14.14,2434100,12.988914
"2017-02-02",15.393,15.589,15.328,14.2,2818100,13.044029
"2017-02-03",15.567,15.72,15.535,14.34,1753800,13.172633
"2017-02-06",15.567,15.731,15.458,14.45,1966000,13.273678
"2017-02-07",15.731,15.937,15.654,14.59,2851700,13.40228
"2017-02-08",15.796,15.894,15.654,14.56,2045300,13.374724
"2017-02-09",15.85,15.937,15.72,14.48,2444700,13.301235
"2017-02-10",15.741,15.785,15.567,14.5,2692700,13.319607
"2017-02-13",15.731,15.888,15.698,14.5,1894900,13.319607
"2017-02-14",15.698,15.861,15.611,14.39,2051300,13.218562
"2017-02-15",15.578,15.643,15.35,14.35,2778800,13.181819
"2017-02-16",15.556,15.622,15.426,14.23,1490200,13.071588
"2017-02-17",15.469,15.502,15.317,14.14,2798700,12.988914
"2017-02-21",15.35,15.513,15.252,14.23,2095100,13.071588
"2017-02-22",15.48,15.546,15.328,14.27,3375400,13.108332
"2017-02-23",15.513,15.513,15.11,14.22,3680600,13.062402
"2017-02-24",15.48,15.535,15.371,14.27,2929200,13.108332
"2017-02-27",15.437,15.72,15.36,14.44,2589200,13.264491
"2017-02-28",15.72,16.003,15.611,14.68,12176700,13.484955
"2017-03-01",15.328,15.437,14.609,14.16,11645000,13.007286
"2017-03-02",15.252,15.502,14.936,13.75,5259300,12.630663
"2017-03-03",14.892,15.056,14.642,13.82,5838000,12.694963
"2017-03-06",14.936,15.099,14.849,13.86,3130600,12.731707
"2017-03-07",15.099,15.132,14.947,13.74,2948800,12.621477
"2017-03-08",14.969,15.023,14.653,13.47,3178200,12.373456
"2017-03-09",14.664,14.707,13.967,12.98,5255800,11.923345
"2017-03-10",14.13,14.435,14.13,13.11,3086300,12.042762
"2017-03-13",14.261,14.522,14.217,13.16,2205400,12.088693
"2017-03-14",14.261,14.359,14.163,13.13,1361300,12.061133
"2017-03-15",14.315,14.588,14.272,13.28,2628700,12.198923
"2017-03-16",14.446,14.588,14.294,13.13,2356200,12.061133
"2017-03-17",14.294,14.424,14.228,13.1,3966200,12.033576
"2017-03-20",14.239,14.343,14.13,12.99,1927500,11.93253
"2017-03-21",14.152,14.315,14.043,12.9,2787000,11.849857
"2017-03-22",14.043,14.277,13.934,13.06,2610600,11.996832
"2017-03-23",14.217,14.261,14.076,12.93,1976500,11.877416
"2017-03-24",14.141,14.294,14.087,13.02,1698800,11.96009
"2017-03-27",14.054,14.207,14.043,12.95,1678000,11.895787
"2017-03-28",14.011,14.304,14,13.08,2565200,12.015204
"2017-03-29",13.647,13.828,13.615,12.87,1267800,12.071483
"2017-03-30",13.775,13.956,13.764,13,1971200,12.193416
"2017-03-31",13.775,13.903,13.743,12.91,2881700,12.108999
"2017-04-03",13.807,13.935,13.753,12.97,2645900,12.165277
"2017-04-04",13.839,13.977,13.721,13.1,3139100,12.287211
"2017-04-05",13.977,14.213,13.881,13.03,13885800,12.221555
"2017-04-06",13.593,13.647,13.354,12.65,12100000,11.865131
"2017-04-07",13.54,13.625,13.348,12.72,6277400,11.930789
"2017-04-10",13.615,13.764,13.551,12.81,3488300,12.015205
"2017-04-11",13.636,13.764,13.577,12.84,3503300,12.043344
"2017-04-12",13.7,13.828,13.615,12.77,2620700,11.977687
"2017-04-13",13.615,13.775,13.593,12.88,2040200,12.080861
"2017-04-17",13.807,13.999,13.759,13.08,3379900,12.268453
"2017-04-18",13.913,14.02,13.892,13.13,1626200,12.31535
"2017-04-19",13.967,14.158,13.871,13.06,4040600,12.249694
"2017-04-20",13.903,14.073,13.871,13.14,2560200,12.324731
"2017-04-21",13.967,14.02,13.903,13.05,1542300,12.240314
"2017-04-24",14.031,14.031,13.887,13.07,3297600,12.259073
"2017-04-25",13.945,14.041,13.935,13.08,2262900,12.268453
"2017-04-26",13.935,13.977,13.86,13.02,2228700,12.212175
"2017-04-27",13.871,14.041,13.86,13.14,2506500,12.324731
"2017-04-28",13.999,14.031,13.871,13.07,2707700,12.259073
"2017-05-01",13.956,14.116,13.935,13.21,2408100,12.390387
"2017-05-02",14.009,14.094,13.823,13.1,2386900,12.287211
"2017-05-03",13.999,13.999,13.743,12.92,1880400,12.118381
"2017-05-04",13.839,13.839,13.412,12.87,3453000,12.071483
"2017-05-05",13.679,14.031,13.668,13.15,2373800,12.334109
"2017-05-08",13.988,14.009,13.732,13.07,5539500,12.259073
"2017-05-09",13.903,14.073,13.903,13.14,3656600,12.324731
"2017-05-10",13.668,14.158,13.423,12.9,4350200,12.09962
"2017-05-11",13.7,14.031,13.7,13.08,3348600,12.268453
"2017-05-12",13.967,14.084,13.892,13.14,2317900,12.324731
"2017-05-15",14.063,14.35,14.063,13.34,5683500,12.512321
"2017-05-16",14.19,14.345,14.19,13.44,2971400,12.606115
"2017-05-17",14.297,14.393,14.073,13.48,5654500,12.643635
"2017-05-18",14.361,14.51,14.276,13.45,4841900,12.615497
"2017-05-19",14.372,14.457,14.291,13.46,2568600,12.624875
"2017-05-22",14.382,14.66,14.361,13.72,2937800,12.868744
"2017-05-23",14.66,14.777,14.606,13.86,2642700,13.000057
"2017-05-24",14.798,15.022,14.734,14.07,3278000,13.197028
"2017-05-25",15.043,15.177,14.937,14.13,3257600,13.253305
"2017-05-26",15.065,15.097,14.947,14.08,1685900,13.206408
"2017-05-30",15.001,15.033,14.857,14,2179700,13.131371
"2017-05-31",14.926,15.075,14.851,14.13,5827700,13.253305
"2017-06-01",15.054,15.278,15.011,14.28,3979400,13.393999
"2017-06-02",15.267,15.443,15.193,14.39,5206100,13.497174
"2017-06-05",15.353,15.374,15.086,14.16,2630800,13.281444
"2017-06-06",15.182,15.193,14.883,13.98,5313000,13.112612
"2017-06-07",14.926,15.022,14.889,14.03,3259000,13.15951
"2017-06-08",14.958,15.075,14.91,14.11,1885800,13.234546
"2017-06-09",15.033,15.222,14.99,14.19,1922700,13.309583
"2017-06-12",15.086,15.193,15.065,14.2,3298100,13.318962
"2017-06-13",15.15,15.235,15.118,14.25,2226500,13.36586
"2017-06-14",15.118,15.209,15.001,14.17,4267100,13.290824
"2017-06-15",15.033,15.129,14.99,14.19,2209200,13.309583
"2017-06-16",15.182,15.331,15.139,14.38,6026200,13.487794
"2017-06-19",15.342,15.459,15.331,14.5,2233900,13.600348
"2017-06-20",15.385,15.475,15.235,14.37,2772400,13.478415
"2017-06-21",15.331,15.395,15.171,14.33,2604400,13.440896
"2017-06-22",15.289,15.459,15.278,14.49,2928100,13.590969
"2017-06-23",15.48,15.491,15.363,14.5,8189500,13.600348
"2017-06-26",15.512,15.576,15.342,14.41,3023500,13.515932
"2017-06-27",15.395,15.449,15.182,14.25,2295300,13.36586
"2017-06-28",14.633,14.716,14.539,13.98,2763900,13.365859
"2017-06-29",14.643,14.748,14.455,13.97,1709200,13.356299
"2017-06-30",14.706,14.769,14.633,14.09,1822400,13.471028
"2017-07-03",14.737,14.879,14.737,14.2,859100,13.576196
"2017-07-05",14.852,14.988,14.852,14.27,2259300,13.64312
"2017-07-06",14.873,14.926,14.696,14.05,4025100,13.432785
"2017-07-07",14.79,15.051,14.748,14.39,2339400,13.75785
"2017-07-10",15.03,15.103,14.999,14.36,3010700,13.729166
"2017-07-11",15.072,15.198,14.988,14.5,3475100,13.863016
"2017-07-12",15.25,15.292,15.166,14.61,3042300,13.968184
"2017-07-13",15.281,15.323,15.229,14.6,2501600,13.958623
"2017-07-14",15.271,15.355,15.239,14.62,2998800,13.977744
"2017-07-17",15.334,15.396,15.26,14.69,2106900,14.044669
"2017-07-18",15.26,15.396,15.25,14.7,2511100,14.054231
"2017-07-19",15.375,15.407,15.323,14.7,3139300,14.054231
"2017-07-20",15.375,15.407,15.166,14.51,4178400,13.872578
"2017-07-21",15.187,15.271,14.988,14.34,5058600,13.710045
"2017-07-24",15.03,15.239,15.015,14.57,2687400,13.929941
"2017-07-25",15.281,15.396,15.26,14.7,2680100,14.054231
"2017-07-26",15.344,15.417,15.292,14.66,1949600,14.015987
"2017-07-27",15.334,15.386,15.156,14.59,4151100,13.949062
"2017-07-28",15.187,15.344,15.187,14.66,1484800,14.015987
"2017-07-31",15.375,15.386,15.208,14.64,1765900,13.996866
"2017-08-01",15.365,15.386,15.271,14.63,1354400,13.987306
"2017-08-02",15.302,15.396,15.166,14.62,5165500,13.977744
"2017-08-03",15.292,15.386,15.198,14.61,2945700,13.968184
"2017-08-04",15.292,15.292,15.135,14.56,2784500,13.920382
"2017-08-07",15.166,15.313,15.114,14.48,3248600,13.843894
"2017-08-08",15.072,15.281,15.072,14.46,3668600,13.824774
"2017-08-09",15.051,15.062,14.288,13.86,6300700,13.251131
"2017-08-10",14.371,14.382,13.922,13.52,4854900,12.926068
"2017-08-11",13.974,14.319,13.974,13.65,3790400,13.050356
"2017-08-14",14.361,14.361,13.916,13.35,3109600,12.763535
"2017-08-15",13.911,13.932,13.754,13.22,3247800,12.639247
"2017-08-16",13.838,13.963,13.807,13.28,3660900,12.69661
"2017-08-17",13.838,13.942,13.827,13.3,2852900,12.715733
"2017-08-18",13.89,13.917,13.639,13.06,2603800,12.486276
"2017-08-21",13.681,13.733,13.608,13.13,1822900,12.553201
"2017-08-22",13.765,13.765,13.555,12.98,3699500,12.40979
"2017-08-23",13.535,13.66,13.514,13.04,1832000,12.467154
"2017-08-24",13.671,13.702,13.535,12.95,1530000,12.381107
"2017-08-25",13.576,13.597,13.514,12.97,984700,12.400229
"2017-08-28",13.608,13.608,13.446,12.95,1690500,12.381107
"2017-08-29",13.409,13.472,13.315,12.77,2156400,12.209016
"2017-08-30",13.357,13.712,13.357,13,4783000,12.428911
"2017-08-31",13.65,13.859,13.629,13.11,4758100,12.534079
"2017-09-01",13.702,13.911,13.66,13.19,1713700,12.610564
"2017-09-05",13.807,13.869,13.681,13.11,2944700,12.534079
"2017-09-06",13.733,13.775,13.639,13.05,3069100,12.476715
"2017-09-07",13.702,13.702,13.639,13.09,1971300,12.514957
"2017-09-08",13.65,13.807,13.65,13.13,3066700,12.553201
"2017-09-11",13.796,13.885,13.796,13.21,2403200,12.629685
"2017-09-12",13.848,13.869,13.775,13.19,2850700,12.610564
"2017-09-13",13.744,13.765,13.514,12.92,3333100,12.352426
"2017-09-14",13.503,13.603,13.451,12.95,2494700,12.381107
"2017-09-15",13.503,13.576,13.357,12.91,3100300,12.342865
"2017-09-18",13.524,13.587,13.44,12.94,1803900,12.371547
"2017-09-19",13.524,13.618,13.503,12.91,1922100,12.342865
"2017-09-20",13.493,13.587,13.461,12.94,4809900,12.371547
