"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",52.54,53.57,51.38,52.200001,2341500,52.200001
"2017-01-04",52.35,53.12,51.42,52.950001,2817100,52.950001
"2017-01-05",52.73,53.38,52.12,52.639999,2516000,52.639999
"2017-01-06",52.57,52.9,51.43,51.490002,2086800,51.490002
"2017-01-09",50.93,51.18,49.93,50.02,2406600,50.02
"2017-01-10",50.57,50.7,49.6,49.880001,1897500,49.880001
"2017-01-11",50.29,51.27,49.56,51.169998,2715500,51.169998
"2017-01-12",51.8,52.01,50.56,51.369999,2642000,51.369999
"2017-01-13",50.77,51.85,50.59,51.400002,1848700,51.400002
"2017-01-17",51.77,52.36,51,51.360001,2255200,51.360001
"2017-01-18",50.69,52.05,50.36,51.439999,1401700,51.439999
"2017-01-19",51.52,51.96,50.73,50.91,1814300,50.91
"2017-01-20",51.53,52.42,51.25,51.610001,1439900,51.610001
"2017-01-23",50.96,51.75,50.56,50.790001,1702700,50.790001
"2017-01-24",51.28,52.39,51.08,52.049999,2086200,52.049999
"2017-01-25",52.08,53.19,52.08,52.139999,1550600,52.139999
"2017-01-26",52,53.38,51.77,51.939999,4065700,51.939999
"2017-01-27",51.55,51.98,49.83,49.889999,2490700,49.889999
"2017-01-30",49.42,49.48,46.78,47.990002,4184900,47.990002
"2017-01-31",48.47,48.58,47.25,48.560001,2025700,48.560001
"2017-02-01",49.25,49.36,47.57,48.380001,2128800,48.380001
"2017-02-02",48.44,48.44,47.61,48.299999,2952100,48.299999
"2017-02-03",48.3,48.99,47.87,47.959999,2495600,47.959999
"2017-02-06",48.17,48.17,46.41,46.619999,2455000,46.619999
"2017-02-07",45.98,46.3,44.65,45.119999,3375200,45.119999
"2017-02-08",44.43,45.45,43.66,44.490002,3876900,44.490002
"2017-02-09",45.24,46.05,45.01,45.779999,2295500,45.779999
"2017-02-10",46.92,47.22,46.33,46.52,2501500,46.52
"2017-02-13",46.28,46.8,45.92,46.43,1637700,46.43
"2017-02-14",46.68,47.19,46.11,46.970001,1930600,46.970001
"2017-02-15",46.63,47.13,45.83,46.32,1724100,46.32
"2017-02-16",46.5,46.6,45.65,46.009998,2286300,46.009998
"2017-02-17",45.54,46.28,45.5,45.970001,1167200,45.970001
"2017-02-21",46.76,47.75,46.53,47.18,2640800,47.18
"2017-02-22",46.68,46.91,45.49,45.540001,2456600,45.540001
"2017-02-23",46.99,48.29,45.22,46.220001,4775800,46.220001
"2017-02-24",45.6,46,44.47,44.639999,2970100,44.639999
"2017-02-27",44.95,45.85,44.54,45.389999,2600100,45.389999
"2017-02-28",44.91,45.65,44.8,45.200001,2612400,45.200001
"2017-03-01",45.94,46.62,45.61,46.290001,3368200,46.290001
"2017-03-02",45.68,46.1,45.13,45.290001,2380300,45.290001
"2017-03-03",45.43,46.2,45.21,45.73,1510100,45.73
"2017-03-06",45.5,45.97,45.24,45.82,1989600,45.82
"2017-03-07",46.16,46.69,45.87,45.959999,2191400,45.959999
"2017-03-08",45.5,45.75,43.16,43.220001,3562500,43.220001
"2017-03-09",42.8,43.99,42.15,43.950001,3777700,43.950001
"2017-03-10",44.2,44.41,43.41,43.990002,3157000,43.990002
"2017-03-13",43.8,44.73,43.68,44.669998,2349700,44.669998
"2017-03-14",43.65,43.71,41.28,42.990002,5383700,42.990002
"2017-03-15",43.44,44.76,43.1,44.73,3269300,44.73
"2017-03-16",44.91,44.96,44.16,44.560001,1868400,44.560001
"2017-03-17",44.73,45.96,44.72,44.84,3076700,44.84
"2017-03-20",44.33,45.13,43.76,45,2833300,45
"2017-03-21",45.28,45.46,43.87,43.970001,2567100,43.970001
"2017-03-22",43.51,44.22,42.57,42.790001,3463200,42.790001
"2017-03-23",42.5,42.78,42.11,42.150002,4356000,42.150002
"2017-03-24",42.37,43.11,42.19,42.509998,2356900,42.509998
"2017-03-27",41.8,42.89,41.37,42.639999,2863100,42.639999
"2017-03-28",42.91,44.06,42.7,43.389999,2845300,43.389999
"2017-03-29",43.62,45.31,43.4,44.759998,2371300,44.759998
"2017-03-30",45.25,45.6,44.4,44.619999,2464700,44.619999
"2017-03-31",44.54,45.53,44.47,45.419998,2703800,45.419998
"2017-04-03",45.36,45.77,44.62,45.560001,2014000,45.560001
"2017-04-04",45.7,46.22,45.12,46.200001,2564900,46.200001
"2017-04-05",46.86,47.87,45.6,45.889999,4336500,45.889999
"2017-04-06",46.34,46.9,45.93,46.259998,1984500,46.259998
"2017-04-07",46.34,46.64,45.86,46.009998,1401900,46.009998
"2017-04-10",46.44,47,46.19,46.75,1596200,46.75
"2017-04-11",46.73,47.1,45.86,46.959999,1882900,46.959999
"2017-04-12",46.95,47.48,45.69,45.84,2415700,45.84
"2017-04-13",45.99,46.27,44.86,44.970001,2837900,44.970001
"2017-04-17",44.96,45.33,44.6,45.16,1594700,45.16
"2017-04-18",44.62,45.58,44.43,44.630001,1589000,44.630001
"2017-04-19",44.62,45.01,43.12,43.259998,2784700,43.259998
"2017-04-20",43.53,44.2,43.22,43.240002,2212900,43.240002
"2017-04-21",43,43.45,42.82,43.209999,3705600,43.209999
