"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",25.684,25.705,25.403,24.59,2246400,23.66713
"2017-01-04",25.663,26.1,25.663,24.809999,3758700,23.878874
"2017-01-05",25.757,25.975,25.59,24.809999,3079600,23.878874
"2017-01-06",25.767,26.442,25.757,25.360001,3202300,24.408232
"2017-01-09",26.401,26.442,25.85,24.879999,2497700,23.946243
"2017-01-10",25.829,26.058,25.705,24.950001,2923500,24.013618
"2017-01-11",25.892,26.453,25.892,25.42,2703000,24.465979
"2017-01-12",26.401,26.463,26.151,25.33,2354600,24.379356
"2017-01-13",26.255,26.453,26.235,25.42,3594300,24.465979
"2017-01-17",26.474,26.754,26.38,25.49,2603500,24.533352
"2017-01-18",26.432,26.816,26.411,25.68,2759300,24.716223
"2017-01-19",26.598,26.64,26.297,25.440001,2460600,24.485229
"2017-01-20",26.484,26.598,26.37,25.6,2922900,24.639223
"2017-01-23",26.609,26.671,26.318,25.440001,1844800,24.485229
"2017-01-24",26.505,26.775,26.37,25.620001,3809500,24.658476
"2017-01-25",26.557,27.076,26.546,25.950001,4044700,24.976089
"2017-01-26",26.983,27.066,26.744,25.99,3078700,25.014587
"2017-01-27",27.014,27.076,26.868,26.059999,3104600,25.081961
"2017-01-30",27.076,27.076,26.588,25.83,2448500,24.86059
"2017-01-31",26.879,27.253,26.775,26.209999,4814200,25.22633
"2017-02-01",27.107,27.274,26.796,25.93,3624700,24.956839
"2017-02-02",26.92,27.232,26.785,26.190001,3369700,25.207083
"2017-02-03",27.274,27.388,27.201,26.299999,2056700,25.312952
"2017-02-06",27.419,27.461,27.045,26.09,2696900,25.110834
"2017-02-07",27.128,27.242,27.097,26.17,1937500,25.187832
"2017-02-08",27.118,27.481,27.055,26.42,2140600,25.428448
"2017-02-09",27.409,27.606,27.336,26.469999,2441500,25.47657
"2017-02-10",27.492,27.627,27.44,26.49,2013400,25.495821
"2017-02-13",27.513,27.731,27.492,26.67,4105900,25.669067
"2017-02-14",27.072,27.226,26.64,26.049999,2620400,25.326838
"2017-02-15",26.598,26.845,26.496,26.07,4074200,25.346281
"2017-02-16",26.784,27.144,26.753,26.370001,1927700,25.637955
"2017-02-17",27.164,27.277,26.938,26.51,2342200,25.774069
"2017-02-21",27.226,27.462,27.144,26.610001,2217200,25.871292
"2017-02-22",27.36,27.411,27.164,26.57,2071200,25.832403
"2017-02-23",27.442,27.75,27.401,26.84,3625800,26.094908
"2017-02-24",27.627,27.792,27.504,27.02,2578200,26.269911
"2017-02-27",27.761,27.802,27.534,26.790001,3093900,26.046295
"2017-02-28",26.65,28.213,26.238,27.32,4792700,26.561583
"2017-03-01",27.966,28.645,27.822,27.700001,3461700,26.931034
"2017-03-02",28.347,28.758,28.326,27.77,2950100,26.99909
"2017-03-03",28.583,28.717,28.378,27.9,3263100,27.125483
"2017-03-06",28.697,28.769,28.542,27.959999,2489000,27.183813
"2017-03-07",28.799,28.882,28.583,28,3184600,27.222704
"2017-03-08",28.625,28.645,28.152,27.440001,2920100,26.678251
"2017-03-09",28.234,28.439,28.08,27.370001,2603500,26.610195
"2017-03-10",28.285,28.532,28.224,27.709999,3190200,26.940754
"2017-03-13",28.481,28.573,28.337,27.610001,2364900,26.843533
"2017-03-14",28.337,28.388,28.131,27.5,2635200,26.736588
"2017-03-15",28.46,28.985,28.388,28.09,2624300,27.310205
"2017-03-16",28.542,28.769,28.244,27.59,4063900,26.824085
"2017-03-17",28.419,28.614,28.367,27.68,6295600,26.911589
"2017-03-20",28.553,28.614,28.203,27.450001,2933000,26.687975
"2017-03-21",28.234,28.583,28.234,27.58,6466000,26.814365
"2017-03-22",28.511,28.748,28.295,27.879999,4599500,27.106035
"2017-03-23",28.707,28.892,28.45,27.75,2982300,26.979645
"2017-03-24",28.594,28.707,28.491,27.870001,2125700,27.096315
"2017-03-27",28.738,28.841,28.378,27.690001,2004000,26.92131
"2017-03-28",28.439,28.511,28.244,27.690001,2801400,26.92131
"2017-03-29",28.511,28.799,28.367,27.85,3482600,27.07687
"2017-03-30",28.583,28.645,28.162,27.51,2028000,26.746307
"2017-03-31",28.244,28.542,28.224,27.57,2643800,26.804642
"2017-04-03",28.337,28.347,28.08,27.549999,2247700,26.785194
"2017-04-04",28.326,28.614,28.275,27.77,2132100,26.99909
"2017-04-05",28.553,28.707,28.46,27.84,2323900,27.067146
"2017-04-06",28.563,28.727,28.439,27.9,2909800,27.125483
"2017-04-07",28.758,28.974,28.625,27.9,5284900,27.125483
"2017-04-10",28.686,28.871,28.522,28,2995100,27.222704
"2017-04-11",28.769,28.799,28.553,27.91,2883200,27.135204
"2017-04-12",28.727,28.923,28.532,28.040001,2092200,27.261595
"2017-04-13",28.81,28.995,28.666,27.940001,1960000,27.164373
"2017-04-17",28.779,29.046,28.738,28.24,1895500,27.456043
"2017-04-18",29.067,29.273,29.036,28.299999,3478500,27.514378
"2017-04-19",29.149,29.211,28.676,27.969999,2106800,27.193537
