"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",27.79,28.075,27.64,27.860001,635900,27.860001
"2017-01-04",27.9,28.425,27.765,28.23,911900,28.23
"2017-01-05",28.215,28.455,27.955,28.200001,450800,28.200001
"2017-01-06",28.13,28.43,28.085,28.34,626200,28.34
"2017-01-09",28.34,28.455,28.225,28.264999,826900,28.264999
"2017-01-10",28.225,28.565,28.13,28.355,624600,28.355
"2017-01-11",28.495,28.69,28.28,28.655001,366500,28.655001
"2017-01-12",28.49,28.535,27.92,28.42,568200,28.42
"2017-01-13",28.525,28.79,28.465,28.700001,268700,28.700001
"2017-01-17",28.63,28.63,28.21,28.275,321600,28.275
"2017-01-18",28.28,28.35,28.11,28.33,1051800,28.33
"2017-01-19",28.335,28.485,28.17,28.26,318800,28.26
"2017-01-20",28.335,28.5,28.185,28.475,386300,28.475
"2017-01-23",28.425,28.54,28.095,28.190001,454500,28.190001
"2017-01-24",28.21,28.705,28.175,28.690001,485300,28.690001
"2017-01-25",28.73,28.985,28.705,28.805,397000,28.805
"2017-01-26",28.84,28.97,28.49,28.535,355200,28.535
"2017-01-27",28.63,28.84,28.415,28.51,283800,28.51
"2017-01-30",28.59,28.75,28.035,28.465,476100,28.465
"2017-01-31",28.465,28.525,28.085,28.370001,518800,28.370001
"2017-02-01",28.525,28.87,27.835,27.98,593400,27.98
"2017-02-02",28.005,28.16,27.74,27.83,590900,27.83
"2017-02-03",27.91,28.3,27.91,28.264999,335600,28.264999
"2017-02-06",28.295,28.545,28.15,28.26,270800,28.26
"2017-02-07",28.365,28.45,28.045,28.415001,547100,28.415001
"2017-02-08",28.415,28.63,28.175,28.594999,489800,28.594999
"2017-02-09",28.605,28.93,28.53,28.91,422000,28.91
"2017-02-10",28.935,29.11,28.83,29.084999,359300,29.084999
"2017-02-13",29.1,29.42,29.1,29.35,399700,29.35
"2017-02-14",29.24,29.42,29.205,29.299999,312400,29.299999
"2017-02-15",29.265,29.7,29.21,29.639999,498200,29.639999
"2017-02-16",29.665,29.93,29.57,29.915001,482100,29.915001
"2017-02-17",29.77,29.79,29.38,29.504999,894100,29.504999
"2017-02-21",29.595,30.28,29.53,30.15,1001100,30.15
"2017-02-22",29.25,29.735,28.44,29.225,1337500,29.225
"2017-02-23",29.05,30.155,28.83,29.700001,1276600,29.700001
"2017-02-24",29.695,29.78,29.41,29.495001,440400,29.495001
"2017-02-27",29.5,29.775,29.425,29.76,495600,29.76
"2017-02-28",29.575,29.97,29.4,29.57,589500,29.57
"2017-03-01",29.83,30.03,29.67,30.004999,852000,30.004999
"2017-03-02",29.905,30.24,29.845,30.059999,543800,30.059999
"2017-03-03",30.02,30.37,29.585,30.245001,451800,30.245001
"2017-03-06",30.225,30.34,29.98,30.32,573300,30.32
"2017-03-07",30.36,30.42,30.16,30.315001,389100,30.315001
"2017-03-08",30.385,30.52,30.215,30.285,637800,30.285
"2017-03-09",30.345,30.345,29.99,30.225,359600,30.225
"2017-03-10",30.305,30.415,30.1,30.280001,433500,30.280001
"2017-03-13",30.25,30.44,30.225,30.295,260400,30.295
"2017-03-14",30.19,30.31,29.855,30.205,231100,30.205
"2017-03-15",30.315,30.565,30.22,30.540001,341000,30.540001
"2017-03-16",30.59,30.805,30.44,30.635,290200,30.635
