"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",76.7,76.78,75.25,76.529999,402100,76.529999
"2017-01-04",77.34,79.67,77.31,79.32,752300,79.32
"2017-01-05",79.32,81,78.62,80.559998,883500,80.559998
"2017-01-06",80.28,81.02,80.17,80.830002,443800,80.830002
"2017-01-09",81.03,81.34,80.21,80.599998,357100,80.599998
"2017-01-10",81,82.89,81,81.300003,357100,81.300003
"2017-01-11",81.15,81.15,79.44,80,421200,80
"2017-01-12",79.74,80.75,78.84,80.739998,490600,80.739998
"2017-01-13",80.93,81.46,80.3,80.540001,289000,80.540001
"2017-01-17",79.95,80.07,78.6,79.790001,514100,79.790001
"2017-01-18",80.05,80.42,79.08,80.019997,425700,80.019997
"2017-01-19",79.85,80.19,78.51,80.07,382200,80.07
"2017-01-20",79.89,80.2,79.25,79.860001,440500,79.860001
"2017-01-23",79.63,80.1,78.98,79.419998,460700,79.419998
"2017-01-24",79.65,79.65,78.25,79.279999,218400,79.279999
"2017-01-25",79.74,79.95,79.14,79.860001,1011900,79.860001
"2017-01-26",79.87,79.94,78.82,78.839996,326800,78.839996
"2017-01-27",78.77,79.33,78.7,79.050003,400400,79.050003
"2017-01-30",78,78.98,77.61,78.379997,292100,78.379997
"2017-01-31",77.93,80.99,77.66,80.800003,287200,80.800003
"2017-02-01",80.78,82.03,80.21,81.919998,420100,81.919998
"2017-02-02",81.31,82,80.74,81.860001,288300,81.860001
"2017-02-03",82.05,82.67,81.33,82.43,228500,82.43
"2017-02-06",82.2,82.47,81.36,81.989998,171300,81.989998
"2017-02-07",82.39,82.61,81.46,82.580002,289500,82.580002
"2017-02-08",82.3,82.95,81.56,82.489998,368000,82.489998
"2017-02-09",82.69,83.71,82.39,83.599998,339500,83.599998
"2017-02-10",84,84,82.92,83.339996,403200,83.339996
"2017-02-13",83.33,83.79,81.81,82.470001,772700,82.470001
"2017-02-14",86.49,89.59,85,88.949997,1207000,88.949997
"2017-02-15",88.99,89.44,87.74,88.720001,625800,88.720001
"2017-02-16",88.32,88.6,87.43,88.410004,471800,88.410004
"2017-02-17",88.25,89.12,87.82,88.5,273600,88.5
