"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",112.442,113.77,110.19,109.260002,302300,107.732773
"2017-01-04",111.083,113.152,111.083,110.739998,344400,109.192085
"2017-01-05",112.361,112.361,110.312,109.599998,366100,108.068024
"2017-01-06",111.133,111.701,110.697,109.400002,294900,107.870819
"2017-01-09",111.002,111.002,109.217,108.199997,302200,106.687592
"2017-01-10",109.815,110.069,108.628,108.220001,463300,106.707314
"2017-01-11",110.211,110.211,109.095,108.18,441100,106.66787
"2017-01-12",109.338,110.484,108.994,108.769997,311300,107.249619
"2017-01-13",111.042,112.361,110.018,109.199997,342800,107.673607
"2017-01-17",112.3,112.908,109.531,108.389999,335600,106.874931
"2017-01-18",109.845,110.292,108.862,107.790001,351600,106.283325
"2017-01-19",109.45,110.069,108.415,107.5,300600,105.997383
"2017-01-20",109.734,111.103,108.314,107.489998,285500,105.987518
"2017-01-23",108.507,109.43,107.827,107.269997,228000,105.770584
"2017-01-24",108.973,110.332,108.476,108.309998,430000,106.796059
"2017-01-25",110.525,113.496,110.525,111.540001,462200,109.980911
"2017-01-26",113.07,113.902,112.705,112.029999,428400,110.464058
"2017-01-27",113.801,114.064,112.797,111.809998,343400,110.247131
"2017-01-30",112.523,112.878,111.924,110.730003,292600,109.182236
"2017-01-31",112.269,112.594,110.18,109.110001,501700,107.584877
"2017-02-01",110.677,111.742,110.545,109.730003,365300,108.196205
"2017-02-02",110.768,111.154,108.598,107.75,463700,106.243881
"2017-02-03",109.683,110.778,109.592,109.169998,343300,107.644035
"2017-02-06",110.16,111.042,109.531,108.239998,304000,106.727028
"2017-02-07",109.795,110.758,108.791,107.589996,254500,106.086105
"2017-02-08",109.379,110.109,108.568,107.730003,319200,106.224167
"2017-02-09",109.916,110.109,109.176,108.57,475800,107.052422
"2017-02-10",109.927,110.028,103.03,105.160004,1615200,103.690094
"2017-02-13",106.367,107.807,106.123,105.599998,654600,104.123932
"2017-02-14",106.58,106.874,105.596,104.940002,319600,103.473167
"2017-02-15",105.719,106.487,104.819,105.029999,350500,103.908463
"2017-02-16",106.325,106.79,105.456,105.650002,355800,104.521843
"2017-02-17",106.679,107.225,105.982,105.870003,392700,104.739494
"2017-02-21",107.013,107.882,106.275,105.580002,316500,104.452591
"2017-02-22",106.366,107.235,106.224,105.669998,515900,104.541626
"2017-02-23",107.053,107.377,105.143,105.650002,653400,104.521843
"2017-02-24",105.294,106.952,104.678,104.580002,554100,103.463264
"2017-02-27",105.759,106.669,105.587,104.879997,399100,103.760056
"2017-02-28",105.032,106.012,104.172,103.300003,701200,102.196938
"2017-03-01",105.517,107.154,105.082,105.239998,609600,104.116226
"2017-03-02",106.416,106.851,104.789,103.980003,645900,102.869675
"2017-03-03",105.254,107.366,105.254,105.949997,674300,104.818634
"2017-03-06",106.619,107.083,106.154,105.400002,362600,104.274513
"2017-03-07",106.042,106.982,105.466,104.489998,340200,103.374229
"2017-03-08",105.557,106.042,104.89,104.379997,396600,103.265396
"2017-03-09",105.112,106.184,104.86,104.980003,837500,103.859001
"2017-03-10",106.497,107.902,106.487,106.629997,648900,105.491371
"2017-03-13",107.74,108.579,107.286,107.239998,518700,106.094856
"2017-03-14",107.225,108.741,106.507,107.449997,464500,106.30262
"2017-03-15",108.953,109.408,107.862,108,492900,106.846748
"2017-03-16",109.226,109.61,108.569,108.019997,213900,106.866531
"2017-03-17",109.034,109.853,108.984,108.419998,659100,107.262268
"2017-03-20",109.671,109.671,108.337,107.790001,441300,106.638992
"2017-03-21",109.61,109.61,107.023,106.599998,367400,105.461693
"2017-03-22",107.74,108.357,107.326,106.900002,320700,105.758499
"2017-03-23",108.034,109.135,107.71,107.269997,206800,106.124542
"2017-03-24",108.377,109.044,107.094,106.480003,323600,105.342979
"2017-03-27",106.386,107.235,106.194,105.730003,337100,104.60099
"2017-03-28",106.376,107.559,106.164,106.089996,370200,104.957138
"2017-03-29",107.154,107.488,106.305,105.959999,362400,104.828529
"2017-03-30",106.891,107.71,106.437,106.400002,395800,105.263832
"2017-03-31",107.225,108.205,107.225,106.410004,301900,105.273727
"2017-04-03",107.73,108.145,105.213,104.849998,446100,103.730385
"2017-04-04",105.992,106.113,105.203,104.360001,382900,103.245613
"2017-04-05",105.921,106.032,104.455,103.43,492600,102.325546
"2017-04-06",104.991,105.759,103.95,104.239998,389200,103.1269
"2017-04-07",104.961,105.598,104.637,103.919998,232800,102.810318
"2017-04-10",105.052,105.729,104.506,103.599998,487800,102.493729
"2017-04-11",104.617,106.821,103.849,105.639999,764000,104.51194
"2017-04-12",106.517,106.72,105.79,104.779999,383500,103.661133
"2017-04-13",105.567,106.912,103.94,102.860001,402100,101.761635
"2017-04-17",104.546,105.456,104.132,104.040001,350600,102.929031
"2017-04-18",105.203,105.729,104.385,103.650002,372700,102.543198
"2017-04-19",105.406,105.749,104.718,104.510002,374000,103.394012
"2017-04-20",106.012,108.195,105.648,106.860001,448300,105.718925
"2017-04-21",108.135,108.832,106.942,107.440002,491900,106.292732
"2017-04-24",109.964,110.358,108.387,107.839996,497200,106.688461
"2017-04-25",109.823,110.975,109.287,109.580002,509700,108.409874
"2017-04-26",110.672,111.117,109.701,109.209999,308800,108.043823
"2017-04-27",110.51,110.945,109.519,108.540001,556100,107.380981
"2017-04-28",104.112,107.417,101.868,101.389999,1840900,100.307335
"2017-05-01",102.414,103.182,101.231,100.980003,1054500,99.901711
"2017-05-02",101.827,102.08,100.119,100.610001,1037000,99.53566
"2017-05-03",100.847,102.201,100.079,100.779999,659300,99.703842
"2017-05-04",101.706,103.869,101.706,102.019997,971300,100.930603
"2017-05-05",103.606,104.678,103.313,103.550003,572800,102.444275
"2017-05-08",104.324,106.376,104.324,103.650002,930200,102.543198
"2017-05-09",104.91,104.941,103.222,102.389999,639000,101.296646
"2017-05-10",102.628,104.018,102.346,102.019997,788200,101.276794
"2017-05-11",102.849,104.38,101.52,102.800003,634600,102.051117
"2017-05-12",103.685,103.746,102.235,102.349998,707900,101.604401
"2017-05-15",103.413,104.592,103.061,103.050003,563900,102.299301
"2017-05-16",104.34,104.34,102.9,102.220001,606200,101.475342
"2017-05-17",102.97,102.97,99.575,100.120003,780000,99.39064
"2017-05-18",100.553,101.278,100.129,99.629997,524400,98.904213
"2017-05-19",100.542,101.62,100.321,100.410004,547400,99.678528
"2017-05-22",101.217,101.429,100.391,100.410004,717500,99.678528
"2017-05-23",101.217,101.268,100.714,100.050003,525700,99.321159
"2017-05-24",101.016,101.872,100.824,100.68,616200,99.946556
"2017-05-25",101.751,102.325,101.137,101.300003,344900,100.56205
"2017-05-26",101.64,102.98,101.64,102.059998,551200,101.316513
"2017-05-30",102.607,103.393,102.426,101.860001,546400,101.117966
"2017-05-31",102.194,102.829,101.479,101.330002,773200,100.591827
"2017-06-01",102.466,103.111,101.973,101.82,1079400,101.078255
"2017-06-02",102.235,102.466,100.613,100.470001,1130900,99.738091
"2017-06-05",101.086,102.738,100.986,100.839996,631200,100.105392
"2017-06-06",101.227,101.298,100.311,99.639999,576100,98.914139
"2017-06-07",100.301,100.542,98.981,98.309998,779600,97.593826
"2017-06-08",99.122,100.804,98.437,98.910004,460800,98.189461
"2017-06-09",99.606,99.968,98.82,98.839996,529900,98.119957
"2017-06-12",99.878,100.835,99.596,99.730003,689100,99.003487
"2017-06-13",100.804,100.804,99.726,99.269997,335000,98.546829
"2017-06-14",99.424,99.424,96.443,96.139999,1389100,95.439636
"2017-06-15",96.11,97.309,96.11,95.589996,843600,94.893639
"2017-06-16",95.758,96.694,95.294,95.879997,1525100,95.181526
"2017-06-19",97.138,97.631,96.866,96.650002,897200,95.945923
"2017-06-20",96.946,97.148,96.271,95.620003,524200,94.923424
"2017-06-21",96.624,96.624,94.891,94.910004,547400,94.218597
"2017-06-22",95.415,95.596,94.458,93.889999,585500,93.206024
"2017-06-23",94.337,94.942,94.337,94.160004,941800,93.474068
"2017-06-26",95.032,96.704,94.841,95.099998,800300,94.407211
"2017-06-27",95.929,96.06,94.156,93.5,456100,92.818863
"2017-06-28",94.851,95.999,94.408,94.860001,649700,94.168961
"2017-06-29",95.486,95.707,94.307,94.080002,596600,93.394646
"2017-06-30",95.294,96.453,95.254,95.400002,736800,94.705032
"2017-07-03",96.604,98.346,96.382,96.980003,352200,96.273521
"2017-07-05",97.379,97.913,96.594,97.139999,417500,96.432343
"2017-07-06",97.4,97.813,96.443,95.830002,407100,95.131897
"2017-07-07",96.694,97.168,96.342,96.419998,200800,95.717598
"2017-07-10",96.825,97.369,96.513,96.290001,359800,95.588539
"2017-07-11",96.745,97.238,96.362,96.349998,368600,95.648102
"2017-07-12",97.903,99.041,97.551,97.93,531100,97.216599
"2017-07-13",98.639,99.042,97.45,97.730003,381600,97.018051
"2017-07-14",98.578,99.364,98.034,97.690002,283900,96.978348
"2017-07-17",98.598,99.172,97.712,98.25,209500,97.534264
"2017-07-18",98.89,98.921,98.266,98.029999,263400,97.315865
"2017-07-19",98.991,100.411,98.991,99.660004,736100,98.933998
"2017-07-20",99.978,101.117,99.978,99.709999,440000,98.983627
"2017-07-21",100.19,101.217,99.606,100.089996,372300,99.360863
"2017-07-24",101.006,101.308,99.747,99.82,636200,99.092819
"2017-07-25",100.966,101.731,100.371,100.089996,754100,99.360863
"2017-07-26",99.676,100.512,96.009,97.260002,1694400,96.551483
"2017-07-27",97.923,98.558,97.218,97.239998,683300,96.531624
"2017-07-28",97.873,98.931,97.853,97.82,478200,97.107399
"2017-07-31",98.9,98.9,98.115,97.589996,667100,96.879066
"2017-08-01",98.447,98.82,97.742,97.989998,457700,97.276154
"2017-08-02",98.81,99.303,98.346,98.389999,284400,97.673248
"2017-08-03",98.961,99.434,98.215,97.760002,347500,97.047836
"2017-08-04",98.77,99.273,98.246,98.370003,266200,97.653397
"2017-08-07",98.991,99.817,98.467,98.580002,271900,97.861862
"2017-08-08",99.052,99.626,98.81,98.629997,418500,97.911491
