"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",28.061,28.113,27.477,26.620001,1427600,25.509239
"2017-01-04",27.946,28.228,27.852,27.01,1476300,25.882965
"2017-01-05",27.957,28.447,27.664,27.24,1063900,26.103369
"2017-01-06",28.301,28.624,28.113,27.35,1045800,26.208776
"2017-01-09",28.677,28.687,28.332,27.280001,1265000,26.141699
"2017-01-10",28.405,28.593,28.228,27.07,1684100,25.94046
"2017-01-11",28.176,28.27,27.633,26.5,2295100,25.394245
"2017-01-12",27.654,27.748,27.08,26.200001,1503100,25.106766
"2017-01-13",27.268,27.445,26.673,25.559999,1693900,24.493467
"2017-01-17",26.715,26.944,26.642,25.67,2069100,24.598879
"2017-01-18",26.683,26.996,26.663,25.870001,1706200,24.790535
"2017-01-19",26.694,26.871,26.537,25.620001,1384600,24.550964
"2017-01-20",26.485,26.923,26.13,25.74,1962400,24.665958
"2017-01-23",26.923,27.456,26.903,26.299999,1343300,25.202589
"2017-01-24",27.372,27.654,27.32,26.43,1658800,25.327166
"2017-01-25",27.675,27.737,26.809,25.74,1921300,24.665958
"2017-01-26",26.923,27.122,26.506,25.639999,1714300,24.570129
"2017-01-27",26.84,26.892,26.37,25.34,1155900,24.282646
"2017-01-30",26.412,26.527,26.141,25.139999,958200,24.090994
"2017-01-31",26.193,26.61,26.162,25.129999,1011900,24.081411
"2017-02-01",26.214,26.443,26.183,25.120001,1378600,24.071829
"2017-02-02",26.256,26.579,26.235,25.219999,1084800,24.167654
"2017-02-03",26.569,26.61,26.235,25.42,1048900,24.35931
"2017-02-06",26.6,26.6,26.162,25.299999,998100,24.244316
"2017-02-07",26.454,26.663,26.412,25.530001,837300,24.464722
"2017-02-08",26.631,27.049,26.621,25.879999,857400,24.800116
"2017-02-09",27.059,27.09,26.756,25.809999,626300,24.733038
"2017-02-10",26.85,27.341,26.85,26.120001,749900,25.030102
"2017-02-13",27.466,27.518,27.038,26,1477700,24.91511
"2017-02-14",27.132,27.132,26.36,25.35,1855400,24.292231
"2017-02-15",26.224,26.569,26.005,25.32,3863900,24.263483
"2017-02-16",26.579,27.049,26.464,25.77,2402000,24.694706
"2017-02-17",27.08,28.29,26.663,27.030001,2346400,25.90213
"2017-02-21",28.364,28.405,27.602,26.940001,2377600,25.815884
"2017-02-22",28.207,28.604,27.883,26.799999,2288000,25.681728
"2017-02-23",28.165,28.322,27.664,27.120001,1605700,25.988375
"2017-02-24",28.395,28.541,28.144,27.32,1832600,26.180029
"2017-02-27",28.572,28.656,28.343,27.379999,1283300,26.237526
"2017-02-28",28.583,28.677,28.332,27.25,1343400,26.112951
"2017-03-01",28.301,28.457,28.155,27.25,1524200,26.112951
"2017-03-02",28.228,28.572,28.217,27.200001,926100,26.065037
"2017-03-03",28.322,28.364,27.957,27.18,1100900,26.04587
"2017-03-06",28.249,28.499,27.998,27.25,1539100,26.112951
"2017-03-07",28.364,28.51,28.238,27.24,951800,26.103369
"2017-03-08",28.437,28.499,27.998,26.83,1436700,25.710476
"2017-03-09",27.967,28.217,27.33,26.360001,1489200,25.260086
"2017-03-10",27.696,27.852,26.965,25.860001,928000,24.780949
"2017-03-13",26.965,27.132,26.809,25.799999,1162100,24.723454
"2017-03-14",26.923,27.143,26.798,25.889999,965900,24.809698
"2017-03-15",27.049,27.55,26.923,26.309999,1302800,25.212172
"2017-03-16",27.456,27.602,27.268,26.139999,1202700,25.049265
"2017-03-17",27.31,27.748,27.268,26.389999,1242100,25.288836
"2017-03-20",27.591,27.654,27.383,26.43,497800,25.327166
"2017-03-21",27.696,27.769,27.403,26.530001,1419400,25.422993
"2017-03-22",27.8,27.925,27.33,26.66,1561600,25.547569
"2017-03-23",27.831,28.082,27.737,26.700001,986100,25.585897
"2017-03-24",27.842,27.957,27.591,26.5,1260000,25.394245
"2017-03-27",27.55,27.737,27.059,26,1903200,24.91511
"2017-03-28",27.174,27.236,26.83,26.1,779700,25.010935
"2017-03-29",27.216,27.226,26.673,25.85,1938500,24.771368
"2017-03-30",26.405,26.508,26.136,25.540001,2053900,24.732634
"2017-03-31",26.343,26.849,26.312,25.959999,2001100,25.139355
"2017-04-03",26.797,27.004,26.694,26,1234900,25.178091
"2017-04-04",26.838,27.582,26.787,26.41,2396700,25.575129
"2017-04-05",27.262,27.53,27.117,26.52,1498600,25.681652
"2017-04-06",27.334,27.634,27.251,26.719999,1380200,25.87533
"2017-04-07",27.551,27.696,27.458,26.790001,862200,25.943117
"2017-04-10",27.675,27.861,27.613,26.93,808200,26.078693
"2017-04-11",27.84,28.202,27.799,26.99,1279700,26.136795
"2017-04-12",27.995,28.005,27.623,26.940001,1501100,26.088377
"2017-04-13",27.861,27.964,27.634,27.059999,845300,26.20458
"2017-04-17",28.057,28.749,27.974,27.84,1669100,26.959925
"2017-04-18",28.718,28.935,28.646,27.959999,1561900,27.07613
"2017-04-19",28.769,28.976,28.656,27.889999,1121800,27.008343
"2017-04-20",28.831,28.831,28.584,27.799999,882400,26.921188
"2017-04-21",28.718,28.718,28.418,27.610001,781600,26.737198
"2017-04-24",28.615,28.635,27.726,27.24,1313700,26.378893
"2017-04-25",28.14,28.263,27.861,27.1,1023000,26.243317
"2017-04-26",27.902,28.109,27.83,27.049999,1080800,26.194897
"2017-04-27",27.964,27.964,26.911,26.16,2298100,25.333035
"2017-04-28",26.838,27.138,26.033,25.34,2852600,24.538954
"2017-05-01",26.157,26.291,25.961,25.290001,1749100,24.490536
"2017-05-02",26.136,26.281,25.826,25.049999,1594900,24.258123
"2017-05-03",25.992,25.992,25.403,24.790001,1354100,24.006342
"2017-05-04",25.455,25.764,25,24.9,1375700,24.112864
"2017-05-05",25.733,26.043,25.568,24.879999,1476300,24.093496
"2017-05-08",25.754,25.857,25.444,24.940001,1117600,24.151602
"2017-05-09",25.764,25.868,25.362,24.860001,1816300,24.074129
"2017-05-10",25.651,26.085,25.641,24.98,806700,24.190334
"2017-05-11",25.764,25.795,25.537,24.84,976600,24.054762
"2017-05-12",25.713,25.744,25.486,24.73,736900,23.948238
"2017-05-15",25.496,25.816,25.496,24.85,1247900,24.064445
"2017-05-16",25.558,25.63,25.145,24.5,1478800,23.725508
"2017-05-17",25.289,26.178,25.238,25.219999,2967800,24.422747
"2017-05-18",26.105,26.198,25.816,25.25,4328000,24.451799
"2017-05-19",26.074,26.136,25.713,24.950001,3311300,24.161285
"2017-05-22",25.785,26.136,25.713,25.129999,1651800,24.33559
"2017-05-23",25.95,26.198,25.899,25.209999,1160000,24.413063
"2017-05-24",26.116,26.208,25.992,25.280001,1718400,24.480852
"2017-05-25",26.147,26.642,26.074,25.309999,1923300,24.509903
"2017-05-26",26.126,26.281,25.785,25.059999,1779500,24.267807
"2017-05-30",25.847,25.93,25.661,24.9,1056300,24.112864
