"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",54.539,55.651,54.284,54,2465800,52.941532
"2017-01-04",55.528,57.375,55.528,55.18,2472800,54.0984
"2017-01-05",54.131,55.6,53.601,54.439999,2725500,53.372902
"2017-01-06",55.62,57.15,55.12,55.330002,2178900,54.245461
"2017-01-09",56.232,56.416,54.58,53.82,2130400,52.765057
"2017-01-10",55.018,55.916,54.988,54.619999,1108700,53.549377
"2017-01-11",55.732,55.865,54.61,54.099998,1797300,53.039566
"2017-01-12",55.09,55.345,54.284,53.66,1584300,52.608192
"2017-01-13",54.825,55.1,53.631,52.619999,1718200,51.588577
"2017-01-17",54.315,55.834,53.672,52.900002,2336900,51.863091
"2017-01-18",53.692,53.856,52.315,51.970001,1951500,50.951321
"2017-01-19",52.968,53.264,51.459,50.869999,2776000,49.872879
"2017-01-20",51.958,53.825,51.928,52.41,3141700,51.382694
"2017-01-23",53.091,53.203,52.02,51.639999,1726300,50.627789
"2017-01-24",52.887,53.213,52.438,51.790001,1737200,50.774849
"2017-01-25",53.468,54.743,53.397,53.580002,2786700,52.529762
"2017-01-26",54.529,55.11,53.397,52.360001,2313500,51.333679
"2017-01-27",53.682,53.886,52.132,51.310001,2014800,50.304256
"2017-01-30",53.407,53.784,51.979,52.169998,2798700,51.1474
"2017-01-31",50.908,52.815,50.316,51.599998,4439400,50.58857
"2017-02-01",52.713,53.254,51.285,51.200001,1702300,50.196415
"2017-02-02",52.03,52.438,51.632,50.709999,1326500,49.716015
"2017-02-03",52.142,53.325,52.101,51.720001,2407800,50.706219
"2017-02-06",52.377,53.662,52.366,52.139999,2065300,51.117985
"2017-02-07",53.315,53.427,51.999,51.169998,1680300,50.166996
"2017-02-08",52.173,53.315,51.591,52.150002,1753200,51.127792
"2017-02-09",53.213,54.743,53.08,53.169998,2046100,52.127796
"2017-02-10",54.396,54.825,53.172,52.700001,1381400,51.667015
"2017-02-13",53.958,54.233,53.233,52.419998,1843400,51.392498
"2017-02-14",51.826,53.458,51.54,51.75,2511700,50.73563
"2017-02-15",52.55,53.04,50.5,49.869999,4290600,48.892483
"2017-02-16",50.836,50.898,49.082,48.5,4526200,47.549335
"2017-02-17",49.398,51.204,49.215,49.790001,2976000,48.814053
"2017-02-21",49.949,51.51,49.949,50.330002,2606900,49.343468
"2017-02-22",51.326,51.459,49.949,49.259998,1682100,48.294441
"2017-02-23",50.265,50.561,49.092,48.32,2224300,47.372864
"2017-02-24",49.092,51,49.021,49.240002,2317100,48.274834
"2017-02-27",49.837,50.673,49.725,49.52,1712200,48.549339
"2017-02-28",50.102,50.745,49.612,48.950001,2449800,47.990517
"2017-03-01",50.806,51.999,50.704,50.849998,3704100,49.853268
"2017-03-02",51.836,52.53,51.54,51.040001,2999000,50.039551
