"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",45.826,46.575,45.634,46.060001,562500,45.550953
"2017-01-04",46.797,47.525,46.544,46.93,378500,46.411335
"2017-01-05",47.566,48.921,47.374,48.099998,989900,47.568401
"2017-01-06",48.729,48.759,48.031,47.880001,484100,47.350834
"2017-01-09",48.233,48.779,48.021,48.02,516200,47.489288
"2017-01-10",48.617,48.708,48.354,48.099998,484200,47.568401
"2017-01-11",48.536,48.951,48.466,48.16,322900,47.627739
"2017-01-12",48.769,48.86,48.142,48.27,333700,47.736519
"2017-01-13",48.86,49.305,48.627,48.68,282400,48.141994
"2017-01-17",48.971,49.608,48.88,48.939999,534400,48.399117
"2017-01-18",49.618,49.719,48.84,48.599998,482200,48.062874
"2017-01-19",49.113,50.043,49.113,48.849998,425600,48.310112
"2017-01-20",49.537,49.659,49.345,49,656600,48.458454
"2017-01-23",49.416,49.618,49.224,49.009998,377000,48.468342
"2017-01-24",49.628,50.104,49.568,49.369999,375200,48.824364
"2017-01-25",50.124,50.387,49.922,49.650002,854800,49.101273
"2017-01-26",51.186,51.57,49.052,48.59,909600,48.052982
"2017-01-27",49.153,49.153,47.879,47.889999,665900,47.360725
"2017-01-30",47.99,48.516,47.808,47.959999,489900,47.429947
"2017-01-31",48.253,48.567,47.98,47.91,441700,47.380501
"2017-02-01",48.597,48.799,48.233,48,350000,47.469509
"2017-02-02",48.052,48.375,48.022,47.950001,368100,47.558773
"2017-02-03",48.395,48.627,48.234,48.220001,411900,47.826576
"2017-02-06",48.334,48.919,48.314,48.27,423200,47.876163
"2017-02-07",48.355,48.597,47.992,47.610001,382600,47.22155
"2017-02-08",48.102,48.102,47.578,47.560001,503400,47.171955
"2017-02-09",47.951,49.232,47.8,48.720001,502500,48.322491
"2017-02-10",49,49.393,49,48.779999,397700,48.382
"2017-02-13",49.242,49.907,49.212,49.48,429500,49.07629
"2017-02-14",49.504,49.806,49.403,49.349998,595500,48.94735
"2017-02-15",49.685,49.877,49.514,49.450001,245200,49.046535
"2017-02-16",49.907,50.079,49.615,49.41,208700,49.006859
"2017-02-17",49.776,49.877,49.413,49.450001,211000,49.046535
"2017-02-21",49.907,50.22,49.766,49.650002,344400,49.244907
"2017-02-22",50.159,50.381,49.877,49.919998,222800,49.512699
"2017-02-23",50.109,50.391,49.333,48.93,549200,48.530777
"2017-02-24",49.07,49.534,48.717,49.040001,273300,48.639881
"2017-02-27",49.403,50.27,49.333,49.619999,401300,49.215145
"2017-02-28",49.927,49.998,49.201,48.889999,443200,48.491104
"2017-03-01",49.726,50.542,49.504,50.07,361600,49.661476
"2017-03-02",50.472,51.208,50.149,50.48,576100,50.06813
"2017-03-03",50.976,51.107,49.998,49.709999,379500,49.304413
"2017-03-06",50.008,50.472,49.716,50.060001,333700,49.651558
"2017-03-07",50.411,50.936,50.028,50.5,470400,50.087971
"2017-03-08",50.905,51.369,50.563,50.259998,369800,49.849926
"2017-03-09",50.855,50.915,50.472,50.400002,299400,49.988785
"2017-03-10",51.057,51.339,50.764,50.900002,342000,50.484707
"2017-03-13",51.319,51.813,50.845,50.779999,230400,50.365685
"2017-03-14",51.198,51.5,50.996,50.610001,366100,50.197071
"2017-03-15",51.016,52.075,51.016,51.459999,291100,51.040134
"2017-03-16",51.903,52.347,51.813,51.700001,351400,51.278179
"2017-03-17",52.156,52.317,51.883,51.84,286600,51.417034
"2017-03-20",52.166,52.246,51.803,51.709999,217800,51.288094
"2017-03-21",52.387,52.549,51.389,51.009998,256700,50.593803
"2017-03-22",51.44,51.541,51.036,51.060001,237900,50.643402
"2017-03-23",51.5,51.994,51.43,51.169998,182600,50.752502
"2017-03-24",51.843,52.035,51.47,51.240002,229600,50.821934
"2017-03-27",51.208,51.732,50.885,51.200001,232500,50.782257
"2017-03-28",51.601,52.024,51.359,51.52,237500,51.099648
"2017-03-29",51.903,52.992,51.873,52.209999,496500,51.784016
"2017-03-30",52.69,53.002,52.367,52.080002,273600,51.655079
"2017-03-31",52.398,53.002,52.347,52.41,295400,51.982384
"2017-04-03",52.831,52.831,51.823,51.529999,264200,51.109562
"2017-04-04",51.581,52.226,51.581,51.75,377200,51.32777
"2017-04-05",52.266,52.569,51.44,51.119999,461200,50.702908
"2017-04-06",51.601,51.873,51.137,51.07,257400,50.653316
"2017-04-07",51.399,54.364,51.399,52.049999,1305000,51.62532
"2017-04-10",52.498,52.781,51.793,51.419998,292700,51.000458
"2017-04-11",51.722,51.994,51.349,51.369999,276800,50.950867
"2017-04-12",51.793,51.803,51.167,50.990002,303900,50.573975
"2017-04-13",51.409,51.672,51.268,50.950001,267400,50.534298
"2017-04-17",51.48,52.287,51.48,51.77,249000,51.347607
"2017-04-18",52.206,52.599,51.651,51.630001,4e+05,51.208748
"2017-04-19",52.226,52.307,51.47,51.139999,256500,50.722744
"2017-04-20",51.571,52.206,51.571,51.639999,260800,51.218666
"2017-04-21",51.984,52.035,51.732,51.57,196700,51.149239
"2017-04-24",52.438,53.214,52.428,52.580002,434700,52.151001
"2017-04-25",53.305,53.738,52.851,53.09,263000,52.656834
"2017-04-26",53.345,53.698,52.811,52.419998,250800,51.992298
"2017-04-27",53.728,53.728,51.228,53.029999,507700,52.597324
"2017-04-28",53.507,53.507,52.448,52.73,589500,52.299774
"2017-05-01",53.093,53.134,51.611,51.200001,376100,50.782257
"2017-05-02",51.5,52.266,51.47,51.84,424600,51.417034
"2017-05-03",51.974,52.297,50.724,51.369999,342300,50.950867
"2017-05-04",51.551,52.094,51.239,51.5,449500,51.219398
"2017-05-05",51.993,52.144,51.541,51.689999,242100,51.40836
"2017-05-08",51.812,52.265,51.702,51.66,243300,51.378529
"2017-05-09",51.983,52.154,51.521,51.43,383000,51.14978
"2017-05-10",51.561,52.416,51.43,51.919998,338000,51.637108
"2017-05-11",51.943,52.094,51.802,51.689999,223700,51.40836
"2017-05-12",52.094,52.094,51.4,51.25,276700,50.97076
"2017-05-15",51.601,51.732,51.35,51.25,150700,50.97076
"2017-05-16",51.531,51.561,51.068,51.02,215100,50.742012
"2017-05-17",50.827,51.179,50.374,50.18,325200,49.90659
"2017-05-18",50.364,50.656,50.113,49.959999,313100,49.687786
"2017-05-19",50.274,51.119,50.274,50.59,223000,50.314358
"2017-05-22",50.988,51.48,50.917,51.150002,225500,50.871304
"2017-05-23",51.531,51.531,50.917,50.779999,210200,50.503319
"2017-05-24",51.119,51.119,50.244,50.43,359300,50.155228
"2017-05-25",50.837,51.279,50.555,50.380001,334500,50.105503
"2017-05-26",50.616,51.39,50.425,51,566900,50.722122
"2017-05-30",51.279,51.672,51.209,51.080002,387300,50.801685
"2017-05-31",51.4,51.44,50.415,50.389999,347300,50.115444
"2017-06-01",50.847,51.943,50.777,51.650002,279600,51.368584
"2017-06-02",51.963,52.285,51.692,51.860001,274200,51.577438
"2017-06-05",52.003,52.446,51.832,51.68,189900,51.398415
"2017-06-06",51.822,52.013,51.37,51.099998,214000,50.821575
"2017-06-07",51.32,51.47,50.666,50.43,220100,50.155228
"2017-06-08",50.736,50.887,50.234,50.139999,340200,49.86681
"2017-06-09",50.465,50.726,49.992,50.150002,369100,49.876755
"2017-06-12",50.274,50.586,50.153,49.950001,183200,49.677845
"2017-06-13",50.445,51.058,50.123,50.5,220000,50.224846
"2017-06-14",50.938,50.968,49.972,50.110001,210300,49.836971
"2017-06-15",50.012,50.515,49.972,49.91,295500,49.638062
"2017-06-16",50.204,50.264,49.51,49.369999,593000,49.101002
"2017-06-19",49.821,50.807,49.791,50.290001,223000,50.015991
