"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",92.966,93.478,92.689,90.860001,934000,88.616386
"2017-01-04",93.406,94.063,93.263,91.290001,940500,89.035767
"2017-01-05",93.314,94.011,93.007,91.370003,1157700,89.113792
"2017-01-06",93.406,93.591,92.781,90.93,951600,88.684654
"2017-01-09",94.011,94.073,92.761,90.540001,1299200,88.304283
"2017-01-10",92.658,92.894,91.992,90.080002,1886700,87.855644
"2017-01-11",92.074,92.996,91.992,90.019997,1713500,87.797119
"2017-01-12",92.043,92.484,91.479,89.489998,1236000,87.280205
"2017-01-13",92.002,92.268,91.315,89.540001,886700,87.328979
"2017-01-17",91.971,92.699,91.869,90.260002,976500,88.031204
"2017-01-18",92.484,93.017,92.268,90.339996,1526000,88.109215
"2017-01-19",92.75,92.925,92.279,90.370003,695200,88.138489
"2017-01-20",92.966,93.222,92.197,90.699997,960900,88.460327
"2017-01-23",92.976,93.571,92.812,91.209999,779500,88.957733
"2017-01-24",93.519,93.919,93.007,91.449997,1030600,89.191811
"2017-01-25",93.868,94.052,93.324,91.110001,1218300,88.860214
"2017-01-26",93.417,93.755,92.463,90.629997,1216500,88.392059
"2017-01-27",93.099,93.171,92.033,90.029999,709000,87.806877
"2017-01-30",92.453,93.027,92.115,90.690002,1082000,88.450584
"2017-01-31",92.853,93.95,92.617,91.199997,1126900,88.947983
"2017-02-01",93.509,93.53,92.494,90.410004,1000500,88.177498
"2017-02-02",93.14,94.104,92.791,91.580002,988000,89.318604
"2017-02-03",94.329,94.883,93.899,91.720001,743100,89.455147
"2017-02-06",94.124,94.124,93.427,91.18,593100,88.928482
"2017-02-07",93.919,95.109,93.694,92.580002,872100,90.293915
"2017-02-08",94.739,95.724,94.463,92.779999,1049000,90.48896
"2017-02-09",95.129,95.693,94.175,93.18,905900,90.879097
"2017-02-10",95.56,96.236,95.283,93.559998,887400,91.24971
"2017-02-13",95.929,96.462,95.088,93.489998,1683200,91.181442
"2017-02-14",92.802,96.093,92.279,93.07,2081200,90.771812
"2017-02-15",94.842,95.478,93.96,92.82,1944600,90.527985
"2017-02-16",95.283,96.595,95.252,94.07,1603200,91.747116
"2017-02-17",96.236,97.19,95.939,93.980003,1593900,91.659348
"2017-02-21",96.288,97.2,95.939,94.57,968000,92.234779
"2017-02-22",96.995,97.559,96.564,94.260002,1534800,91.932434
"2017-02-23",96.647,97.498,96.431,94.620003,901100,92.283539
"2017-02-24",97.159,97.467,96.544,94.790001,1010200,92.449341
"2017-02-27",96.841,96.985,95.631,93.290001,741700,90.986374
"2017-02-28",95.744,96.626,95.652,93.440002,1708500,91.132675
"2017-03-01",95.662,96.216,95.283,93.279999,1296500,90.976624
"2017-03-02",95.939,97.354,95.662,94.620003,1061600,92.283539
"2017-03-03",97.938,97.938,96.647,94.910004,1614600,92.566383
"2017-03-06",97.036,97.333,96.513,94.43,1275800,92.098228
"2017-03-07",96.359,97.159,96.195,94.230003,1566300,91.903175
"2017-03-08",96.329,97.149,95.939,94.360001,1056800,92.029953
"2017-03-09",97.159,97.395,96.575,94.589996,1084700,92.254265
"2017-03-10",96.278,96.706,96.013,94.730003,1694300,92.960831
"2017-03-13",96.349,96.737,95.993,94.709999,950900,92.9412
"2017-03-14",96.329,97.205,96.298,94.650002,864900,92.882324
"2017-03-15",96.563,98.265,96.309,96.129997,1060900,94.334679
"2017-03-16",97.745,98.367,97.491,96.410004,1765400,94.609459
"2017-03-17",98.347,98.357,97.379,95.589996,1457600,93.804764
"2017-03-20",97.542,98.163,97.542,96.150002,691800,94.354309
"2017-03-21",98.173,98.724,98.051,96.580002,1240600,94.776283
"2017-03-22",98.826,99.243,98.214,96.980003,1041700,95.168816
"2017-03-23",98.561,99.274,98.275,96.68,850800,94.874413
"2017-03-24",98.52,98.948,98.377,96.959999,639000,95.149185
"2017-03-27",98.398,99.264,98.061,97.230003,825500,95.414139
"2017-03-28",98.785,99.121,98.367,97.169998,998200,95.355255
"2017-03-29",98.968,99.08,98.377,97.089996,950200,95.276749
"2017-03-30",98.989,99.712,98.846,97.339996,1049400,95.522079
"2017-03-31",99.274,100.038,99.07,97.919998,1631800,96.091248
"2017-04-03",99.743,99.998,98.938,97.410004,1087600,95.590782
"2017-04-04",99.019,99.61,98.652,97.550003,816200,95.728165
"2017-04-05",99.121,99.437,98.398,96.919998,1450100,95.109924
"2017-04-06",98.357,98.846,97.919,96.239998,1110600,94.442627
"2017-04-07",98.173,98.561,98.041,96.550003,983800,94.746841
"2017-04-10",98.54,99.101,98,97.089996,939800,95.276749
"2017-04-11",98.836,99.029,98.561,97.120003,708800,95.30619
