"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",28.297,28.35,27.894,26.620001,2135600,25.117529
"2017-01-04",28.34,28.891,28.318,27.219999,2806900,25.683661
"2017-01-05",28.679,28.912,28.35,27.110001,2213700,25.579874
"2017-01-06",28.668,28.827,28.541,27.030001,2375600,25.504389
"2017-01-09",28.689,28.7,28.403,26.879999,2000800,25.362852
"2017-01-10",28.488,28.573,28.223,26.73,2160100,25.221321
"2017-01-11",28.202,28.382,28.043,26.52,2176700,25.023172
"2017-01-12",28.149,28.212,27.672,26.6,2076500,25.098658
"2017-01-13",28.17,28.414,28.011,26.6,1596400,25.098658
"2017-01-17",28.255,28.424,27.99,26.57,3711900,25.070351
"2017-01-18",28.17,28.573,28.053,26.799999,1407500,25.287369
"2017-01-19",28.244,28.297,28.022,26.620001,1695200,25.117529
"2017-01-20",28.234,28.382,28.022,26.559999,1887800,25.060915
"2017-01-23",28.149,28.297,28.022,26.57,2177000,25.070351
"2017-01-24",28.181,28.297,27.82,26.309999,3441000,24.825026
"2017-01-25",27.894,28.043,27.492,26.1,2535600,24.626879
"2017-01-26",27.449,27.778,26.707,25.23,4240700,23.805981
"2017-01-27",26.474,26.697,25.584,24.309999,6741200,22.937908
"2017-01-30",25.732,25.828,25.361,24.040001,3909600,22.683149
"2017-01-31",25.531,25.902,25.531,24.33,3355700,22.956778
"2017-02-01",25.785,25.923,25.499,24.219999,3370300,22.852987
"2017-02-02",25.701,26.262,25.573,24.74,3655700,23.343639
"2017-02-03",26.442,26.548,26.167,24.969999,3814000,23.560658
"2017-02-06",26.676,26.76,26.453,25.049999,2305700,23.636143
"2017-02-07",26.517,26.739,26.315,24.870001,1814700,23.466301
"2017-02-08",26.4,26.771,26.273,25.15,1651900,23.730497
"2017-02-09",26.665,26.729,26.474,25.110001,1555500,23.692757
"2017-02-10",26.591,26.771,26.548,25.26,2048800,23.83429
"2017-02-13",26.813,26.941,26.633,25.309999,1724500,23.881466
"2017-02-14",26.254,26.517,26.17,25.110001,1644700,23.87196
"2017-02-15",26.412,26.412,26.013,24.969999,2065500,23.738861
"2017-02-16",26.254,26.78,26.149,25.26,2916100,24.014563
"2017-02-17",26.57,26.665,26.307,25.209999,1706100,23.96703
"2017-02-21",26.496,26.896,26.412,25.530001,1121200,24.271254
"2017-02-22",26.822,26.928,26.549,25.299999,977100,24.052591
"2017-02-23",26.78,26.959,26.549,25.6,1743300,24.337801
"2017-02-24",26.959,27.117,26.728,25.77,1000500,24.49942
"2017-02-27",27.138,27.38,26.98,26,1785500,24.718079
"2017-02-28",27.254,27.359,26.854,25.639999,4006400,24.375828
"2017-03-01",26.854,27.128,26.77,25.690001,2763300,24.423365
"2017-03-02",26.896,27.485,26.801,25.99,5152700,24.70857
"2017-03-03",27.359,27.59,27.075,26.200001,3189700,24.908218
"2017-03-06",27.401,27.485,27.022,25.82,2799300,24.546953
"2017-03-07",27.117,27.233,26.991,25.870001,1427800,24.594488
"2017-03-08",27.075,27.075,26.812,25.51,1946500,24.252237
"2017-03-09",26.833,27.043,26.465,25.190001,1897200,23.948015
"2017-03-10",26.665,26.812,26.402,25.25,2199200,24.005058
"2017-03-13",26.57,26.738,26.276,25.059999,2820000,23.824425
"2017-03-14",26.297,26.307,26.107,24.93,3167800,23.700836
"2017-03-15",26.318,26.917,26.265,25.49,4465600,24.233223
"2017-03-16",26.801,26.886,26.665,25.48,1996500,24.223719
"2017-03-17",26.959,27.149,26.738,25.620001,4540300,24.356815
"2017-03-20",27.012,27.138,26.896,25.780001,1740800,24.508928
"2017-03-21",27.106,27.159,26.833,25.65,1647700,24.385336
"2017-03-22",27.096,27.096,26.717,25.73,1697300,24.461393
"2017-03-23",27.022,27.538,26.991,25.98,1953100,24.699066
"2017-03-24",27.422,27.622,27.317,26.17,2113700,24.879698
"2017-03-27",27.338,27.527,26.938,25.639999,2297900,24.375828
"2017-03-28",26.97,27.149,26.696,25.809999,1604300,24.537445
