"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",78.345,79.065,78.01,77.330002,2075900,76.259094
"2017-01-04",78.619,80.099,78.588,78.699997,1550500,77.610115
"2017-01-05",79.288,79.795,78.649,78.599998,1587500,77.511497
"2017-01-06",79.744,80.616,79.4,79.160004,1634600,78.063744
"2017-01-09",79.907,80.109,79.207,78.239998,1390000,77.156487
"2017-01-10",79.501,79.501,78.315,77.349998,2472400,76.278816
"2017-01-11",77.706,79.46,77.412,78.330002,2787800,77.245239
"2017-01-12",79.846,80.971,79.197,79.139999,3338600,78.044029
"2017-01-13",80.089,80.687,79.724,78.790001,1933200,77.698875
"2017-01-17",80.464,81.468,80.363,79.849998,2247400,78.744186
"2017-01-18",81.113,81.559,80.332,79.269997,1615900,78.172218
"2017-01-19",80.343,80.434,79.46,78.889999,1720300,77.797478
"2017-01-20",80.099,80.911,79.815,79.629997,1853200,78.527229
"2017-01-23",80.647,80.931,80.231,79.650002,1188600,78.546959
"2017-01-24",80.9,81.975,80.819,80.790001,1283400,79.671165
"2017-01-25",82.188,83.212,82.036,82.010002,1996500,80.874283
"2017-01-26",83.364,84.5,82.786,81.959999,2746600,80.824974
"2017-01-27",82.726,82.928,81.823,80.959999,1189100,79.838814
"2017-01-30",82.249,82.249,81.235,80.870003,1672500,79.750069
"2017-01-31",82.056,82.391,81.438,81.209999,1891000,80.085358
"2017-02-01",81.965,82.432,80.464,79.919998,4869500,78.813217
"2017-02-02",84.074,84.48,81.996,82,5021800,80.864426
"2017-02-03",83.212,84.673,83.091,83.019997,3395500,81.870285
"2017-02-06",84.155,84.368,83.719,82.82,2114500,81.673065
"2017-02-07",84.348,84.926,83.476,83.400002,2402500,82.245033
"2017-02-08",84.277,84.652,83.354,82.489998,2263800,81.347626
"2017-02-09",83.648,84.064,83.446,82.660004,1535200,81.515282
"2017-02-10",83.719,83.902,83.304,82.589996,1684800,81.446251
"2017-02-13",83.973,84.135,83.588,82.589996,1048900,81.446251
"2017-02-14",83.506,84.733,83.354,83.25,1666600,82.097107
"2017-02-15",84.5,85.119,83.811,83.540001,2035800,82.383087
"2017-02-16",84.531,84.875,83.679,83.269997,1530100,82.116821
"2017-02-17",84.855,86.924,84.764,85,6467700,83.822868
"2017-02-21",86.396,86.914,85.666,84.639999,2411100,83.467857
"2017-02-22",85.717,86.184,85.21,84.199997,1600100,83.033951
"2017-02-23",85.788,86.021,85.038,84.019997,1501400,82.856438
"2017-02-24",84.552,84.683,83.764,83.75,1225200,82.925758
"2017-02-27",84.249,84.552,83.32,82.970001,1264600,82.153435
"2017-02-28",83.825,84.229,83.562,82.849998,1556200,82.034615
"2017-03-01",84.007,85.067,83.633,84.050003,1622900,83.222801
"2017-03-02",85.845,85.885,83.623,82.919998,3459500,82.103912
"2017-03-03",83.613,83.875,82.502,82.949997,1371800,82.133629
"2017-03-06",83.35,83.966,83.249,82.709999,1184100,81.895981
"2017-03-07",83.3,83.764,83.169,82.769997,1274100,81.955399
"2017-03-08",83.663,84.077,83.532,82.93,1126700,82.113823
"2017-03-09",84.128,84.168,83.482,82.879997,958600,82.064316
"2017-03-10",85.047,87.279,84.986,85.779999,3603700,84.935776
"2017-03-13",86.289,86.724,86.017,85.370003,1523600,84.529816
"2017-03-14",85.804,86.158,85.299,84.779999,1126000,83.945618
"2017-03-15",85.592,86.602,85.592,85.330002,1412700,84.490204
"2017-03-16",86.097,86.522,85.946,85.580002,915300,84.737747
"2017-03-17",86.562,87.521,86.249,85.959999,2237900,85.113998
"2017-03-20",86.623,87.41,86.35,86.510002,2210900,85.658592
"2017-03-21",87.845,88.42,87.249,86.480003,2149500,85.628891
"2017-03-22",87.239,87.754,86.946,86.529999,1226600,85.678398
"2017-03-23",87.269,88.107,87.218,86.519997,1348100,85.668488
"2017-03-24",87.42,88.097,86.158,86.010002,1888200,85.163513
"2017-03-27",86.34,87.43,86.219,85.82,1786100,84.975388
