"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",36.967,36.988,36.18,35.189999,7296300,33.954998
"2017-01-04",36.625,37.081,36.542,35.490002,6651800,34.244473
"2017-01-05",36.791,36.947,36.542,35.5,5148900,34.254124
"2017-01-06",36.677,37.527,36.605,36.080002,6322900,34.81377
"2017-01-09",37.403,37.486,36.532,35.27,4653400,34.0322
"2017-01-10",36.708,36.781,36.283,35.060001,5340500,33.829563
"2017-01-11",36.48,36.75,36.397,35.389999,7248200,34.147984
"2017-01-12",36.708,36.781,36.501,35.439999,3591700,34.196228
"2017-01-13",36.677,36.936,36.522,35.439999,5052900,34.196228
"2017-01-17",36.843,37.361,36.812,35.880001,3928900,34.620789
"2017-01-18",37.102,37.299,36.895,35.709999,3016300,34.456749
"2017-01-19",36.905,37.361,36.708,35.740002,5024600,34.485703
"2017-01-20",37.081,37.195,36.843,35.799999,5318100,34.543591
"2017-01-23",37.154,37.185,36.522,35.299999,3636900,34.061142
"2017-01-24",36.553,36.698,36.377,35.130001,5209100,33.897114
"2017-01-25",36.625,36.739,36.46,35.349998,3905900,34.109386
"2017-01-26",36.688,36.967,36.428,35.290001,4521800,34.051495
"2017-01-27",36.729,36.822,36.294,35.080002,3247200,33.848866
"2017-01-30",36.418,36.428,36.066,35.040001,6187300,33.810265
"2017-01-31",36.314,37.185,36.263,35.880001,8093700,34.620789
"2017-02-01",36.957,37.112,36.314,35.450001,6460700,34.205879
"2017-02-02",36.729,37.206,36.646,35.82,3924700,34.562893
"2017-02-03",37.081,37.216,36.957,35.779999,4284500,34.524296
"2017-02-06",37.195,37.309,36.957,35.810001,4029900,34.553246
"2017-02-07",37.144,37.382,37.061,36.009998,3843900,34.74622
"2017-02-08",36.532,37.62,36.242,35.23,9603300,33.993595
"2017-02-09",36.511,36.511,35.724,34.849998,7608800,33.626934
"2017-02-10",36.014,36.346,35.962,35.02,7374100,33.79097
"2017-02-13",35.697,36.159,35.697,35.099998,4848100,34.18837
"2017-02-14",36.385,36.457,35.841,35.360001,5540600,34.441624
"2017-02-15",35.985,36.18,35.779,35.220001,4043700,34.305256
"2017-02-16",36.159,36.385,36.067,35.419998,3519100,34.500057
"2017-02-17",36.406,36.57,36.026,35.580002,4963000,34.655907
"2017-02-21",36.334,36.98,36.19,35.919998,4476700,34.987076
"2017-02-22",36.806,36.878,36.334,35.689999,4302300,34.763046
"2017-02-23",36.785,37.145,36.683,35.98,5224900,35.045517
"2017-02-24",37.114,38.182,36.909,37.18,8184800,36.214352
"2017-02-27",38.079,38.089,37.371,36.57,4554700,35.620193
"2017-02-28",37.442,37.853,37.422,36.709999,6048300,35.756557
"2017-03-01",37.288,37.442,36.97,36.07,4748800,35.133183
"2017-03-02",36.95,37.607,36.816,36.419998,4467900,35.474087
"2017-03-03",37.381,37.381,36.868,36.32,3186500,35.376686
"2017-03-06",37.165,37.268,36.939,36.07,3668200,35.133183
