"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",12.883,13.305,12.809,12.59,40510800,11.922493
"2017-01-04",13.485,14.013,13.453,13.17,77638100,12.471742
"2017-01-05",13.95,13.96,13.337,12.77,75628400,12.09295
"2017-01-06",13.517,13.559,13.348,12.76,40315900,12.08348
"2017-01-09",13.506,13.58,13.337,12.63,39183400,11.960372
"2017-01-10",13.411,13.749,13.369,12.85,58703500,12.168709
"2017-01-11",13.422,13.432,13.21,12.67,49718700,11.998252
"2017-01-12",13.369,13.39,13.041,12.59,36493300,11.922493
"2017-01-13",13.327,13.379,13.2,12.63,29197100,11.960372
"2017-01-17",13.358,13.443,13.242,12.61,48991000,11.941432
"2017-01-18",12.918,12.939,12.783,12.41,33830800,11.941432
"2017-01-19",12.887,13.053,12.824,12.43,30135600,11.960677
"2017-01-20",12.939,12.97,12.793,12.36,29270000,11.893319
"2017-01-23",12.835,12.866,12.699,12.31,31670700,11.845209
"2017-01-24",12.835,13.105,12.824,12.61,34625200,12.133881
"2017-01-25",13.209,13.302,13.136,12.79,46747800,12.307085
"2017-01-26",13.146,13.178,12.835,12.37,55672800,11.902943
"2017-01-27",12.97,13.032,12.866,12.49,34613900,12.018413
"2017-01-30",12.949,12.949,12.762,12.37,39254200,11.902943
"2017-01-31",12.793,12.876,12.668,12.36,46974500,11.893319
"2017-02-01",12.939,13.074,12.699,12.32,44396800,11.854831
"2017-02-02",12.783,12.855,12.71,12.28,29035400,11.816341
"2017-02-03",12.907,13.115,12.876,12.56,38245300,12.08577
"2017-02-06",13.042,13.115,12.949,12.52,26916800,12.047279
"2017-02-07",12.99,13.011,12.793,12.34,32914400,11.874076
"2017-02-08",12.824,12.939,12.751,12.38,26411400,11.912566
"2017-02-09",12.866,12.959,12.835,12.38,32924600,11.912566
"2017-02-10",12.928,13.001,12.855,12.51,32996500,12.037657
"2017-02-13",13.032,13.115,12.97,12.56,24474000,12.08577
"2017-02-14",13.136,13.198,13.084,12.65,28320000,12.172371
"2017-02-15",13.115,13.136,13.042,12.63,25114400,12.153127
"2017-02-16",13.105,13.136,12.97,12.54,22896500,12.066525
"2017-02-17",12.99,13.074,12.907,12.58,26407400,12.105014
"2017-02-21",13.105,13.219,13.105,12.69,29156200,12.21086
"2017-02-22",13.157,13.271,13.146,12.67,24787500,12.191616
"2017-02-23",13.198,13.219,13.042,12.56,22520600,12.08577
"2017-02-24",13.001,13.001,12.866,12.47,40817300,11.999167
"2017-02-27",12.98,13.178,12.918,12.66,41713100,12.181993
"2017-02-28",13.126,13.157,12.939,12.53,36089800,12.056902
"2017-03-01",13.157,13.25,13.146,12.69,36178600,12.21086
"2017-03-02",13.219,13.25,13.074,12.66,33245100,12.181993
"2017-03-03",13.157,13.209,13.022,12.65,30429200,12.172371
"2017-03-06",13.074,13.094,12.99,12.52,28753600,12.047279
"2017-03-07",13.001,13.022,12.907,12.46,25906900,11.989545
"2017-03-08",12.99,13.136,12.949,12.53,27327800,12.056902
"2017-03-09",13.032,13.032,12.887,12.5,29149100,12.028034
"2017-03-10",13.042,13.126,12.959,12.53,34866100,12.056902
"2017-03-13",13.053,13.126,12.99,12.54,22625800,12.066525
"2017-03-14",13.001,13.053,12.939,12.55,26956700,12.076147
"2017-03-15",13.053,13.146,13.011,12.65,34296200,12.172371
"2017-03-16",13.146,13.219,13.084,12.7,28954700,12.220484
"2017-03-17",13.24,13.24,12.939,12.48,54929100,12.008789
"2017-03-20",12.97,12.98,12.731,12.28,45329700,11.816341
"2017-03-21",12.783,12.803,12.159,11.72,101559900,11.277486
"2017-03-22",12.18,12.294,12.076,11.77,71107900,11.325597
"2017-03-23",12.024,12.211,11.951,11.67,71209300,11.229373
"2017-03-24",12.118,12.232,12.003,11.62,43772400,11.181261
"2017-03-27",11.962,12.003,11.858,11.46,57713400,11.027302
"2017-03-28",11.962,12.263,11.93,11.65,57662800,11.210128
"2017-03-29",12.19,12.221,12.097,11.68,35795700,11.238996
"2017-03-30",12.128,12.201,12.066,11.68,28008200,11.238996
"2017-03-31",12.118,12.138,12.055,11.64,26717500,11.200506
"2017-04-03",12.097,12.097,11.723,11.44,65671100,11.008057
"2017-04-04",11.827,11.93,11.723,11.37,40068200,10.940701
"2017-04-05",11.93,11.951,11.691,11.26,43316100,10.834854
"2017-04-06",11.712,11.806,11.66,11.27,36165300,10.844477
"2017-04-07",11.702,11.754,11.65,11.23,28874900,10.805985
"2017-04-10",11.702,11.795,11.681,11.25,25857100,10.825231
"2017-04-11",11.712,11.723,11.608,11.28,36366300,10.854098
"2017-04-12",11.712,11.743,11.639,11.23,56588400,10.805985
"2017-04-13",11.66,11.691,11.546,11.11,32789900,10.690516
"2017-04-17",11.66,11.743,11.577,11.28,44731700,10.854098
"2017-04-18",11.433,11.464,11.362,11.14,35660000,10.863851
"2017-04-19",11.474,11.567,11.454,11.19,37524400,10.912611
"2017-04-20",11.536,11.792,11.526,11.47,49990200,11.18567
"2017-04-21",11.751,11.772,11.608,11.34,26076200,11.058892
"2017-04-24",11.772,11.792,11.649,11.43,41071300,11.146662
"2017-04-25",11.762,11.792,11.721,11.48,35862500,11.195421
"2017-04-26",11.762,11.997,11.741,11.6,51685800,11.312448
"2017-04-27",11.956,11.977,11.628,11.47,50203700,11.18567
"2017-04-28",11.803,11.803,11.69,11.47,41133000,11.18567
"2017-05-01",11.782,11.833,11.69,11.42,32118400,11.136909
"2017-05-02",11.587,11.659,11.177,10.92,99514700,10.649303
"2017-05-03",11.198,11.372,11.187,11.07,57290600,10.795585
"2017-05-04",11.372,11.392,11.239,11,34639800,10.727321
"2017-05-05",11.29,11.444,11.259,11.14,28926000,10.863851
"2017-05-08",11.464,11.526,11.372,11.13,35561800,10.854098
"2017-05-09",11.423,11.546,11.382,11.16,44142900,10.883355
"2017-05-10",11.444,11.485,11.31,11.04,34989300,10.766329
"2017-05-11",11.321,11.351,11.249,11.01,29276300,10.737073
"2017-05-12",11.28,11.31,11.177,10.92,34264300,10.649303
"2017-05-15",11.239,11.31,11.198,10.94,27359500,10.668808
"2017-05-16",11.341,11.351,11.177,10.94,42130200,10.668808
"2017-05-17",11.218,11.228,10.941,10.76,54670100,10.493271
"2017-05-18",11.003,11.095,10.972,10.79,37890800,10.522527
"2017-05-19",11.085,11.218,11.064,10.87,32431700,10.600543
"2017-05-22",11.392,11.413,11.259,11.1,73335000,10.824841
"2017-05-23",11.444,11.454,11.249,11.05,40816600,10.776081
"2017-05-24",11.341,11.341,11.146,10.96,46638800,10.688313
"2017-05-25",11.239,11.249,11.034,10.86,46269200,10.590791
"2017-05-26",11.126,11.228,11.085,10.93,28176500,10.659056
"2017-05-30",11.28,11.403,11.269,11.08,36082600,10.805337
"2017-05-31",11.403,11.413,11.28,11.12,36398700,10.844345
"2017-06-01",11.536,11.833,11.382,11.41,76707200,11.127157
"2017-06-02",11.71,11.721,11.526,11.35,45925000,11.068645
"2017-06-05",11.649,11.649,11.515,11.25,42558600,10.971124
"2017-06-06",11.474,11.485,11.331,11.12,44543700,10.844345
"2017-06-07",11.444,11.474,11.3,11.07,37344200,10.795585
"2017-06-08",11.351,11.382,11.187,11.1,40654000,10.824841
"2017-06-09",11.372,11.433,11.29,11.13,30285900,10.854098
"2017-06-12",11.413,11.649,11.413,11.28,38473100,11.00038
"2017-06-13",11.608,11.639,11.433,11.27,29889300,10.990628
"2017-06-14",11.556,11.577,11.341,11.22,44367900,10.941868
"2017-06-15",11.433,11.577,11.423,11.24,28431600,10.961371
"2017-06-16",11.526,11.526,11.351,11.22,54035400,10.941868
"2017-06-19",11.485,11.567,11.464,11.24,30540900,10.961371
"2017-06-20",11.495,11.505,11.372,11.12,31971500,10.844345
"2017-06-21",11.433,11.433,11.28,11.04,37002500,10.766329
"2017-06-22",11.3,11.464,11.28,11.13,26972800,10.854098
"2017-06-23",11.382,11.413,11.28,11.04,45190200,10.766329
"2017-06-26",11.341,11.485,11.341,11.18,31316800,10.90286
"2017-06-27",11.454,11.485,11.341,11.08,28491600,10.805337
"2017-06-28",11.392,11.454,11.351,11.09,31820000,10.815089
"2017-06-29",11.413,11.485,11.351,11.17,32917000,10.893107
"2017-06-30",11.464,11.567,11.444,11.19,41075000,10.912611
"2017-07-03",11.649,11.987,11.536,11.56,43949600,11.273439
"2017-07-05",11.803,11.854,11.546,11.3,39412200,11.019884
"2017-07-06",11.577,11.649,11.454,11.18,31936000,10.90286
"2017-07-07",11.495,11.567,11.444,11.26,20871800,10.980876
"2017-07-10",11.526,11.639,11.515,11.34,18881300,11.058892
"2017-07-11",11.597,11.721,11.587,11.38,25914300,11.0979
"2017-07-12",11.7,11.915,11.69,11.47,33088200,11.18567
"2017-07-13",11.751,11.987,11.741,11.6,33650800,11.312448
"2017-07-14",11.946,12.028,11.895,11.68,39792200,11.390465
"2017-07-17",12.008,12.049,11.946,11.74,24394200,11.448977
"2017-07-18",12.018,12.049,11.967,11.75,24625200,11.458729
"2017-07-19",12.059,12.131,12.038,11.83,26225900,11.536745
"2017-07-20",11.835,11.926,11.805,11.7,30315100,11.5565
"2017-07-21",11.734,11.764,11.602,11.53,27630600,11.388585
"2017-07-24",11.653,11.693,11.41,11.29,48123400,11.151529
"2017-07-25",11.44,11.521,11.359,11.27,52854300,11.131775
"2017-07-26",11.278,11.299,11.086,11.06,72271700,10.924351
"2017-07-27",11.218,11.339,11.167,11.18,38687500,11.042879
"2017-07-28",11.288,11.359,11.197,11.17,24864100,11.033001
"2017-07-31",11.299,11.369,11.268,11.22,39548600,11.082388
"2017-08-01",11.248,11.288,11.005,10.95,65140100,10.815699
"2017-08-02",11.116,11.167,11.066,11,30890500,10.865086
"2017-08-03",11.147,11.187,11.056,10.93,20309300,10.795945
"2017-08-04",11.035,11.126,10.914,10.95,29267600,10.815699
"2017-08-07",11.076,11.116,11.035,10.92,35013000,10.786067
"2017-08-08",11.086,11.137,11.015,10.89,26322100,10.756435
"2017-08-09",11.015,11.086,10.964,10.92,32155900,10.786067
"2017-08-10",11.015,11.045,10.904,10.77,31903800,10.637907
"2017-08-11",10.924,10.975,10.894,10.77,32300100,10.637907
"2017-08-14",10.954,11.086,10.924,10.91,25936900,10.77619
"2017-08-15",11.056,11.137,10.975,10.84,29266300,10.707048
"2017-08-16",10.995,11.035,10.914,10.8,28316300,10.66754
"2017-08-17",10.924,10.934,10.732,10.64,35518800,10.509501
"2017-08-18",10.752,10.762,10.6,10.56,43998700,10.430483
"2017-08-21",10.661,10.792,10.651,10.57,30152500,10.44036
"2017-08-22",10.742,10.863,10.742,10.65,28676100,10.519379
"2017-08-23",10.742,10.914,10.721,10.71,35405800,10.578643
"2017-08-24",10.883,10.934,10.823,10.71,33584400,10.578643
