"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",145.65,145.87,143.76,144.800003,521500,144.800003
"2017-01-04",144.91,146.72,144.29,145.460007,459100,145.460007
"2017-01-05",145.13,146.98,143.92,144.419998,500900,144.419998
"2017-01-06",144.29,145.37,143.88,144.449997,461500,144.449997
"2017-01-09",144.01,144.29,142.07,144.149994,814000,144.149994
"2017-01-10",144.63,145,143.98,144.240005,523300,144.240005
"2017-01-11",144,144.99,143.5,144.029999,465300,144.029999
"2017-01-12",143.82,144.67,141.8,142.990005,425500,142.990005
"2017-01-13",143.56,144.68,142.74,143.369995,451500,143.369995
"2017-01-17",142.87,143.5,140.75,141.630005,717700,141.630005
"2017-01-18",141.5,143.23,141.45,142.839996,659900,142.839996
"2017-01-19",143.17,144.19,141.93,142.539993,589400,142.539993
"2017-01-20",142.97,143.39,141.88,142.100006,434400,142.100006
"2017-01-23",142.08,142.85,140.28,141.139999,669500,141.139999
"2017-01-24",141.54,144.61,141.28,144.149994,594000,144.149994
"2017-01-25",144.96,145.89,143.27,145.75,1187300,145.75
"2017-01-26",139.3,139.87,132.58,133.720001,2724900,133.720001
"2017-01-27",133.28,138.27,133.28,135.539993,1342500,135.539993
"2017-01-30",135.06,135.58,133.75,134.690002,838700,134.690002
"2017-01-31",132.6,135.49,132.51,134.029999,985000,134.029999
"2017-02-01",134.07,134.09,131.54,132.339996,1292800,132.339996
"2017-02-02",130.8,134.79,130.61,134.449997,1159600,134.449997
"2017-02-03",134.4,136.52,134.4,136.229996,969800,136.229996
"2017-02-06",135.54,136.99,135.01,136.679993,960000,136.679993
"2017-02-07",137,138.59,136.78,138.570007,781600,138.570007
"2017-02-08",138.13,139.49,137.86,138.880005,734700,138.880005
"2017-02-09",139.14,140.69,139.14,139.729996,714500,139.729996
"2017-02-10",140,140.25,139.01,139.690002,574200,139.690002
"2017-02-13",140.09,141.88,139.45,140.470001,1021800,140.470001
"2017-02-14",140.43,141.22,140.18,141.100006,580600,141.100006
"2017-02-15",141.3,143.57,140.69,143.130005,870100,143.130005
"2017-02-16",143.34,143.79,141.66,143.240005,463300,143.240005
"2017-02-17",142.87,143.63,141.93,143.350006,512100,143.350006
"2017-02-21",143.31,145.55,142.3,145.050003,487300,145.050003
"2017-02-22",144.66,145.38,143.91,144.839996,623500,144.839996
"2017-02-23",144.94,145.05,143.24,144.199997,426200,144.199997
"2017-02-24",143.73,144.58,143.19,144.410004,635600,144.410004
"2017-02-27",144.46,144.67,143.09,143.610001,420500,143.610001
"2017-02-28",143.27,143.67,142.33,143.270004,589300,143.270004
"2017-03-01",144.01,145.98,143.31,145.080002,527500,145.080002
"2017-03-02",144.79,144.79,142.04,142.100006,459200,142.100006
"2017-03-03",142.5,143.07,140.4,142.869995,772500,142.869995
"2017-03-06",142.66,142.66,141.28,141.339996,556300,141.339996
"2017-03-07",141.09,143.93,140.5,143.600006,663100,143.600006
"2017-03-08",143.46,143.77,142.24,142.880005,568500,142.880005
"2017-03-09",143.11,144.1,142.12,143.759995,454000,143.759995
"2017-03-10",144.58,145.98,144,145.929993,556500,145.929993
"2017-03-13",146,146.99,144.71,146.289993,744100,146.289993
"2017-03-14",145.56,145.73,144.2,145.130005,334800,145.130005
"2017-03-15",145.73,147.02,144.75,146.479996,423200,146.479996
"2017-03-16",146.4,148,145.96,147.820007,611100,147.820007
"2017-03-17",147.91,149.11,147.38,148.789993,660400,148.789993
"2017-03-20",148.66,149.5,147.74,148.75,490700,148.75
"2017-03-21",149.32,149.44,145.57,145.770004,630400,145.770004
"2017-03-22",145.94,146.6,145.03,145.690002,6e+05,145.690002
"2017-03-23",145.48,148.2,145.05,146.550003,662400,146.550003
"2017-03-24",146.96,148.19,145.57,146.570007,389500,146.570007
"2017-03-27",145.64,147.09,144.16,146.520004,617700,146.520004
"2017-03-28",146.5,147.54,145,147.130005,396600,147.130005
"2017-03-29",141.19,143.5,140.63,142.100006,1488000,142.100006
"2017-03-30",141.72,142.9,141.56,142.479996,507900,142.479996
"2017-03-31",142.66,143.05,141.94,142.570007,592300,142.570007
"2017-04-03",142.73,142.92,139.86,141.020004,682600,141.020004
"2017-04-04",140.98,141.57,139.12,139.429993,701300,139.429993
"2017-04-05",139.89,141.15,137.76,138.089996,889300,138.089996
"2017-04-06",138.3,139.15,137.19,138.300003,854200,138.300003
"2017-04-07",137.9,138.06,136.97,137.029999,633500,137.029999
"2017-04-10",137.37,137.84,136.28,136.860001,613700,136.860001
"2017-04-11",136.88,137.25,135.7,136.679993,827900,136.679993
"2017-04-12",137.24,137.28,134.73,134.880005,947200,134.880005
"2017-04-13",135.07,136.41,134.3,134.429993,989000,134.429993
"2017-04-17",134.98,136.35,134.43,135.979996,733900,135.979996
"2017-04-18",135.79,136.34,135.09,135.429993,707400,135.429993
"2017-04-19",135.61,136.73,135.58,135.929993,887500,135.929993
"2017-04-20",136.62,137.21,136.03,136.869995,1227000,136.869995
"2017-04-21",136.79,137.1,136.13,136.539993,811700,136.539993
"2017-04-24",137.92,138.54,136.93,137.929993,999600,137.929993
"2017-04-25",137.52,139.34,137.51,138.190002,1056100,138.190002
"2017-04-26",138.68,139.09,137.3,137.300003,1433800,137.300003
"2017-04-27",126.01,130.05,125.3,126.989998,3780000,126.989998
"2017-04-28",126.96,129.68,126.68,129.130005,1684200,129.130005
"2017-05-01",128.91,130.3,127.11,127.400002,1277400,127.400002
"2017-05-02",126.15,127.68,125.6,127.5,1151500,127.5
"2017-05-03",126.67,127.79,126.29,126.989998,977800,126.989998
"2017-05-04",127.12,127.7,125.97,126.419998,1130000,126.419998
"2017-05-05",126.99,128.72,126.63,128.570007,1109300,128.570007
"2017-05-08",128.58,129.84,128.09,129.759995,1221700,129.759995
"2017-05-09",129.98,131.49,129.52,130.839996,1022500,130.839996
"2017-05-10",130.59,131.67,129.46,131.600006,1251700,131.600006
