"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",73.18,74.173,72.831,71.730003,2397700,70.024757
"2017-01-04",73.897,75.372,73.661,73,1658300,71.264572
"2017-01-05",73.548,74.081,72.647,71.769997,1781700,70.063812
"2017-01-06",73.661,73.682,72.463,70.790001,1452100,69.107094
"2017-01-09",72.606,72.831,72.248,70.870003,1012400,69.185204
"2017-01-10",72.452,72.985,72.248,70.940002,1694600,69.25354
"2017-01-11",72.355,72.488,71.172,70.370003,1405900,68.964432
"2017-01-12",71.814,72.212,71.243,70.349998,1079900,68.944832
"2017-01-13",71.61,72.263,71.437,70.550003,831700,69.140831
"2017-01-17",71.988,73.314,70.876,69.730003,1823900,68.337212
"2017-01-18",71.019,71.559,70.406,69.349998,1773600,67.964798
"2017-01-19",70.763,71.07,69.682,68.550003,1801600,67.180786
"2017-01-20",70.039,70.896,69.927,69.139999,1136300,67.759003
"2017-01-23",70.141,70.437,69.661,68.790001,1647800,67.415993
"2017-01-24",69.814,70.539,69.692,68.860001,1475100,67.484589
"2017-01-25",70.916,71.059,70.243,69.199997,1525300,67.817787
"2017-01-26",70.743,71.274,70.437,69.190002,1451000,67.808006
"2017-01-27",70.57,70.876,69.314,68.010002,881400,66.651566
"2017-01-30",69.1,69.417,68.355,67.919998,1955500,66.563362
"2017-01-31",67.437,70.008,67.223,68.540001,1790400,67.170982
"2017-02-01",70.049,70.274,68.947,68.309998,1950800,66.945572
"2017-02-02",70.835,71.386,70.059,69.279999,1891500,67.896194
"2017-02-03",70.682,71.58,70.57,69.540001,1653700,68.151009
"2017-02-06",70.437,70.896,69.886,68.720001,1450400,67.347382
"2017-02-07",70.478,70.723,69.437,68.330002,1640200,66.965179
"2017-02-08",69.692,71.406,68.549,69.669998,1602900,68.278412
"2017-02-09",71.192,73.508,71.151,71.290001,2235800,69.866051
"2017-02-10",72.804,73.284,72.192,71.220001,1749900,69.797455
"2017-02-13",72.865,73.08,71.763,70.43,1231700,69.023232
"2017-02-14",71.855,72.661,71.335,70.639999,1696300,69.229042
"2017-02-15",71.876,72.437,71.519,70.370003,1237200,68.964432
"2017-02-16",72.049,73.498,71.539,70.5,1704800,69.091835
"2017-02-17",71.876,72.447,71.437,71,1357800,69.581841
"2017-02-21",73.069,73.569,72.141,71.199997,2497100,69.777847
"2017-02-22",72.916,72.937,71.876,71.019997,2219500,69.601448
"2017-02-23",72.447,72.61,69.906,68.580002,4304000,67.210182
"2017-02-24",72.386,76.906,71.804,75.010002,9186000,73.511757
"2017-02-27",76.478,78.161,76.335,76.010002,3685200,74.491776
"2017-02-28",77.294,77.416,76.325,75.669998,2220900,74.158562
"2017-03-01",77.478,77.896,76.651,75.989998,1730400,74.472176
"2017-03-02",77.722,78.763,77.355,76.599998,1424200,75.069984
"2017-03-03",78.314,78.569,77.61,76.57,1168900,75.040588
"2017-03-06",77.661,77.845,77.11,76.029999,1525300,74.511375
"2017-03-07",77.416,77.916,76.998,75.720001,1136100,74.207565
"2017-03-08",77.651,79.284,77.243,77.260002,1694200,75.716812
"2017-03-09",78.773,79.018,77.957,76.480003,1187800,74.952385
"2017-03-10",78.355,78.743,77.712,76.989998,1221800,75.452202
"2017-03-13",78.273,78.355,77.161,75.970001,1313500,74.452576
"2017-03-14",77.763,78.018,77.222,75.860001,1077600,74.344772
"2017-03-15",77.294,78.008,76.661,76.239998,1168200,74.717178
"2017-03-16",77.651,78.018,77.1,75.800003,993100,74.285973
"2017-03-17",77.661,77.753,76.273,75.669998,2240400,74.158562
"2017-03-20",77.386,77.457,75.243,73.980003,2563300,72.502319
"2017-03-21",75.855,75.988,73.876,73.449997,1856800,71.982903
"2017-03-22",73.825,74.406,73.11,72.830002,2224800,71.37529
"2017-03-23",74.518,74.835,73.906,72.860001,1030500,71.404701
"2017-03-24",73.957,74.6,73.62,72.589996,1191000,71.140083
"2017-03-27",73.457,74.549,72.865,72.800003,1518400,71.345894
"2017-03-28",74.284,74.865,73.957,73.139999,1134500,71.6791
"2017-03-29",74.865,77.1,74.825,75.389999,2589400,73.884163
"2017-03-30",76.376,77.192,76.09,75.370003,1349500,73.864555
"2017-03-31",76.865,77.182,76.161,74.809998,1127700,73.315742
"2017-04-03",76.294,76.467,74.743,74.349998,2406400,72.864929
"2017-04-04",75.386,75.865,73.855,72.449997,2723800,71.002876
"2017-04-05",74.253,74.488,72.61,71.199997,1546100,69.777847
"2017-04-06",73.161,74.876,72.978,72.290001,2383800,70.846077
"2017-04-07",73.672,73.998,72.967,72.260002,2727000,70.816681
"2017-04-10",73.916,75.151,73.886,72.559998,1849200,71.110687
"2017-04-11",73.336,73.692,72.778,72.480003,1669600,71.337067
"2017-04-12",74.21,74.322,73.164,72.599998,2211500,71.45517
"2017-04-13",73.753,74.068,73.164,72.089996,1470000,70.953209
"2017-04-17",73.225,73.773,72.757,72.529999,1327100,71.386276
"2017-04-18",73.631,74.088,73.042,72.589996,1489400,71.44532
"2017-04-19",73.834,74.281,73.336,72.650002,1309600,71.504379
"2017-04-20",75.694,78.234,75.562,76.550003,6486200,75.34288
"2017-04-21",77.522,77.573,76.74,75.839996,3016200,74.644073
"2017-04-24",77.939,78.132,77.106,76.419998,1524300,75.214928
"2017-04-25",78.03,78.356,77.472,76.599998,1255600,75.39209
"2017-04-26",78.315,78.864,77.787,76.919998,1380300,75.707039
"2017-04-27",78.64,78.64,77.766,76.690002,1303500,75.480667
"2017-04-28",78,79.107,77.421,77.339996,1906100,76.120422
"2017-05-01",78.549,78.64,77.675,76.459999,1037600,75.254295
"2017-05-02",77.512,77.98,77.106,76.730003,1005200,75.520042
"2017-05-03",78.061,78.406,77.655,76.830002,830300,75.618469
"2017-05-04",78.102,78.274,76.984,76.129997,1146600,74.929497
"2017-05-05",77.705,78.193,77.055,76.760002,822700,75.549576
"2017-05-08",78.102,78.102,77.268,76.529999,718100,75.323196
"2017-05-09",78,78.406,77.756,76.669998,910600,75.460983
