"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",20.719,20.989,20.595,19.93,2099300,19.228399
"2017-01-04",20.668,20.937,20.636,20.049999,2281100,19.344173
"2017-01-05",20.688,20.833,20.554,19.92,3397500,19.218752
"2017-01-06",20.647,20.678,20.367,19.67,1571800,18.977551
"2017-01-09",20.315,20.377,20.077,19.440001,1833100,18.755648
"2017-01-10",20.17,20.305,20.097,19.549999,2483300,18.861774
"2017-01-11",20.222,20.647,20.222,19.780001,1559200,19.083681
"2017-01-12",20.388,20.533,20.243,19.780001,1024300,19.083681
"2017-01-13",20.75,20.896,20.678,20.040001,1499500,19.334526
"2017-01-17",20.761,20.782,20.201,19.66,1788600,18.967901
"2017-01-18",20.388,20.533,20.18,19.809999,1358400,19.112623
"2017-01-19",20.554,20.616,20.222,19.639999,1108600,18.948606
"2017-01-20",20.45,20.73,20.377,19.799999,1108500,19.102974
"2017-01-23",20.429,20.647,20.398,19.84,1124300,19.141565
"2017-01-24",20.543,20.864,20.471,19.9,1662500,19.199453
"2017-01-25",20.657,20.771,20.554,19.959999,904500,19.257343
"2017-01-26",20.699,20.74,20.543,19.98,1210400,19.276638
"2017-01-27",20.73,20.74,20.481,19.969999,1333700,19.266989
"2017-01-30",20.688,20.688,20.419,19.940001,1159500,19.238047
"2017-01-31",20.595,20.854,20.481,20.110001,1732100,19.402063
"2017-02-01",20.823,21.051,20.647,20.040001,1396100,19.334526
"2017-02-02",20.813,20.999,20.782,20.17,1406400,19.459948
"2017-02-03",21.02,21.113,20.823,20.24,1425300,19.527483
"2017-02-06",21.01,21.03,20.823,20.17,1027700,19.459948
"2017-02-07",20.947,21.103,20.823,20.24,1401500,19.527483
"2017-02-08",20.979,21.072,20.792,20.33,1151200,19.614315
"2017-02-09",21.072,21.486,21.072,20.700001,1270400,19.971292
"2017-02-10",21.59,21.673,21.424,20.709999,1728400,19.980938
"2017-02-13",21.362,21.766,21.238,20.84,2722400,20.106363
"2017-02-14",20.616,20.937,19.33,18.99,6282400,18.321491
"2017-02-15",19.724,20.16,19.59,19.299999,3895300,18.620575
"2017-02-16",20.004,20.129,19.776,19.41,1756200,18.726704
"2017-02-17",19.994,20.346,19.828,19.57,1931100,18.881069
"2017-02-21",20.326,20.502,20.118,19.459999,1259900,18.774942
