"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",147.442,147.978,145.987,143.399994,518600,139.002319
"2017-01-04",148.153,149.164,147.72,144.220001,410100,139.79718
"2017-01-05",147.617,150.083,146.523,145.289993,451000,140.834351
"2017-01-06",149.309,150.413,148.587,144.490005,414000,140.058899
"2017-01-09",149.526,149.598,147.05,142.679993,363800,138.304398
"2017-01-10",146.915,146.988,145.244,141.190002,394300,136.860092
"2017-01-11",145.471,146.358,144.017,139.770004,309400,135.483658
"2017-01-12",144.192,145.1,143.284,140.619995,329400,136.307556
"2017-01-13",144.522,145.337,143.748,140.179993,300700,135.881058
"2017-01-17",145.141,145.977,145.028,141.289993,378400,136.957016
"2017-01-18",146.039,146.204,144.801,141.529999,289100,137.189667
"2017-01-19",145.461,145.461,143.377,139.25,279000,134.979599
"2017-01-20",143.8,145.275,143.656,140.720001,313200,136.40451
"2017-01-23",144.646,146.493,144.646,141.720001,259400,137.373825
"2017-01-24",146.224,146.926,144.821,140.960007,411300,136.637161
"2017-01-25",145.585,146.059,144.44,140.770004,414800,136.452988
"2017-01-26",145.306,146.1,144.728,140.800003,295000,136.482071
"2017-01-27",145.75,145.75,143.573,139.690002,279500,135.406097
"2017-01-30",143.449,144.316,142.727,139.139999,320000,134.872955
"2017-01-31",143.852,145.203,143.738,140.429993,1552200,136.123383
"2017-02-01",144.151,144.924,141.376,137.5,557900,133.283264
"2017-02-02",142.108,144.553,142.067,140.110001,434200,135.813217
"2017-02-03",145.275,145.719,143.676,139.940002,325100,135.648438
"2017-02-06",144.336,144.945,143.759,139.789993,253300,135.503036
"2017-02-07",144.625,145.131,143.511,139.679993,314600,135.396408
"2017-02-08",144.161,145.141,143.81,140.330002,297600,136.026474
"2017-02-09",144.914,146.575,144.45,142.020004,283500,137.664658
"2017-02-10",146.08,147.514,146.018,142.960007,251600,138.575806
"2017-02-13",147.854,147.854,146.018,142.949997,347100,138.566116
"2017-02-14",146.616,147.524,144.44,141.080002,511000,136.753479
"2017-02-15",144.532,145.296,143.532,139.979996,489300,135.687195
"2017-02-16",144.78,145.977,144.584,140.5,304700,136.191254
"2017-02-17",145.368,145.667,143.666,140.660004,378100,136.346344
"2017-02-21",144.955,147.194,144.594,142.5,440700,138.129929
"2017-02-22",146.771,147.772,145.069,141.550003,350600,137.209061
"2017-02-23",146.709,147.287,145.791,142.399994,357500,138.032974
"2017-02-24",147.184,147.184,145.791,142.339996,332500,137.974823
"2017-02-27",147.204,148.339,146.08,142.220001,362900,137.858521
"2017-02-28",146.833,146.833,144.553,140.729996,418500,136.4142
"2017-03-01",144.316,144.429,142.675,138.970001,626900,134.708176
"2017-03-02",142.748,142.933,140.509,136.759995,584800,132.565948
