"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",24.714,24.977,24.442,24.43,944000,24.218004
"2017-01-04",24.614,24.896,24.614,24.57,582800,24.356789
"2017-01-05",24.815,24.987,24.694,24.629999,423100,24.416269
"2017-01-06",24.856,24.926,24.614,24.65,591000,24.436094
"2017-01-09",24.896,25.007,24.815,24.66,454000,24.446007
"2017-01-10",24.805,25.017,24.694,24.559999,591900,24.346876
"2017-01-11",24.664,24.896,24.664,24.639999,780200,24.42618
"2017-01-12",24.755,25.068,24.735,24.790001,524900,24.574881
"2017-01-13",24.936,25.108,24.876,24.690001,355600,24.475748
"2017-01-17",24.886,24.936,24.644,24.559999,799200,24.346876
"2017-01-18",24.815,24.906,24.664,24.6,827500,24.38653
"2017-01-19",24.876,24.946,24.331,24.209999,869900,23.99991
"2017-01-20",24.371,24.583,24.261,24.07,764600,23.861128
"2017-01-23",24.271,24.392,23.938,23.790001,819800,23.583559
"2017-01-24",23.988,24.442,23.857,24.139999,793900,23.930521
"2017-01-25",24.361,24.795,24.361,24.540001,645400,24.327051
"2017-01-26",24.664,24.866,24.503,24.43,640200,24.218004
"2017-01-27",24.583,24.725,24.513,24.469999,843800,24.257656
"2017-01-30",24.472,24.876,24.18,24.65,1442900,24.436094
"2017-01-31",24.825,24.977,24.644,24.68,886000,24.465837
"2017-02-01",25.017,25.037,24.684,24.629999,728800,24.416269
"2017-02-02",24.775,25.118,24.664,24.5,866200,24.287397
"2017-02-03",24.765,25.289,24.694,25.02,941600,24.802883
"2017-02-06",25.138,25.451,25.138,25.049999,945600,24.832624
"2017-02-07",25.219,25.431,25.178,25.059999,854500,24.842537
"2017-02-08",25.34,25.34,25.017,24.809999,2333400,24.594707
"2017-02-09",25.027,25.592,25.017,25.200001,1089800,24.981321
"2017-02-10",25.844,26.026,24.15,24.459999,3479700,24.247742
"2017-02-13",24.513,25.199,23.998,23.84,3831400,23.633123
"2017-02-14",23.938,24.129,23.746,23.77,3422400,23.563734
"2017-02-15",23.988,24.17,23.968,23.91,2578600,23.702517
"2017-02-16",24.008,24.261,24.008,23.969999,2030100,23.761993
"2017-02-17",24.16,24.271,24.109,23.969999,1674000,23.761993
"2017-02-21",24.2,24.382,24.139,24.059999,5183500,23.851213
"2017-02-22",24.25,24.493,24.24,24.26,1359100,24.04948
"2017-02-23",24.543,24.886,24.523,24.57,2171900,24.356789
"2017-02-24",24.714,25.057,24.583,24.84,1322100,24.624447
"2017-02-27",25.027,25.269,24.926,24.719999,1075700,24.505487
"2017-02-28",24.997,24.997,24.422,24.24,1688300,24.029652
"2017-03-01",24.603,24.805,24.472,24.35,1943400,24.138699
"2017-03-02",24.543,24.644,24.432,24.299999,1369000,24.08913
"2017-03-03",24.614,24.624,24.442,24.27,1001500,24.059393
"2017-03-06",24.341,24.371,24.21,24.049999,732700,23.841301
"2017-03-07",24.23,24.361,24.15,23.969999,1172800,23.761993
"2017-03-08",24.019,24.351,24.019,24.129999,3256800,23.980633
"2017-03-09",24.29,24.351,24.099,23.959999,901700,23.811686
"2017-03-10",24.019,24.25,23.968,23.969999,1354700,23.821623
"2017-03-13",24.109,24.17,23.767,23.82,1012700,23.672552
"2017-03-14",24.029,24.029,23.888,23.790001,810100,23.642742
"2017-03-15",23.988,24.17,23.868,23.99,1060600,23.841501
"2017-03-16",24.22,24.31,24.129,24.139999,851700,23.990574
"2017-03-17",24.371,24.632,24.25,24.450001,979200,24.298655
"2017-03-20",24.602,24.602,24.321,24.209999,940600,24.060139
"2017-03-21",24.391,24.451,24.19,24.16,444700,24.01045
"2017-03-22",24.321,24.471,24.27,24.23,635300,24.080013
"2017-03-23",24.381,24.612,24.29,24.309999,611000,24.159521
"2017-03-24",24.471,24.683,24.431,24.299999,532200,24.149582
"2017-03-27",24.22,24.461,24.109,24.24,396900,24.089954
"2017-03-28",24.351,24.482,24.31,24.25,596800,24.099894
"2017-03-29",24.391,24.522,24.28,24.32,962600,24.169456
"2017-03-30",24.582,24.904,24.582,24.74,819600,24.586859
"2017-03-31",24.894,25.045,24.804,24.76,718300,24.606735
"2017-04-03",24.894,24.914,24.079,24,1319600,23.85144
"2017-04-04",24.059,24.18,23.807,23.76,1640100,23.612925
"2017-04-05",24.049,24.109,23.687,23.549999,1176300,23.404224
"2017-04-06",23.697,23.747,23.495,23.370001,1128200,23.22534
"2017-04-07",23.506,23.999,23.485,23.83,1792400,23.682491
"2017-04-10",24.019,24.421,23.918,24.200001,1791400,24.050203
"2017-04-11",24.29,24.522,24.27,24.34,1315800,24.189335
"2017-04-12",24.492,24.612,24.129,24.02,998200,23.871315
"2017-04-13",24.069,24.18,23.968,23.83,588400,23.682491
"2017-04-17",24.059,24.119,23.827,23.690001,951700,23.543358
"2017-04-18",23.787,23.918,23.656,23.74,1514900,23.59305
"2017-04-19",23.948,24.25,23.948,24.1,706400,23.950821
"2017-04-20",24.351,24.502,24.26,24.290001,446700,24.139647
"2017-04-21",24.482,24.572,24.341,24.219999,822300,24.070076
"2017-04-24",24.582,24.653,24.361,24.25,584900,24.099894
"2017-04-25",24.482,24.622,24.431,24.35,816600,24.199274
"2017-04-26",24.552,24.834,24.502,24.6,684200,24.447725
"2017-04-27",24.743,25.005,24.632,24.57,544100,24.417912
"2017-04-28",24.743,24.743,24.411,24.42,530900,24.268841
"2017-05-01",24.632,24.753,24.532,24.51,475700,24.358284
"2017-05-02",24.663,24.793,24.582,24.549999,433400,24.398035
"2017-05-03",24.663,24.783,24.431,24.610001,755000,24.457664
"2017-05-04",24.783,25.236,24.703,25.07,999700,24.914816
"2017-05-05",25.397,25.629,24.924,25.030001,1021500,24.875065
"2017-05-08",25.206,25.961,25.206,25.540001,1718700,25.381907
"2017-05-09",25.699,25.88,25.478,25.530001,1095500,25.371969
"2017-05-10",25.639,25.83,25.609,25.52,747800,25.362032
"2017-05-11",25.629,25.78,25.538,25.57,783100,25.411722
"2017-05-12",25.679,25.77,25.518,25.559999,717800,25.401783
"2017-05-15",25.739,26.172,25.719,26.01,944300,25.848997
"2017-05-16",26.222,26.333,26.172,26.120001,1052800,25.958317
"2017-05-17",26.112,26.554,26.011,26.26,1411200,26.09745
"2017-05-18",26.363,26.595,26.253,26.379999,1400100,26.216707
"2017-05-19",26.635,26.786,26.524,26.51,1192900,26.345903
"2017-05-22",26.705,26.977,26.635,26.799999,1329600,26.634106
"2017-05-23",27.017,27.369,26.937,26.82,1383300,26.653982
"2017-05-24",26.997,27.279,26.927,27.040001,948200,26.872623
"2017-05-25",27.299,27.41,27.148,27.07,785600,26.902435
"2017-05-26",27.208,27.369,27.148,27.129999,668600,26.962063
"2017-05-30",27.359,27.51,27.279,27.26,719100,27.091261
"2017-05-31",27.47,27.621,27.329,27.32,761700,27.150887
"2017-06-01",27.591,27.893,27.52,27.690001,795100,27.518597
"2017-06-02",27.883,27.993,27.712,27.59,711000,27.419216
"2017-06-05",27.752,27.802,27.641,27.52,648900,27.349651
"2017-06-06",27.631,27.792,27.42,27.26,1323900,27.091261
"2017-06-07",27.45,27.712,27.329,27.450001,772700,27.280085
"2017-06-08",27.42,27.45,27.129,27.24,695700,27.130686
"2017-06-09",27.34,27.39,27.069,27.09,722500,26.981287
"2017-06-12",27.179,27.29,26.968,27.129999,1068700,27.021128
"2017-06-13",27.279,27.641,27.119,27.450001,1165800,27.339846
"2017-06-14",27.581,27.671,27.36,27.34,814000,27.230286
"2017-06-15",27.32,27.671,27.259,27.5,889600,27.389645
"2017-06-16",27.581,27.581,26.938,27.049999,1501500,26.941448
"2017-06-19",27.059,27.43,27.059,27.25,1048700,27.140646
"2017-06-20",27.249,27.42,27.119,27.25,839000,27.140646
"2017-06-21",27.4,27.551,27.32,27.290001,656400,27.180487
"2017-06-22",27.34,27.641,27.32,27.469999,922600,27.359762
"2017-06-23",27.51,27.852,27.48,27.719999,1029800,27.608759
"2017-06-26",27.852,28.213,27.832,28.01,1113800,27.897598
"2017-06-27",28.123,28.294,27.952,27.84,991900,27.728279
"2017-06-28",28.022,28.384,27.992,28.16,860900,28.046993
"2017-06-29",28.273,28.304,27.802,27.889999,736800,27.778076
"2017-06-30",28.032,28.103,27.872,27.83,646700,27.718319
"2017-07-03",27.962,28.273,27.932,27.879999,519400,27.768116
"2017-07-05",27.992,28.173,27.802,27.77,797200,27.65856
"2017-07-06",27.741,27.852,27.571,27.5,1540900,27.389645
"2017-07-07",27.731,27.802,27.641,27.58,637300,27.469322
"2017-07-10",27.691,27.812,27.44,27.389999,928600,27.280085
"2017-07-11",27.51,27.822,27.5,27.610001,652700,27.499203
"2017-07-12",27.822,28.083,27.802,27.790001,431000,27.67848
"2017-07-13",28.002,28.073,27.832,27.77,561300,27.65856
"2017-07-14",27.872,28.103,27.862,27.9,393600,27.788038
"2017-07-17",28.002,28.223,27.942,28.01,513700,27.897598
"2017-07-18",28.113,28.163,27.982,28.040001,603900,27.927477
"2017-07-19",28.153,28.434,28.123,28.24,336700,28.126675
"2017-07-20",28.344,28.816,28.284,28.5,609400,28.38563
"2017-07-21",28.605,28.876,28.504,28.610001,554800,28.49519
"2017-07-24",28.725,28.926,28.665,28.66,854400,28.544989
"2017-07-25",28.826,29.006,28.705,28.74,632700,28.624666
"2017-07-26",28.846,29.117,28.826,28.93,517200,28.813906
"2017-07-27",29.077,29.237,28.836,28.889999,620100,28.774065
"2017-07-28",28.966,29.037,28.826,28.85,372300,28.734226
"2017-07-31",29.006,29.217,28.936,29,447500,28.883623
"2017-08-01",29.267,29.338,29.016,29.139999,619700,29.02306
"2017-08-02",29.227,29.298,28.966,28.870001,1064300,28.754147
"2017-08-03",29.478,32.059,29.117,29.99,3813200,29.86965
"2017-08-04",30.121,30.261,29.408,29.360001,914000,29.24218
"2017-08-07",29.539,29.769,29.418,29.469999,530100,29.351736
"2017-08-08",29.589,29.92,29.589,29.709999,608200,29.590773
"2017-08-09",29.749,29.81,29.488,29.5,876800,29.381618
"2017-08-10",29.518,29.689,29.398,29.4,1218200,29.282019
"2017-08-11",29.338,29.619,29.127,29.32,1266000,29.202339
"2017-08-14",29.629,29.749,29.448,29.43,916900,29.311897
"2017-08-15",28.404,29.077,28.364,28.549999,4340400,28.435429
"2017-08-16",28.826,29.107,28.755,28.709999,1678200,28.594788
"2017-08-17",28.856,29.026,28.655,28.540001,1307600,28.42547
"2017-08-18",28.595,28.806,28.424,28.49,759900,28.375669
"2017-08-21",28.565,28.715,28.404,28.42,737100,28.305952
"2017-08-22",28.635,28.765,28.474,28.6,1053800,28.485229
"2017-08-23",28.575,28.715,28.374,28.34,1095500,28.226273
"2017-08-24",28.595,28.665,28.334,28.34,968100,28.226273
"2017-08-25",28.524,28.645,28.444,28.389999,753900,28.276072
"2017-08-28",28.555,28.585,28.364,28.309999,786500,28.196392
"2017-08-29",28.273,28.514,28.223,28.379999,973200,28.266111
"2017-08-30",28.474,28.514,28.294,28.26,3223700,28.146593
"2017-08-31",28.535,28.685,28.424,28.450001,1079700,28.335831
"2017-09-01",28.705,28.705,28.444,28.459999,514400,28.345789
"2017-09-05",28.474,28.524,28.123,28.17,766900,28.056953
"2017-09-06",28.334,28.404,28.022,28.049999,1366100,27.937435
"2017-09-07",28.133,28.183,27.922,28.110001,905400,28.057211
"2017-09-08",28.163,28.183,27.993,27.969999,793000,27.917473
"2017-09-11",28.173,28.333,28.083,28.190001,1810300,28.13706
"2017-09-12",28.333,28.534,28.253,28.34,748600,28.286779
"2017-09-13",28.363,28.463,28.293,28.24,951200,28.186966
"2017-09-14",28.213,28.463,28.103,28.059999,873700,28.007303
"2017-09-15",28.053,28.243,27.882,28.08,1470900,28.027267
"2017-09-18",28.183,28.303,28.093,28.16,620900,28.107117
"2017-09-19",28.233,28.383,28.093,28.09,1614600,28.037249
"2017-09-20",28.123,28.504,28.123,28.26,1110000,28.206928
"2017-09-21",28.243,28.413,28.173,28.18,532700,28.127079
"2017-09-22",28.213,28.353,28.143,28.209999,478100,28.157022
"2017-09-25",28.393,28.624,28.223,28.52,1030100,28.46644
"2017-09-26",28.634,28.824,28.564,28.67,1087800,28.616159
"2017-09-27",28.754,28.954,28.704,28.75,1255700,28.696009
"2017-09-28",28.754,28.864,28.674,28.629999,7e+05,28.576233
"2017-09-29",28.664,28.904,28.664,28.75,575300,28.696009
"2017-10-02",28.804,29.035,28.804,28.92,709500,28.86569
"2017-10-03",29.035,29.165,28.984,28.940001,624700,28.885653
"2017-10-04",28.994,29.325,28.984,29.23,858300,29.175106
"2017-10-05",29.255,29.405,29.245,29.26,456200,29.205051
"2017-10-06",29.305,29.475,29.185,29.139999,650100,29.085276
"2017-10-09",29.235,29.405,29.165,29.25,366500,29.19507
"2017-10-10",29.405,29.485,29.315,29.309999,522300,29.254957
"2017-10-11",29.365,29.435,29.235,29.27,498100,29.215033
