"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",177.382,179.752,177.25,175.449997,1321800,172.490417
"2017-01-04",179.162,179.284,177.199,175.539993,1238500,172.578903
"2017-01-05",178.796,181.42,178.104,176.139999,1279700,173.168793
"2017-01-06",179.02,180.82,178.755,177.460007,998600,174.466522
"2017-01-09",179.63,180.546,178.725,176.070007,1072100,173.099976
"2017-01-10",179.803,180.952,178.766,176.360001,1094600,173.385071
"2017-01-11",179.355,180.149,178.277,177.070007,1425700,174.083115
"2017-01-12",180.271,180.271,176.579,176.520004,1275700,173.542374
"2017-01-13",179.803,181.135,179.437,177.889999,952900,174.889267
"2017-01-17",180.037,181.044,177.972,175.970001,1199900,173.001648
"2017-01-18",177.406,178.338,176.525,175.990005,949900,173.77182
"2017-01-19",179.259,180.637,178.145,177.809998,1523600,175.568878
"2017-01-20",180.586,181.204,179.107,178.279999,1755400,176.032959
"2017-01-23",180.799,181.477,178.348,177.229996,1265500,174.996185
"2017-01-24",178.591,180.698,178.095,177.25,1213800,175.015945
"2017-01-25",178.672,179.462,174.631,175.320007,2656100,173.11026
"2017-01-26",177.74,179.887,177.487,177.300003,1844700,175.065308
"2017-01-27",178.561,189.762,177.943,185.139999,4340200,182.806488
"2017-01-30",187.594,188.688,182.986,182.470001,2802800,180.170151
"2017-01-31",183.452,183.786,181.184,181.080002,2235800,178.797668
"2017-02-01",183.624,184.769,182.45,181.029999,1244300,178.748306
"2017-02-02",183.057,183.624,181.396,180.360001,1129600,178.086746
"2017-02-03",182.328,185.589,182.318,183.119995,1544700,180.811951
"2017-02-06",185.741,186.967,185.002,183.039993,1106800,180.732941
"2017-02-07",186.258,187.361,185.437,183.210007,1532600,180.900833
"2017-02-08",185.235,186.288,184.262,183.139999,1249600,180.831711
"2017-02-09",186.025,186.187,184.749,182.589996,1310500,180.288635
"2017-02-10",185.174,187.017,184.485,184.399994,1414100,182.075806
"2017-02-13",187.007,189.893,187.007,186.600006,1272300,184.248093
"2017-02-14",189.438,189.873,186.967,187.229996,1391200,184.870132
"2017-02-15",189.144,190.704,188.617,187.990005,998600,185.620575
"2017-02-16",190.45,191.169,188.81,188.740005,1153500,186.36113
"2017-02-17",191.007,191.514,189.792,189.059998,1163300,186.677094
"2017-02-21",191.433,192.365,191.007,189.589996,1102800,187.200394
"2017-02-22",192,192.405,191.149,189.889999,765700,187.496613
"2017-02-23",192.294,193.023,189.924,188.300003,1157700,185.926666
"2017-02-24",190.299,192.132,189.397,189.630005,1147500,187.239899
"2017-02-27",192.071,193.327,190.673,190.399994,1605000,188.000198
"2017-02-28",192.618,193.752,191.716,189.809998,1874400,187.417633
"2017-03-01",192.932,195.636,192.668,192.410004,2088600,189.984848
"2017-03-02",194.653,195.109,193.104,191.050003,1064900,188.642014
"2017-03-03",193.428,193.489,191.149,189.649994,1501800,187.259644
"2017-03-06",191.696,193.752,191.423,190.940002,1126100,188.533386
"2017-03-07",193.337,194.653,192.861,191.470001,926600,189.056702
"2017-03-08",193.762,193.833,192.506,190.380005,925800,187.980469
"2017-03-09",192.962,193.772,192.253,190.339996,843200,187.940948
"2017-03-10",194.299,194.299,192.04,190.839996,835600,188.434647
"2017-03-13",193.266,194.127,193.053,191.559998,853000,189.145584
"2017-03-14",193.266,193.438,191.747,189.75,1055100,187.358368
"2017-03-15",192.506,194.451,192.172,191.660004,985900,189.244308
"2017-03-16",194.42,194.633,192.344,190.649994,1082600,188.247025
"2017-03-17",193.752,196.476,193.337,193.270004,1824500,190.834015
"2017-03-20",195.666,196.122,194.218,191.979996,930500,189.560272
"2017-03-21",194.805,195.626,190.653,188.690002,1266500,186.311737
"2017-03-22",191.291,192.557,190.349,189.600006,835900,187.210281
"2017-03-23",191.959,193.043,191.423,189.559998,794500,187.170792
"2017-03-24",191.959,192.324,188.729,187.520004,1498600,185.156494
"2017-03-27",187.25,188.557,186.065,185.490005,1930600,183.1521
"2017-03-28",187.362,191.868,187.24,188.440002,1231000,186.064896
"2017-03-29",190.4,191.332,189.59,188.289993,869700,185.916779
"2017-03-30",190.845,191.716,190.602,188.779999,926000,186.40062
"2017-03-31",190.795,190.967,188.8,187.199997,2063800,184.840515
"2017-04-03",189.873,190.602,188.638,187.740005,1259500,185.373734
"2017-04-04",190.136,190.734,188.719,187.720001,1073600,185.353989
"2017-04-05",189.165,190.879,187.259,185.850006,932000,184.332397
"2017-04-06",187.4,188.671,187.38,186.300003,745700,184.778717
"2017-04-07",190.354,190.979,188.136,188.039993,1189400,186.504501
"2017-04-10",189.639,190.405,188.802,187.660004,911100,186.127609
"2017-04-11",188.983,190.496,188.207,188.380005,810600,186.841736
"2017-04-12",189.981,190.254,187.662,186.339996,1121000,184.81839
"2017-04-13",187.572,189.558,187.168,186.729996,1173300,185.2052
"2017-04-17",188.721,190.526,188.409,188.889999,843900,187.347549
"2017-04-18",189.85,191.161,188.61,187.380005,1199400,185.849899
"2017-04-19",189.386,189.79,188.57,187.75,1239800,186.216873
"2017-04-20",189.568,190.596,188.923,188.130005,984000,186.593765
"2017-04-21",190.395,191.463,189.749,188.940002,1153300,187.397156
"2017-04-24",192.956,194.075,191.978,191.910004,1561400,190.342911
"2017-04-25",192.441,195.073,192.26,193.240005,1819800,191.662048
"2017-04-26",196.273,198.592,195.335,194.850006,1958000,193.258896
"2017-04-27",197.089,198.239,195.547,195.029999,976500,193.437424
"2017-04-28",196.646,196.888,195.023,193.789993,1191500,192.207535
"2017-05-01",195.839,196.605,194.74,193.149994,1004500,191.572769
"2017-05-02",195.496,195.668,194.589,194.070007,941500,192.48526
"2017-05-03",195.466,196.101,194.478,194.179993,773500,192.59436
"2017-05-04",195.88,196.737,194.972,194.550003,1101800,192.961349
"2017-05-05",196.353,197.604,195.869,195.970001,703200,194.369736
"2017-05-08",197.2,198.118,196.737,196.330002,893600,194.726807
"2017-05-09",198.108,198.622,197.684,196.589996,749300,194.98468
"2017-05-10",196.666,197.503,194.942,194.389999,1365500,192.802643
"2017-05-11",195.859,197.039,194.76,194.979996,905600,193.387817
"2017-05-12",195.96,197.251,195.769,195.589996,674900,193.992844
"2017-05-15",197.089,197.644,196.484,195.179993,906000,193.586182
"2017-05-16",196.676,197.805,196.414,195.289993,790000,193.695297
"2017-05-17",196.898,196.898,193.188,192.009995,1379000,190.442078
"2017-05-18",193.369,195.103,191.877,192.639999,1256200,191.06694
"2017-05-19",194.801,198.118,194.549,195.869995,1070000,194.270554
"2017-05-22",199.106,200.638,197.916,197.75,1453400,196.135223
"2017-05-23",199.852,201.011,198.662,199.320007,1018900,197.692398
"2017-05-24",201.243,202.262,200.719,199.979996,679100,198.347
"2017-05-25",202.161,203.562,201.838,201.089996,1122100,199.447937
"2017-05-26",202.746,204.248,202.504,202.240005,751100,200.588562
"2017-05-30",203.855,204.318,202.604,202.009995,921100,200.360428
"2017-05-31",204.036,204.954,203.24,203.25,1488800,201.590302
"2017-06-01",204.833,205.145,203.542,202.520004,1293500,200.866257
"2017-06-02",204.369,206.758,204.248,203.699997,917400,202.036621
"2017-06-05",205.044,205.155,202.998,201.470001,902000,199.824844
"2017-06-06",202.584,202.897,199.933,198.440002,1192700,196.81958
"2017-06-07",200.487,200.659,199.358,198.869995,938600,197.246063
"2017-06-08",200.507,201.475,199.217,199.639999,991900,198.009781
"2017-06-09",201.284,202.393,200.074,199.470001,1056500,197.841156
"2017-06-12",201.112,201.707,198.652,198.399994,1858300,196.779892
"2017-06-13",200.033,202.584,199.751,200.550003,1263500,198.912354
"2017-06-14",202.201,204.117,201.999,201.279999,934600,199.636383
"2017-06-15",201.415,203.935,200.88,202.029999,827500,200.380264
"2017-06-16",204.036,204.974,203.32,202.669998,1391500,201.01503
"2017-06-19",205.085,206.426,204.671,204.520004,1066100,202.84993
"2017-06-20",205.438,206.859,205.438,203.860001,838400,202.195328
"2017-06-21",206.083,206.567,205.175,203.889999,669700,202.225082
"2017-06-22",205.468,205.659,202.846,201.259995,907800,199.616547
"2017-06-23",202.887,204.087,202.463,201.320007,1203300,199.676071
"2017-06-26",203.431,203.996,201.778,200.199997,676900,198.565201
"2017-06-27",201.758,202.01,200.467,198.839996,713800,197.216309
"2017-06-28",201.465,203.078,200.971,200.830002,787100,199.190063
"2017-06-29",202.645,202.725,197.745,196.960007,1423000,195.351669
"2017-06-30",199.378,200.85,197.876,198.100006,944700,196.482361
"2017-07-03",201.062,202.201,199.771,199.660004,750600,198.029617
"2017-07-05",199.824,202.013,199.744,200.740005,1152300,199.941986
"2017-07-06",201.501,201.873,199.583,199.020004,799700,198.228821
"2017-07-07",200.296,202.987,199.915,201.259995,1300600,200.4599
"2017-07-10",202.023,203.047,201.009,201.070007,1028600,200.270676
"2017-07-11",201.601,201.812,199.543,199.910004,1139400,199.11528
"2017-07-12",202.124,203.278,200.668,201.110001,1404100,200.310516
"2017-07-13",201.993,202.274,200.768,200.149994,778900,199.354324
"2017-07-14",201.079,202.485,200.858,201.149994,1032700,200.350342
"2017-07-17",201.883,202.224,200.296,200.139999,1150800,199.34436
"2017-07-18",201.049,202.475,200.075,201.419998,1128900,200.619278
"2017-07-19",202.806,203.268,202.053,202.339996,739800,201.535614
"2017-07-20",203.318,204.001,202.806,202.399994,1064400,201.595367
"2017-07-21",202.917,205.366,202.636,204.550003,992900,203.736832
"2017-07-24",205.366,206.33,204.945,204.929993,1073400,204.115311
"2017-07-25",206.481,206.722,203.72,203.559998,1209100,202.750763
"2017-07-26",199.895,200.166,194.343,194.660004,4079700,193.886154
"2017-07-27",196.511,196.712,193.61,193.839996,2265700,193.069412
"2017-07-28",194.825,198.861,194.814,197.940002,1785800,197.153107
"2017-07-31",199.373,199.383,196.863,196.330002,1470400,195.549515
"2017-08-01",197.746,197.766,194.674,196.529999,1403100,195.748718
"2017-08-02",197.314,198.971,196.863,198.039993,980900,197.252701
"2017-08-03",199.091,200.196,198.118,199.330002,1070700,198.537582
"2017-08-04",200.316,200.869,199.262,200.070007,1247100,199.274658
"2017-08-07",201.14,202.354,200.226,201.139999,1482100,200.340393
"2017-08-08",200.035,201.732,199.011,198.800003,1352600,198.009689
"2017-08-09",200.085,202.726,199.041,201,1353900,200.200943
"2017-08-10",201.471,201.792,198.83,198.279999,1122800,197.49176
"2017-08-11",199.312,200.658,198.589,197.889999,1105900,197.103302
"2017-08-14",199.965,201.3,199.282,200.300003,1190600,199.503738
"2017-08-15",201.36,201.36,199.684,199.490005,1017900,198.69696
"2017-08-16",200.798,202.134,200.427,200.610001,876400,199.8125
"2017-08-17",200.156,200.899,198.68,197.990005,1020500,197.202911
"2017-08-18",199.172,200.597,197.555,198.729996,1581700,197.939972
"2017-08-21",199.533,199.824,197.676,198.729996,1202000,197.939972
"2017-08-22",200.246,202.385,199.784,201.229996,877500,200.430023
"2017-08-23",201.501,201.973,200.196,199.75,831300,198.955917
"2017-08-24",201.019,201.069,199.543,199.470001,723500,198.677032
"2017-08-25",201.12,201.561,199.734,199.050003,651500,198.258698
"2017-08-28",200.708,200.708,198.489,197.869995,808600,197.083389
"2017-08-29",199.061,201.822,199.041,200.949997,984900,200.151138
"2017-08-30",201.752,202.063,200.869,201.220001,893600,200.420074
"2017-08-31",202.545,203.077,201.963,201.350006,842700,200.549561
"2017-09-01",202.575,202.676,200.778,200,734700,199.204926
"2017-09-05",201.712,201.712,198.931,198.729996,1114100,197.939972
"2017-09-06",200.346,200.377,197.435,196.740005,997800,195.957886
"2017-09-07",197.786,198.539,196.481,197.039993,977100,196.256683
"2017-09-08",197.304,199.192,196.782,197.869995,614000,197.083389
"2017-09-11",199.413,201.3,199.363,200.330002,1048900,199.533615
"2017-09-12",200.688,201.109,199.363,199,749300,198.208893
"2017-09-13",199.091,199.292,197.585,196.850006,852600,196.067444
"2017-09-14",197.415,198.6,197.234,197.630005,920000,196.844345
"2017-09-15",198.891,199.513,198.389,198.270004,2095600,197.481796
"2017-09-18",199.794,203.158,199.654,202.179993,1313000,201.376251
"2017-09-19",202.716,204.754,202.063,203.119995,784100,202.312515
"2017-09-20",203.589,206.109,203.509,204.270004,1308300,203.457947
"2017-09-21",205.376,207.394,204.814,205.720001,860000,204.902191
"2017-09-22",206.913,207.334,205.447,205.410004,1040800,204.593414
"2017-09-25",206.32,206.32,204.031,204.869995,1202800,204.055557
"2017-09-26",205.868,207.033,205.547,205.330002,705300,204.513733
"2017-09-27",206.591,208.429,206.17,206.800003,903700,205.97789
"2017-09-28",206.692,206.882,205.226,205.029999,638900,204.21492
"2017-09-29",205.648,206.531,204.834,205.580002,732200,204.762741
"2017-10-02",206.401,209.593,206.401,208.720001,721900,207.890259
"2017-10-03",209.553,211.782,209.252,210.529999,907100,209.693054
"2017-10-04",210.888,212.485,210.758,211.300003,843000,210.460007
"2017-10-05",210.76,214.11,210.62,213.449997,1215200,213.449997
"2017-10-06",212.86,213.29,211.73,212.600006,941900,212.600006
"2017-10-09",213.02,213.59,212.24,213.529999,671600,213.529999
"2017-10-10",214,214.08,212.01,212.550003,642500,212.550003
"2017-10-11",212.94,213.1,212.23,212.830002,704900,212.830002
"2017-10-12",212.48,213.98,212.48,213.720001,727200,213.720001
