"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",21.69,21.89,20.24,21.18,7218500,21.18
"2017-01-04",21.19,21.47,21.02,21.32,4032100,21.32
"2017-01-05",21.28,21.6,21.05,21.450001,4195700,21.450001
"2017-01-06",21.63,21.77,21.23,21.610001,2563000,21.610001
"2017-01-09",21.43,21.43,20.59,20.6,2370200,20.6
"2017-01-10",20.81,21.09,20.51,20.809999,2834100,20.809999
"2017-01-11",20.9,21.12,20.67,21.02,2472400,21.02
"2017-01-12",21.31,21.37,20.85,20.93,2845100,20.93
"2017-01-13",20.93,21.16,20.72,20.790001,2247400,20.790001
"2017-01-17",20.98,20.98,20.44,20.67,2575200,20.67
"2017-01-18",20.59,21.39,20.59,21.139999,3304300,21.139999
"2017-01-19",21.24,21.77,21.24,21.57,2908500,21.57
"2017-01-20",21.8,22.06,21.47,21.700001,2995800,21.700001
"2017-01-23",21.52,21.67,21.17,21.32,2460000,21.32
"2017-01-24",21.4,21.89,21.32,21.57,2729100,21.57
"2017-01-25",21.57,22.05,21.5,21.889999,2552900,21.889999
"2017-01-26",22.1,22.27,21.9,22.18,3626000,22.18
"2017-01-27",21.98,22.35,21.92,22.1,3578900,22.1
"2017-01-30",21.93,21.93,21.02,21.049999,3425200,21.049999
"2017-01-31",21.13,21.26,20.73,20.9,5849600,20.9
"2017-02-01",21.18,21.3,20.5,20.879999,2933600,20.879999
"2017-02-02",20.81,21.34,20.51,21.209999,2765500,21.209999
"2017-02-03",21.17,21.35,21.02,21.190001,1870300,21.190001
"2017-02-06",21.17,21.5,20.41,20.49,3763800,20.49
"2017-02-07",20.5,20.78,19.76,20.040001,3466000,20.040001
"2017-02-08",19.91,20.02,19.54,19.870001,2335400,19.870001
"2017-02-09",20.04,20.59,20,20.469999,2587500,20.469999
"2017-02-10",20.55,20.91,20.37,20.709999,3107200,20.709999
"2017-02-13",20.76,20.77,20.41,20.68,2827600,20.68
"2017-02-14",20.68,20.85,19.56,20.77,8543000,20.77
"2017-02-15",20.83,21.36,20.4,20.440001,3694700,20.440001
"2017-02-16",20.2,20.48,19.63,19.709999,4396800,19.709999
"2017-02-17",19.6,19.85,19.44,19.48,2848200,19.48
"2017-02-21",19.41,19.45,19.12,19.280001,3431900,19.280001
"2017-02-22",19.11,19.13,18.61,18.66,4012400,18.66
"2017-02-23",18.9,19.06,18.24,18.639999,4376700,18.639999
"2017-02-24",18.53,18.59,18.04,18.120001,3869000,18.120001
"2017-02-27",18.09,18.1,17.65,17.76,6257700,17.76
"2017-02-28",17.61,17.76,17.23,17.34,5446800,17.34
"2017-03-01",17.47,17.83,17.29,17.700001,2836400,17.700001
"2017-03-02",17.58,17.68,17.4,17.42,2104100,17.42
"2017-03-03",17.45,17.67,17.09,17.190001,2406900,17.190001
"2017-03-06",17.39,17.59,17.26,17.450001,3570400,17.450001
"2017-03-07",17.51,17.52,16.99,17.110001,3371900,17.110001
"2017-03-08",17.14,17.5,16.79,16.860001,2802000,16.860001
"2017-03-09",16.85,17.26,16.57,17.07,5635100,17.07
"2017-03-10",17.19,17.34,16.67,16.83,4823600,16.83
"2017-03-13",16.83,17.07,16.42,16.549999,5969300,16.549999
"2017-03-14",16.34,16.68,16.05,16.620001,4503200,16.620001
"2017-03-15",16.76,17.16,16.58,17.049999,3855000,17.049999
"2017-03-16",17.05,17.16,16.8,16.809999,2981700,16.809999
