"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",23.518,24.408,23.487,23.48,9145600,22.683365
"2017-01-04",25.267,25.806,25.008,24.200001,9885100,23.378939
"2017-01-05",23.777,24.636,23.549,23.25,13312700,22.46117
"2017-01-06",25.184,25.319,23.973,23.34,16363100,22.548117
"2017-01-09",24.253,24.874,24.015,23.84,7200400,23.031153
"2017-01-10",24.605,24.988,24.532,23.91,5844200,23.098776
"2017-01-11",25.05,25.184,24.077,23.700001,4012400,22.895903
"2017-01-12",24.532,25.019,24.367,24,6552800,23.185724
"2017-01-13",24.895,25.06,24.408,23.66,4734000,22.857258
"2017-01-17",24.708,25.661,24.615,24.15,7251200,23.330635
"2017-01-18",24.936,24.998,24.284,23.969999,4772300,23.15674
"2017-01-19",24.895,25.102,24.615,23.870001,4116500,23.060137
"2017-01-20",24.946,25.153,24.833,24.200001,3890600,23.378939
"2017-01-23",24.791,24.998,24.336,23.76,3452400,22.953865
"2017-01-24",24.76,25.081,24.646,24.18,5180200,23.359615
"2017-01-25",25.102,25.288,24.915,24.34,4936300,23.514189
"2017-01-26",25.164,25.402,24.698,23.870001,5470400,23.060137
"2017-01-27",24.729,24.812,23.332,22.58,6097400,21.813902
"2017-01-30",23.518,23.808,23.197,22.879999,6271200,22.103724
"2017-01-31",23.321,23.891,22.804,23.030001,8935900,22.248632
"2017-02-01",23.932,23.984,22.918,22.530001,8156500,21.765598
"2017-02-02",23.414,23.88,23.197,22.790001,4624800,22.016777
"2017-02-03",23.715,24.305,23.518,22.969999,5383500,22.19067
"2017-02-06",23.735,23.953,23.632,22.98,6217600,22.200329
"2017-02-07",23.684,23.911,23.456,22.74,5876300,21.968473
"2017-02-08",23.58,24.211,23.301,23.309999,3901900,22.519133
"2017-02-09",24.129,24.946,23.87,23.969999,6108500,23.15674
"2017-02-10",24.946,25.516,24.905,24.360001,6018800,23.533508
"2017-02-13",25.216,25.236,24.263,23.629999,5820500,22.828276
"2017-02-14",24.47,25.05,24.377,24.200001,4361600,23.378939
"2017-02-15",25.06,25.257,24.698,24.389999,5208600,23.56249
"2017-02-16",25.257,25.391,24.75,24.059999,4063100,23.243687
"2017-02-17",24.739,25.402,24.563,24.469999,4207700,23.639776
"2017-02-21",25.65,26.085,25.464,25.030001,5801700,24.180777
"2017-02-22",26.023,26.147,25.402,24.870001,4690000,24.026205
"2017-02-23",25.464,25.505,24.719,23.969999,8066700,23.15674
"2017-02-24",25.153,25.992,24.015,24.700001,11850700,23.861975
"2017-02-27",25.557,26.23,25.423,25.200001,5770600,24.345011
"2017-02-28",25.93,26.023,25.288,24.82,6799400,23.977903
"2017-03-01",25.816,25.94,24.812,24.33,7022400,23.504526
"2017-03-02",25.34,26.333,25.153,25.129999,7633500,24.277386
"2017-03-03",26.033,26.199,25.35,24.690001,5539700,23.852314
"2017-03-06",25.526,25.63,24.905,24.389999,3903500,23.56249
"2017-03-07",25.164,25.454,24.998,24.18,5170000,23.359615
"2017-03-08",25.05,25.247,24.884,24.23,6185400,23.407921
"2017-03-09",24.967,25.174,24.801,24.129999,4028900,23.311312
"2017-03-10",25.133,25.319,24.905,24.27,3164700,23.446564
"2017-03-13",25.122,25.247,24.284,23.540001,4982200,22.741331
"2017-03-14",24.367,24.563,24.035,23.700001,3672000,22.895903
"2017-03-15",24.667,24.791,24.294,23.870001,4262300,23.060137
"2017-03-16",24.677,24.895,24.501,23.93,2831600,23.118099
"2017-03-17",24.884,25.008,24.646,24.1,5292700,23.282331
"2017-03-20",24.957,25.019,24.18,23.459999,4613900,22.664043
"2017-03-21",24.305,24.325,23.031,22.82,8748500,22.045759
"2017-03-22",23.601,23.901,23.228,23.07,3797500,22.287275
"2017-03-23",24.429,24.719,24.067,23.299999,5329000,22.509476
"2017-03-24",24.067,24.16,23.839,23.27,3499200,22.480494
"2017-03-27",23.828,24.439,23.828,23.280001,3832100,22.490152
"2017-03-28",24.108,24.646,23.922,23.780001,3147300,22.97319
"2017-03-29",24.76,25.733,24.646,24.719999,8733700,23.881296
"2017-03-30",25.485,25.785,25.091,24.450001,8093700,23.620455
"2017-03-31",25.184,25.578,25.122,24.290001,5914400,23.465885
"2017-04-03",24.649,24.7,24.156,23.709999,5706200,23.124525
"2017-04-04",24.228,24.259,23.47,23.190001,5835300,22.617369
"2017-04-05",23.91,24.105,23.459,22.9,4433000,22.334528
"2017-04-06",23.757,24.895,23.757,24.049999,8255600,23.456131
"2017-04-07",24.597,25.038,24.546,24.030001,5510300,23.436626
"2017-04-10",24.782,25.336,24.761,24.299999,3706100,23.699957
"2017-04-11",24.946,25.12,24.556,24.5,4455300,23.895021
"2017-04-12",25.141,25.213,24.874,24.299999,2775100,23.699957
"2017-04-13",24.884,25.008,24.28,23.690001,5198200,23.105021
"2017-04-17",24.608,24.69,24.239,23.889999,5247700,23.300079
"2017-04-18",24.444,24.659,24.3,23.92,3303200,23.329342
"2017-04-19",24.608,25.202,24.505,24.219999,4467400,23.621931
"2017-04-20",25.428,26.084,25.305,25.42,10134400,24.792301
"2017-04-21",26.146,26.299,25.725,25.610001,5135700,24.97761
"2017-04-24",26.556,26.822,26.248,25.870001,6928200,25.23119
"2017-04-25",26.812,26.812,26.31,25.92,3661600,25.279955
