"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",55.855,57.247,55.845,55.68,10531700,54.787689
"2017-01-04",56.516,57.065,56.394,55.889999,6265900,54.99432
"2017-01-05",57.105,57.806,56.953,56.209999,7083300,55.309193
"2017-01-06",57.146,57.908,56.821,56.66,7899500,55.75198
"2017-01-09",57.014,57.247,56.719,56.07,9080500,55.171436
"2017-01-10",56.963,56.973,55.51,54.639999,9774100,53.764355
"2017-01-11",55.987,56.516,55.581,55.389999,9995100,54.502335
"2017-01-12",56.709,56.76,55.967,55.18,5954000,54.295704
"2017-01-13",55.591,56.089,55.377,54.540001,5995600,53.665958
"2017-01-17",55.56,55.957,55.073,55.009998,7633400,54.128422
"2017-01-18",55.388,56.201,55.316,55.130001,6156300,54.246502
"2017-01-19",55.967,56.302,55.672,55.34,9144400,54.453136
"2017-01-20",57.034,57.766,56.902,56.450001,14793600,55.545345
"2017-01-23",55.896,56.099,54.798,54.799999,17718700,53.921787
"2017-01-24",56.14,57.715,55.987,56.619999,11276700,55.712624
"2017-01-25",57.827,58.64,57.684,57.41,9837100,56.48996
"2017-01-26",58.396,59.737,58.396,58.060001,8989800,57.129543
"2017-01-27",58.884,59.422,58.691,58.209999,6893000,57.277138
"2017-01-30",58.965,59.046,56.272,56.48,10361100,55.574863
"2017-01-31",57.654,57.705,56.719,56.57,5849500,55.663425
"2017-02-01",58.111,58.162,56.312,56.23,7083000,55.328876
"2017-02-02",57.38,57.512,56.607,56.290001,6183400,55.387913
"2017-02-03",57.166,57.989,57.044,56.580002,5344500,55.673267
"2017-02-06",57.562,57.684,56.922,56.099998,4745200,55.200958
"2017-02-07",56.648,56.912,55.489,54.880001,8395900,54.000507
"2017-02-08",55.489,56.353,54.371,55.439999,9849500,54.551533
"2017-02-09",56.78,57.684,56.556,56.68,9320900,55.771664
"2017-02-10",57.949,58.315,56.902,56.130001,7937500,55.23048
"2017-02-13",57.054,57.684,56.871,56.32,7161800,55.417427
"2017-02-14",56.963,57.502,56.922,56.540001,5802600,55.633907
