"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",70.59,70.59,69.244,66.169998,2085000,62.907593
"2017-01-04",69.538,70.38,69.318,66.68,2070700,63.392445
"2017-01-05",70.801,71.863,69.833,68.169998,2228000,64.80899
"2017-01-06",71.611,72.242,70.99,68.449997,1908600,65.075172
"2017-01-09",72.158,72.431,71.505,68.400002,1791500,65.027649
"2017-01-10",71.421,71.421,69.549,66.32,3252200,63.050198
"2017-01-11",69.749,70.538,69.118,66.400002,2741100,63.126251
"2017-01-12",69.517,70.433,69.191,66.849998,1611400,63.554066
"2017-01-13",70.191,70.559,69.644,66.660004,1156500,63.37344
"2017-01-17",70.559,71.148,70.412,67.300003,1468600,63.981884
"2017-01-18",70.769,71.137,70.443,67.080002,2514800,63.772728
"2017-01-19",70.17,70.306,69.465,66.400002,1770300,63.126251
"2017-01-20",69.591,70.264,69.223,66.760002,1540800,63.468502
"2017-01-23",70.317,71.327,69.959,67.68,1884700,64.34314
"2017-01-24",71.022,71.516,70.422,67.300003,1865800,63.981884
"2017-01-25",70.738,70.937,69.454,66.360001,1571100,63.08823
"2017-01-26",69.928,70.359,69.36,66.139999,1714600,62.87907
"2017-01-27",69.812,70.064,69.086,65.940002,1189100,62.688934
"2017-01-30",69.486,70.043,69.107,66.339996,1264200,63.069206
"2017-01-31",69.928,70.496,69.591,66.300003,2561900,63.031185
"2017-02-01",69.581,70.128,68.623,65.269997,2041500,62.05196
"2017-02-02",68.813,69.896,68.781,66.339996,1726800,63.069206
"2017-02-03",68.159,68.813,67.609,65.43,1802100,63.030678
"2017-02-06",68.056,68.907,67.921,66.169998,1807900,63.743542
"2017-02-07",68.855,69.208,68.284,65.870003,1406900,63.454544
"2017-02-08",68.409,68.959,68.409,66.029999,2013300,63.608681
"2017-02-09",68.543,68.782,67.682,65.389999,1653300,62.992149
"2017-02-10",67.765,68.398,67.526,65.870003,1462000,63.454544
"2017-02-13",68.512,69.125,68.056,66.290001,1747000,63.85915
"2017-02-14",68.969,69.011,67.339,65.510002,1340900,63.10775
"2017-02-15",67.723,68.191,67.09,65.580002,1692800,63.175175
"2017-02-16",68.17,69.436,68.17,66.080002,1347400,63.656841
"2017-02-17",68.948,69.177,67.869,65.919998,2199300,63.502705
"2017-02-21",68.543,69.644,68.004,66.940002,2031400,64.485313
"2017-02-22",70.391,70.91,69.665,67.699997,2667300,65.21743
"2017-02-23",70.62,71.575,70.163,68.849998,1773200,66.325272
"2017-02-24",71.429,72.768,70.817,70.059998,2476800,67.490898
"2017-02-27",72.571,73.215,72.415,70.040001,1572800,67.471634
"2017-02-28",72.706,73.422,72.519,70.379997,2360900,67.799164
"2017-03-01",72.405,72.779,71.637,69.480003,2405900,66.932167
"2017-03-02",71.865,72.706,71.367,69.949997,2183800,67.384926
"2017-03-03",72.602,72.602,71.44,69.57,1447000,67.018867
"2017-03-06",71.71,72.166,70.848,68.540001,1477400,66.026642
"2017-03-07",70.91,71.232,70.267,68.489998,1218100,65.978462
"2017-03-08",70.391,70.588,69.519,67.019997,1863900,64.562378
"2017-03-09",69.519,69.675,68.087,65.800003,1913600,63.387112
"2017-03-10",68.305,69.467,68.253,66.169998,2174300,63.743542
"2017-03-13",68.689,69.197,67.838,66,2061200,63.579781
"2017-03-14",68.367,68.658,67.744,66.050003,1726400,63.627949
"2017-03-15",68.793,69.924,68.637,67.239998,2294800,64.7743
"2017-03-16",69.55,70.132,69.467,67.290001,1709000,64.822472
"2017-03-17",70.007,70.516,69.623,67.279999,3462700,64.812843
"2017-03-20",70.547,70.796,69.768,67.779999,2160800,65.294502
"2017-03-21",70.495,70.755,70.08,67.82,1933200,65.333031
"2017-03-22",70.588,71.419,70.412,68.660004,1740100,66.142242
"2017-03-23",71.315,72.976,71.045,69.599998,2576200,67.047768
"2017-03-24",72.436,72.633,72.177,69.669998,2364100,67.115196
"2017-03-27",72.405,73.474,72.197,70.129997,2424400,67.558327
"2017-03-28",72.696,73.37,72.499,70.610001,1931400,68.020729
"2017-03-29",73.215,73.786,73.121,70.93,2334600,68.329002
"2017-03-30",73.422,73.682,72.924,70.779999,1818200,68.184486
"2017-03-31",73.339,73.848,73.163,70.82,2650400,68.223022
"2017-04-03",73.516,73.962,73.184,71.150002,2027400,68.540932
"2017-04-04",73.858,73.858,73.132,70.580002,2834800,67.991829
"2017-04-05",73.287,74.253,73.121,71.300003,2141300,68.685432
"2017-04-06",73.931,74.595,73.526,71.580002,2189700,68.955162
"2017-04-07",74.357,75.239,74.357,72.260002,2163000,69.610229
"2017-04-10",75.021,75.81,74.762,72.889999,1676800,70.217117
"2017-04-11",75.654,75.872,75.405,72.790001,1274800,70.120796
"2017-04-12",75.561,75.955,75.208,72.93,1523300,70.255653
"2017-04-13",75.665,76.111,75.457,72.849998,1819300,70.178589
"2017-04-17",75.935,76.256,75.82,73.389999,1304000,70.698784
"2017-04-18",76.236,77.336,76.101,74.239998,2448600,71.517616
"2017-04-19",76.993,77.076,76.371,73.870003,2300700,71.161186
"2017-04-20",76.568,76.931,76.391,74.07,1617700,71.353851
"2017-04-21",76.62,77.108,76.36,73.68,2306800,70.978157
"2017-04-24",76.682,76.755,74.149,72.5,2955300,69.841423
"2017-04-25",75.249,75.499,74.896,72.669998,1112300,70.005188
"2017-04-26",75.187,75.239,74.409,71.830002,1562600,69.195999
"2017-04-27",74.564,75.53,74.242,72.160004,1287700,69.513893
"2017-04-28",74.793,74.793,73.267,71.440002,1917600,68.820297
"2017-05-01",74.253,74.73,73.63,71.199997,1670900,68.589096
"2017-05-02",74.014,74.159,73.09,70.75,2528600,68.155586
"2017-05-03",73.682,73.869,72.208,69.809998,2182100,67.250061
"2017-05-04",72.405,72.675,71.575,69.860001,1971600,67.298233
"2017-05-05",70.642,71.688,70.478,69.800003,1888200,68.088371
"2017-05-08",71.708,71.719,70.745,69.720001,1813200,68.010338
"2017-05-09",71.503,71.565,70.386,69.029999,1659900,67.33725
"2017-05-10",70.909,71.965,70.581,70.010002,1498400,68.293221
"2017-05-11",71.555,73.369,71.186,71.5,1856300,69.746681
"2017-05-12",73.492,74.118,73.287,71.849998,2421100,70.088097
"2017-05-15",73.81,74.466,73.41,71.660004,1496600,69.902763
"2017-05-16",73.595,73.789,72.846,71.599998,1395300,69.844223
"2017-05-17",73.472,74.712,73.256,72.260002,2540000,70.488045
"2017-05-18",74.138,74.938,73.707,72.93,1941800,71.141617
"2017-05-19",75.05,75.296,74.179,73.239998,1910900,71.444016
"2017-05-22",75.04,75.419,74.712,73.400002,1664700,71.60009
"2017-05-23",75.378,75.788,75.061,73.25,1647700,71.453766
"2017-05-24",75.266,75.747,75.245,73.529999,1123700,71.726898
"2017-05-25",75.43,75.604,74.948,73.160004,1248900,71.365982
"2017-05-26",75.173,75.327,74.189,72.529999,1381000,70.751427
"2017-05-30",74.323,74.804,74.159,72.5,1245200,70.72216
"2017-05-31",74.333,74.804,74.21,72.540001,2493400,70.761177
"2017-06-01",74.2,74.856,73.595,72.959999,1495200,71.170883
"2017-06-02",75.184,75.952,75.081,73.790001,1483500,71.98053
"2017-06-05",75.419,75.501,74.917,73.470001,874200,71.668381
"2017-06-06",75.46,75.501,74.794,73.029999,884600,71.239159
"2017-06-07",74.866,75.225,74.692,73.18,1341000,71.385483
"2017-06-08",75.02,75.194,73.923,72.900002,1105200,71.11235
"2017-06-09",74.671,75.409,74.23,73.449997,1231600,71.648865
"2017-06-12",75.307,75.901,74.897,74.040001,2035300,72.224396
"2017-06-13",75.819,76.209,75.522,74.139999,1555300,72.321945
"2017-06-14",76.824,77.49,76.024,74.440002,2332100,72.614594
"2017-06-15",76.014,77.101,75.911,74.669998,1722000,72.838951
"2017-06-16",76.701,77.982,76.578,75.599998,3944200,73.74614
"2017-06-19",77.572,78.167,77.347,76.25,2035200,74.380203
"2017-06-20",78.218,79.171,77.931,76.919998,2215100,75.033775
"2017-06-21",78.874,79.141,78.454,77.150002,1762900,75.258133
"2017-06-22",78.977,79.653,78.618,77.489998,1638800,75.58979
"2017-06-23",79.264,80.135,79.059,77.43,2210200,75.531265
"2017-06-26",79.622,79.961,79.11,77.660004,1107700,75.75563
"2017-06-27",79.366,79.746,78.28,76.5,1476600,74.624069
"2017-06-28",78.444,79.161,77.952,76.529999,1367100,74.653336
"2017-06-29",78.075,78.249,76.332,74.5,2109900,72.673119
"2017-06-30",76.711,77.275,76.311,74.849998,1903100,73.014534
"2017-07-03",77.029,77.818,76.619,75.760002,934900,73.902222
"2017-07-05",77.695,77.695,76.527,75.089996,1351000,73.248642
"2017-07-06",76.639,76.639,74.856,73.07,1490100,71.278183
"2017-07-07",74.938,75.091,73.974,72.900002,1527200,71.11235
"2017-07-10",74.876,75.03,74.312,72.529999,1118000,70.751427
"2017-07-11",74.405,74.733,73.892,72.610001,983600,70.829468
"2017-07-12",74.968,75.788,74.968,73.709999,1020800,71.902489
"2017-07-13",75.389,75.512,74.948,73.300003,956400,71.502548
"2017-07-14",75.747,75.963,75.389,73.75,1087700,71.941513
"2017-07-17",75.573,76.055,75.358,73.849998,1286300,72.039055
"2017-07-18",75.778,76.188,75.491,74.050003,1255700,72.234154
"2017-07-19",75.87,76.137,75.419,74.129997,1190700,72.312187
"2017-07-20",76.188,76.363,75.532,73.699997,1327100,71.892731
"2017-07-21",75.522,76.055,75.143,73.93,1227400,72.117096
"2017-07-24",75.819,75.942,74.63,73.150002,1854700,71.356224
"2017-07-25",75.153,75.194,74.107,73.010002,1623900,71.219658
"2017-07-26",74.876,75.43,74.487,73.290001,1007700,71.49279
"2017-07-27",74.835,75.296,74.015,72.790001,1396800,71.005051
"2017-07-28",76.27,76.27,74.292,73.07,1365200,71.278183
"2017-07-31",75.05,75.46,74.22,73.389999,2125100,71.59034
"2017-08-01",75.45,75.532,73.472,72.32,2091600,70.546577
"2017-08-02",73.933,74.271,73.636,72.43,1455900,70.653877
"2017-08-03",74.251,75.02,73.697,73.059998,1632200,71.268433
"2017-08-04",73.134,73.265,72.607,71.830002,1361400,70.913025
"2017-08-07",72.759,73.265,72.303,71.919998,1253100,71.001869
"2017-08-08",72.668,73.113,72.404,71.940002,1536000,71.021622
"2017-08-09",72.931,73.134,72.09,71.239998,1222400,70.330551
"2017-08-10",72.131,72.455,71.432,70.599998,1486100,69.698723
"2017-08-11",71.807,71.807,70.753,70.400002,1346500,69.501282
"2017-08-14",71.543,72.911,71.412,71.75,1555900,70.834045
"2017-08-15",72.485,72.485,71.736,71.239998,1590700,70.330551
"2017-08-16",72.374,73.316,72.212,72,1661400,71.080849
"2017-08-17",72.658,73.184,72.019,71.099998,1368500,70.192337
