"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-04",25.35,27.93,25,25.85,10828300,25.85
"2017-01-05",25.74,26,24.99,25.58,6358700,25.58
"2017-01-06",25.69,27,25.69,26.549999,2260200,26.549999
"2017-01-09",26.34,26.99,26.02,26.5,1735500,26.5
"2017-01-10",26.55,26.55,25.51,25.790001,3243300,25.790001
"2017-01-11",25.88,25.95,25.46,25.49,2460200,25.49
"2017-01-12",24.6,25.68,24.6,25.35,3774400,25.35
"2017-01-13",25.29,25.38,25.03,25.049999,1617600,25.049999
"2017-01-17",24.95,25.04,24.9,24.99,1088500,24.99
"2017-01-18",25.12,25.24,25.02,25.190001,957200,25.190001
"2017-01-19",26.01,26.98,25.97,26.09,2364300,26.09
"2017-01-20",25.98,26.74,25.87,26.6,1110000,26.6
"2017-01-23",26.48,27.23,26.48,27.139999,1137600,27.139999
"2017-01-24",26.94,28.71,26.78,28.65,854000,28.65
"2017-01-25",28.65,29.04,28.24,28.360001,480100,28.360001
"2017-01-26",28.5,28.5,28.18,28.23,1047500,28.23
"2017-01-27",28.17,28.67,28,28.51,440700,28.51
"2017-01-30",28.51,28.51,28.12,28.360001,660000,28.360001
"2017-01-31",28.2,29.46,28.1,29.33,1414600,29.33
"2017-02-01",29.1,29.79,29.1,29.26,1666400,29.26
"2017-02-02",29.44,29.44,28.97,29.030001,1477900,29.030001
"2017-02-03",29.35,29.73,28.68,29.309999,1896400,29.309999
"2017-02-06",29,29.41,28.93,29.299999,298400,29.299999
"2017-02-07",29.18,29.8,29.13,29.58,839400,29.58
"2017-02-08",29.73,30.09,29.62,30.01,889900,30.01
"2017-02-09",30.01,30.7,29.99,30.6,706100,30.6
"2017-02-10",30.73,30.76,30.17,30.35,247600,30.35
"2017-02-13",30.46,30.64,29.83,30.299999,473100,30.299999
"2017-02-14",30.29,30.35,29.51,29.620001,998900,29.620001
"2017-02-15",29.94,30.32,29.52,30.01,1826500,30.01
"2017-02-16",29.98,30.03,29.31,29.43,565900,29.43
"2017-02-17",29.48,29.54,28.91,29.48,538200,29.48
"2017-02-21",29.7,30.01,29.49,29.860001,230600,29.860001
"2017-02-22",29.75,29.88,29.22,29.709999,244900,29.709999
"2017-02-23",29.69,30.325,29.6,30,594300,30
"2017-02-24",29.9,30.39,29.78,30.01,474300,30.01
"2017-02-27",29.93,30.29,29.92,30.1,609500,30.1
"2017-02-28",30.02,30.21,29.855,29.940001,650000,29.940001
"2017-03-01",30.09,31.39,30.09,30.91,696300,30.91
"2017-03-02",30.96,30.96,29.69,30.35,729600,30.35
"2017-03-03",30.42,30.45,29.97,30.07,523300,30.07
"2017-03-06",29.87,30.34,29.665,29.690001,351100,29.690001
"2017-03-07",29.65,29.68,28.66,28.790001,396000,28.790001
"2017-03-08",28.88,28.88,27.92,28.110001,912100,28.110001
