"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",49.224,49.407,48.481,47.75,4256700,46.902378
"2017-01-04",48.806,49.59,48.806,48.549999,2988400,47.688179
"2017-01-05",49.265,49.611,48.929,48.349998,1613400,47.491726
"2017-01-06",48.562,49.6,48.328,48.450001,2930100,47.589954
"2017-01-09",49.142,49.407,48.939,48.07,1856800,47.216694
"2017-01-10",49.061,49.641,48.898,48.43,2486700,47.570309
"2017-01-11",49.234,49.733,49.061,48.509998,2377900,47.648888
"2017-01-12",49.051,49.173,48.481,48.23,1882000,47.373856
"2017-01-13",49.336,49.794,49.163,48.330002,1734300,47.472084
"2017-01-17",48.776,49.539,48.47,48.540001,2750700,47.678356
"2017-01-18",49.641,50.578,48.949,49.400002,4826200,48.523094
"2017-01-19",50.333,50.354,48.929,48.240002,3474000,47.383682
"2017-01-20",49.265,49.6,48.99,48.310001,2707500,47.452438
"2017-01-23",49.112,49.285,48.399,47.700001,2369500,46.853264
"2017-01-24",48.766,49.081,48.664,47.900002,2141900,47.049721
"2017-01-25",49.163,49.397,48.837,48.349998,3711300,47.491726
"2017-01-26",49.366,49.6,49.163,48.57,2573800,47.707829
"2017-01-27",49.55,49.896,49.153,48.93,2015100,48.061436
"2017-01-30",49.356,49.855,49.275,48.959999,3207700,48.090897
"2017-01-31",49.621,49.906,49.305,48.709999,2427200,47.845341
"2017-02-01",49.865,49.987,49.132,48.439999,2560000,47.580128
"2017-02-02",49.193,49.366,48.674,47.970001,3136600,47.118477
"2017-02-03",48.867,49.305,47.636,47.330002,6982100,46.489834
"2017-02-06",48.124,48.521,48.012,47.549999,2457600,46.705929
"2017-02-07",48.684,48.806,48.134,47.349998,2274300,46.50948
"2017-02-08",48.012,48.114,47.839,47.049999,1648600,46.214806
"2017-02-09",47.9,48.43,47.9,47.540001,2619100,46.696106
"2017-02-10",48.521,48.735,48.308,47.860001,1985100,47.010426
"2017-02-13",48.949,49.305,48.766,48.049999,2967400,47.197056
"2017-02-14",48.979,49.448,48.796,48.5,2537600,47.639069
"2017-02-15",49.387,49.57,49.02,48.599998,3058400,47.737289
"2017-02-16",49.397,49.702,49.203,48.599998,3004000,47.737289
"2017-02-17",49.326,49.509,48.979,48.360001,3492800,47.501549
"2017-02-21",49.275,49.865,49.254,48.93,2598200,48.061436
"2017-02-22",49.651,49.733,49.315,48.689999,2696100,47.825691
"2017-02-23",49.692,49.794,49.234,48.790001,1993100,47.923923
"2017-02-24",49.315,49.641,49.224,48.619999,1155800,47.756939
"2017-02-27",49.682,49.886,49.458,48.93,2317900,48.061436
"2017-02-28",49.57,50.008,49.55,48.889999,2609600,48.022144
"2017-03-01",50.639,51.036,50.313,49.689999,3378600,48.807941
"2017-03-02",50.405,50.668,49.634,49.02,1703900,48.373741
"2017-03-03",49.776,49.948,49.563,49.150002,1940400,48.502033
"2017-03-06",49.513,49.746,49.422,48.790001,1705800,48.146778
"2017-03-07",49.371,49.503,49.178,48.66,2019700,48.01849
"2017-03-08",49.614,49.786,49.138,48.5,2210900,47.8606
"2017-03-09",48.925,50.242,48.925,49.290001,8601800,48.640186
"2017-03-10",50.05,50.425,49.776,49.720001,2981000,49.064518
"2017-03-13",50.374,50.435,50.08,49.560001,2338900,48.906628
"2017-03-14",50.09,50.526,49.908,49.75,2278500,49.09412
"2017-03-15",50.496,50.83,50.232,49.869999,3535200,49.212536
"2017-03-16",50.891,50.931,49.34,48.810001,4712000,48.166512
"2017-03-17",49.553,49.695,49.016,48.779999,3606200,48.136906
"2017-03-20",49.432,49.513,48.895,48.259998,2313200,47.623764
"2017-03-21",49.31,49.361,48.216,47.709999,3912700,47.081013
"2017-03-22",48.084,48.621,47.679,47.799999,3167600,47.169827
"2017-03-23",48.337,48.834,48.165,47.57,2210200,46.94286
"2017-03-24",48.246,48.459,47.8,47.330002,2633800,46.706024
"2017-03-27",47.344,48.175,46.969,47.450001,2303800,46.82444
"2017-03-28",47.922,48.58,47.902,47.689999,1971700,47.061275
"2017-03-29",48.307,48.307,47.891,47.279999,1748100,46.656681
"2017-03-30",47.912,48.459,47.81,47.810001,2115100,47.179699
"2017-03-31",48.358,48.732,48.185,48.07,4264900,47.436272
"2017-04-03",48.631,48.844,48.206,48.130001,4494000,47.495476
"2017-04-04",48.651,48.824,48.408,47.91,2105900,47.278378
"2017-04-05",48.803,49.107,48.388,47.759998,3826600,47.130352
"2017-04-06",48.398,48.945,48.226,48.080002,3126500,47.446136
"2017-04-07",48.469,48.743,48.276,47.830002,2290400,47.199436
"2017-04-10",48.428,48.955,48.337,48.080002,3121900,47.446136
"2017-04-11",48.601,48.864,48.449,48.209999,2255900,47.574421
"2017-04-12",48.651,48.712,48.216,47.82,2641200,47.189564
"2017-04-13",48.307,48.712,48.135,47.73,2885500,47.10075
"2017-04-17",48.459,49.057,48.358,48.360001,2379500,47.722446
"2017-04-18",48.732,48.854,48.145,47.689999,1825900,47.061275
"2017-04-19",48.58,48.682,47.689,47.259998,3265700,46.636944
"2017-04-20",48.094,48.449,47.598,47.630001,3478600,47.002071
"2017-04-21",48.145,48.459,47.841,47.279999,2368400,46.656681
"2017-04-24",48.52,48.641,47.983,47.360001,7786600,46.73563
"2017-04-25",48.388,48.54,48.054,47.75,3392000,47.120487
"2017-04-26",48.479,49.361,48.368,48.110001,3354300,47.475742
"2017-04-27",48.803,49.097,48.631,48.240002,2909200,47.604031
"2017-04-28",48.854,49.3,47.314,48.360001,4072800,47.722446
"2017-05-01",49.178,49.553,48.854,48.709999,2242200,48.067833
"2017-05-02",49.31,49.786,49.27,48.77,2127000,48.127037
"2017-05-03",49.401,49.867,49.31,49.040001,1683000,48.393482
"2017-05-04",49.989,50.293,49.776,49.360001,2191100,48.709263
"2017-05-05",50.09,50.171,49.979,49.5,1618900,48.847416
"2017-05-08",50.141,50.263,49.938,49.369999,1915700,48.719131
"2017-05-09",50.182,50.405,49.807,49.259998,2646000,48.610577
"2017-05-10",49.817,50.567,49.756,49.75,2180400,49.09412
"2017-05-11",50.323,50.323,49.898,49.540001,2143400,48.886887
"2017-05-12",49.888,49.959,49.655,49.080002,2037900,48.432957
"2017-05-15",49.807,49.959,49.574,49.200001,1774500,48.551373
"2017-05-16",49.969,50.151,49.624,49.279999,1839100,48.630314
"2017-05-17",49.938,49.938,49.219,48.900002,3198200,48.255329
"2017-05-18",49.361,49.705,49.3,48.689999,2501200,48.048092
"2017-05-19",49.574,49.655,49.006,48.419998,2267200,47.781651
"2017-05-22",49.29,49.766,49.178,48.799999,1774800,48.156643
"2017-05-23",49.452,49.888,49.371,49.150002,1474000,48.502033
"2017-05-24",49.817,50.04,49.746,49.23,1769800,48.580975
"2017-05-25",50.212,50.496,49.999,49.720001,1723200,49.064518
"2017-05-26",50.293,50.293,49.685,49.23,2740300,48.580975
"2017-05-30",49.352,49.604,49.271,49.049999,1330300,48.630547
"2017-05-31",49.483,49.927,49.342,49.389999,2467900,48.967636
"2017-06-01",49.786,50.3,49.604,49.84,2303500,49.413792
"2017-06-02",50.088,50.27,49.887,49.639999,1947500,49.2155
"2017-06-05",50.028,50.209,49.877,49.450001,1600800,49.027126
"2017-06-06",50.058,50.209,49.423,49.580002,3042400,49.156017
"2017-06-07",50.078,50.33,49.816,49.709999,1835400,49.284901
"2017-06-08",50.139,51.218,50.098,50.720001,3469000,50.286266
"2017-06-09",51.359,52.035,51.147,51.509998,3057700,51.069508
"2017-06-12",51.884,52.136,51.51,51.119999,2641300,50.682846
"2017-06-13",51.702,52.237,51.581,51.669998,1852900,51.228138
"2017-06-14",52.045,52.398,51.833,51.849998,1604200,51.406601
"2017-06-15",52.005,52.469,51.884,51.869999,2413700,51.42643
"2017-06-16",52.217,52.862,52.126,52.41,4217400,51.961815
"2017-06-19",52.973,53.114,52.781,52.450001,1699800,52.001472
"2017-06-20",52.761,52.943,52.67,52.23,1507100,51.783352
"2017-06-21",52.65,52.691,52.085,51.75,2106400,51.307457
"2017-06-22",52.045,52.317,51.853,51.599998,1452300,51.158741
"2017-06-23",52.096,52.227,51.773,51.450001,2143000,51.010021
"2017-06-26",52.186,52.63,52.065,52.02,2541700,51.57515
"2017-06-27",52.479,53.044,52.418,52.200001,3101200,51.753609
"2017-06-28",52.892,53.276,52.721,52.73,2711500,52.279076
"2017-06-29",53.679,53.84,53.003,52.75,2890700,52.298908
"2017-06-30",53.427,53.538,52.731,52.57,2388600,52.120445
"2017-07-03",53.235,53.74,53.165,52.84,1240200,52.388138
"2017-07-05",53.417,53.508,53.003,52.709999,2013900,52.259247
"2017-07-06",53.185,53.387,52.882,52.560001,1851600,52.110535
"2017-07-07",53.084,53.376,52.902,52.73,1313900,52.279076
"2017-07-10",53.034,53.447,52.983,52.869999,1524900,52.417881
"2017-07-11",53.346,53.477,52.963,52.75,1527700,52.298908
"2017-07-12",53.205,53.487,53.074,52.869999,1537000,52.417881
"2017-07-13",53.387,53.82,53.376,53.279999,1311000,52.824375
"2017-07-14",53.397,53.961,53.296,53.360001,1739500,52.90369
"2017-07-17",53.78,54.123,53.629,53.580002,1645400,53.121811
"2017-07-18",53.84,54.042,53.75,53.57,1195000,53.111897
"2017-07-19",54.022,54.375,53.911,53.889999,1151700,53.429157
"2017-07-20",54.375,54.667,54.173,53.779999,2254700,53.320099
"2017-07-21",54.173,54.446,54.042,53.790001,1812300,53.330017
"2017-07-24",54.254,54.335,54.032,53.700001,2001900,53.24078
"2017-07-25",54.657,54.667,54.274,53.939999,2339400,53.478729
"2017-07-26",54.436,54.486,53.518,53.220001,2459600,52.764889
"2017-07-27",53.679,53.861,53.144,52.919998,3435100,52.467449
"2017-07-28",53.961,55.676,53.84,54.82,4663900,54.351208
"2017-07-31",55.666,55.767,55.353,55,2707600,54.529667
"2017-08-01",55.767,56.281,55.414,55.709999,2816500,55.233593
"2017-08-02",56.13,56.513,55.827,55.630001,2702100,55.154282
"2017-08-03",56.019,56.342,55.868,55.84,1772800,55.362484
"2017-08-04",56.594,57.058,56.493,56.290001,1498100,55.808636
"2017-08-07",56.715,56.806,56.433,55.970001,1588200,55.491371
"2017-08-08",56.412,57.088,56.382,56.049999,1665800,55.570686
"2017-08-09",56.473,56.735,56.352,56.240002,1777400,55.759064
"2017-08-10",56.402,56.554,56.11,55.73,1520300,55.253426
"2017-08-11",56.211,56.735,56.069,56.040001,1789200,55.560776
"2017-08-14",56.866,57.159,56.816,56.450001,1449800,55.967266
"2017-08-15",57.169,57.482,57.098,56.810001,1943100,56.324188
"2017-08-16",57.411,57.653,56.987,56.509998,1393000,56.026752
"2017-08-17",56.937,57.098,56.049,55.599998,1484100,55.124535
"2017-08-18",55.908,56.1,55.484,55.560001,4524500,55.084877
"2017-08-21",56.13,56.13,55.606,55.279999,1445700,54.80727
"2017-08-22",55.868,56.11,55.807,55.560001,1297900,55.084877
"2017-08-23",55.747,55.898,55.575,55.150002,2066600,54.678383
"2017-08-24",55.757,55.848,55.081,54.630001,1739000,54.16283
"2017-08-25",55.273,55.646,55.162,55.029999,2063400,54.559406
"2017-08-28",55.162,55.384,54.052,54.490002,2611400,54.024029
"2017-08-29",54.506,55.01,54.405,54.330002,2049400,53.865395
"2017-08-30",54.356,54.898,53.874,54.349998,1914900,54.114307
"2017-08-31",54.667,54.848,54.085,54.07,2141700,53.835522
"2017-09-01",54.376,54.717,54.165,54.049999,1712800,53.815609
"2017-09-05",54.054,54.064,52.97,52.880001,2302400,52.650684
"2017-09-06",53.13,53.371,52.668,52.77,2763400,52.541161
"2017-09-07",52.95,52.95,51.795,51.639999,2721300,51.416061
"2017-09-08",51.483,53.442,51.423,53.169998,3501800,52.939426
"2017-09-11",54.416,54.928,54.074,53.939999,4095000,53.706085
"2017-09-12",54.205,54.466,53.964,53.84,1827400,53.606522
"2017-09-13",53.934,54.004,53.683,53.509998,1853200,53.27795
"2017-09-14",53.713,53.833,53.14,53.330002,2345000,53.098736
"2017-09-15",53.542,53.964,53.492,53.709999,2990400,53.477085
"2017-09-18",54.044,54.215,53.833,53.830002,1883800,53.596565
"2017-09-19",53.994,54.898,53.994,54.41,1983800,54.174049
"2017-09-20",54.687,55.571,54.687,55.130001,2157800,54.890926
"2017-09-21",55.36,55.681,54.567,54.349998,2064700,54.114307
"2017-09-22",54.516,54.737,54.255,54.450001,1427900,54.213875
"2017-09-25",54.627,55.089,54.446,54.68,1282300,54.442879
"2017-09-26",54.798,55.31,54.687,54.900002,2504900,54.661926
"2017-09-27",55.651,55.732,55.25,55.040001,1707200,54.801319
"2017-09-28",55.139,55.501,54.888,55.119999,1101600,54.88097
"2017-09-29",55.209,55.692,55.129,55.43,1315600,55.189625
"2017-10-02",56.133,56.214,55.631,55.599998,2596300,55.358887
"2017-10-03",55.782,55.953,55.561,55.419998,2262300,55.179668
"2017-10-04",55.671,56.053,55.601,55.68,1736400,55.438541
"2017-10-05",55.963,56.113,55.641,55.490002,1904200,55.249367
"2017-10-06",55.912,56.174,55.792,55.619999,1430000,55.378799
"2017-10-09",55.882,56.113,55.631,55.580002,1159300,55.338978
"2017-10-10",55.722,56.224,55.722,55.93,1869400,55.687458
"2017-10-11",56.043,56.184,55.752,55.869999,978300,55.627716
"2017-10-12",56.113,56.244,55.953,55.860001,1454300,55.617764
"2017-10-13",56.174,56.525,55.973,55.990002,1239000,55.7472
"2017-10-16",56.244,56.505,56.123,56.080002,1196100,55.836807
"2017-10-17",56.555,56.575,55.993,55.810001,1550400,55.567978
"2017-10-18",56.143,56.254,55.692,55.52,1639300,55.279236
"2017-10-19",55.712,56.726,55.631,56.470001,1333200,56.225117
"2017-10-20",57.138,57.238,56.656,56.490002,1146200,56.245029
"2017-10-23",54.225,54.747,53.833,54.060001,4906100,53.825569
"2017-10-24",54.597,55.189,54.366,54.880001,3563200,54.642014
"2017-10-25",54.999,55.651,54.737,54.84,2202700,54.602184
"2017-10-26",55.44,55.822,55.099,55.560001,2800400,55.319065
"2017-10-27",55.661,55.692,55.28,55.200001,2175200,54.960625
"2017-10-30",55.33,55.822,55.31,55.18,1366100,54.940712
"2017-10-31",55.36,55.541,54.958,55.049999,1933100,54.811272
"2017-11-01",55.541,56.023,55.38,55.25,2233700,55.010406
"2017-11-02",55.541,56.294,55.4,55.709999,1679100,55.46841
"2017-11-03",55.561,56.083,55.45,55.84,1544300,55.597847
"2017-11-06",56.093,56.214,55.732,55.889999,1337200,55.647629
"2017-11-07",56.244,56.485,55.45,55.34,1700700,55.100018
"2017-11-08",55.601,55.712,55.34,55.200001,1560800,54.960625
"2017-11-09",55.26,55.611,55.079,55.25,1675800,55.010406
"2017-11-10",55.43,55.852,55.32,55.52,1280700,55.279236
"2017-11-13",55.671,56.053,55.501,55.689999,1721100,55.448498
"2017-11-14",55.671,56.505,55.671,56.220001,1820200,55.9762
"2017-11-15",56.123,57.218,56.033,56.669998,2386700,56.424248
"2017-11-16",56.997,57.329,56.123,56.009998,2145300,55.767109
"2017-11-17",56.023,56.766,55.792,56.139999,1443300,55.896545
"2017-11-20",56.324,56.706,56.063,55.849998,2225800,55.607803
"2017-11-21",56.244,56.505,56.184,56.09,1321000,55.846764
"2017-11-22",56.374,56.455,55.892,55.779999,1129200,55.538105
"2017-11-24",56.304,56.374,55.852,55.639999,435600,55.398716
"2017-11-27",55.973,56.234,55.882,55.799999,1064400,55.558022
"2017-11-28",55.973,57.088,55.832,56.689999,1682300,56.44416
"2017-11-29",57.248,58.413,57.078,57.650002,2413700,57.400002
"2017-11-30",57.77,57.93,56.84,57.439999,2099600,57.439999
"2017-12-01",57.54,57.65,56.12,57.43,1754700,57.43
"2017-12-04",58,58.61,56.5,56.5,4029300,56.5
"2017-12-05",56.53,56.72,54.39,54.639999,4893800,54.639999
"2017-12-06",54.46,54.99,54.18,54.919998,3541400,54.919998
"2017-12-07",54.54,55.07,54.49,54.77,2062900,54.77
"2017-12-08",54.78,55.19,54.64,55.169998,2172000,55.169998
"2017-12-11",55.2,55.42,54.86,55.419998,2123200,55.419998
"2017-12-12",55.5,56.15,55.4,56.029999,2633900,56.029999
"2017-12-13",55.89,56.04,55.47,55.549999,3273700,55.549999
"2017-12-14",55.67,55.76,55.06,55.209999,2670300,55.209999
"2017-12-15",55.4,56.09,55.17,55.75,4792500,55.75
"2017-12-18",56.22,56.23,55.43,55.639999,2499000,55.639999
"2017-12-19",56.69,57.03,56.07,56.73,3612900,56.73
"2017-12-20",56.94,57.14,56.3,56.349998,2977200,56.349998
"2017-12-21",56.62,56.8,55.76,55.93,2187900,55.93
"2017-12-22",56.04,56.12,55.07,55.549999,1689400,55.549999
"2017-12-26",55.66,56,55.53,55.970001,976000,55.970001
"2017-12-27",55.99,56.34,55.79,56.279999,856800,56.279999
"2017-12-28",56.48,56.59,56.32,56.560001,839800,56.560001
"2017-12-29",56.75,56.79,56.28,56.279999,935600,56.279999
"2018-01-02",56.34,56.73,55.02,55.27,1568100,55.27
"2018-01-03",55.1,55.15,54.29,54.830002,3156900,54.830002
"2018-01-04",55.12,55.72,54.95,55.400002,1593400,55.400002
"2018-01-05",55.41,55.44,54.95,55.16,1132400,55.16
"2018-01-08",55.13,55.14,54.62,54.779999,1660800,54.779999
"2018-01-09",55.06,55.43,54.78,54.970001,2313800,54.970001
"2018-01-10",55.12,55.32,54.8,55.040001,1891000,55.040001
"2018-01-11",55.36,55.41,54.87,55.09,1374100,55.09
"2018-01-12",55.31,55.33,54.83,55.290001,2571600,55.290001
"2018-01-16",55.41,55.54,55.11,55.240002,1768600,55.240002
