"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",53.11,53.193,52.654,51.360001,767000,49.590202
"2017-01-04",53.307,54.798,53.276,52.849998,1027400,51.028862
"2017-01-05",54.374,55.057,53.835,52.880001,1063300,51.057827
"2017-01-06",54.508,55.088,54.488,52.799999,480900,50.980583
"2017-01-09",54.705,54.985,53.794,52,573200,50.208149
"2017-01-10",53.804,54.032,53.359,51.700001,858700,49.918488
"2017-01-11",53.39,53.566,52.717,50.970001,586700,49.213646
"2017-01-12",52.768,53.234,52.25,51.400002,574000,49.628826
"2017-01-13",53.245,53.493,52.944,51.540001,450700,49.764
"2017-01-17",53.359,53.825,53.359,51.93,585500,50.140564
"2017-01-18",53.752,54.239,53.638,52.32,563800,50.517124
"2017-01-19",53.856,54.022,53.555,51.950001,582000,50.15987
"2017-01-20",53.773,54.198,53.638,52.330002,542400,50.526779
"2017-01-23",54.198,54.798,54.125,52.889999,705700,51.067482
"2017-01-24",54.85,55.14,54.726,53.189999,387200,51.357143
"2017-01-25",55.099,55.161,54.498,52.970001,716000,51.144726
"2017-01-26",54.881,55.026,54.332,52.639999,619600,50.826099
"2017-01-27",54.695,54.695,53.504,51.779999,389700,49.995731
"2017-01-30",53.524,53.638,53.172,51.52,660600,49.74469
"2017-01-31",53.514,53.711,53.152,51.41,861700,49.638481
"2017-02-01",53.234,53.4,51.681,49.950001,1082700,48.22879
"2017-02-02",51.836,52.178,51.67,50.220001,888000,48.489483
"2017-02-03",52.437,52.685,51.691,50.09,1492500,48.363964
"2017-02-06",51.919,52.105,51.619,50.040001,1202100,48.315689
"2017-02-07",51.888,52.24,51.36,49.91,966500,48.190166
"2017-02-08",51.008,52.137,50.614,49.779999,1792100,48.064644
"2017-02-09",51.629,51.847,51.36,49.860001,921000,48.141891
"2017-02-10",51.629,52.074,51.484,50.23,5e+05,48.499142
"2017-02-13",52.178,52.199,51.712,50.139999,525700,48.412243
"2017-02-14",51.712,51.94,51.412,50.029999,559700,48.30603
"2017-02-15",51.65,51.733,51.267,49.82,513300,48.103275
"2017-02-16",50.865,52.241,50.845,50.84,796200,49.525524
"2017-02-17",52.343,52.487,51.974,51.049999,921300,49.730091
"2017-02-21",52.21,53.062,52.21,51.630001,695700,50.295094
"2017-02-22",53.144,53.38,52.816,51.93,1008100,50.587341
"2017-02-23",53.606,53.781,53.103,52.290001,528300,50.938034
"2017-02-24",53.698,53.893,53.401,52.450001,386900,51.093891
"2017-02-27",53.924,54.376,53.791,52.77,473800,51.405624
"2017-02-28",54.017,54.355,53.832,52.490002,637000,51.132862
"2017-03-01",53.75,54.006,53.329,52.09,648300,50.743202
"2017-03-02",53.144,53.811,53.144,52,460500,50.655529
"2017-03-03",53.349,53.36,52.672,51.790001,429000,50.450962
"2017-03-06",52.959,53.185,52.569,51.419998,378000,50.090523
"2017-03-07",52.61,52.785,52.292,51.16,299200,49.83725
"2017-03-08",52.169,52.292,51.532,50.220001,389400,48.921555
"2017-03-09",51.563,51.81,50.506,49.23,346100,47.95715
"2017-03-10",50.896,51.029,50.064,48.869999,314300,47.606457
"2017-03-13",50.188,50.578,50.126,49.049999,438400,47.781799
"2017-03-14",50.239,50.434,49.982,49.009998,316300,47.742836
"2017-03-15",50.434,51.307,50.434,49.759998,714000,48.473442
"2017-03-16",51.081,51.183,50.691,49.52,360100,48.239651
"2017-03-17",50.711,51.235,50.567,49.700001,2245900,48.414997
"2017-03-20",50.937,51.296,50.783,49.700001,446700,48.414997
"2017-03-21",51.132,51.348,50.65,49.459999,499300,48.181198
"2017-03-22",50.865,50.865,50.075,49.450001,288200,48.171459
"2017-03-23",50.691,51.378,50.588,49.630001,461900,48.346809
"2017-03-24",50.958,51.265,50.762,49.540001,372500,48.259132
"2017-03-27",50.588,50.947,50.003,49,333300,47.733097
"2017-03-28",50.249,50.372,49.705,49.029999,569400,47.762321
"2017-03-29",50.249,50.393,49.962,49.040001,689400,47.77206
"2017-03-30",50.157,50.424,49.931,49.110001,518900,47.840252
"2017-03-31",50.352,50.927,50.301,49.130001,897600,47.859737
"2017-04-03",50.413,51.019,50.28,49.630001,528600,48.346809
"2017-04-04",50.916,51.604,50.896,50.25,598400,48.950775
"2017-04-05",51.573,52.015,51.358,50.450001,699900,49.145607
"2017-04-06",51.768,52.189,51.419,50.709999,396400,49.39888
"2017-04-07",52.035,52.549,52.005,50.93,461500,49.613197
"2017-04-10",52.251,52.631,52.169,51.23,257400,49.905437
"2017-04-11",52.682,52.898,52.405,51.360001,851000,50.032078
"2017-04-12",52.785,52.98,52.456,51.220001,708500,49.895695
"2017-04-13",52.508,52.713,52.21,50.939999,552300,49.622936
"2017-04-17",52.508,53.031,52.271,51.66,451200,50.324322
"2017-04-18",53.011,53.257,52.641,51.599998,469400,50.265869
"2017-04-19",52.785,53.175,52.713,51.59,508400,50.25613
"2017-04-20",52.846,53.031,52.456,51.619999,380000,50.285351
"2017-04-21",52.98,53.349,52.826,51.669998,359400,50.334061
"2017-04-24",53.278,53.473,52.23,51.240002,593700,49.91518
"2017-04-25",52.692,52.877,52.467,51.470001,385800,50.139233
"2017-04-26",52.846,53.319,52.035,51.43,863700,50.100266
"2017-04-27",52.795,52.939,52.333,51.16,447500,49.83725
"2017-04-28",52.487,52.487,51.851,50.880001,661400,49.564487
"2017-05-01",52.302,52.333,51.902,50.970001,555800,49.652161
"2017-05-02",52.354,52.436,51.964,50.75,294600,49.437847
"2017-05-03",52.2,52.282,50.937,50.02,684000,48.726723
"2017-05-04",51.081,51.768,50.804,50.389999,691900,49.087154
"2017-05-05",51.84,52.261,51.83,50.900002,433800,49.583969
"2017-05-08",52.364,52.569,51.676,50.549999,468000,49.243019
"2017-05-09",51.902,51.902,51.307,50.209999,367200,48.911812
"2017-05-10",51.563,52.251,51.307,50.540001,528900,49.23328
"2017-05-11",51.697,51.789,51.204,50.369999,302500,49.067669
"2017-05-12",51.697,51.748,51.255,49.970001,340700,48.678017
"2017-05-15",50.539,51.15,50.346,49.900002,431800,49.041653
"2017-05-16",50.845,50.845,50.326,49.830002,290000,48.972855
"2017-05-17",50.631,51.038,50.488,49.790001,581800,48.933544
"2017-05-18",50.56,50.987,50.143,49.959999,582700,49.100616
"2017-05-19",50.946,51.475,50.499,50.490002,475500,49.621502
"2017-05-22",51.445,51.791,51.17,50.610001,395100,49.739441
"2017-05-23",51.577,51.923,51.374,51.029999,438100,50.152214
"2017-05-24",51.974,52.32,51.801,51.27,392600,50.388084
"2017-05-25",52.249,52.34,52.025,51.220001,339600,50.338947
"2017-05-26",52.137,52.137,51.526,50.799999,219800,49.92617
"2017-05-30",51.75,51.832,51.272,50.43,225200,49.562534
"2017-05-31",51.384,51.598,51.099,50.400002,458700,49.533051
"2017-06-01",51.221,51.699,50.967,50.790001,471000,49.916344
"2017-06-02",52.005,52.259,51.872,51.09,323500,50.211182
"2017-06-05",51.811,52.066,51.638,51.09,188100,50.211182
"2017-06-06",52.066,52.066,51.364,50.59,357200,49.719784
"2017-06-07",51.547,51.73,51.353,50.599998,505400,49.72961
"2017-06-08",51.465,51.465,50.661,50.290001,557000,49.424942
"2017-06-09",51.211,51.832,50.926,50.93,818000,50.053936
"2017-06-12",51.781,52.727,51.781,51.82,682100,50.928623
"2017-06-13",52.758,53.063,52.523,52.139999,533400,51.243118
"2017-06-14",53.307,53.694,53.246,52.650002,643400,51.744347
"2017-06-15",53.378,53.744,53.114,52.599998,416600,51.695202
"2017-06-16",53.439,53.51,52.951,52.220001,784200,51.321743
"2017-06-19",53.093,53.348,52.819,52.200001,806400,51.302086
"2017-06-20",53.175,53.266,52.595,52.07,406800,51.174324
"2017-06-21",53.012,53.348,52.788,52.169998,332300,51.272602
"2017-06-22",52.93,53.175,52.656,52.080002,436300,51.184151
"2017-06-23",52.992,53.612,52.788,52.150002,648100,51.252949
"2017-06-26",53.297,53.47,53.012,52.400002,424800,51.498646
"2017-06-27",52.961,53.439,52.859,52.009998,442300,51.115353
"2017-06-28",53.083,53.256,52.381,51.52,1056000,50.633785
"2017-06-29",52.167,52.218,50.855,50.25,962900,49.385628
"2017-06-30",51.323,51.821,50.926,50.709999,686200,49.837719
"2017-07-03",51.893,52.686,51.75,51.689999,230000,50.800858
"2017-07-05",52.595,52.595,51.577,50.720001,758200,49.847549
"2017-07-06",51.414,51.628,50.885,50.07,468300,49.208725
"2017-07-07",51.058,51.201,50.56,50.099998,644600,49.238209
"2017-07-10",51.119,51.18,50.132,49.310001,570900,48.4618
"2017-07-11",50.265,50.275,49.532,49.169998,509600,48.324207
"2017-07-12",50.458,51.13,50.234,49.939999,409500,49.080959
"2017-07-13",50.957,50.967,50.377,49.75,504800,48.89423
"2017-07-14",50.957,51.333,50.845,50.200001,418600,49.336491
"2017-07-17",51.079,51.638,50.885,50.52,476800,49.650986
"2017-07-18",51.425,51.445,50.916,50.139999,495200,49.277519
"2017-07-19",51.201,51.74,50.977,50.84,263900,49.965485
"2017-07-20",51.801,51.893,51.282,50.439999,399300,49.572357
"2017-07-21",51.506,51.506,50.946,50.18,320200,49.316833
"2017-07-24",51.058,51.435,50.763,50.209999,369000,49.346317
"2017-07-25",51.201,51.201,50.743,50.18,687000,49.316833
"2017-07-26",51.028,52.432,51.028,51.310001,749600,50.427399
"2017-07-27",52.137,52.289,51.475,50.950001,587400,50.073589
"2017-07-28",51.913,52.137,51.669,51.209999,406600,50.329117
"2017-07-31",52.218,52.452,51.587,51.52,573900,50.633785
"2017-08-01",52.513,52.88,52.208,51.82,607200,50.928623
"2017-08-02",52.574,53.083,51.811,51.049999,436900,50.171867
"2017-08-03",51.954,52.157,51.74,50.919998,443300,50.044106
"2017-08-04",51.832,52.127,51.221,50.540001,685400,49.670639
"2017-08-07",51.465,51.577,51.109,50.5,294400,49.631329
"2017-08-08",51.374,51.577,51.068,50.450001,375800,49.582188
"2017-08-09",51.302,51.516,50.967,50.16,408600,49.297176
"2017-08-10",50.197,50.742,49.965,50.25,452600,49.822674
"2017-08-11",50.439,50.52,50.005,49.98,379400,49.55497
"2017-08-14",50.731,51.266,50.671,50.700001,692100,50.268845
"2017-08-15",51.115,51.407,50.701,50.880001,465700,50.447315
"2017-08-16",51.417,51.942,51.316,51.450001,721700,51.012466
"2017-08-17",51.861,52.345,51.72,51.360001,552400,50.923233
"2017-08-18",51.639,51.639,51.216,50.900002,555700,50.467148
"2017-08-21",51.387,51.77,51.034,51.240002,255600,50.804256
"2017-08-22",51.78,51.821,51.326,50.93,209200,50.496891
"2017-08-23",51.246,51.7,50.883,51.169998,242500,50.734848
"2017-08-24",51.821,51.972,51.528,51.139999,436900,50.705105
"2017-08-25",51.861,52.113,51.558,51.459999,222000,51.022381
"2017-08-28",52.032,52.204,51.458,51.139999,212700,50.705105
"2017-08-29",51.659,51.73,51.367,51.009998,133700,50.576206
"2017-08-30",51.417,51.922,51.165,51.419998,276600,50.982719
"2017-08-31",51.952,52.698,51.952,52.23,529300,51.785835
"2017-09-01",52.708,53.091,52.375,52.32,371100,51.875069
"2017-09-05",52.94,53.132,52.214,52.049999,423900,51.607365
"2017-09-06",52.658,53.102,52.345,52,283600,51.557789
"2017-09-07",52.567,52.708,52.002,52.040001,468500,51.59745
"2017-09-08",52.396,52.527,52.123,51.799999,327700,51.359489
"2017-09-11",52.406,53.011,52.264,52.32,298300,51.875069
"2017-09-12",52.738,53.202,52.012,51.82,309000,51.379322
"2017-09-13",52.325,52.517,52.103,51.779999,375200,51.339661
"2017-09-14",52.264,52.819,52.053,52.349998,324500,51.904812
"2017-09-15",52.708,52.92,52.083,52.02,761600,51.577621
"2017-09-18",52.496,52.708,52.063,52.080002,354500,51.637112
