"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",19.918,20.012,19.688,19.129999,8866500,18.286615
"2017-01-04",20.033,20.378,19.95,19.34,15374000,18.487358
"2017-01-05",20.19,20.253,19.196,18.5,19884200,17.684391
"2017-01-06",19.353,19.426,18.987,18.25,14827100,17.445412
"2017-01-09",19.123,19.165,18.767,18.200001,12417800,17.397619
"2017-01-10",19.134,19.353,18.83,18.030001,10722500,17.235113
"2017-01-11",18.966,19.186,18.788,18.18,10568700,17.378498
"2017-01-12",18.956,18.956,18.454,18.02,10585100,17.225552
"2017-01-13",18.945,19.154,18.882,18.26,7907300,17.454971
"2017-01-17",18.893,19.175,18.799,18.15,10131800,17.349819
"2017-01-18",19.029,19.249,18.945,18.309999,6615200,17.502766
"2017-01-19",18.956,19.249,18.799,18.219999,8253700,17.416733
"2017-01-20",19.081,19.353,19.039,18.33,8037300,17.521885
"2017-01-23",19.113,19.154,18.956,18.24,5364200,17.435852
"2017-01-24",19.134,19.238,18.977,18.27,11475000,17.464531
"2017-01-25",19.154,19.343,19.05,18.48,10628100,17.665272
"2017-01-26",19.311,19.646,19.28,18.610001,14066900,17.789541
"2017-01-27",19.51,19.573,19.154,18.59,9411200,17.770426
"2017-01-30",19.406,19.426,18.558,17.940001,11599400,17.14908
"2017-01-31",18.788,19.029,18.631,18.07,17109200,17.273348
"2017-02-01",18.987,19.228,18.663,17.870001,7372700,17.082167
"2017-02-02",18.652,18.83,18.61,17.91,7878600,17.120403
"2017-02-03",18.872,19.05,18.841,18.09,6409300,17.292467
"2017-02-06",18.882,19.029,18.631,17.879999,6036900,17.091724
"2017-02-07",18.788,19.102,18.736,18.01,9013100,17.215992
"2017-02-08",18.788,19.238,18.684,18.33,12920800,17.521885
"2017-02-09",19.196,19.332,19.05,18.35,10365500,17.541006
"2017-02-10",19.207,19.29,19.113,18.360001,5676600,17.550564
"2017-02-13",19.301,19.468,19.217,18.559999,6125600,17.741745
"2017-02-14",19.374,19.625,19.081,18.75,7861100,17.923368
"2017-02-15",19.51,19.583,19.102,18.620001,9731700,17.799101
"2017-02-16",19.51,19.793,19.416,18.58,8981800,17.760866
"2017-02-17",19.426,19.426,18.945,18.389999,8353800,17.579239
"2017-02-21",19.196,19.573,19.196,18.690001,11591900,17.866014
"2017-02-22",20.619,21.142,18.998,18.35,14828000,17.541006
"2017-02-23",19.259,19.322,18.652,18.030001,11413600,17.235113
"2017-02-24",18.809,18.914,18.464,18.01,10378000,17.215992
"2017-02-27",18.851,19.144,18.736,18.209999,8180400,17.407175
"2017-02-28",18.966,19.008,18.61,17.99,9768000,17.196873
"2017-03-01",18.977,19.542,18.914,18.389999,10698400,17.579239
"2017-03-02",19.186,19.468,18.977,18.610001,12586100,17.789541
"2017-03-03",19.458,19.51,18.977,18.379999,9319400,17.569681
"2017-03-06",19.029,19.395,18.998,18.5,7777400,17.684391
"2017-03-07",19.249,19.332,18.914,18.18,5571300,17.378498
"2017-03-08",18.945,19.28,18.82,18.129999,5571900,17.330702
"2017-03-09",19.018,19.123,18.527,17.84,7041700,17.053488
"2017-03-10",18.663,18.924,18.548,17.91,5559700,17.120403
"2017-03-13",18.767,18.945,18.61,17.870001,5737500,17.082167
"2017-03-14",18.694,18.778,18.548,17.75,6863400,16.967455
