"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",51.963,52.851,51.963,52.07,480200,51.616177
"2017-01-04",52.891,53.405,52.719,52.419998,571000,51.963123
"2017-01-05",52.8,52.921,51.509,51.290001,1114400,50.842976
"2017-01-06",51.741,51.983,51.489,51.09,772400,50.644718
"2017-01-09",51.448,51.499,50.914,50.48,732600,50.040031
"2017-01-10",51.146,51.61,51.146,50.860001,375300,50.416721
"2017-01-11",51.216,51.448,50.732,50.669998,777900,50.228374
"2017-01-12",51.085,51.196,50.208,50.32,646100,49.881428
"2017-01-13",51.156,51.771,51.146,51.07,352700,50.624889
"2017-01-17",51.509,51.549,50.793,50.450001,366600,50.010292
"2017-01-18",50.964,51.307,50.662,50.82,610200,50.377068
"2017-01-19",51.519,51.892,51.297,51.389999,673800,50.942104
"2017-01-20",51.953,52.003,51.176,51.02,460100,50.575329
"2017-01-23",51.277,51.448,50.631,50.5,472700,50.05986
"2017-01-24",50.934,51.721,50.934,50.990002,454800,50.545589
"2017-01-25",51.872,51.872,51.105,50.939999,1055400,50.496021
"2017-01-26",51.095,52.356,50.45,50.849998,1255200,50.406807
"2017-01-27",51.297,51.721,50.53,50.470001,1112900,50.030125
"2017-01-30",50.571,51.156,50.248,50.5,944200,50.05986
"2017-01-31",50.651,51.832,50.611,51.349998,847800,50.902451
"2017-02-01",52.326,52.427,51.065,50.91,465700,50.466286
"2017-02-02",51.085,51.267,50.682,50.5,501400,50.05986
"2017-02-03",51.186,51.559,50.873,51.040001,1187200,50.595154
"2017-02-06",52.092,52.807,51.881,51.630001,663600,51.290554
"2017-02-07",52.052,52.535,51.71,51.59,541300,51.250813
"2017-02-08",51.801,51.821,51.116,51.119999,601000,50.783905
"2017-02-09",51.458,52.052,51.338,51.169998,600500,50.833576
"2017-02-10",52.183,53.26,51.921,52.290001,843500,51.946213
"2017-02-13",52.757,53.26,52.707,52.52,611900,52.174702
"2017-02-14",52.878,53.17,52.545,52.790001,377900,52.442924
"2017-02-15",53.2,53.472,52.988,53.080002,437500,52.731018
"2017-02-16",53.602,53.653,53.22,53.279999,476600,52.929699
"2017-02-17",53.512,53.794,53.321,53.419998,397100,53.068779
"2017-02-21",53.824,54.327,53.804,53.860001,558300,53.505894
"2017-02-22",54.065,54.257,53.955,53.740002,646000,53.386681
"2017-02-23",54.227,54.357,53.864,53.82,301300,53.466152
"2017-02-24",53.774,54.619,53.633,54.259998,570300,53.903259
"2017-02-27",54.8,55.686,54.529,55.130001,712900,54.76754
"2017-02-28",55.565,55.676,55.223,54.98,680900,54.618526
"2017-03-01",55.867,56.28,55.736,55.630001,916400,55.264256
"2017-03-02",55.767,55.988,55.213,54.939999,489300,54.578789
"2017-03-03",55.213,55.535,54.891,55.099998,622300,54.737732
"2017-03-06",55.102,55.294,54.83,54.630001,504400,54.270832
"2017-03-07",54.7,55.263,54.7,54.48,380900,54.121811
"2017-03-08",54.911,55.052,54.539,54.220001,449200,53.863525
"2017-03-09",54.559,54.931,54.086,53.990002,394400,53.635036
"2017-03-10",54.448,54.559,53.733,53.610001,480600,53.257534
"2017-03-13",53.935,54.438,53.834,54.07,483000,53.714512
"2017-03-14",54.317,54.317,53.542,53.619999,581100,53.267464
"2017-03-15",54.176,54.277,53.804,53.82,357400,53.466152
"2017-03-16",54.307,54.82,54.106,53.919998,396800,53.565495
"2017-03-17",54.337,54.629,53.995,53.990002,735500,53.635036
"2017-03-20",54.337,54.488,54.025,53.880001,332900,53.525761
"2017-03-21",54.337,54.337,53.079,52.759998,613300,52.41312
