"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",129.17,132.19,128.16,131.130005,1136700,131.130005
"2017-01-04",131.03,136.33,130.25,135.179993,1344500,135.179993
"2017-01-05",135.18,135.83,132.02,134.559998,1683800,134.559998
"2017-01-06",139.09,141.88,137.4,141.490005,2332300,141.490005
"2017-01-09",141.87,143.43,140.19,141.539993,1313500,141.539993
"2017-01-10",161.65,167.1,161.31,165.039993,6031700,165.039993
"2017-01-11",164.05,165.48,159.61,162.350006,2486900,162.350006
"2017-01-12",162.42,163.12,159.75,162.839996,1499500,162.839996
"2017-01-13",162.87,165,162.09,162.570007,1115200,162.570007
"2017-01-17",160,162.05,158.78,160.470001,1185700,160.470001
"2017-01-18",161.38,161.81,158.44,161.229996,1012200,161.229996
"2017-01-19",160.35,161.49,159.1,160.580002,1239700,160.580002
"2017-01-20",160.9,161.5,158.73,159.740005,1364800,159.740005
"2017-01-23",159.71,161.5,159.57,160.889999,1117000,160.889999
"2017-01-24",160.89,161.32,158.31,160.479996,845200,160.479996
"2017-01-25",160.95,161.89,160.01,161.070007,895200,161.070007
"2017-01-26",161.3,161.84,159.89,160.130005,697800,160.130005
"2017-01-27",160.94,161.59,159.92,160.990005,957900,160.990005
"2017-01-30",160.9,160.91,156.85,159.279999,1072000,159.279999
"2017-01-31",159.28,160.6,157.7,160.100006,1743400,160.100006
"2017-02-01",158,163.8,156.5,161.580002,1790300,161.580002
"2017-02-02",160.41,163.12,159.5,162.889999,936700,162.889999
"2017-02-03",162.49,164.26,160.72,162.149994,808400,162.149994
"2017-02-06",161.26,163,161.15,162.520004,704200,162.520004
"2017-02-07",162.36,164,161.8,162.850006,698400,162.850006
"2017-02-08",162.5,163.6,161.4,162.960007,598600,162.960007
"2017-02-09",162.86,163.94,162.41,163.139999,465800,163.139999
"2017-02-10",163.66,163.66,161.25,163.039993,903000,163.039993
"2017-02-13",163.1,164.65,162.06,163.839996,784100,163.839996
"2017-02-14",164.21,165.69,163.15,164.460007,765700,164.460007
"2017-02-15",163.84,165.37,163,163.289993,785600,163.289993
"2017-02-16",163.45,163.85,159.37,161.300003,1026200,161.300003
"2017-02-17",161.3,163.46,161.12,163.369995,892400,163.369995
"2017-02-21",163.11,163.5,160.54,162.149994,710400,162.149994
"2017-02-22",161.8,163.4,161.02,162.300003,639700,162.300003
"2017-02-23",163,163,160.34,161.009995,562300,161.009995
"2017-02-24",160.84,160.95,158.81,160,753000,160
"2017-02-27",163.72,167.48,161.27,166.820007,1550100,166.820007
"2017-02-28",166.37,168.61,165.61,167.399994,1533500,167.399994
"2017-03-01",168.58,169.98,167.54,168.800003,1018900,168.800003
"2017-03-02",168.64,171.21,166.46,167.720001,804700,167.720001
"2017-03-03",167.75,168.65,166.38,168.5,863200,168.5
"2017-03-06",167.86,167.99,166.53,166.690002,678200,166.690002
"2017-03-07",165.6,166.71,164.25,165.580002,695700,165.580002
"2017-03-08",165.73,165.99,164,164.399994,559800,164.399994
"2017-03-09",164.37,164.97,163,164.479996,961600,164.479996
"2017-03-10",165.76,167.54,164.53,167.220001,674400,167.220001
"2017-03-13",167.07,167.35,165.26,166.910004,562800,166.910004
"2017-03-14",166.49,166.89,164.3,164.830002,1054100,164.830002
"2017-03-15",164.82,166.44,164.01,165.949997,696600,165.949997
"2017-03-16",162.28,163.81,158.02,159.460007,1748700,159.460007
"2017-03-17",159,161.79,158.64,160.419998,1917700,160.419998
"2017-03-20",162.07,164.88,161.4,163.490005,1303300,163.490005
"2017-03-21",164.11,164.49,162.35,163.5,1047400,163.5
"2017-03-22",163.48,168.07,162.57,167.789993,1123600,167.789993
"2017-03-23",167.2,169.27,166.68,167.690002,712500,167.690002
"2017-03-24",168.94,171.98,167.82,170.580002,874100,170.580002
"2017-03-27",168.8,172.68,168.42,172.289993,609500,172.289993
"2017-03-28",172.04,172.99,170.66,170.809998,888100,170.809998
"2017-03-29",171.05,172.8,168.55,172.660004,778400,172.660004
"2017-03-30",172.02,174.32,171.28,173.160004,785800,173.160004
"2017-03-31",172.78,173.64,170.53,170.639999,818500,170.639999
"2017-04-03",171,172.29,169.3,170.75,736200,170.75
"2017-04-04",170.8,171.84,169.51,169.919998,518400,169.919998
"2017-04-05",170.61,171.1,167.16,167.479996,1148200,167.479996
"2017-04-06",167.68,171.43,167.18,170.440002,836000,170.440002
"2017-04-07",171.11,173.85,169.71,172.389999,852000,172.389999
"2017-04-10",171.94,173.6,171.1,171.520004,764800,171.520004
"2017-04-11",172.29,178.99,172.24,175.009995,1666500,175.009995
"2017-04-12",174.98,176.1,171.8,172.949997,784700,172.949997
"2017-04-13",173.09,175.45,171.93,173.679993,1142700,173.679993
"2017-04-17",174.63,175.89,173.38,174.419998,586500,174.419998
"2017-04-18",173.22,175.58,173.09,175.289993,676400,175.289993
"2017-04-19",175.82,180.62,175.34,178.029999,1144800,178.029999
"2017-04-20",179.15,179.15,175.51,177.160004,1085000,177.160004
"2017-04-21",177.2,177.23,173.59,175.289993,1303100,175.289993
"2017-04-24",177.65,180.36,177.33,180.199997,819800,180.199997
"2017-04-25",180.4,182.42,179.79,181.5,1377000,181.5
"2017-04-26",178.79,184.96,177.32,184.580002,2751500,184.580002
"2017-04-27",183.94,184.47,181.96,183.740005,1966900,183.740005
"2017-04-28",184.62,185.95,182.95,184.860001,1077900,184.860001
"2017-05-01",186.32,188.48,185.33,186.809998,952900,186.809998
"2017-05-02",186.62,187.88,185.4,186.710007,759100,186.710007
"2017-05-03",187.07,188.99,186.69,187.720001,1114000,187.720001
"2017-05-04",188.66,188.97,186.79,188.850006,677900,188.850006
"2017-05-05",188.33,189.48,186.63,187.139999,880700,187.139999
"2017-05-08",186.1,186.39,183.1,184.649994,1051000,184.649994
"2017-05-09",184.35,185.27,182.71,183.589996,1125200,183.589996
"2017-05-10",182.97,183.96,180.19,182.110001,977400,182.110001
"2017-05-11",182.14,182.41,179.28,181.740005,822700,181.740005
"2017-05-12",181.91,182.51,180.69,182.380005,641400,182.380005
"2017-05-15",180.76,181.09,179,180.050003,1251900,180.050003
"2017-05-16",180.04,180.04,176.52,178.240005,1217100,178.240005
"2017-05-17",176.98,177.92,175.25,175.559998,964300,175.559998
"2017-05-18",176.29,177.48,174.81,175.889999,936400,175.889999
"2017-05-19",175.88,177.5,174.85,177.009995,1061800,177.009995
"2017-05-22",176.36,176.5,174.49,174.919998,1176600,174.919998
"2017-05-23",175,176.31,174.19,174.720001,1001400,174.720001
"2017-05-24",175.34,175.98,173.78,174.479996,1251900,174.479996
"2017-05-25",174.77,174.77,172.34,173.759995,1215600,173.759995
"2017-05-26",174.01,177.14,173.8,175.910004,959300,175.910004
"2017-05-30",175.19,176.51,173.02,173.580002,724000,173.580002
"2017-05-31",174.7,177.46,173.26,177.360001,1442900,177.360001
"2017-06-01",177.61,180.94,176.05,180.649994,899600,180.649994
"2017-06-02",181,184.44,180.04,183.789993,714700,183.789993
"2017-06-05",184.75,184.75,181.44,181.509995,600600,181.509995
"2017-06-06",180.62,181.54,178.69,179.449997,601000,179.449997
"2017-06-07",179.47,180.1,177.75,179.149994,568000,179.149994
"2017-06-08",178.91,179,176.66,177.690002,591900,177.690002
"2017-06-09",176.26,178.3,173.45,174.080002,879200,174.080002
"2017-06-12",173.81,174.41,168.87,171.460007,936400,171.460007
"2017-06-13",171.46,173.5,170.55,173.460007,719300,173.460007
"2017-06-14",174.26,176.11,171.61,172.589996,767600,172.589996
"2017-06-15",171.25,172.53,169.73,172.039993,781500,172.039993
"2017-06-16",171.81,173.24,169.86,171.860001,1245900,171.860001
"2017-06-19",172.71,177.65,171.21,176.600006,936300,176.600006
"2017-06-20",176.23,179.25,175.15,175.300003,809100,175.300003
"2017-06-21",175.39,178.77,175.39,177.380005,979000,177.380005
"2017-06-22",178.07,183.98,177.77,182.990005,1201300,182.990005
"2017-06-23",182.99,185.72,181.07,185.279999,1127900,185.279999
"2017-06-26",185.28,186,180.78,180.889999,715900,180.889999
"2017-06-27",180.31,181.29,176.14,176.360001,716700,176.360001
"2017-06-28",177.12,181.18,176.01,181,655500,181
"2017-06-29",180.53,180.55,175.64,176.75,1054400,176.75
"2017-06-30",178.62,178.62,173.44,173.520004,893600,173.520004
"2017-07-03",174.24,176.49,173.31,174.130005,527700,174.130005
"2017-07-05",173.9,175.41,171.56,174.350006,901400,174.350006
"2017-07-06",172.8,173.92,170.15,172.320007,838200,172.320007
"2017-07-07",172.73,174.01,171.95,172.110001,639100,172.110001
"2017-07-10",170.88,171.15,167.98,169,1579800,169
"2017-07-11",169.75,174.5,169.26,173.149994,1099400,173.149994
"2017-07-12",174.79,175.32,172.65,173.229996,781400,173.229996
"2017-07-13",173.67,174.38,172.16,173,845700,173
"2017-07-14",173.83,174.99,171.19,172.330002,1246300,172.330002
"2017-07-17",171.97,173.39,171.22,171.740005,1126400,171.740005
"2017-07-18",171.97,173.92,169.7,173.660004,1011300,173.660004
"2017-07-19",174.66,175.85,173.12,173.880005,622200,173.880005
"2017-07-20",174.45,174.45,171.81,171.970001,654000,171.970001
"2017-07-21",171.37,173.46,171.37,172.75,1411400,172.75
"2017-07-24",172.48,174.04,171.02,173.990005,1148000,173.990005
"2017-07-25",175,175,171.76,173.850006,853400,173.850006
"2017-07-26",173.37,176.47,172.12,176.300003,769800,176.300003
"2017-07-27",176.5,177.8,173.01,174.330002,1134500,174.330002
