"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",44.964,44.964,43.977,43.310001,1228400,42.092056
"2017-01-04",44.604,45.417,44.584,44.139999,953300,42.898716
"2017-01-05",45.325,45.88,45.109,44.290001,824200,43.044498
"2017-01-06",45.51,45.993,45.242,44.610001,963400,43.355503
"2017-01-09",45.983,46.508,45.582,45.169998,1388200,43.899754
"2017-01-10",46.539,46.683,46.209,45.34,1154400,44.064972
"2017-01-11",46.631,46.734,46.467,45.32,1027500,44.045536
"2017-01-12",46.436,46.827,46.148,45.5,752900,44.220474
"2017-01-13",47.043,47.074,46.806,45.66,726700,44.375973
"2017-01-17",46.971,47.341,46.724,45.919998,1147100,44.628658
"2017-01-18",47.125,47.465,46.899,45.849998,988100,44.560631
"2017-01-19",47.197,47.382,46.446,45.25,743800,43.977497
"2017-01-20",46.518,46.703,46.271,45.380001,610000,44.103851
"2017-01-23",46.683,46.817,46.292,45.119999,324200,43.851158
"2017-01-24",46.354,46.981,46.282,45.59,690800,44.307941
"2017-01-25",46.93,47.269,46.817,45.669998,364000,44.385693
"2017-01-26",47.115,47.177,46.724,45.52,341800,44.23991
"2017-01-27",47.084,47.084,46.559,45.509998,604800,44.23019
"2017-01-30",46.673,46.796,46.209,45.419998,461400,44.142719
"2017-01-31",46.621,46.868,46.395,45.549999,340500,44.269066
"2017-02-01",46.858,47.064,46.086,45.049999,617800,43.783123
"2017-02-02",46.374,46.611,46.189,44.970001,566500,43.705376
"2017-02-03",46.487,46.714,46.271,45.189999,491400,43.919189
"2017-02-06",46.673,46.817,46.384,45.25,665300,43.977497
"2017-02-07",46.559,46.765,46.436,45.220001,726800,43.948349
"2017-02-08",46.323,46.559,46.148,45.099998,682800,43.831718
"2017-02-09",46.652,46.991,46.549,45.619999,633100,44.337097
"2017-02-10",46.971,47.331,46.796,45.959999,473200,44.667542
"2017-02-13",47.321,47.784,47.094,46.34,540200,45.03685
"2017-02-14",47.475,47.856,47.352,46.419998,476500,45.114597
"2017-02-15",47.845,48.391,47.609,46.700001,754200,45.386723
"2017-02-16",47.897,48.113,47.506,46.509998,961900,45.202068
"2017-02-17",47.557,47.825,47.424,46.48,813300,45.172913
"2017-02-21",48.195,48.309,47.794,46.689999,1354300,45.377007
"2017-02-22",45.242,46.312,44.512,44.799999,4894300,43.540157
"2017-02-23",46.014,46.209,45.633,44.5,1649000,43.248596
"2017-02-24",45.685,46.024,45.582,44.509998,1193800,43.258308
