"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",90.393,90.516,88.901,87.529999,3104600,85.067978
"2017-01-04",90.053,90.516,89.415,87.029999,2274900,84.582039
"2017-01-05",89.415,89.827,88.571,86.529999,3037400,84.096107
"2017-01-06",89.034,89.137,88.314,86.309998,2450200,83.882286
"2017-01-09",88.746,88.978,88.067,86.07,2482400,83.649048
"2017-01-10",88.335,88.798,87.882,85.910004,2539900,83.493546
"2017-01-11",88.612,89.559,88.53,86.760002,2754500,84.319641
"2017-01-12",89.343,90.31,89.003,87.419998,2484700,84.961067
"2017-01-13",89.95,89.96,89.084,87.029999,1799100,84.582039
"2017-01-17",89.22,90.521,89.22,87.919998,2295000,85.447014
"2017-01-18",90.341,91.154,90.341,88.349998,2881800,85.864914
"2017-01-19",90.732,90.989,90.084,87.849998,1690600,85.378975
"2017-01-20",90.907,91.576,90.557,88.949997,2795500,86.448036
"2017-01-23",91.226,91.524,90.753,88.800003,2654100,86.302254
"2017-01-24",91.483,91.771,90.876,88.690002,2171100,86.195351
"2017-01-25",91.504,91.854,90.969,88.839996,2262100,86.341118
"2017-01-26",92.08,92.502,91.283,89.410004,3091900,86.895103
"2017-01-27",91.535,92.368,91.349,89.43,1842800,86.914528
"2017-01-30",91.668,92.09,91.195,89.080002,2233600,86.574387
"2017-01-31",91.473,92.152,91.406,89.290001,2650500,86.778473
"2017-02-01",91.463,91.921,90.864,88.410004,1816800,85.923225
"2017-02-02",91.072,91.679,90.876,88.610001,1826700,86.117607
"2017-02-03",91.792,91.936,91.205,89.269997,2205100,86.759033
"2017-02-06",91.885,91.987,91.205,88.699997,1359800,86.205063
"2017-02-07",91.277,91.596,91.061,88.809998,2599300,86.311974
"2017-02-08",91.38,91.895,91.36,89.190002,3300300,86.681282
"2017-02-09",91.854,93.006,91.617,89.779999,2708300,87.254684
"2017-02-10",92.193,93.16,91.926,90.199997,1882100,87.662872
"2017-02-13",92.924,93.222,92.291,90.580002,1812500,88.032196
"2017-02-14",93.191,93.699,92.708,90.809998,2322700,88.255714
"2017-02-15",93.767,93.942,92.872,91.095001,3083900,88.5327
"2017-02-16",91.679,92.44,88.849,87.279999,10584700,84.825012
"2017-02-17",94.663,100.6,94.508,96.650002,30007700,93.93145
"2017-02-21",94.477,98.243,93.994,94.870003,14423200,92.201523
"2017-02-22",97.595,97.749,95.681,93.360001,4990400,90.733994
"2017-02-23",95.99,96.33,95.023,92.940002,2901000,90.325813
"2017-02-24",96.216,96.515,95.249,93.080002,2670500,90.461868
"2017-02-27",95.28,95.558,92.944,90.610001,6084900,88.06134
"2017-02-28",93.304,94.642,92.965,91.510002,4267700,88.93602
"2017-03-01",93.807,93.95,92.662,91.43,2858600,89.444733
"2017-03-02",93.531,93.725,92.795,91.279999,2552700,89.297997
"2017-03-03",93.275,93.531,92.826,91.5,1653000,89.513222
"2017-03-06",93.04,93.541,92.805,91.160004,2044900,89.180603
"2017-03-07",92.826,93.47,92.734,90.800003,1491000,88.828415
"2017-03-08",92.682,93.194,92.447,90.900002,2034200,88.926247
"2017-03-09",92.785,93.618,92.631,91.529999,2108500,89.542564
"2017-03-10",94.124,94.135,93.286,91.510002,2277100,89.523003
"2017-03-13",93.398,93.531,93.04,91.18,2182900,89.200172
"2017-03-14",93.183,93.378,92.682,91.059998,2097300,89.082771
"2017-03-15",93.623,94.185,93.112,91.839996,2076300,89.84584
"2017-03-16",94.798,95.34,94.206,92.769997,4139000,90.755638
"2017-03-17",95.677,95.749,93.858,91.980003,5655700,89.982796
"2017-03-20",94.073,95.013,93.93,92.360001,2063000,90.354553
"2017-03-21",94.359,94.839,93.623,91.900002,2322600,89.904533
"2017-03-22",94.298,94.809,94.083,92.290001,1540300,90.286057
"2017-03-23",94.093,94.839,93.94,92.010002,1833300,90.012154
"2017-03-24",94.287,94.451,93.347,91.68,1703800,89.689316
"2017-03-27",93.531,93.623,93.113,91.25,1699000,89.268646
"2017-03-28",92.795,93.7,92.795,91.410004,2222800,89.425179
"2017-03-29",93.224,93.633,93.081,91.489998,1462600,89.503441
"2017-03-30",93.459,93.705,93.061,91.099998,1143100,89.12191
"2017-03-31",92.897,93.214,92.58,90.809998,2205100,88.838203
