"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",72.42,72.96,70.45,71.139999,212500,71.139999
"2017-01-04",71.39,73.08,70.49,72.970001,149200,72.970001
"2017-01-05",72.72,74.26,72.72,73.860001,159800,73.860001
"2017-01-06",73.61,74.37,73.445,74.190002,217700,74.190002
"2017-01-09",74.25,74.89,73.32,73.559998,127100,73.559998
"2017-01-10",73.86,74.69,73.46,74.230003,114000,74.230003
"2017-01-11",74.21,75.02,73.85,74.93,86200,74.93
"2017-01-12",74.76,75.47,73.93,74.5,57400,74.5
"2017-01-13",74.47,75.09,74.28,74.980003,99900,74.980003
"2017-01-17",74.84,76.75,74.38,76.699997,143200,76.699997
"2017-01-18",76.74,77.25,76.11,76.190002,139400,76.190002
"2017-01-19",76.083,77.14,76.083,77,158700,77
"2017-01-20",77.19,78.21,77.19,78,91300,78
"2017-01-23",78.17,78.7,77.56,78.089996,158900,78.089996
"2017-01-24",78.5,78.69,77.79,78.459999,169900,78.459999
"2017-01-25",78.78,79.21,78.17,78.919998,55000,78.919998
"2017-01-26",83.81,86.69,82.97,85.910004,842400,85.910004
"2017-01-27",87.47,87.47,82.37,83.669998,341300,83.669998
"2017-01-30",83.52,83.66,82.37,83.629997,129200,83.629997
"2017-01-31",83.08,83.98,82.982,83.68,108400,83.68
"2017-02-01",83.88,84.38,83.13,83.970001,109800,83.970001
"2017-02-02",83.85,84.18,83.61,83.709999,103700,83.709999
"2017-02-03",83.85,84.57,83.711,84.57,78400,84.57
"2017-02-06",84.32,84.48,82.84,83.449997,94100,83.449997
"2017-02-07",83.53,84.41,83.53,84.190002,87300,84.190002
"2017-02-08",83.94,84.66,83.912,84.629997,88400,84.629997
"2017-02-09",84.48,84.95,83.77,84.82,96300,84.82
"2017-02-10",83.84,85.01,83.84,84.830002,119000,84.830002
"2017-02-13",84.72,85.14,83.95,84.300003,66000,84.300003
"2017-02-14",84.5,84.9,84.12,84.510002,162600,84.510002
"2017-02-15",84.6,85.09,84.09,84.989998,97700,84.989998
"2017-02-16",85.24,85.81,83.91,84.870003,136100,84.870003
"2017-02-17",85.08,85.08,83.35,85.040001,117500,85.040001
