"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",125,125.144,122.025,119.620003,5123800,116.615036
"2017-01-04",122.066,122.825,121.225,119.480003,3780800,116.478561
"2017-01-05",122.415,123.297,122.169,119.699997,4261100,116.693024
"2017-01-06",121.995,124.631,121.574,120.760002,4089200,117.726402
"2017-01-09",123.872,124.179,123.431,120.43,2976700,117.404694
"2017-01-10",123.564,123.964,122.815,120.25,3108400,117.22921
"2017-01-11",124.046,124.631,123.728,120.879997,3565200,117.843391
"2017-01-12",123.4,125.462,123.297,122.099998,3480700,119.03273
"2017-01-13",125.39,125.39,124.221,121.5,2877400,118.447807
"2017-01-17",123.862,125.964,123.81,122.75,4069800,119.666412
"2017-01-18",125.975,126.169,124.939,122.709999,3395000,119.627419
"2017-01-19",125.39,126.169,125.185,122.18,3155200,119.110725
"2017-01-20",125.41,126.118,125.164,122.260002,4887100,119.188713
"2017-01-23",124.826,125.226,122.908,121.379997,7022600,118.330826
"2017-01-24",125.113,125.205,123.626,121.050003,3495200,118.009117
"2017-01-25",124.621,125.062,124.067,121.790001,3968300,118.730522
"2017-01-26",125,125.534,124.898,121.879997,2497300,118.81826
"2017-01-27",125.421,126.159,124.61,122.860001,3592700,119.773651
"2017-01-30",125.975,126.385,125.451,123.019997,3778000,119.929619
"2017-01-31",126.19,126.518,125.246,122.57,3733300,119.490929
"2017-02-01",125.041,125.657,124.836,122.419998,3233400,119.344696
"2017-02-02",125.698,127.175,125.41,123.220001,3236600,120.124603
"2017-02-03",126.487,127.718,126.457,124.239998,3183000,121.118973
"2017-02-06",127.288,128.118,127.144,124.449997,2760300,121.3237
"2017-02-07",128.17,128.652,127.8,124.589996,2847200,121.460182
"2017-02-08",127.79,128.59,127.698,124.669998,2835200,121.53817
"2017-02-09",127.883,128.221,127.565,124.480003,2493600,121.352951
"2017-02-10",127.893,129.36,127.729,125.82,3681400,122.659286
"2017-02-13",129.267,129.944,128.724,125.540001,2993800,122.38633
"2017-02-14",128.734,129.319,128.498,125.809998,2662400,122.649536
"2017-02-15",128.898,130.057,128.683,126.480003,2974900,123.302719
"2017-02-16",130.016,131.114,129.565,126.699997,3006000,123.517174
"2017-02-17",130.047,131.175,129.944,127.800003,3677400,124.589554
"2017-02-21",130.437,131.627,130.437,128.039993,4495200,124.823509
"2017-02-22",130.806,131.411,129.657,127.849998,3670700,124.63829
"2017-02-23",131.227,132.222,130.724,128.270004,3178000,125.047745
"2017-02-24",131.668,132.057,131.042,128.649994,3537200,125.418198
"2017-02-27",130.013,130.084,129.097,126.989998,5184000,124.711113
"2017-02-28",129.402,130.268,128.893,127.650002,4619300,125.359276
"2017-03-01",130.359,132.376,129.952,129.050003,5471600,126.734154
"2017-03-02",131.408,132.182,130.492,128.229996,6738100,125.928864
"2017-03-03",130.573,131.011,129.769,127.900002,4067700,125.60479
"2017-03-06",130.237,130.685,129.728,128.029999,3271500,125.732452
"2017-03-07",130.4,130.655,129.667,128.070007,3332400,125.771744
"2017-03-08",130.41,130.706,129.799,128.089996,3571700,125.791374
"2017-03-09",130.288,131.072,130.023,128.139999,3265700,125.840485
"2017-03-10",130.909,130.94,130.054,127.980003,3178900,125.68335
"2017-03-13",130.349,130.614,129.677,127.610001,3130800,125.319984
"2017-03-14",129.983,130.573,129.83,127.800003,2492700,125.506584
"2017-03-15",130.553,130.644,129.799,127.879997,3529300,125.585144
"2017-03-16",130.644,131.255,130.268,127.980003,3945700,125.68335
"2017-03-17",130.919,132.355,130.767,128.639999,12532700,126.331505
"2017-03-20",131.347,131.846,130.818,128.779999,3415500,126.468994
"2017-03-21",131.581,132.121,130.522,128.520004,4062400,126.213661
"2017-03-22",130.93,131.51,130.756,129.100006,3174200,126.783249
"2017-03-23",131.5,131.958,131.164,129,2774500,126.685043
"2017-03-24",131.744,132.05,131.52,129.339996,3568200,127.018936
"2017-03-27",131.439,132.192,131.378,129.490005,2540400,127.16626
"2017-03-28",131.826,132.141,131.296,129.449997,3487400,127.126968
"2017-03-29",131.357,132.039,130.98,128.839996,3197800,126.527924
"2017-03-30",131.103,131.897,130.95,129.320007,2018000,126.999313
"2017-03-31",131.754,132.569,131.663,129.610001,3041700,127.284103
"2017-04-03",131.866,132.08,131.215,129.610001,3287100,127.284103
"2017-04-04",131.5,131.897,131.001,129.289993,3414000,126.969833
"2017-04-05",132.264,133.984,132.019,130.410004,4052200,128.069748
"2017-04-06",132.691,133.048,132.335,130.149994,3856900,127.8144
"2017-04-07",132.396,132.783,131.989,129.960007,2176600,127.627815
"2017-04-10",132.325,133.037,131.887,129.979996,2709300,127.647461
"2017-04-11",133.007,133.638,132.172,131.199997,3677600,128.845566
"2017-04-12",133.709,133.964,133.261,131.259995,3195500,128.904495
"2017-04-13",133.394,133.536,132.956,130.759995,2429200,128.413467
"2017-04-17",133.648,134.28,133.302,131.350006,3236400,128.992874
"2017-04-18",134.422,135.227,134.208,132.300003,3617400,129.925842
"2017-04-19",135.064,135.43,134.758,132.639999,3132800,130.25972
"2017-04-20",135.074,135.878,135.064,133.270004,2697300,130.878433
"2017-04-21",135.99,136.326,135.583,133.410004,3466100,131.015915
"2017-04-24",136.693,137.223,135.695,134.229996,5041000,131.821182
"2017-04-25",140.664,144.585,139.687,141.699997,10893800,139.157135
"2017-04-26",144.289,144.595,142.904,140.839996,7132200,138.312561
"2017-04-27",144.473,145.399,143.424,140.869995,5183700,138.342041
"2017-04-28",142.955,143.332,142.334,139.929993,4768500,137.4189
"2017-05-01",142.416,144.035,142.395,141.149994,3747200,138.617004
"2017-05-02",143.556,144.401,143.291,141.229996,3774100,138.695557
"2017-05-03",144.798,145.308,143.984,142.619995,4278400,140.060623
"2017-05-04",145.226,146.295,144.86,143.449997,4178800,140.875748
"2017-05-05",146.041,146.611,145.185,143.960007,2452700,141.376602
"2017-05-08",146.56,147.14,146.285,144.240005,2813000,141.651566
"2017-05-09",146.723,147.629,146.631,144.360001,3053800,141.769409
"2017-05-10",146.489,147.283,146.356,144.520004,2273300,141.926544
"2017-05-11",146.713,147.049,146.02,144.210007,1941900,141.622101
"2017-05-12",147.14,148.159,147.1,145.360001,2747900,142.751465
"2017-05-15",148.087,149.075,148.087,146.279999,3332800,143.654953
"2017-05-16",149.228,150.368,148.953,147.289993,3540900,144.64682
"2017-05-17",149.981,150.155,148.912,146.410004,3875600,143.782623
"2017-05-18",149.085,149.931,148.474,147.009995,2730900,144.371841
"2017-05-19",149.941,151.55,149.523,148.149994,4071200,145.491379
"2017-05-22",151.01,151.601,150.633,148.190002,3294500,145.530685
"2017-05-23",150.928,151.244,150.348,147.820007,3262300,145.167328
"2017-05-24",150.643,152.731,149.686,149.5,3348900,146.817169
"2017-05-25",152.548,152.69,151.998,149.779999,3408100,147.092133
"2017-05-26",152.609,152.985,151.977,149.860001,3258200,147.1707
"2017-05-30",152.69,153.077,152.252,149.929993,3113900,147.239441
"2017-05-31",152.863,153.912,152.334,150.889999,6415700,148.18222
"2017-06-01",152.589,154.208,152.144,152.389999,4349800,150.59346
"2017-06-02",154.34,155.736,153.965,153.740005,4316700,151.927551
"2017-06-05",155.463,155.493,154.582,152.789993,2633700,150.988739
"2017-06-06",154.188,154.41,153.014,151.229996,3661900,149.447128
"2017-06-07",153.034,153.823,152.528,151.940002,2922900,150.148773
"2017-06-08",153.753,153.965,152.811,151.429993,3696500,149.644775
"2017-06-09",153.692,153.813,152.7,151.479996,4143100,149.694168
"2017-06-12",153.287,153.287,149.806,148.470001,5902600,146.719666
"2017-06-13",150.636,152.042,150.393,149.820007,4267700,148.053757
"2017-06-14",152.113,152.882,151.698,150.679993,2675500,148.90361
"2017-06-15",151.688,153.328,151.435,151.169998,2517500,149.387833
"2017-06-16",152.781,154.714,152.72,151.990005,5443900,150.198166
"2017-06-19",154.208,155.007,153.651,153.139999,3263800,151.33461
"2017-06-20",156.11,157.132,155.675,154.070007,3614400,152.253647
"2017-06-21",156.019,156.262,155.443,153.729996,2448500,151.917664
"2017-06-22",155.615,156.758,155.513,154.800003,2003800,152.975052
"2017-06-23",156.849,157.304,156.272,154.639999,2214700,152.816925
"2017-06-26",157.031,157.315,155.351,153.960007,2360900,152.144958
"2017-06-27",155.837,156.667,155.291,153.720001,2139000,151.907791
"2017-06-28",155.878,156.525,155.574,154.300003,1302800,152.480942
"2017-06-29",156.424,156.424,153.965,153.130005,1975900,151.324738
"2017-06-30",155.129,155.604,154.542,153.160004,2508200,151.354385
"2017-07-03",155.27,155.706,154.299,152.5,1100700,150.702164
"2017-07-05",154.643,155.402,153.803,153.070007,2497300,151.265442
"2017-07-06",154.522,155.291,154.147,153.089996,2019800,151.285202
"2017-07-07",155.2,158.428,154.977,156.270004,4117800,154.427719
"2017-07-10",158.144,158.397,157.011,155.520004,2402200,153.686569
"2017-07-11",156.94,157.74,155.847,154.910004,2008800,153.083755
"2017-07-12",157.264,158.62,157.122,156.580002,2094900,154.734055
"2017-07-13",158.357,158.407,156.181,155.039993,3169700,153.212204
"2017-07-14",156.839,157.355,156.576,155.279999,2440200,153.449387
"2017-07-17",157.284,157.294,156.546,155.259995,2408700,153.429611
"2017-07-18",156.849,157.122,155.2,153.960007,3890300,152.144958
"2017-07-19",155.969,156.303,155.311,153.889999,3072200,152.075775
"2017-07-20",155.868,157.072,155.382,154.210007,2240200,152.391998
"2017-07-21",155.898,156.546,155.119,153.919998,3522400,152.105408
"2017-07-24",155.837,156.06,153.581,151.850006,5307400,150.059814
"2017-07-25",159.632,161.889,158.407,159.070007,9511400,157.194717
"2017-07-26",160.654,160.897,157.537,156.509995,4679000,154.664871
"2017-07-27",158.286,159.308,157.396,156.949997,4624100,155.099686
"2017-07-28",158.225,158.529,156.92,155.850006,3964500,154.012665
"2017-07-31",157.78,158.286,156.697,155.139999,4272400,153.311035
"2017-08-01",156.829,157.76,155.544,154.039993,4185100,152.223999
"2017-08-02",155.594,158.519,155.544,156.589996,3326000,154.743927
"2017-08-03",158.428,158.64,156.252,154.720001,3666100,152.895981
"2017-08-04",156.454,156.667,155.058,153.820007,4435400,152.006607
"2017-08-07",155.979,157.244,155.837,154.970001,3252100,153.143036
"2017-08-08",156.515,157.102,155.938,154.919998,4234300,153.093628
"2017-08-09",157.153,157.537,156.191,154.919998,3006500,153.093628
"2017-08-10",156.171,159.075,156.09,156.619995,3874500,154.77359
"2017-08-11",158.752,160.29,158.499,157.300003,2925000,155.445572
"2017-08-14",159.328,159.784,158.327,157.259995,2798000,155.406036
"2017-08-15",159.723,160.472,159.217,157.619995,2160100,155.761795
"2017-08-16",159.774,161.281,159.48,158.899994,2921800,157.026703
"2017-08-17",160.644,161.433,159.693,157.889999,3071600,156.028625
"2017-08-18",159.875,160.168,158.893,157.759995,2595700,155.900146
"2017-08-21",160.057,160.533,159.419,158.360001,2195100,156.493073
"2017-08-22",160.391,161.848,160.28,159.639999,2122600,157.75798
"2017-08-23",161.2,161.271,160.269,158.809998,2190700,156.937759
"2017-08-24",161.008,161.585,160.219,158.410004,1634800,156.542496
"2017-08-25",160.786,161.241,160.421,158.820007,2019600,156.947647
"2017-08-28",160.937,161.868,160.553,159.669998,2027300,157.787628
"2017-08-29",161.099,161.666,160.624,159.380005,3283400,157.501053
"2017-08-30",159.344,160.592,159.264,159.529999,2236500,158.584595
"2017-08-31",160.722,160.954,160.3,159.970001,2717000,159.021988
"2017-09-01",160.823,161.155,160.451,159.809998,1878300,158.86293
"2017-09-05",159.948,160.733,159.012,159.100006,4000500,158.15715
"2017-09-06",160.179,160.32,159.163,158.220001,4143300,157.282364
"2017-09-07",159.415,161.024,159.274,159.899994,2965400,158.952393
"2017-09-08",160.481,161.336,160.129,159.710007,2984200,158.763535
"2017-09-11",160.954,162.684,160.873,161.529999,2333600,160.572739
"2017-09-12",161.165,161.678,156.699,156.330002,10324100,155.403564
"2017-09-13",157.674,158.721,156.93,157,4705600,156.069595
"2017-09-14",157.936,158.288,156.98,157,3109700,156.069595
"2017-09-15",158.731,158.942,157.815,156.919998,7425100,155.990067
"2017-09-18",158.66,158.731,157.282,156.679993,3831900,155.75148
"2017-09-19",158.208,158.841,157.262,157.429993,3554600,156.49704
"2017-09-20",158.841,160.843,158.7,159.880005,3641100,158.932526
"2017-09-21",160.823,161.044,159.455,159.029999,2503400,158.087555
"2017-09-22",159.827,160.692,159.505,158.910004,2442700,157.968277
"2017-09-25",159.415,159.636,157.031,156.259995,3661500,155.333969
"2017-09-26",157.181,157.775,154.184,153.350006,6420000,152.441223
"2017-09-27",154.425,155.612,154.355,154.050003,3915900,153.13707
"2017-09-28",157.091,159.254,156.407,157.490005,4210200,156.556686
"2017-09-29",158.449,158.982,157.051,156.679993,3670100,155.75148
"2017-10-02",156.93,158.117,156.729,156.960007,2407000,156.029831
"2017-10-03",157.684,158.399,157.292,156.860001,2188400,155.93042
