"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",141.554,150.326,141.554,147.429993,2947900,146.227982
"2017-01-04",148.602,150.729,147.714,148.580002,1897900,147.368607
"2017-01-05",148.481,149.146,146.373,146.5,1299000,145.305557
"2017-01-06",148.138,148.632,146.081,146.919998,1334900,145.722137
"2017-01-09",147.553,149.227,146.857,146.839996,1158900,145.642792
"2017-01-10",147.472,149.811,146.878,146.820007,1185000,145.622955
"2017-01-11",147.704,148.763,142.25,143.199997,2041600,142.032471
"2017-01-12",143.409,146.263,142.835,144.679993,1298200,143.500381
"2017-01-13",146.706,148.975,146.252,147.179993,1272800,145.980011
"2017-01-17",147.876,150.527,147.23,148.429993,2307900,147.219803
"2017-01-18",151.475,151.697,149.398,149.740005,1348900,148.51915
"2017-01-19",150.91,150.91,147.745,147.289993,1120600,146.089111
"2017-01-20",148.712,153.068,148.712,150.279999,3076900,149.054749
"2017-01-23",150.85,151.435,149.64,149.320007,1788500,148.10257
"2017-01-24",149.892,150.195,148.874,148.309998,1586300,147.1008
"2017-01-25",149.953,152.483,149.892,151.100006,2905000,149.868073
"2017-01-26",142.159,145.496,138.711,138.550003,7175800,137.42038
"2017-01-27",140.364,140.385,136.574,136.740005,3354700,135.625122
"2017-01-30",138.136,138.529,135.273,137.110001,3119900,135.992126
"2017-01-31",138.57,140.415,136.876,139.149994,3109900,138.015488
"2017-02-01",140.848,141.655,139.85,140.029999,2800100,138.888306
"2017-02-02",140.959,140.959,138.973,139,2701000,137.866699
"2017-02-03",139.951,140.858,138.993,138.839996,3957500,137.708008
"2017-02-06",140.294,141.252,139.144,139.820007,1579400,138.680038
"2017-02-07",141.373,143.298,140.223,139.929993,1797700,138.789108
"2017-02-08",141.06,142.28,140.546,140.940002,1127000,139.790878
"2017-02-09",142.099,142.693,139.911,139.710007,1532600,138.570938
"2017-02-10",141.181,141.524,140.344,139.570007,1221700,138.432068
"2017-02-13",141.705,142.169,140.939,140.490005,1363700,139.344574
"2017-02-14",141.645,146.999,141.201,145.199997,3548200,144.016159
"2017-02-15",147.493,151.082,145.94,149.520004,2538300,148.300949
"2017-02-16",150.255,150.679,148.077,149.419998,1590900,148.201752
"2017-02-17",150.164,151.777,149.317,150.25,1883900,149.024994
"2017-02-21",151.445,152.816,150.477,150.889999,1312700,149.65976
"2017-02-22",151.243,152.231,150.104,149.050003,1313900,147.834793
"2017-02-23",150.729,150.799,149.287,148.970001,1267000,147.755432
"2017-02-24",150.154,152.11,148.924,150.850006,1248900,149.620102
"2017-02-27",151.606,152.965,150.922,151.449997,1567100,150.494537
"2017-02-28",151.918,152.15,149.473,150.130005,2075500,149.182877
"2017-03-01",152.261,152.653,149.835,148.970001,2901100,148.030197
"2017-03-02",149.845,152.17,149.211,150.160004,1234800,149.212692
"2017-03-03",151.566,154.042,151.113,152.529999,1449100,151.567734
"2017-03-06",152.683,152.884,150.429,150.240005,1372000,149.292191
"2017-03-07",149.684,150.681,147.611,147.240005,2342400,146.311111
"2017-03-08",148.758,152.502,148.245,147.830002,2381600,146.897385
"2017-03-09",149.252,151.103,148.406,149.470001,1380100,148.527039
"2017-03-10",151.033,151.264,148.275,147.669998,1311900,146.738403
"2017-03-13",149.252,149.664,147.601,148.050003,1695400,147.115997
"2017-03-14",148.869,150.187,147.933,147.110001,904600,146.181931
"2017-03-15",148.748,149.725,147.148,148.259995,2071700,147.324646
"2017-03-16",149.533,151.264,148.527,148.830002,2222500,147.891068
"2017-03-17",150.419,150.419,148.597,147.929993,1907000,146.99675
"2017-03-20",148.94,149.694,147.44,147.169998,1415900,146.241547
"2017-03-21",148.426,148.638,146.464,146,1467600,145.078934
"2017-03-22",146.997,147.702,146.072,146.309998,1058300,145.386978
"2017-03-23",147.209,148.537,146.394,145.820007,969600,144.90007
"2017-03-24",146.635,147.34,144.773,145.630005,1632000,144.711258
"2017-03-27",146.102,149.715,145.367,148.5,1340600,147.563141
"2017-03-28",148.94,151.053,148.698,149.880005,1785600,148.934464
"2017-03-29",150.821,152.381,150.026,151.350006,1873600,150.395172
"2017-03-30",151.808,152.331,149.956,149.479996,1196700,148.536972
"2017-03-31",149.855,150.177,148.608,148.259995,1733600,147.324646
"2017-04-03",149.322,149.815,146.716,146.169998,2143400,145.247864
"2017-04-04",146.856,147.933,145.609,145.770004,959100,144.850403
"2017-04-05",147.541,147.712,145.438,144.75,1027900,143.836807
"2017-04-06",145.357,146.202,144.934,144.839996,1937700,143.926239
"2017-04-07",145.79,146.051,144.743,143.910004,1293000,143.002121
"2017-04-10",144.793,146.786,144.28,145.490005,1229200,144.572144
"2017-04-11",146.514,146.786,145.156,145.380005,1169800,144.462845
"2017-04-12",145.538,146.162,144.26,143.889999,1248100,142.982239
"2017-04-13",144.723,145.287,143.767,143.199997,840800,142.2966
"2017-04-17",144.421,145.357,143.747,144.220001,1181700,143.310165
"2017-04-18",139.872,140.003,136.26,137.600006,5010900,136.731934
"2017-04-19",138.665,139.188,136.863,136.089996,2258000,135.231445
"2017-04-20",137.588,139.339,136.823,137.660004,1593900,136.79155
"2017-04-21",137.98,138.222,135.988,135.919998,1336800,135.062515
"2017-04-24",138.131,138.313,136.612,136.149994,1402000,135.291061
"2017-04-25",135.857,136.763,134.67,135,2468500,134.148315
"2017-04-26",136.35,137.86,136.018,136.029999,1381800,135.171814
"2017-04-27",137.447,140.476,137.306,138.789993,1796200,137.914398
"2017-04-28",139.581,139.872,138.564,138.289993,1521800,137.417557
"2017-05-01",139.198,140.023,138.453,138.470001,1283300,137.596436
"2017-05-02",139.822,140.778,138.041,139.210007,1596400,138.331772
"2017-05-03",139.943,139.943,138.131,138.210007,989400,137.338074
"2017-05-04",139.42,143.646,139.42,142.220001,1669700,141.322769
"2017-05-05",143.153,143.636,141.774,141.470001,921400,140.577499
"2017-05-08",142.751,143.002,141.301,140.869995,799800,139.981293
"2017-05-09",142.499,143.797,142.328,142.490005,1041100,141.59108
"2017-05-10",143.314,144.401,142.519,143.229996,1367700,142.326385
"2017-05-11",143.485,147.591,143.193,145.699997,1804800,144.780807
"2017-05-12",146.303,146.524,144.934,144.580002,1405900,143.667877
"2017-05-15",145.277,148.114,145.156,145.330002,1978300,144.413147
"2017-05-16",146.263,146.514,144.783,144.919998,1139700,144.005737
"2017-05-17",145.84,145.84,142.67,142.039993,1823000,141.14389
"2017-05-18",143.465,145.327,141.493,141.440002,2016500,140.547699
"2017-05-19",154.032,156.779,152.965,153.009995,7889300,152.044708
"2017-05-22",154.475,159.677,154.454,155.419998,3369800,154.439514
"2017-05-23",158.54,161.016,158.46,159,2954100,157.996918
"2017-05-24",159.144,163.028,159.144,161.229996,2699800,160.212845
"2017-05-25",162.254,164.437,161.529,162.360001,2495000,161.335724
"2017-05-26",163.069,163.934,162.143,161.199997,1126100,160.183029
"2017-05-30",161.549,164.79,161.529,162.110001,1114100,161.087296
"2017-05-31",161.7,164.387,161.62,163.089996,1997100,162.061111
"2017-06-01",163.412,166.707,163.02,165.919998,2027400,165.156815
"2017-06-02",166.506,166.767,165.2,165.699997,1522200,164.93782
"2017-06-05",166.928,166.948,165.029,165.899994,1350000,165.136902
"2017-06-06",166.265,166.265,161.995,161.940002,2362300,161.195114
"2017-06-07",162.849,162.929,161.352,161.589996,1255100,160.846725
"2017-06-08",162.337,163.623,161.744,162.149994,1196500,161.404144
"2017-06-09",162.729,164.266,162.367,163.389999,1078800,162.638443
"2017-06-12",164.155,165.33,162.126,161.770004,2147300,161.025909
"2017-06-13",163.371,163.663,162.045,162.149994,1070600,161.404144
"2017-06-14",163.351,165.381,162.518,163.369995,1004000,162.61853
"2017-06-15",162.899,165.642,162.236,163.910004,1587000,163.156052
"2017-06-16",164.979,165.26,159.644,159.830002,2961300,159.094833
"2017-06-19",161.061,162.929,160.257,161.75,1754600,161.005997
"2017-06-20",162.015,162.909,161.483,160.970001,815800,160.229584
"2017-06-21",161.252,163.934,160.81,162.869995,1181000,162.120819
"2017-06-22",163.934,168.003,163.613,165.570007,1753600,164.808426
"2017-06-23",166.576,167.862,165.009,166.960007,3922200,166.192032
"2017-06-26",168.073,169.369,167.37,167.610001,1563200,166.839035
"2017-06-27",167.721,170.072,166.837,166.690002,1450300,165.923264
"2017-06-28",168.525,169.208,166.687,166.619995,1080100,165.853592
"2017-06-29",167.752,168.073,163.09,163.639999,2021600,162.887299
"2017-06-30",165.25,166.084,164.024,164.539993,1235200,163.783157
"2017-07-03",166.054,167.812,165.24,164.550003,577100,163.793106
"2017-07-05",165.441,167.018,164.607,165.270004,1029000,164.509796
"2017-07-06",165.752,167.139,163,163.080002,1333700,162.32988
"2017-07-07",164.346,166.034,163.462,164.679993,1119600,163.922501
"2017-07-10",164.758,166.375,164.366,164.710007,1557600,163.952377
"2017-07-11",165.762,166.496,164.396,165.199997,1075300,164.440125
"2017-07-12",166.767,168.164,165.833,166.339996,947400,165.574875
"2017-07-13",167.45,167.812,165.833,166.330002,720800,165.564926
"2017-07-14",166.857,169.108,166.466,167.5,908900,166.729553
"2017-07-17",168.344,169.65,167.44,168.119995,1624200,167.346695
"2017-07-18",168.395,168.425,165.923,165.410004,1575800,164.649155
"2017-07-19",166.988,167.028,163.341,164.850006,1992900,164.091736
