"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",89.181,89.181,87.137,81.809998,519100,76.048409
"2017-01-04",88.051,88.546,86.943,81.339996,734900,75.611496
"2017-01-05",87.632,88.019,87.32,81.720001,617100,75.964745
"2017-01-06",87.825,88.331,87.685,81.839996,348400,76.076294
"2017-01-09",88.04,88.406,87.567,81.739998,334400,75.983337
"2017-01-10",87.965,88.966,87.685,82.639999,844800,76.819946
"2017-01-11",89.224,89.234,88.395,82.290001,421500,76.494598
"2017-01-12",88.611,89.288,87.212,81.860001,514800,76.094887
"2017-01-13",88.148,88.632,87.642,82.18,320800,76.392349
"2017-01-17",88.966,88.966,87.664,82.580002,387000,76.764183
"2017-01-18",88.6,89.17,87.987,82.800003,320300,76.968689
"2017-01-19",89.095,89.116,88.191,82.339996,287500,76.541077
"2017-01-20",88.75,89.084,88.557,82.660004,234400,76.838547
"2017-01-23",88.879,88.901,87.782,81.919998,293800,76.150658
"2017-01-24",88.46,88.718,88.126,82.150002,421100,76.364464
"2017-01-25",88.094,89.213,88.051,82.75,976300,76.922203
"2017-01-26",89.342,89.805,89.041,82.839996,558000,77.005867
"2017-01-27",89.6,89.6,80.844,76.099998,3635700,70.74054
"2017-01-30",80.79,81.435,78.789,74.769997,1831200,69.504211
"2017-01-31",80.424,81.145,79.692,74.989998,953400,69.708717
"2017-02-01",81.005,81.586,80.015,75.82,656300,70.480255
"2017-02-02",81.564,82.134,81.145,75.489998,962800,70.173508
"2017-02-03",82.543,84.071,81.424,77.989998,1573900,72.497437
"2017-02-06",83.909,85.265,83.415,79.209999,1031900,73.631516
"2017-02-07",85.168,86.47,84.727,79.739998,624200,74.124184
"2017-02-08",85.803,85.835,84.792,79.389999,402800,73.798828
"2017-02-09",85.125,85.835,84.673,79.449997,316700,73.854607
"2017-02-10",85.792,86.384,85.727,80.080002,661300,74.440247
"2017-02-13",86.061,86.308,85.555,79.730003,332700,74.114899
"2017-02-14",85.265,85.329,82.737,78.629997,713100,73.092361
"2017-02-15",84.501,84.921,83.662,78.739998,482500,73.194611
"2017-02-16",84.813,85.168,84.168,79.050003,470900,73.482788
"2017-02-17",84.706,85.523,84.125,79.5,417300,73.9011
"2017-02-21",85.717,85.835,83.501,78.169998,891600,72.664757
"2017-02-22",85.104,85.104,82.586,76.93,1310000,71.512085
"2017-02-23",82.92,83.651,82.21,76.809998,645300,71.400536
"2017-02-24",82.5,82.758,80.521,75.669998,984700,70.34082
"2017-02-27",81.575,82.242,80.854,76.360001,867900,70.982231
"2017-02-28",82.167,82.984,81.855,76.940002,918100,71.521385
"2017-03-01",80.059,80.831,79.573,76.419998,871000,72.268471
"2017-03-02",80.821,81.307,80.599,76.400002,619800,72.249557
"2017-03-03",81.222,81.222,80.62,76.699997,452500,72.533257
"2017-03-06",81.106,81.741,80.768,77.089996,822900,72.902069
"2017-03-07",81.603,82.142,80.979,77.669998,665600,73.450562
"2017-03-08",82.026,82.09,80.525,76.190002,598000,72.050964
"2017-03-09",80.525,81.487,80.376,76.690002,507400,72.523796
"2017-03-10",81.17,81.476,80.641,76.849998,451700,72.675102
"2017-03-13",81.254,81.857,81,77.010002,362800,72.826416
"2017-03-14",81.212,81.413,80.651,76.559998,223500,72.400864
"2017-03-15",81.307,82.481,81.265,77.75,730200,73.526215
"2017-03-16",82.301,82.629,81.191,78.07,403800,73.828827
"2017-03-17",82.914,84.67,82.534,79.800003,1855600,75.464851
"2017-03-20",84.215,84.426,83.496,79.800003,926600,75.464851
"2017-03-21",84.807,85.061,83.496,79.129997,720100,74.831238
"2017-03-22",83.633,84.363,83.2,79.25,358400,74.944725
"2017-03-23",83.729,84.384,83.507,79.400002,411100,75.086586
"2017-03-24",84.12,84.807,83.929,79.629997,364000,75.304085
"2017-03-27",83.729,84.754,83.676,79.690002,525000,75.360825
"2017-03-28",84.511,85.209,84.416,80.230003,575400,75.87149
"2017-03-29",84.638,85.156,84.553,80.339996,360700,75.97551
"2017-03-30",84.934,85.516,84.849,80.730003,283000,76.34433
"2017-03-31",85.304,85.579,85.103,80.580002,536900,76.202477
"2017-04-03",85.209,85.389,84.786,80.459999,538100,76.088989
"2017-04-04",85.114,85.547,84.67,80.230003,476600,75.87149
"2017-04-05",84.997,85.42,84.014,79.540001,560800,75.218979
"2017-04-06",84.183,84.627,83.38,79.720001,433100,75.389191
"2017-04-07",84.374,84.532,83.855,79.739998,397100,75.408104
"2017-04-10",84.617,85.23,84.501,80.389999,404100,76.022789
"2017-04-11",85.241,85.632,84.775,80.879997,482700,76.486176
"2017-04-12",85.505,85.505,83.845,79.690002,679600,75.360825
"2017-04-13",84.141,84.395,83.369,78.879997,430300,74.594826
"2017-04-17",83.549,83.919,83.454,79.260002,378400,74.954193
"2017-04-18",83.729,83.94,83.2,79.080002,503600,74.783966
"2017-04-19",83.792,84.786,83.496,79.82,614000,75.483765
"2017-04-20",84.659,84.934,84.395,80.199997,345200,75.843117
"2017-04-21",84.955,84.955,84.469,80.110001,320600,75.758003
"2017-04-24",85.399,85.452,84.395,80.260002,402000,75.899864
"2017-04-25",84.955,85.865,84.934,81.110001,392100,76.703682
"2017-04-26",85.738,86.076,85.283,80.800003,252500,76.41053
"2017-04-27",85.484,85.685,84.807,80.68,250300,76.29705
"2017-04-28",85.759,86.245,85.431,81.370003,477900,76.949554
"2017-05-01",86.055,86.214,85.399,80.790001,443400,76.401062
"2017-05-02",85.59,85.727,85.04,80.800003,300900,76.41053
"2017-05-03",85.495,85.495,84.384,80.239998,447400,75.880943
"2017-05-04",84.818,85.812,83.887,80.230003,567500,75.87149
"2017-05-05",84.976,86.436,84.871,81.690002,671900,77.252174
"2017-05-08",86.393,86.393,84.691,80.18,606000,75.824203
"2017-05-09",85.103,85.516,84.765,80.349998,352000,75.98497
"2017-05-10",85.146,85.41,84.448,80.470001,394100,76.09845
"2017-05-11",82.334,82.615,81.325,78.739998,354400,75.704254
"2017-05-12",81.741,82.126,81.492,78.650002,231400,75.617729
"2017-05-15",82.033,82.709,81.887,79.349998,505000,76.290733
"2017-05-16",82.917,83.198,81.877,78.849998,389400,75.810013
"2017-05-17",81.648,81.835,80.254,77.300003,309600,74.319778
"2017-05-18",80.4,80.421,79.848,77.120003,1190000,74.146713
"2017-05-19",80.649,81.877,80.254,78.360001,311700,75.338905
"2017-05-22",81.637,82.407,81.419,78.839996,658700,75.8004
"2017-05-23",81.918,82.324,81.565,78.480003,294500,75.454285
"2017-05-24",81.689,81.793,81.097,78.330002,211700,75.310066
"2017-05-25",81.648,81.689,81.117,78.400002,349600,75.377365
"2017-05-26",81.606,81.773,81.305,78.370003,708400,75.348526
"2017-05-30",81.575,81.648,80.753,77.709999,253800,74.713959
"2017-05-31",80.92,81.065,79.9,77.900002,468600,74.896645
"2017-06-01",81.128,82.262,80.691,78.739998,368500,75.704254
"2017-06-02",81.939,82.157,81.242,78.32,262700,75.300453
"2017-06-05",81.461,81.929,81.325,78.459999,576400,75.435051
"2017-06-06",81.648,81.648,80.036,77.120003,758200,74.146713
"2017-06-07",80.296,80.421,79.505,76.730003,492800,73.771751
