"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",908.02,914.82,906,912.669983,42000,912.669983
"2017-01-04",912.67,921.43,911,914.890015,50700,914.890015
"2017-01-05",917.83,919.5,911.44,917,32100,917
"2017-01-06",919,925.69,916.7,918.02002,37700,918.02002
"2017-01-09",918.73,918.73,901,901,51800,901
"2017-01-10",900.02,905,896.18,896.669983,33800,896.669983
"2017-01-11",895.02,900.82,890.02,900.820007,33100,900.820007
"2017-01-12",901.56,901.56,890.59,895.52002,17200,895.52002
"2017-01-13",897.98,905.31,892.5,894.570007,43700,894.570007
"2017-01-17",894.57,894.57,890,891.25,34500,891.25
"2017-01-18",896.71,899.51,893.28,896.280029,37300,896.280029
"2017-01-19",895.12,897.73,887.4,895.609985,57400,895.609985
"2017-01-20",895.6,901.07,892.06,895.5,26100,895.5
"2017-01-23",892.45,904.92,892.45,901.98999,25500,901.98999
"2017-01-24",899.84,918.98,899.84,918.200012,46400,918.200012
"2017-01-25",925.4,933.31,920.1,929.75,44900,929.75
"2017-01-26",929.74,932.51,924.8,930.900024,33800,930.900024
"2017-01-27",931.15,931.15,922.39,922.390015,20600,922.390015
"2017-01-30",918,919.75,913.3,915.929993,29400,915.929993
"2017-01-31",912.95,925.31,909.28,925,34000,925
"2017-02-01",929.69,930.13,920.43,922.890015,34200,922.890015
"2017-02-02",917.93,930,915.68,925.630005,28600,925.630005
"2017-02-03",930,933.87,925.06,927.619995,25300,927.619995
"2017-02-06",921.05,928.73,919.57,921.849976,37000,921.849976
"2017-02-07",923.55,923.55,915.4,922.030029,34600,922.030029
"2017-02-08",920.87,920.87,909,911.97998,48600,911.97998
"2017-02-09",911.98,944.76,911.98,942.919983,61300,942.919983
"2017-02-10",941.05,950,937.86,943.51001,42700,943.51001
"2017-02-13",944,950.7,944,949.320007,27600,949.320007
"2017-02-14",945.12,955.05,945,949.780029,28600,949.780029
"2017-02-15",946.6,955.88,946.6,955.849976,27800,955.849976
"2017-02-16",955.86,961.44,953.3,959.530029,36600,959.530029
"2017-02-17",953.75,964.77,953.75,964.710022,27900,964.710022
"2017-02-21",964.99,985.97,961.67,981.22998,59800,981.22998
"2017-02-22",985,985.7,970.22,973.070007,42900,973.070007
"2017-02-23",970,986.73,969.6,986.72998,40500,986.72998
"2017-02-24",982.67,985,976.07,976.97998,32100,976.97998
"2017-02-27",973.71,979.78,972.91,975.570007,28200,975.570007
"2017-02-28",971.02,982.44,971.02,979.72998,40300,979.72998
"2017-03-01",992,992,980.62,982.76001,37200,982.76001
"2017-03-02",986.18,988.01,979.3,980.5,26800,980.5
"2017-03-03",976.8,984.9,976.8,984.580017,29200,984.580017
"2017-03-06",980.57,987.46,980.57,986.030029,23600,986.030029
"2017-03-07",985.49,988.86,980.01,980.049988,26000,980.049988
"2017-03-08",980.01,985.81,976.56,977.5,21300,977.5
"2017-03-09",977.81,983.04,975.66,977.460022,28400,977.460022
"2017-03-10",979.03,982.03,974.3,975.960022,36500,975.960022
"2017-03-13",973.87,980.11,973.87,979.590027,22200,979.590027
"2017-03-14",978.27,983.09,976.27,981.039978,21000,981.039978
"2017-03-15",980.56,984.56,973.43,975.169983,35000,975.169983
"2017-03-16",976.96,980.93,975.43,980.619995,22000,980.619995
"2017-03-17",982.79,984.8,974.51,980.169983,33600,980.169983
"2017-03-20",972.2,973.56,967.4,969.119995,29300,969.119995
"2017-03-21",972.01,974.64,961.16,962.190002,28100,962.190002
"2017-03-22",960.79,962.17,950.68,953.02002,41300,953.02002
