"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",164.83,164.83,163.136,160.979996,450200,157.727875
"2017-01-04",164.33,165.687,164.309,162.259995,479300,158.98201
"2017-01-05",164.932,167.249,164.483,163.639999,537500,160.334137
"2017-01-06",166.861,168.198,166.044,164.470001,513800,161.147369
"2017-01-09",167.882,168.392,164.952,161.729996,662900,158.462723
"2017-01-10",165.361,168.351,164.289,164.649994,362900,161.323715
"2017-01-11",168.484,168.484,166.922,163.820007,300200,160.510513
"2017-01-12",166.32,166.32,163.809,161.5,411400,158.237366
"2017-01-13",164.728,168.963,163.279,165.039993,506500,161.705841
"2017-01-17",168.474,168.514,164.442,161.570007,400100,158.305954
"2017-01-18",165.085,166.289,164.575,162.710007,251600,159.422928
"2017-01-19",166.289,167.065,165.34,162.690002,304900,159.40332
"2017-01-20",166.851,169.698,165.748,166.029999,415800,162.675842
"2017-01-23",169.423,170.433,169.106,166.899994,346700,163.528244
"2017-01-24",170.28,172.995,170.004,169.070007,516000,165.654449
"2017-01-25",173.505,174.444,172.26,168.800003,329200,165.389893
"2017-01-26",172.689,173.73,171.617,169.699997,433100,166.271698
"2017-01-27",173.781,174.403,172.791,170.559998,224500,167.114334
"2017-01-30",173.148,174.403,172.311,170.509995,287500,167.065353
"2017-01-31",174.271,175.873,172.995,171.539993,263200,168.074524
"2017-02-01",176.128,176.608,174.679,171.720001,293000,168.250885
"2017-02-02",174.546,176.23,174.465,172.559998,334400,169.073914
"2017-02-03",176.353,178.088,175.536,174.199997,296100,170.680786
"2017-02-06",177.332,178.425,176.189,174.259995,519400,170.739578
"2017-02-07",177.843,182.211,177.843,177.699997,638700,174.110092
"2017-02-08",180.803,181.007,179.649,176.169998,377800,172.611008
"2017-02-09",179.802,182.466,179.649,178.440002,263900,174.835129
"2017-02-10",182.476,182.732,181.129,177.910004,438400,174.315857
"2017-02-13",181.527,182.599,180.762,177.369995,314000,173.786743
"2017-02-14",180.915,182.262,180.058,178.009995,314400,174.413818
"2017-02-15",181.67,182.578,180.598,178.800003,291200,175.187866
"2017-02-16",181.711,183.619,181.711,179.869995,206200,176.236252
"2017-02-17",183.507,183.711,182.017,180,152500,176.363632
"2017-02-21",183.711,186.834,183.242,182.690002,334500,178.999283
"2017-02-22",186.865,186.988,184.599,181.600006,259500,177.931305
"2017-02-23",185.753,186.385,183.334,180.130005,174700,176.491013
"2017-02-24",182.691,186.457,182.691,182.669998,263800,178.979691
"2017-02-27",186.436,186.549,185.181,182.770004,233200,179.077667
"2017-02-28",186.232,186.712,184.548,181.179993,355400,177.519775
"2017-03-01",186.763,188.274,186.253,183.539993,376100,179.832108
"2017-03-02",187.09,187.13,185.497,182.449997,182500,178.76413
"2017-03-03",187.192,187.998,185.783,184.160004,238500,180.43959
"2017-03-06",187.641,187.998,186.232,183.059998,360400,179.361801
"2017-03-07",187.335,187.396,185.446,182.190002,316800,178.509384
"2017-03-08",185.426,186.712,184.079,181.800003,389000,178.127258
"2017-03-09",185.62,186.681,183.426,180.440002,413100,176.794739
"2017-03-10",189.529,198.051,188.59,188.889999,1500600,185.07402
"2017-03-13",194.244,194.244,190.631,187.050003,606500,183.271194
"2017-03-14",190.896,190.948,189.008,185.880005,456900,182.124847
"2017-03-15",190.529,191.825,189.345,186.910004,482600,183.134033
"2017-03-16",191.55,191.55,189.508,186.229996,299600,182.467758
"2017-03-17",190.856,193.754,190.274,189,634100,185.181808
"2017-03-20",192.897,193.193,191.468,188.929993,270000,185.113205
"2017-03-21",192.856,193.428,188.457,185.059998,436900,181.321396
"2017-03-22",188.386,191.111,187.641,187.160004,329200,183.378983
"2017-03-23",192.203,193.54,191.131,188.75,221100,184.936859
"2017-03-24",192.611,193.244,190.876,187.529999,302500,183.741501
"2017-03-27",187.775,190.971,186.861,188.039993,267600,185.281555
"2017-03-28",190.444,192.95,189.957,189.899994,267600,187.114288
"2017-03-29",192.747,192.788,191.489,189.410004,285000,186.631485
"2017-03-30",192.189,195.66,192.189,190.029999,461300,187.242386
"2017-03-31",192.981,195.396,192.94,191.899994,272800,189.084961
"2017-04-03",195.214,195.559,192.575,190.330002,266600,187.537979
"2017-04-04",193.022,194.889,192.037,191.910004,354600,189.094803
"2017-04-05",195.396,195.65,192.534,189.949997,273700,187.163559
"2017-04-06",193.184,194.94,192.017,191.169998,217300,188.365662
"2017-04-07",193.864,195.021,192.646,189.839996,257700,187.055176
"2017-04-10",193.468,193.468,191.022,188.869995,228200,186.099396
"2017-04-11",191.479,192.829,190.951,189.910004,284600,187.124161
"2017-04-12",192.768,193.082,191.093,188.580002,188100,185.81366
"2017-04-13",190.982,191.428,189.216,186.610001,194100,183.872574
"2017-04-17",189.459,192.737,189.459,189.860001,161000,187.07489
"2017-04-18",192.829,194.199,192.118,191.160004,154800,188.355804
"2017-04-19",195.031,196.878,194.3,192.619995,205900,189.794373
"2017-04-20",196.208,197.264,194.848,193.960007,173500,191.114731
