"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",43.651,44.157,43.433,42.27,1610800,40.865318
"2017-01-04",43.733,44.147,43.516,42.5,1566400,41.087677
"2017-01-05",43.94,44.199,43.837,42.52,1567300,41.107014
"2017-01-06",43.785,44.375,43.744,42.509998,2421000,41.09734
"2017-01-09",44.075,44.168,43.785,42.360001,2035300,40.952332
"2017-01-10",43.382,43.578,42.906,41.75,3943000,40.362598
"2017-01-11",43.371,43.392,42.72,41.59,3224600,40.207916
"2017-01-12",42.844,43.506,42.368,42.009998,6284400,40.61396
"2017-01-13",43.547,44.085,43.547,42.360001,1811500,40.952332
"2017-01-17",43.506,44.147,43.506,42.369999,1662200,40.961998
"2017-01-18",43.702,44.178,43.33,41.889999,1829800,40.497948
"2017-01-19",43.289,43.485,42.813,41.450001,3475900,40.072575
"2017-01-20",42.895,43.226,42.285,40.950001,3236700,39.589184
"2017-01-23",42.285,42.368,41.82,40.540001,4065900,39.19281
"2017-01-24",42.078,42.285,41.892,40.700001,3551500,39.347496
"2017-01-25",42.378,42.906,42.213,41,8174300,39.63752
"2017-01-26",42.42,42.72,42.016,40.709999,2537800,39.357162
"2017-01-27",42.223,42.43,41.965,40.889999,2000100,39.531178
"2017-01-30",42.296,42.533,41.665,41.07,3263700,39.705196
"2017-01-31",42.564,42.595,42.078,40.91,3227700,39.550518
"2017-02-01",42.337,42.761,42.068,41.32,2968500,39.946888
"2017-02-02",42.585,43.247,42.285,41.650002,2613200,40.265926
"2017-02-03",43.278,44.023,43.257,42.459999,2369700,41.049007
"2017-02-06",43.919,44.075,43.392,41.990002,2168500,40.594627
"2017-02-07",43.444,43.568,43.226,41.860001,2317500,40.468945
"2017-02-08",43.154,43.713,42.792,42.060001,2949400,40.662296
"2017-02-09",43.506,45.006,42.926,43.18,3809300,41.745079
"2017-02-10",44.757,46.143,44.747,44.310001,5052800,42.837532
"2017-02-13",46.04,46.712,45.978,44.98,5224200,43.485268
"2017-02-14",46.454,46.609,46.236,44.77,3477800,43.282246
"2017-02-15",46.092,46.599,45.978,44.810001,2785600,43.320915
"2017-02-16",46.361,46.495,46.05,44.849998,2334400,43.359585
"2017-02-17",46.102,46.661,46.102,45.080002,2867800,43.581944
"2017-02-21",46.495,47.302,46.205,45.5,2854100,43.987984
"2017-02-22",47.085,47.198,46.371,44.880001,1806300,43.388592
"2017-02-23",46.567,47.157,46.454,45.209999,2223000,43.707623
"2017-02-24",46.671,46.764,46.381,45.16,1777500,43.659279
"2017-02-27",46.65,46.971,46.164,44.720001,2706100,43.233902
"2017-02-28",45.618,46.399,45.361,44.360001,3421700,43.18523
"2017-03-01",45.69,46.532,45.495,45.07,3682400,43.876427
"2017-03-02",46.265,46.491,45.926,45.099998,1952000,43.905628
"2017-03-03",46.234,46.306,45.824,44.77,1272400,43.58437
"2017-03-06",45.7,45.895,45.464,44.400002,947800,43.224171
"2017-03-07",45.546,45.844,45.464,44.5,1437200,43.321522
"2017-03-08",45.69,45.906,45.546,44.389999,1432600,43.214432
"2017-03-09",45.587,45.721,45.372,44.32,1776300,43.14629
"2017-03-10",45.711,45.762,44.601,43.700001,2588300,42.542709
"2017-03-13",45.033,45.063,44.519,43.439999,1728600,42.289589
"2017-03-14",44.406,44.848,44.293,43.639999,1776600,42.484295
"2017-03-15",44.93,45.372,44.796,44.060001,2496200,42.893173
"2017-03-16",43.194,45.443,43.194,44.02,2471900,42.854233
"2017-03-17",45.361,45.361,43.769,42.639999,4843500,41.51078
"2017-03-20",43.872,43.985,43.338,42.66,3102200,41.530251
"2017-03-21",43.985,44.026,42.701,41.650002,3342300,40.546997
"2017-03-22",42.958,42.958,42.341,41.290001,2187000,40.196533
"2017-03-23",42.372,42.629,42.259,41.259998,2882300,40.167324
"2017-03-24",42.475,42.701,42.228,41.279999,1997400,40.186794
"2017-03-27",42.105,42.423,41.746,41.029999,2068500,39.943413
"2017-03-28",42.115,42.526,41.828,41.34,2768400,40.245205
"2017-03-29",42.372,42.588,42.074,41.119999,2594700,40.031029
"2017-03-30",42.105,42.31,41.838,41.080002,2568600,39.992096
"2017-03-31",42.218,42.557,42.115,41.310001,2366300,40.216003
"2017-04-03",42.434,43.143,42.331,41.869999,4181600,40.761169
"2017-04-04",43.071,43.153,42.588,41.720001,2670500,40.615143
"2017-04-05",42.999,43.399,42.886,41.84,1506500,40.731968
"2017-04-06",42.947,43.307,42.701,42,1624800,40.88773
"2017-04-07",42.875,43.091,42.752,41.68,1841900,40.576202
"2017-04-10",42.834,42.999,42.578,41.48,1347900,40.3815
"2017-04-11",42.516,42.588,41.992,41.369999,2162800,40.27441
"2017-04-12",42.259,42.444,41.653,41,3761300,39.914211
"2017-04-13",42.126,42.259,41.838,41.029999,2465600,39.943413
"2017-04-17",42.28,42.557,42.126,41.240002,1933700,40.147854
"2017-04-18",42.126,42.352,42.033,41.220001,2400200,40.128384
"2017-04-19",42.485,43.143,42.413,41.759998,2896200,40.654079
"2017-04-20",42.896,43.071,42.239,41.130001,3346000,40.040768
"2017-04-21",42.218,42.423,41.982,41,3482700,39.914211
"2017-04-24",42.721,43.081,42.413,41.59,3475100,40.488586
"2017-04-25",41.181,41.314,39.352,39.98,9370800,38.921223
"2017-04-26",40.626,41.129,40.369,39.41,5239400,38.366318
"2017-04-27",40.431,41.345,40.318,40.200001,4950300,39.135395
"2017-04-28",41.365,42.578,41.15,41.130001,6440700,40.040768
"2017-05-01",42.259,42.454,41.633,40.529999,3620700,39.456657
"2017-05-02",41.746,41.859,41.109,40.240002,3852200,39.174339
"2017-05-03",41.376,41.437,41.088,40.189999,3386900,39.125656
"2017-05-04",41.324,41.345,40.955,39.889999,3048700,38.833607
"2017-05-05",41.15,41.407,40.996,40.200001,2219000,39.135395
"2017-05-08",41.365,41.766,41.068,40.48,2448400,39.407978
"2017-05-09",41.55,42.136,41.427,40.790001,1887800,39.709774
"2017-05-10",41.807,41.972,41.191,40.220001,2125400,39.154869
"2017-05-11",41.232,41.807,40.924,40.66,3079000,39.583214
"2017-05-12",41.828,41.828,41.17,40.400002,2977000,39.330101
"2017-05-15",41.633,42.31,41.561,41.119999,3041600,40.031029
