"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",111.161,111.783,108.344,106.989998,1770100,104.823792
"2017-01-04",109.793,113.273,109.364,110.639999,2705500,108.399887
"2017-01-05",112.457,113.957,112.436,110.290001,3135300,108.056976
"2017-01-06",112.457,115.325,112.192,111.660004,2009200,109.399231
"2017-01-09",113.182,113.182,110.518,109.18,1972000,106.969452
"2017-01-10",111.487,112.324,110.569,109.260002,1814500,107.047836
"2017-01-11",111.61,112.937,111.018,110.550003,1180200,108.311714
"2017-01-12",112.896,113.743,111.62,111.010002,1239600,108.762405
"2017-01-13",113.304,114.161,112.835,111.589996,1702800,109.33065
"2017-01-17",113.478,113.753,110.712,108.900002,1863600,106.695114
"2017-01-18",109.17,112.314,108.078,109.970001,2589600,107.743454
"2017-01-19",117.958,118.397,114.886,114.419998,5852900,112.103355
"2017-01-20",116.029,116.152,114.059,113.589996,2656400,111.290161
"2017-01-23",116.05,116.264,114.702,113.550003,1951200,111.250977
"2017-01-24",116.356,119.51,115.641,116.620003,3460700,114.258812
"2017-01-25",119.836,123.807,119.224,120.529999,3832900,118.089645
"2017-01-26",121.245,124.695,120.765,119.510002,2586500,117.090302
"2017-01-27",122.664,123.113,121.408,120.349998,2190000,117.913292
"2017-01-30",121.735,122.582,120,119.629997,2510300,117.207863
"2017-01-31",121.908,122.225,119.53,117.459999,3474900,115.081802
"2017-02-01",119.173,121.844,119.052,119.93,2913800,118.115196
"2017-02-02",120.95,121.844,119.417,119.470001,2305300,117.662155
"2017-02-03",121.661,123.083,120.767,120.459999,1683900,118.637177
"2017-02-06",121.976,122.595,120.422,119.870003,2205800,118.056114
"2017-02-07",122.006,124.382,121.844,120.879997,2004300,119.050819
"2017-02-08",122.311,122.961,120.92,120.940002,1440800,119.109917
"2017-02-09",122.798,123.864,122.362,120.650002,1817400,118.824303
"2017-02-10",122.859,123.621,121.793,121.120003,1929900,119.287193
"2017-02-13",123.194,125.194,123.032,122.209999,1565000,120.360695
"2017-02-14",123.702,124.89,123.489,122.489998,1326200,120.636459
"2017-02-15",124.321,125.316,123.022,122.709999,2285800,120.853127
"2017-02-16",124.514,125.215,123.59,122.93,1482100,121.069794
"2017-02-17",124.524,125.073,123.641,122.779999,1267000,120.922073
"2017-02-21",124.981,126.921,124.697,123.529999,1486000,121.660713
"2017-02-22",124.748,124.981,123.773,122.32,1734800,120.469032
"2017-02-23",124.88,124.941,120.991,120.029999,2379000,118.213676
"2017-02-24",120.828,121.945,120.473,120.080002,2370600,118.262932
"2017-02-27",122.047,123.083,120.757,121.120003,1872100,119.287193
"2017-02-28",123.123,124.067,122.433,121.029999,1305600,119.198547
"2017-03-01",124.078,126.413,123.682,123.349998,1582200,121.483437
"2017-03-02",125.123,125.174,123.57,121.769997,1108100,119.927353
"2017-03-03",123.803,124.392,122.687,122.400002,1790000,120.547821
"2017-03-06",123.204,125.002,123.083,122.93,1542800,121.069794
"2017-03-07",124.829,125.062,123.499,122,1961200,120.15387
"2017-03-08",123.874,124.017,121.478,119.870003,1807900,118.056114
"2017-03-09",121.722,122.463,120.717,119.400002,1658700,117.593216
"2017-03-10",121.702,122.646,120.798,119.660004,1362900,117.849289
"2017-03-13",121.58,122.108,120.747,119.529999,1536200,117.721245
"2017-03-14",121.417,121.417,119.6,118.349998,1664300,116.559105
"2017-03-15",118.757,119.742,117.701,117.510002,3160300,115.731819
"2017-03-16",119.204,119.478,116.899,115.349998,3952800,113.6045
"2017-03-17",117.193,117.518,115.965,114.709999,4796600,112.97419
"2017-03-20",116.655,117.295,115.995,114.839996,2530200,113.102219
"2017-03-21",116.879,117.407,112.391,111.5,3362600,109.812759
"2017-03-22",113.457,114.381,112.807,111.769997,2378200,110.078674
"2017-03-23",112.34,113.66,112.005,110.550003,2412600,108.877136
"2017-03-24",112.502,113.223,111.832,110.660004,1276700,108.985474
"2017-03-27",111.193,113.416,110.949,111.129997,1777000,109.448357
"2017-03-28",112.705,116.137,112.482,113.32,2243800,111.605225
"2017-03-29",114.594,115.467,114.259,113.209999,1148900,111.49688
"2017-03-30",115.142,117.163,115.142,114.25,1283600,112.521149
"2017-03-31",115.305,115.477,113.66,111.970001,2209100,110.27565
"2017-04-03",113.954,115.681,113.619,113.5,2288000,111.782494
"2017-04-04",115.477,117.021,115,115.190002,2089400,113.446922
"2017-04-05",117.366,119.437,116.208,114.730003,1726500,112.993881
"2017-04-06",116.422,117.965,116.422,115.879997,1526400,114.12648
"2017-04-07",117.752,118.737,117.092,115.900002,2126400,114.146179
"2017-04-10",117.772,118.798,116.787,115.489998,2187300,113.742378
"2017-04-11",117.021,117.132,114.594,115.220001,1823400,113.476471
"2017-04-12",117.224,117.224,113.254,111.790001,1774300,110.098366
"2017-04-13",113.355,114.543,112.777,111.580002,1340600,109.891548
"2017-04-17",113.609,114.929,113.091,113.190002,1092800,111.477188
"2017-04-18",113.985,115.559,113.569,112.849998,1900000,111.142326
"2017-04-19",115.356,115.853,114.127,112.540001,1274400,110.837021
"2017-04-20",116.533,118.798,116.533,115.809998,2444600,114.057541
"2017-04-21",117.63,118.452,116.919,116.370003,2081300,114.60907
"2017-04-24",119.813,119.996,118.635,117.050003,1613900,115.278778
"2017-04-25",119.062,119.468,118.381,116.779999,1967200,115.012863
"2017-04-26",117.914,120.94,117.264,117.82,4000200,116.037125
"2017-04-27",120.392,122.595,120.331,118.800003,2274100,117.002296
"2017-04-28",120.585,121.448,119.092,117.489998,1502800,115.71212
