"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",53.834,54.471,52.99,52.310001,354200,50.878132
"2017-01-04",54.255,55.797,54.091,53.709999,689200,52.239803
"2017-01-05",54.615,56.013,53.083,51.91,429900,50.489075
"2017-01-06",53.957,53.998,53.134,51.82,445200,50.401539
"2017-01-09",53.248,53.412,52.456,51.59,281800,50.177837
"2017-01-10",53.145,54.553,52.888,52.619999,423200,51.179638
"2017-01-11",54.615,54.615,53.35,52.549999,400700,51.111557
"2017-01-12",54.204,54.348,53.052,52.43,277800,50.994846
"2017-01-13",54.07,54.522,53.566,52.310001,286200,50.878132
"2017-01-17",53.566,55.345,53.515,52.310001,331600,50.878132
"2017-01-18",53.72,54.615,53.35,53.02,330100,51.568691
"2017-01-19",54.307,54.574,53.484,52.439999,281700,51.00457
"2017-01-20",54.152,54.594,53.35,52.200001,232800,50.771141
"2017-01-23",53.114,53.926,52.949,51.919998,382200,50.498802
"2017-01-24",53.926,55.561,53.926,53.880001,422800,52.405151
"2017-01-25",55.962,56.733,55.931,54.919998,538600,53.416683
"2017-01-26",56.445,56.815,55.838,54.419998,500100,52.93037
"2017-01-27",56.209,56.383,55.355,54.189999,482300,52.706665
"2017-01-30",55.592,56.466,55.016,54.330002,823200,52.842838
"2017-01-31",55.458,56.054,54.492,54.360001,462000,52.872017
"2017-02-01",56.065,56.424,55.139,53.830002,317600,52.356522
"2017-02-02",55.602,56.805,55.283,54.389999,381800,52.901192
"2017-02-03",55.838,56.682,55.283,54.509998,346500,53.017906
"2017-02-06",55.643,56.363,55.067,54.07,623100,52.589951
"2017-02-07",56.702,56.774,54.44,53.369999,574600,51.909115
"2017-02-08",54.594,54.728,53.165,51.799999,643800,50.382088
"2017-02-09",53.638,54.204,53.176,51.939999,726800,50.518253
"2017-02-10",53.844,54.173,53.494,52.650002,328400,51.208824
"2017-02-13",54.255,54.615,53.813,52.369999,331500,50.936485
"2017-02-14",53.463,54.481,53.463,52.740002,524700,51.296356
"2017-02-15",53.538,54.877,53.323,53.610001,471800,52.440842
"2017-02-16",54.427,55.306,52.986,51.939999,329200,50.807262
"2017-02-17",52.832,53.302,52.311,52.060001,286200,50.924648
"2017-02-21",53.568,54.386,52.699,52.790001,316600,51.638725
"2017-02-22",53.834,54.12,52.832,51.970001,339600,50.836609
"2017-02-23",53.149,53.149,51.718,51.119999,606200,50.005146
"2017-02-24",51.657,53.609,51.534,51.700001,303100,50.572498
"2017-02-27",52.72,53.231,52.607,52.009998,316700,50.875732
"2017-02-28",52.863,52.924,51.391,50.299999,383000,49.20303
"2017-03-01",52.413,52.526,50.839,50.73,655200,49.623653
"2017-03-02",51.943,52.035,51.35,50.459999,490000,49.359539
"2017-03-03",51.646,51.861,50.348,49.709999,445400,48.625896
"2017-03-06",50.174,50.409,49.592,48.73,459200,47.667267
"2017-03-07",49.765,49.98,48.968,48.43,603100,47.373814
"2017-03-08",49.765,50.808,49.367,49.540001,544100,48.459606
