"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",54.613,55.113,54.348,53.709999,898600,52.605511
"2017-01-04",55.062,55.593,54.685,53.700001,1148700,52.595718
"2017-01-05",54.981,55.256,54.572,53.59,1113500,52.487984
"2017-01-06",54.705,55.052,54.358,53.27,828200,52.174561
"2017-01-09",54.623,54.817,54.307,53.25,773800,52.154972
"2017-01-10",54.368,54.439,53.868,53,861400,51.91011
"2017-01-11",54.052,54.358,53.592,53.110001,753400,52.017853
"2017-01-12",53.929,54.184,53.796,52.880001,413100,51.79258
"2017-01-13",54.103,54.245,53.817,53.060001,400800,51.968884
"2017-01-17",54.103,54.562,54,53.439999,434200,52.341064
"2017-01-18",54.736,55.154,54.531,53.560001,613200,52.458599
"2017-01-19",54.531,54.93,54.225,53.200001,505000,52.106003
"2017-01-20",54.286,54.603,54.021,53.290001,831800,52.194153
"2017-01-23",54.46,54.542,54.021,53.259998,511700,52.164764
"2017-01-24",54.715,55.113,54.531,53.560001,449800,52.458599
"2017-01-25",54.582,54.909,54.245,53.139999,548600,52.047234
"2017-01-26",54.317,54.633,53.806,53.130001,578400,52.037437
"2017-01-27",54.797,54.797,53.99,53.150002,474200,52.05703
"2017-01-30",53.949,54.276,53.612,52.740002,528900,51.65546
"2017-01-31",54.266,54.623,54.194,53.189999,601200,52.096207
"2017-02-01",54.286,54.358,53.858,53.040001,818000,51.949291
"2017-02-02",54.286,55.563,54.082,53.639999,926200,52.536949
"2017-02-03",54.991,55.369,54.46,54.029999,595500,52.918926
"2017-02-06",55.338,55.399,54.725,53.650002,425400,52.546745
"2017-02-07",54.95,55.44,54.654,54.169998,594800,53.056053
"2017-02-08",55.246,55.501,55.001,54.07,452800,52.958107
"2017-02-09",55.134,55.981,55.134,54.720001,767900,53.594746
"2017-02-10",55.777,56.522,55.706,54.73,675300,53.604538
"2017-02-13",56.124,56.226,55.45,54.43,826700,53.310703
"2017-02-14",55.552,55.818,54.889,54.66,644600,53.535973
"2017-02-15",55.818,56.145,55.706,54.93,1088400,53.800426
"2017-02-16",55.681,55.833,54.929,54.610001,757800,53.765965
"2017-02-17",54.929,55.752,54.848,54.860001,943600,54.012104
"2017-02-21",55.884,56.625,55.67,55.240002,1065800,54.38623
"2017-02-22",56.077,56.168,55.467,54.630001,1109700,53.785652
"2017-02-23",58.86,59.54,57.052,56.689999,2996400,55.813816
"2017-02-24",58.149,59.103,57.489,57.5,2402600,56.611298
"2017-02-27",58.098,58.108,56.92,56.77,1748800,55.892582
"2017-02-28",57.895,58.575,57.753,57.130001,1358800,56.247017
"2017-03-01",58.189,58.9,57.844,57.73,1026400,56.837738
"2017-03-02",58.839,58.839,57.905,57.599998,908800,56.709751
"2017-03-03",58.403,58.778,57.956,57.810001,1037000,56.916508
"2017-03-06",58.443,59.185,58.403,58.18,866000,57.280785
"2017-03-07",59.154,59.418,58.342,57.509998,1048300,56.621143
"2017-03-08",58.25,58.362,57.651,57.040001,1001200,56.158405
"2017-03-09",57.925,58.484,57.417,57.380001,1095200,56.493149
"2017-03-10",58.565,59.073,58.565,57.849998,960000,56.955887
"2017-03-13",58.748,58.982,58.382,57.720001,840300,56.8279
"2017-03-14",58.616,59.581,58.392,58.599998,1522600,57.694294
"2017-03-15",59.439,60.038,59.439,58.830002,1578400,57.920738
"2017-03-16",59.703,59.774,59.439,58.82,772900,57.9109
"2017-03-17",59.936,59.936,59.621,58.959999,1069800,58.048733
"2017-03-20",60.018,60.018,59.347,58.740002,1252400,57.832134
"2017-03-21",59.54,59.743,58.778,58.169998,787900,57.270943
"2017-03-22",59.246,59.408,58.504,57.880001,717200,56.985424
"2017-03-23",59.043,59.296,58.697,58,1066100,57.103569
"2017-03-24",59.093,59.175,58.616,57.880001,838400,56.985424
"2017-03-27",58.555,58.768,58.25,57.630001,827700,56.739288
"2017-03-28",58.585,59.103,58.464,57.900002,743000,57.005116
"2017-03-29",58.839,59.053,58.667,57.990002,663700,57.093727
"2017-03-30",58.941,58.941,58.25,57.540001,607800,56.650681
"2017-03-31",58.494,59.114,58.443,57.869999,626400,56.975578
"2017-04-03",58.677,59.205,58.616,57.939999,786900,57.044495
"2017-04-04",59.002,59.185,58.525,57.860001,792900,56.965736
"2017-04-05",58.911,59.357,58.85,58.23,803400,57.330013
"2017-04-06",59.307,59.489,58.596,58.419998,949600,57.517078
"2017-04-07",59.164,59.317,58.819,58.009998,667200,57.113415
"2017-04-10",59.693,59.886,59.286,58.790001,1134000,57.881359
"2017-04-11",60.018,60.424,59.682,59.099998,968100,58.186565
"2017-04-12",59.926,60.2,59.886,59.209999,632500,58.294868
"2017-04-13",60.018,60.343,59.55,58.709999,480300,57.802597
"2017-04-17",59.723,59.825,59.347,58.84,759200,57.930584
"2017-04-18",59.794,60.373,59.652,58.990002,826900,58.07827
"2017-04-19",60.079,60.139,59.429,58.639999,909400,57.733677
"2017-04-20",59.713,59.886,59.246,58.529999,1415300,57.625374
"2017-04-21",59.5,59.835,59.286,58.439999,889400,57.536766
"2017-04-24",59.845,60.322,59.52,59.139999,962500,58.225948
"2017-04-25",60.129,60.129,59.479,58.919998,757100,58.00935
"2017-04-26",59.936,60.007,58.636,57.860001,1905700,56.965736
"2017-04-27",60.729,62.618,59.205,58.470001,1893800,57.566307
"2017-04-28",59.51,59.51,58.585,58.150002,1231900,57.251251
"2017-05-01",59.124,59.185,58.575,57.880001,803700,56.985424
"2017-05-02",58.809,58.982,58.616,57.849998,923800,56.955887
"2017-05-03",58.657,59.124,58.525,58.09,1154800,57.192177
"2017-05-04",59.368,59.53,58.646,58.09,1005200,57.192177
"2017-05-05",59.327,59.479,58.778,58.02,572500,57.123264
"2017-05-08",58.982,59.266,58.829,58.209999,1303300,57.310322
"2017-05-09",59.063,59.215,58.372,57.57,865500,56.680218
"2017-05-10",58.453,59.266,58.332,58.299999,1095900,57.398933
"2017-05-11",59.083,59.175,58.575,58.16,533600,57.261097
"2017-05-12",58.951,59.215,58.525,57.939999,640400,57.044495
"2017-05-15",58.707,59.286,58.707,58.360001,665200,57.458008
"2017-05-16",59.52,59.814,59.093,58.700001,1211900,57.792751
"2017-05-17",59.55,59.936,59.134,58.860001,1015500,57.950275
"2017-05-18",59.825,60.759,59.489,59.150002,1718600,58.235798
"2017-05-19",59.987,60.891,59.865,59.5,1124700,58.580387
"2017-05-22",60.414,62.679,60.332,61.290001,2976700,60.34272
"2017-05-23",62.587,64.751,61.856,61.049999,5277500,60.10643
"2017-05-24",62.171,62.78,61.785,60.869999,1826900,59.929211
"2017-05-25",62.059,62.628,61.673,61.139999,1311400,60.195038
"2017-05-26",62.201,62.953,62.171,61.650002,1172600,60.697155
"2017-05-30",62.465,62.465,61.247,60.650002,950200,59.712612
"2017-05-31",61.958,65.005,61.917,62.310001,4124900,61.346958
"2017-06-01",66.863,67.717,65.919,66.169998,9309900,65.147293
"2017-06-02",66.757,67.111,60.437,61.919998,10069500,61.226688
"2017-06-05",62.48,62.651,61.802,61.860001,1535200,61.167366
"2017-06-06",62.459,62.884,61.974,61.52,1975100,60.831173
"2017-06-07",62.237,63.461,62.207,62.490002,1552800,61.79031
"2017-06-08",63.218,63.703,62.318,61.75,1286800,61.058598
"2017-06-09",62.439,62.581,61.054,60.740002,1339100,60.059906
"2017-06-12",61.377,61.428,60.568,60.389999,1553800,59.713821
"2017-06-13",61.094,61.61,60.861,60.709999,1121900,60.030239
"2017-06-14",61.701,62.49,61.246,61.209999,1079200,60.524643
"2017-06-15",61.893,62.004,60.801,61.189999,905600,60.504864
"2017-06-16",61.66,61.762,60.518,60.619999,2499500,59.941246
"2017-06-19",61.701,61.873,60.76,60.669998,1363900,59.990685
"2017-06-20",61.387,61.64,60.578,60.049999,1108000,59.377628
"2017-06-21",60.75,61.408,60.679,60.650002,860500,59.970917
"2017-06-22",61.397,62.904,61.023,61.52,2043100,60.831173
"2017-06-23",62.217,62.904,62.065,61.919998,2215100,61.226688
"2017-06-26",62.247,62.965,62.126,61.919998,1143400,61.226688
"2017-06-27",62.328,62.449,61.499,61.029999,1882100,60.346657
"2017-06-28",61.933,62.5,61.62,61.299999,1809100,60.613636
"2017-06-29",61.903,61.903,60.143,59.990002,1770800,59.318306
"2017-06-30",60.669,61.043,60.052,59.400002,1645400,58.734909
"2017-07-03",60.063,61.175,59.88,60.18,951000,59.506176
"2017-07-05",61.114,61.347,60.133,59.599998,916200,58.932667
"2017-07-06",60.204,60.336,59.587,59.139999,1232900,58.477818
"2017-07-07",59.901,60.356,59.698,59.560001,740200,58.89312
"2017-07-10",60.336,60.336,58.829,58.200001,1697400,57.548347
"2017-07-11",58.839,58.839,57.939,57.529999,1978300,56.885845
"2017-07-12",58.596,59.122,58.576,57.98,1668100,57.330807
"2017-07-13",58.728,59.334,58.728,58.509998,1348900,57.85487
"2017-07-14",59.375,59.375,59.061,58.529999,1274200,57.874649
"2017-07-17",59.071,59.759,58.991,58.98,714800,58.319611
"2017-07-18",59.486,59.901,59.203,59.189999,1018400,58.52726
"2017-07-19",60.184,62.672,60.184,61.279999,3921900,60.593857
"2017-07-20",62.156,62.439,61.488,61.389999,1124900,60.702625
"2017-07-21",61.893,62.166,61.569,61.150002,992500,60.465313
"2017-07-24",61.842,62.328,61.832,61.389999,903200,60.702625
"2017-07-25",62.247,62.844,61.903,62,1401700,61.305794
"2017-07-26",62.783,63.167,62.267,61.799999,2023800,61.108032
"2017-07-27",60.791,62.267,60.265,60.48,3706200,59.802814
"2017-07-28",61.175,61.175,59.82,59.779999,1591100,59.110653
"2017-07-31",60.528,60.649,59.658,59.380001,1239100,58.715134
"2017-08-01",60.346,60.629,59.668,59.150002,969000,58.487709
"2017-08-02",59.678,60.406,59.223,59.669998,1098700,59.001884
"2017-08-03",60.234,60.588,59.607,58.990002,1778800,58.329502
"2017-08-04",59.901,60.164,59.425,59.189999,620900,58.52726
"2017-08-07",59.84,60.447,59.84,59.490002,544000,58.823902
"2017-08-08",60.063,60.376,59.476,58.970001,719600,58.309723
"2017-08-09",59.486,60.245,59.213,58.740002,879300,58.082298
"2017-08-10",59.183,60.032,59.183,58.900002,970500,58.240505
"2017-08-11",59.435,60.325,59.284,59.450001,757800,58.784351
"2017-08-14",60.568,60.983,60.245,59.970001,997100,59.298527
"2017-08-15",60.77,61.246,60.366,60.02,788400,59.347965
"2017-08-16",60.639,61.549,60.346,60.599998,730000,59.921471
"2017-08-17",61.074,61.933,60.781,60.119999,969500,59.446842
"2017-08-18",60.841,61.529,60.346,60.650002,1241800,59.970917
"2017-08-21",61.458,61.691,61.145,60.740002,869700,60.059906
"2017-08-22",61.458,62.662,61.448,61.439999,1049300,60.752064
"2017-08-23",62.065,62.55,61.802,61.599998,1089000,60.910275
"2017-08-24",62.085,62.156,60.285,59.740002,1610200,59.071102
"2017-08-25",59.897,60.359,59.665,59.369999,836000,59.02636
