"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",87.188,87.945,86.01,85,1052900,83.023056
"2017-01-04",87.475,88.498,87.075,86.370003,925800,84.361183
"2017-01-05",88.427,89.113,86.696,85.330002,605200,83.345375
"2017-01-06",87.403,89.532,87.178,87.199997,773500,85.171883
"2017-01-09",88.969,90.577,88.396,87.769997,1079100,85.728622
"2017-01-10",89.788,90.689,89.44,87.980003,861700,85.933739
"2017-01-11",90.157,91.406,89.973,88.519997,566200,86.461174
"2017-01-12",90.198,90.915,88.038,86.879997,654400,84.859322
"2017-01-13",89.031,90.116,88.672,87.220001,438800,85.191429
"2017-01-17",88.887,88.887,87.434,85.669998,648800,83.67746
"2017-01-18",87.874,88.99,87.403,86.660004,561800,84.644447
"2017-01-19",88.764,89.706,87.393,85.760002,410200,83.765381
"2017-01-20",88.222,89.041,87.802,86.050003,739100,84.048637
"2017-01-23",88.498,90.566,88.468,88.330002,669000,86.275604
"2017-01-24",91.058,94.467,90.935,92.080002,1358500,89.938385
"2017-01-25",97.774,97.774,95.225,94.699997,1152500,92.497437
"2017-01-26",96.883,97.201,95.491,94.019997,878600,91.833267
"2017-01-27",96.545,96.945,95.552,93.580002,713000,91.403503
"2017-01-30",95.726,95.726,93.658,91.82,1286400,89.684433
"2017-01-31",97.088,99.177,93.095,92.18,2027700,90.036064
"2017-02-01",94.16,95.849,93.218,93.099998,1190300,90.934669
"2017-02-02",95.081,95.675,93.239,93.370003,958500,91.198387
"2017-02-03",96.494,97.211,95.941,94.220001,723400,92.028618
"2017-02-06",94.805,96.679,91.969,94.199997,1201800,92.009071
"2017-02-07",96.382,98.839,96.085,95.080002,1119500,92.868607
"2017-02-08",97.354,97.641,93.116,94.18,3162100,91.989548
"2017-02-09",96.423,96.423,93.576,93.75,1159900,91.569534
"2017-02-10",96.075,96.75,94.969,94.089996,588900,91.901634
"2017-02-13",96.679,98.327,95.931,94.870003,1000500,92.663498
"2017-02-14",96.668,97.661,96.515,95.139999,426200,92.927216
"2017-02-15",97.702,98.419,97.528,95.459999,704600,93.239769
"2017-02-16",98.214,99.033,97.856,96.620003,778700,94.372795
"2017-02-17",98.327,98.89,96.679,95.260002,786400,93.044434
"2017-02-21",97.467,98.286,97.15,95.809998,722800,93.581627
"2017-02-22",97.661,97.917,95.88,94,1246100,91.813728
"2017-02-23",97.057,97.487,95.573,93.989998,783300,91.803963
"2017-02-24",95.911,96.392,95.153,93.449997,614800,91.27652
"2017-02-27",95.675,96.433,95.368,93.660004,706100,91.481636
"2017-02-28",95.645,96.228,94.375,92.43,971600,90.280243
"2017-03-01",95.573,96.187,95.061,93.75,1132300,91.569534
"2017-03-02",95.982,96.136,95.337,93.5,866300,91.325356
"2017-03-03",96.075,96.402,95.174,93.739998,674800,91.559769
"2017-03-06",95.87,96.156,93.73,92.339996,741300,90.192329
"2017-03-07",94.703,95.317,93.843,92.449997,1178900,90.299774
"2017-03-08",95.04,95.839,94.856,92.970001,796100,90.807686
"2017-03-09",95.184,95.583,94.436,92.779999,673200,90.622101
"2017-03-10",95.563,96.371,94.211,92.18,770200,90.036064
"2017-03-13",93.883,93.883,93.11,92.019997,737300,90.498283
"2017-03-14",93.272,94.025,92.866,91.849998,588200,90.331093
"2017-03-15",93.466,95.011,93.415,92.900002,827400,91.363731
"2017-03-16",94.93,94.96,93.679,92.410004,686200,90.881844
"2017-03-17",94.035,94.462,93.679,92.360001,2332400,90.832664
"2017-03-20",94.289,96.15,93.608,94.410004,755100,92.84877
"2017-03-21",96.15,96.597,92.5,91.540001,686600,90.026222
"2017-03-22",93.201,93.76,92.53,92.120003,1077400,90.596642
"2017-03-23",93.669,94.818,93.191,92.440002,431200,90.911339
"2017-03-24",93.333,93.659,91.34,90.410004,754400,88.914909
"2017-03-27",90.832,91.107,89.958,89.209999,1121800,87.734756
"2017-03-28",90.405,92.957,90.293,90.809998,848500,89.308296
"2017-03-29",92.022,92.439,91.34,90.050003,611500,88.560867
"2017-03-30",91.635,92.835,91.635,91.110001,555500,89.603333
"2017-03-31",92.428,93.811,92.103,91.620003,739600,90.104904
"2017-04-03",93.242,93.638,91.656,90.790001,608900,89.288628
"2017-04-04",91.951,93.12,91.818,91.160004,808200,89.652512
"2017-04-05",92.937,93.72,92.286,90.82,467300,89.31813
"2017-04-06",92.296,93.801,92.042,91.769997,487000,90.252411
"2017-04-07",92.988,93.516,92.286,91.040001,774300,89.534492
"2017-04-10",92.866,93.171,91.961,91,662400,89.495155
"2017-04-11",92.5,92.754,92.042,91.010002,584100,89.50499
"2017-04-12",92.591,92.754,91.239,90.18,588900,88.688705
"2017-04-13",91.676,92.022,91.249,90.019997,714400,88.531357
"2017-04-17",92.113,92.906,91.798,91.309998,562500,89.800018
"2017-04-18",93.435,95.215,93.262,92.480003,705900,90.950684
"2017-04-19",94.757,95.794,94.147,93.610001,731300,92.061996
"2017-04-20",95.428,96.384,95.326,93.839996,658900,92.288185
"2017-04-21",95.591,95.743,94.889,93.730003,514500,92.180008
"2017-04-24",96.597,96.852,95.479,94.080002,760900,92.524223
"2017-04-25",96.516,97.106,95.631,94.360001,552400,92.799591
"2017-04-26",96.242,97.126,95.316,94.540001,617200,92.976616
"2017-04-27",100.919,102.708,99.434,100.239998,1296500,98.582352
"2017-04-28",101.936,101.966,100.156,98.779999,1048600,97.146492
"2017-05-01",100.624,101.061,99.872,98.629997,645800,96.998978
"2017-05-02",100.329,100.899,100.146,98.779999,437600,97.146492
"2017-05-03",100.258,100.593,99.963,98.910004,818700,97.274353
"2017-05-04",100.634,102.617,100.553,100.519997,824000,98.857719
"2017-05-05",102.658,104.224,102.2,102.199997,946500,100.509933
"2017-05-08",103.817,104.142,102.464,101.309998,622800,99.634651
"2017-05-09",103.024,103.329,102.22,100.599998,464200,98.936394
"2017-05-10",102.18,104.559,102.149,102.690002,605600,100.991844
"2017-05-11",104.213,104.447,103.634,102.489998,586000,100.795151
"2017-05-12",103.654,104.102,103.329,102.32,431400,100.627953
"2017-05-15",104.03,104.895,103.868,102.879997,532600,101.178696
"2017-05-16",104.844,104.905,103.461,102.889999,500800,101.18853
"2017-05-17",104.62,104.62,102.19,100.550003,501300,98.88723
"2017-05-18",101.671,101.722,99.75,99.220001,797100,97.579231
"2017-05-19",100.888,101.58,100.665,99.349998,855400,97.707062
"2017-05-22",101.275,102.058,100.899,99.910004,674600,98.257813
"2017-05-23",101.773,101.976,100.919,100,605600,98.346321
"2017-05-24",101.875,103.41,101.834,101.620003,555000,99.939537
"2017-05-25",103.359,104.468,103.217,101.970001,391500,100.283745
"2017-05-26",103.695,104.142,103.115,102.18,331700,100.490273
"2017-05-30",103.735,104.579,103.258,102.32,373900,100.627953
"2017-05-31",104.396,104.508,103.268,102.160004,773400,100.470604
"2017-06-01",103.969,105.81,103.827,104,355400,102.280174
"2017-06-02",105.708,106.644,105.403,104.199997,359100,102.476868
"2017-06-05",105.952,106.562,105.708,104.089996,568600,102.368683
"2017-06-06",105.82,106.4,104.62,103.370003,526300,101.660591
"2017-06-07",105.21,106.227,105.057,103.75,625300,102.034309
"2017-06-08",105.332,105.932,104.701,103.769997,418200,102.053978
"2017-06-09",106.145,107.549,105.779,104.949997,598900,103.214462
"2017-06-12",106.715,107.437,106.42,105.199997,780700,103.460335
"2017-06-13",105.793,106.945,105.52,105.760002,441600,104.637703
"2017-06-14",107.723,107.723,105.651,104.949997,503800,103.836296
"2017-06-15",105.853,107.47,105.409,105.370003,515500,104.251839
"2017-06-16",106.692,108.845,106.571,107.57,1008000,106.42849
"2017-06-19",109.724,110.068,108.734,108.300003,574700,107.150749
"2017-06-20",109.34,109.583,108.522,107.900002,492500,106.754997
"2017-06-21",109.128,109.381,108.299,107.709999,438100,106.567009
"2017-06-22",109.078,109.249,108.198,107.730003,483600,106.5868
"2017-06-23",109.027,110.725,108.461,109.43,1192300,108.268761
"2017-06-26",111.18,112.605,110.745,111.080002,982300,109.901253
"2017-06-27",112.18,112.534,111.645,110.610001,1145400,109.436241
"2017-06-28",112.423,114.738,112.221,112.769997,948500,111.573311
"2017-06-29",114.182,114.182,112.039,111.550003,1109100,110.366264
"2017-06-30",113.343,113.444,111.968,111.389999,843200,110.207954
"2017-07-03",112.908,114.273,112.554,112.110001,271100,110.920319
"2017-07-05",113.444,114.131,112.494,111.889999,548200,110.702652
"2017-07-06",112.615,113.12,111.796,110.839996,498100,109.663795
"2017-07-07",112.18,112.666,111.908,110.919998,696500,109.742943
"2017-07-10",111.473,114.647,111.19,112.459999,974500,111.266602
"2017-07-11",113.919,113.919,111.958,111.290001,671100,110.109024
"2017-07-12",113.282,113.969,112.261,111.839996,552300,110.653175
"2017-07-13",113.717,115.536,113.686,113.309998,833300,112.107582
"2017-07-14",114.677,114.798,114.192,113.110001,377200,111.909706
"2017-07-17",113.919,114.465,113.141,112.839996,518400,111.64257
"2017-07-18",113.414,113.676,112.231,111.510002,809600,110.326691
"2017-07-19",113.242,113.727,112.969,112.279999,756900,111.088516
"2017-07-20",113.161,113.161,110.705,110.459999,1590300,109.287827
"2017-07-21",111.392,111.756,109.916,109.459999,1162200,108.298439
"2017-07-24",111.736,111.968,110.088,108.989998,1476400,107.833427
"2017-07-25",110.836,110.887,109.411,108.580002,22606500,107.42778
"2017-07-26",109.916,110.816,108.663,108.800003,2137100,107.645447
"2017-07-27",108.916,113.535,106.945,110.550003,1473000,109.376877
"2017-07-28",111.806,112.686,110.199,109.769997,2008300,108.605141
"2017-07-31",111.483,111.887,110.27,109.480003,1150100,108.31823
"2017-08-01",110.887,111.614,110.007,110.050003,1017600,108.882179
"2017-08-02",110.816,111.726,109.967,110.230003,735300,109.060272
"2017-08-03",111.291,112.544,110.816,110.080002,702800,108.911865
"2017-08-04",111.635,111.968,109.967,109.080002,941100,107.922478
"2017-08-07",110.533,111.301,110.078,109.419998,766100,108.258858
"2017-08-08",111.018,111.645,110.442,109.620003,995700,108.456749
"2017-08-09",110.786,111.331,110.088,109.169998,750900,108.011513
"2017-08-10",110.654,110.988,108.309,107.330002,732900,106.19104
"2017-08-11",108.299,109.199,108.047,107.519997,1532300,106.379028
"2017-08-14",109.532,111.069,109.239,109.129997,732100,107.971939
"2017-08-15",110.422,111.392,109.896,109.290001,804100,108.130241
"2017-08-16",111.17,112.827,111.17,111.440002,708300,110.257431
"2017-08-17",112.292,112.696,111.513,110.57,702700,109.39666
"2017-08-18",111.453,112.16,110.897,109.989998,731900,108.822815
"2017-08-21",110.957,110.957,107.632,106.510002,999800,105.379745
"2017-08-22",107.733,110.078,107.733,108.790001,842000,107.635544
"2017-08-23",109.502,111.069,109.27,109.160004,610200,108.001625
"2017-08-24",110.624,111.584,110.311,110.120003,614300,108.951439
"2017-08-25",111.736,112.18,111.048,110.360001,524500,109.188896
"2017-08-28",111.645,111.908,110.088,109.059998,560200,107.902679
"2017-08-29",109.755,109.987,109.158,108.5,646900,107.348625
"2017-08-30",109.704,112.362,109.704,111.139999,709300,109.960609
"2017-08-31",112.534,113.98,112.372,112.410004,829000,111.21714
"2017-09-01",113.919,114.849,113.919,113.449997,434500,112.246094
"2017-09-05",114.636,114.909,112.655,111.889999,678000,110.702652
"2017-09-06",113.292,113.899,111.887,111.629997,527800,110.445412
"2017-09-07",112.938,114.07,112.332,112.279999,605000,111.088516
"2017-09-08",113.616,115.667,113.434,113.790001,724800,112.582489
"2017-09-11",115.657,118.72,115.031,116.800003,1484500,115.560555
"2017-09-12",119.165,120.246,118.346,118.269997,1182500,117.014946
"2017-09-13",118.922,119.225,116.921,116.599998,1225900,115.362671
"2017-09-14",116.148,116.651,115.455,115.800003,861000,115.193565
"2017-09-15",116.168,116.691,115.103,115.879997,2177700,115.27314
"2017-09-18",116.822,117.807,116.52,116.220001,1092800,115.611366
"2017-09-19",116.832,118.169,115.937,117.260002,1061900,116.64592
"2017-09-20",117.877,120.059,117.867,119.279999,877100,118.655342
"2017-09-21",119.817,119.938,119.144,118.800003,461900,118.177856
"2017-09-22",119.124,119.415,115.817,116.209999,1080000,115.601418
"2017-09-25",116.39,116.711,112.791,113.900002,977800,113.303513
"2017-09-26",114.671,115.726,114.5,114.32,663500,113.721313
"2017-09-27",115.475,116.48,114.841,115.290001,696800,114.686234
"2017-09-28",115.666,116.802,115.183,115.610001,874100,115.004562
"2017-09-29",115.696,115.746,114.49,114.68,829800,114.07943
"2017-10-02",115.053,117.676,115.053,116.849998,681300,116.238068
"2017-10-03",117.887,118.501,117.073,117.269997,544700,116.655861
"2017-10-04",117.918,118.581,117.425,117.330002,655700,116.715553
"2017-10-05",117.998,118.008,116.922,117.059998,771900,116.44696
"2017-10-06",117.365,118.44,116.942,116.5,527800,115.8899
"2017-10-09",117.415,117.727,116.621,116.720001,383800,116.108749
"2017-10-10",117.495,118.269,117.164,117.470001,366200,116.85482
"2017-10-11",118.199,118.4,116.912,116.699997,589500,116.088844
"2017-10-12",117.536,117.536,115.997,115.5,809300,114.895134
"2017-10-13",115.897,116.681,115.736,115.690002,771600,115.084145
"2017-10-16",116.581,117.666,116.209,117,695000,116.387283
"2017-10-17",117.686,118.229,117.133,116.75,711600,116.138588
"2017-10-18",117.525,117.857,116.691,116.419998,793500,115.810318
"2017-10-19",116.761,117.355,116.299,116.599998,386300,115.989372
"2017-10-20",117.877,119.003,117.596,118.360001,596200,117.740158
"2017-10-23",119.466,119.616,118.712,118.139999,547300,117.521309
"2017-10-24",120.029,120.199,118.48,118.629997,758000,118.008743
"2017-10-25",119.566,119.908,117.515,118.160004,678100,117.541206
"2017-10-26",117.616,121.386,117.123,118.580002,912800,117.959007
"2017-10-27",118.42,118.641,112.238,116.93,1456700,116.31765
"2017-10-30",116.812,117.566,115.937,115.57,708100,114.964767
"2017-10-31",116.51,117.495,115.716,116.269997,476600,115.661102
"2017-11-01",117.727,118.169,116.671,116.57,881700,115.959534
"2017-11-02",116.701,117.817,116.199,116.209999,706300,115.601418
"2017-11-03",116.711,117.455,116.219,115.739998,513000,115.133873
"2017-11-06",116.309,116.319,111.212,110.959999,1735700,110.378906
"2017-11-07",111.363,112.539,110.438,111.349998,783600,110.766869
"2017-11-08",111.584,112.167,111.112,111.410004,883400,110.826561
"2017-11-09",111.192,111.685,109.061,109.230003,1183200,108.657974
"2017-11-10",109.986,111.202,109.865,110.269997,913600,109.69252
"2017-11-13",110.77,113.323,110.247,112.360001,1086500,111.771584
"2017-11-14",112.499,114.037,112.248,112.709999,456800,112.119743
"2017-11-15",112.64,113.685,112.047,111.849998,667100,111.264252
"2017-11-16",112.167,113.193,112.057,111.870003,632400,111.284149
"2017-11-17",112.007,113.454,111.695,112.470001,447200,111.881004
"2017-11-20",112.6,113.605,112.127,111.769997,666200,111.184669
"2017-11-21",113.022,113.726,112.57,112.040001,612300,111.453255
"2017-11-22",112.801,113.153,112.157,112.07,468800,111.483101
"2017-11-24",113.072,113.414,112.057,111.470001,178000,110.886238
"2017-11-27",112.087,113.173,111.635,111.419998,546000,110.836502
"2017-11-28",112.379,113.575,111.765,112.949997,549800,112.35849
"2017-11-29",113.565,115.817,113.303,115.089996,665000,114.487282
"2017-11-30",115.806,119.606,115.706,118.599998,1333300,117.978897
"2017-12-01",119.154,119.164,115.012,117.400002,932400,116.785187
"2017-12-04",119.033,120.571,118.47,118.910004,885500,118.287285
"2017-12-05",119.064,119.435,117.998,117.760002,670000,117.143303
"2017-12-06",118.521,119.094,117.777,117.339996,520900,116.725494
"2017-12-07",117.767,119.154,117.435,117.959999,634800,117.342255
"2017-12-08",118.852,119.687,118.38,118.339996,592500,117.720261
"2017-12-11",118.752,119.325,116.912,118.129997,773900,117.51136
"2017-12-12",118.611,118.611,117.435,116.959999,582700,116.347488
"2017-12-13",117.324,118.35,117.324,116.980003,611300,116.367386
"2017-12-14",117.998,118.078,115.475,114.889999,930400,114.28833
