"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",84.722,87.212,84.207,86.5,1622000,85.793816
"2017-01-04",86.889,88.2,86.042,87.230003,1633800,86.517853
"2017-01-05",87.071,87.656,86.496,86.529999,1165400,85.823563
"2017-01-06",87.071,88.079,85.881,85.25,1150200,84.554016
"2017-01-09",85.74,86.809,85.407,85.43,919900,84.732544
"2017-01-10",86.184,86.345,84.258,83.650002,1214400,82.967079
"2017-01-11",83.693,83.724,76.706,77.879997,6215700,77.244179
"2017-01-12",77.977,79.67,77.785,78.18,2264100,77.541733
"2017-01-13",79.045,79.993,78.39,77.800003,1527300,77.164841
"2017-01-17",77.956,77.956,75.869,76.550003,1566400,75.925049
"2017-01-18",77.573,77.745,75.517,76.459999,1345700,75.835777
"2017-01-19",76.384,78.148,75.819,76.470001,2766400,75.845688
"2017-01-20",77.13,77.916,75.385,75.059998,2272100,74.447197
"2017-01-23",74.115,75.547,73.278,73.480003,3377300,72.880112
"2017-01-24",74.115,74.256,72.431,71.919998,1669500,71.33284
"2017-01-25",72.845,73.813,72.552,72.800003,1464600,72.205658
"2017-01-26",73.429,73.742,72.643,72.389999,1096300,71.799004
"2017-01-27",73.581,74.821,73.097,73.900002,1424100,73.296684
"2017-01-30",74.256,75.083,73.863,74.400002,1916100,73.792595
"2017-01-31",74.236,76.827,72.935,76.150002,1657500,75.528305
"2017-02-01",76.515,77.523,75.97,76.769997,1171000,76.143242
"2017-02-02",76.031,79.65,75.92,78.419998,2336300,77.77977
"2017-02-03",79.56,79.701,78.098,77.989998,1972200,77.353279
"2017-02-06",77.856,78.834,77.382,78.080002,1486600,77.442543
"2017-02-07",79.943,80.104,77.513,77.760002,2378300,77.12516
"2017-02-08",78.178,79.045,78.017,77.93,2046900,77.29377
"2017-02-09",78.571,80.134,78.279,79.440002,1651500,78.791451
"2017-02-10",79.963,80.618,79.398,79.400002,1043100,78.75177
"2017-02-13",80.84,81.001,80.064,80.160004,869500,79.505577
"2017-02-14",80.598,83.24,80.598,82.129997,1498000,81.459473
"2017-02-15",82.07,85.972,82.06,84.900002,1860100,84.206879
"2017-02-16",85.246,85.337,83.179,83.120003,1438600,82.441406
"2017-02-17",83.774,85.337,83.219,84.470001,1282000,83.78038
"2017-02-21",84.49,85.609,84.268,84.669998,1844000,83.978745
"2017-02-22",85.367,85.367,84.097,84.089996,1434800,83.403481
"2017-02-23",84.419,85.196,84.298,84.07,1394900,83.383644
"2017-02-24",85.064,85.498,83.754,84.43,1284200,83.740707
"2017-02-27",84.268,86.325,83.28,84.68,2360300,83.988663
"2017-02-28",85.377,85.377,73.026,74.769997,14396700,74.159569
"2017-03-01",74.037,76.351,73.604,74.970001,4267000,74.517403
"2017-03-02",74.651,76.462,74.198,75.559998,3123800,75.103836
"2017-03-03",75.838,76.955,72.558,72.760002,3693700,72.32074
"2017-03-06",72.789,73.182,71.23,71.589996,2442700,71.157799
"2017-03-07",69.822,71.029,69.419,70.300003,2983300,69.875587
"2017-03-08",70.757,70.979,69.771,70.32,1747500,69.895477
"2017-03-09",70.335,71.109,70.133,70.410004,1496600,69.984932
"2017-03-10",71.049,71.985,70.787,71.220001,1265700,70.790031
"2017-03-13",71.492,71.653,70.214,70.290001,1364400,69.865654
"2017-03-14",69.872,70.133,69.107,69.300003,1470200,68.881622
"2017-03-15",69.54,71.059,69.318,70.599998,1506400,70.173775
"2017-03-16",71.431,71.592,70.626,70.870003,1192600,70.442154
"2017-03-17",71.139,71.401,69.741,69.5,2932700,69.080421
"2017-03-20",69.942,70.224,68.463,68.419998,2233400,68.006943
"2017-03-21",68.584,68.936,67.487,68.139999,1828800,67.72863
"2017-03-22",68.473,69.168,67.769,68.43,1155600,68.016876
"2017-03-23",68.493,69.469,68.322,68.160004,878400,67.74852
"2017-03-24",68.675,69.007,68.212,67.959999,1122600,67.549713
"2017-03-27",67.266,69.892,67.266,69.18,1645700,68.762352
"2017-03-28",69.288,69.469,68.554,68.910004,1131100,68.49398
"2017-03-29",68.986,70.093,68.906,69.089996,1449000,68.67289
"2017-03-30",69.298,69.349,67.186,66.93,1647300,66.52594
"2017-03-31",67.437,67.99,66.693,66.389999,1294900,65.989197
"2017-04-03",66.441,67.477,66.139,66.809998,1981100,66.406654
"2017-04-04",67.005,67.186,65.868,66.669998,1963700,66.267502
"2017-04-05",66.944,68.473,66.582,66.610001,2485000,66.20787
"2017-04-06",67.005,68.453,66.944,67.599998,1941200,67.191887
"2017-04-07",67.679,69.55,67.306,68.760002,1582600,68.344887
"2017-04-10",69.62,71.421,69.359,69.769997,2011700,69.348778
"2017-04-11",70.294,70.395,68.986,69.010002,1744500,68.593384
"2017-04-12",69.268,69.268,67.578,68.050003,1794300,67.639175
"2017-04-13",68.202,68.393,67.749,67.650002,980100,67.241592
"2017-04-17",68.151,68.473,67.669,67.889999,898100,67.480141
"2017-04-18",67.407,67.437,66.19,66.139999,2348600,65.740707
"2017-04-19",66.662,67.518,66.602,66.43,1353400,66.028954
"2017-04-20",67.115,67.769,66.441,66.760002,1287700,66.356964
"2017-04-21",67.105,67.296,66.27,66.43,966000,66.028954
"2017-04-24",67.588,68.151,66.059,67.050003,2124200,66.64521
"2017-04-25",67.457,68.735,66.19,67.809998,3278500,67.40062
"2017-04-26",70.234,74.952,69.882,73.019997,6057400,72.57917
"2017-04-27",73.262,74.6,72.186,74.010002,1986300,73.563194
"2017-04-28",74.47,75.194,73.554,73.940002,1431200,73.493622
"2017-05-01",74.288,74.973,74.178,74.050003,1293200,73.602959
"2017-05-02",74.47,76.794,74.158,76.230003,2018900,75.769791
"2017-05-03",73.192,73.373,70.747,72.349998,3779400,71.913208
"2017-05-04",72.89,74.922,72.709,73.120003,1689000,72.678566
"2017-05-05",73.977,73.977,72.84,73.410004,852600,72.96682
"2017-05-08",73.635,74.218,73.323,73.07,1185100,72.628868
"2017-05-09",74.54,75.445,73.323,74.730003,1353100,74.278854
"2017-05-10",75.043,75.445,73.675,74.540001,1119300,74.089989
"2017-05-11",75.194,76.743,74.399,75.370003,1821200,74.914978
"2017-05-12",75.697,75.979,74.47,74.970001,1288700,74.517403
"2017-05-15",75.375,76.019,75.053,75.050003,979100,74.596924
"2017-05-16",76.21,76.21,74.55,74.550003,946700,74.099945
"2017-05-17",75.003,75.003,73.333,73.07,1455400,72.628868
"2017-05-18",73.484,73.484,70.888,70.5,1788300,70.074387
"2017-05-19",71.119,72.357,69.65,70.790001,2190900,70.36264
"2017-05-22",71.23,72.226,70.757,71.360001,1198100,70.929192
"2017-05-23",70.486,73.796,70.385,73.07,2812300,72.628868
"2017-05-24",72.871,73.042,71.466,71.93,2393100,71.652649
"2017-05-25",72.198,72.67,71.747,71.849998,1181600,71.57296
"2017-05-26",72.198,72.198,70.11,69.949997,1724900,69.680275
"2017-05-30",69.92,69.98,66.968,67.919998,3187500,67.658104
"2017-05-31",68.986,73.634,68.534,72.849998,5014400,72.569099
"2017-06-01",72.61,76.947,72.49,74.730003,3363500,74.441856
"2017-06-02",75.029,75.531,73.443,73.440002,1347600,73.156822
"2017-06-05",70.642,72.158,68.876,71.779999,3785800,71.50322
"2017-06-06",71.355,71.686,70.271,70.339996,2346500,70.068771
"2017-06-07",70.261,71.074,70.161,70.529999,1476800,70.258049
"2017-06-08",70.803,72.118,70.803,71.220001,1630800,70.945389
"2017-06-09",71.385,72.188,70.411,71.519997,1199200,71.244225
"2017-06-12",71.656,73.383,71.646,71.639999,2211900,71.36377
"2017-06-13",71.967,72.098,70.753,71.699997,1122100,71.423538
"2017-06-14",72.078,73.433,72.048,72.32,1160800,72.041145
"2017-06-15",72.329,74.337,72.178,72.82,1497500,72.539215
"2017-06-16",73.594,74.758,72.439,73.019997,1765300,72.738441
"2017-06-19",73.985,74.096,73.222,73.139999,1082000,72.857979
"2017-06-20",73.473,74.286,72.57,72.360001,1215800,72.080986
