"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",40.29,40.98,40,40.25,8247400,40.25
"2017-01-04",40.35,41.03,40.045,41,6806400,41
"2017-01-05",41.43,41.72,41.04,41.060001,6432000,41.060001
"2017-01-06",41.24,41.64,40.79,41.450001,5586400,41.450001
"2017-01-09",41.49,41.51,41.11,41.400002,3935300,41.400002
"2017-01-10",41.4,41.55,41.07,41.080002,4174900,41.080002
"2017-01-11",41.23,41.38,40.835,41.279999,4425300,41.279999
"2017-01-12",41.28,41.605,40.92,41.560001,3840500,41.560001
"2017-01-13",41.65,41.84,41.53,41.599998,3917700,41.599998
"2017-01-17",41.6,41.71,41.2,41.27,5889700,41.27
"2017-01-18",41.41,41.49,41.11,41.349998,4706000,41.349998
"2017-01-19",41.25,41.68,41.03,41.27,4717600,41.27
"2017-01-20",41.39,41.72,41.3,41.689999,6868500,41.689999
"2017-01-23",41.86,42.11,41.25,41.619999,8497100,41.619999
"2017-01-24",41.95,42.04,41.53,41.959999,6106500,41.959999
"2017-01-25",42.36,42.44,41.66,41.709999,8604000,41.709999
"2017-01-26",42.36,42.5,41.285,41.5,11838100,41.5
"2017-01-27",41,41.2,39.92,40.27,22749200,40.27
"2017-01-30",40.17,40.27,39.42,39.860001,11486000,39.860001
"2017-01-31",39.7,40.01,39.45,39.779999,9100100,39.779999
"2017-02-01",39.96,40,39.11,39.310001,8860400,39.310001
"2017-02-02",39.4,39.84,39.02,39.580002,8736800,39.580002
"2017-02-03",39.79,39.93,39.55,39.59,7131100,39.59
"2017-02-06",39.64,39.83,39.34,39.740002,8206400,39.740002
"2017-02-07",40.01,40.34,39.7,40.02,7956300,40.02
"2017-02-08",40.18,40.99,39.92,40.880001,7399000,40.880001
"2017-02-09",40.44,40.995,40.3,40.830002,6467600,40.830002
"2017-02-10",40.82,40.86,40.56,40.580002,6248200,40.580002
"2017-02-13",40.83,41.3,40.74,41.169998,6260900,41.169998
"2017-02-14",41.18,41.63,40.94,41.619999,6481100,41.619999
"2017-02-15",41.69,41.93,41.27,41.869999,7124600,41.869999
"2017-02-16",41.87,42.31,41.7,42.150002,5730800,42.150002
"2017-02-17",41.92,42.3,41.8,41.959999,5106000,41.959999
"2017-02-21",41.93,42.56,41.9,42.43,5874700,42.43
"2017-02-22",42.3,42.53,42.12,42.419998,4316200,42.419998
"2017-02-23",42.37,42.67,42.16,42.529999,5456300,42.529999
"2017-02-24",42.11,43.07,41.83,43.07,6769500,43.07
"2017-02-27",42.89,42.89,42.35,42.639999,5026700,42.639999
"2017-02-28",42.49,42.49,41.99,42,6956800,42
"2017-03-01",42.31,42.52,41.99,42.43,6003800,42.43
"2017-03-02",42.4,42.86,42.2,42.77,4572300,42.77
"2017-03-03",42.7,43.04,42.58,43.029999,4214400,43.029999
"2017-03-06",42.98,43.03,42.63,42.869999,6032800,42.869999
"2017-03-07",42.8,43.2,42.71,42.889999,4404700,42.889999
"2017-03-08",42.84,43.18,42.72,42.790001,4573900,42.790001
"2017-03-09",42.66,43,42.45,42.919998,3487900,42.919998
"2017-03-10",43.19,43.28,42.76,42.990002,4636200,42.990002
"2017-03-13",42.87,42.965,42.45,42.59,5526900,42.59
"2017-03-14",42.51,42.64,41.74,42.099998,5888000,42.099998
"2017-03-15",42.29,42.57,41.89,42.389999,4291800,42.389999
"2017-03-16",42.5,42.58,42.14,42.400002,3998600,42.400002
"2017-03-17",42.57,43.3,42.37,43.080002,12307900,43.080002
"2017-03-20",43.1,43.32,42.81,43.16,6686900,43.16
"2017-03-21",43.33,43.4,42.46,42.639999,7758400,42.639999
"2017-03-22",42.595,43.24,42.45,43.189999,6513300,43.189999
"2017-03-23",43.13,43.61,43,43.139999,7176400,43.139999
"2017-03-24",43.48,43.495,42.935,43.130001,5739500,43.130001
"2017-03-27",42.69,43.2,42.58,43.080002,3850300,43.080002
"2017-03-28",42.87,43.25,42.84,43.150002,4396500,43.150002
"2017-03-29",43.15,43.3,42.96,43.240002,3951100,43.240002
"2017-03-30",43.15,43.8,43,43.540001,5691700,43.540001
"2017-03-31",43.44,43.48,43.01,43.02,5177500,43.02
"2017-04-03",43.2,43.3,42.51,42.630001,7773000,42.630001
"2017-04-04",42.74,42.74,42.26,42.720001,4681800,42.720001
"2017-04-05",42.83,43.343,42.74,42.889999,5292300,42.889999
"2017-04-06",42.9,43,42.72,42.900002,5395400,42.900002
"2017-04-07",42.89,43.175,42.71,43.040001,4861200,43.040001
