"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",84.698,86.592,84.698,83.870003,1739500,81.911171
"2017-01-04",85.927,87.237,85.517,84.5,1691300,82.526451
"2017-01-05",86.623,87.545,86.48,85,1409500,83.014763
"2017-01-06",87.319,87.422,86.255,84.330002,1450700,82.360413
"2017-01-09",86.377,87.145,86.06,84.550003,1328500,82.575287
"2017-01-10",86.797,88.855,86.377,85.93,1530400,83.92305
"2017-01-11",87.954,88.743,87.053,86.620003,1121400,84.596939
"2017-01-12",88.497,88.538,86.807,85.889999,1370500,83.88398
"2017-01-13",87.678,88.087,86.92,85.089996,1108400,83.102661
"2017-01-17",86.91,87.145,86.04,84.989998,1014800,83.005005
"2017-01-18",86.93,88.415,86.06,85.510002,1401500,83.512863
"2017-01-19",86.746,87.995,86.275,84.559998,1759200,82.585037
"2017-01-20",86.859,88.61,86.521,85.040001,2201700,83.053841
"2017-01-23",87.002,87.217,86.541,84.959999,2373900,82.9757
"2017-01-24",87.258,88.425,87.197,86.029999,3030900,84.020721
"2017-01-25",88.825,90.34,88.548,87.669998,3403400,85.622414
"2017-01-26",95.275,98.388,94.487,95.639999,7610500,93.406258
"2017-01-27",97.804,97.886,96.033,94.559998,3285800,92.351486
"2017-01-30",97.507,98.03,95.859,94.400002,2137300,92.195229
"2017-01-31",96.678,96.719,94.866,93.629997,1884700,91.443207
"2017-02-01",96.187,97.292,95.869,94.330002,2154900,92.126862
"2017-02-02",96.463,97.088,95.849,94.029999,1336700,91.833862
"2017-02-03",96.258,97.559,96.207,94.519997,1578200,92.312416
"2017-02-06",96.432,97.415,96.33,94.809998,1226000,92.595642
"2017-02-07",97.487,97.784,96.832,95.029999,1131400,92.810509
"2017-02-08",97.262,97.651,96.842,94.970001,1495900,92.751915
"2017-02-09",97.241,97.753,97.036,95.370003,1348200,93.142578
"2017-02-10",97.712,98.521,97.21,95.839996,1340700,93.601593
"2017-02-13",98.797,99.35,98.398,96.5,1177500,94.246178
