"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",370.84,384.94,368.44,379.700012,1064500,379.700012
"2017-01-04",374.87,389.22,373.85,383.109985,781500,383.109985
"2017-01-05",381.15,385.72,380.22,380.920013,628000,380.920013
"2017-01-06",360.48,361.93,354,358.679993,3254600,358.679993
"2017-01-09",359.21,360.39,349.24,355.059998,1883900,355.059998
"2017-01-10",356,375.94,355.2,373,1787200,373
"2017-01-11",371.84,379.95,361.66,364.470001,1655700,364.470001
"2017-01-12",362,367.37,358.5,364.440002,663700,364.440002
"2017-01-13",364.76,373.48,364.44,368.160004,943800,368.160004
"2017-01-17",367.65,369.97,359.73,363.23999,875700,363.23999
"2017-01-18",363.7,365.95,358.93,362.950012,474000,362.950012
"2017-01-19",363.2,366.3,359.97,363.410004,586200,363.410004
"2017-01-20",365.67,369.75,362.07,362.559998,782000,362.559998
"2017-01-23",361.97,363.59,354.17,354.359985,899400,354.359985
"2017-01-24",355.04,356.44,347,347.959991,905400,347.959991
"2017-01-25",350,350.75,344.81,348.929993,934500,348.929993
"2017-01-26",348.74,352.88,340.09,340.75,1312600,340.75
"2017-01-27",342.34,349.97,340.96,346.5,620600,346.5
"2017-01-30",344.89,347.04,342.16,344.5,668200,344.5
"2017-01-31",344.05,360,343.5,359.290009,1052500,359.290009
"2017-02-01",358.74,364.8,355.01,364.170013,1033000,364.170013
"2017-02-02",361.14,364.81,357.89,360.559998,578800,360.559998
"2017-02-03",362.43,363.25,352.08,358.26001,733200,358.26001
"2017-02-06",357.86,362.45,353.59,362,750300,362
"2017-02-07",360.61,363.1,355.89,357.690002,689800,357.690002
"2017-02-08",355.88,359,351.03,353.25,876900,353.25
"2017-02-09",347.07,366.95,347,360,1722800,360
"2017-02-10",360.95,364.39,357.38,359.869995,713600,359.869995
"2017-02-13",364.22,378.47,363.2,375.660004,1539100,375.660004
"2017-02-14",375.95,378.32,371.61,376.519989,991100,376.519989
"2017-02-15",375.43,384.58,374,384,926300,384
"2017-02-16",379,382.08,369.2,373.019989,1276800,373.019989
"2017-02-17",372.42,375,369.3,371.179993,775500,371.179993
"2017-02-21",372.18,375.76,370,371.609985,722600,371.609985
"2017-02-22",371.61,373.16,369.12,370.220001,569200,370.220001
"2017-02-23",370.99,371.22,357.22,360.959991,1118900,360.959991
"2017-02-24",359.88,361.08,355,361.01001,782600,361.01001
"2017-02-27",361.15,373.36,359.94,373.049988,537900,373.049988
"2017-02-28",373.3,374.97,368.42,373.5,759200,373.5
"2017-03-01",378,381.92,372.52,379.049988,757500,379.049988
"2017-03-02",379.05,381.99,375,375.859985,512200,375.859985
"2017-03-03",375.98,379.46,371,378.660004,513300,378.660004
"2017-03-06",378.13,383.99,376.45,381.929993,1020800,381.929993
"2017-03-07",378.76,382.22,370.63,372.519989,890400,372.519989
