"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",64.665,66.311,64.573,64.629997,843600,63.605747
"2017-01-04",65.933,66.166,64.496,64.959999,763300,64.1688
"2017-01-05",66.976,68.454,66.156,67.150002,963600,66.332138
"2017-01-06",66.976,67.694,65.548,65.510002,599900,64.712112
"2017-01-09",67.32,68.15,66.237,65.849998,523300,65.047966
"2017-01-10",66.783,68.575,66.662,66.989998,514300,66.17408
"2017-01-11",66.642,68.606,65.933,66.669998,452300,65.857971
"2017-01-12",68.646,69.132,66.581,66.57,528700,65.759193
"2017-01-13",67.178,68.444,66.318,67.18,438700,66.361763
"2017-01-17",69.851,70.499,69.081,68.379997,555100,67.54715
"2017-01-18",69.426,70.073,68.201,68.120003,492900,67.290329
"2017-01-19",68.261,69.628,68.039,68.169998,438300,67.339706
"2017-01-20",69.193,70.64,68.454,68.779999,533200,67.942268
"2017-01-23",70.296,71.349,69.638,70.309998,847300,69.453636
"2017-01-24",71.106,73.364,71.076,71.690002,625400,70.816833
"2017-01-25",71.673,72.948,70.964,71.620003,577600,70.747688
"2017-01-26",71.167,71.703,70.114,69.580002,484100,68.732536
"2017-01-27",70.296,71.541,70.185,70.480003,329300,69.621582
"2017-01-30",71.875,72.868,70.327,69.699997,469400,68.851067
"2017-01-31",72.149,73.141,71.42,72.169998,524800,71.290985
"2017-02-01",72.564,72.797,71.329,71.440002,511600,70.569878
"2017-02-02",72.635,74.062,71.268,70.830002,857300,69.9673
"2017-02-03",71.632,71.744,70.519,69.940002,726800,69.08815
"2017-02-06",71.643,72.594,70.661,71.599998,770800,70.727928
"2017-02-07",71.997,72.776,71.491,70.919998,461200,70.056213
"2017-02-08",72.382,72.483,71.369,71.360001,590500,70.490852
"2017-02-09",72.382,72.635,70.61,70.040001,502800,69.186935
"2017-02-10",70.57,72.716,70.367,71.529999,485500,70.658775
"2017-02-13",71.764,72.918,71.744,71.449997,336800,70.579758
"2017-02-14",72.483,72.888,71.754,71.279999,446100,70.411827
"2017-02-15",71.784,72.29,70.914,71.150002,573400,70.283417
"2017-02-16",72.169,72.746,71.724,71.290001,696300,70.421707
"2017-02-17",72.118,72.139,70.62,69.949997,781900,69.098022
"2017-02-21",70.195,71.956,69.669,71.010002,534000,70.145126
"2017-02-22",71.42,71.653,68.798,68.830002,693900,67.991669
"2017-02-23",70.802,70.954,69.608,68.82,818400,67.981789
"2017-02-24",70.296,70.549,68.94,68.330002,496600,67.497757
"2017-02-27",69.041,70.833,66.773,66.260002,735100,65.452972
"2017-02-28",67.816,68.251,66.358,66.050003,687800,65.245529
"2017-03-01",66.125,67.998,65.801,66.889999,624900,66.075302
"2017-03-02",66.854,67.371,65.265,64.580002,683000,63.793434
"2017-03-03",65.083,66.723,64.911,65.43,718200,64.63308
"2017-03-06",65.903,65.903,63.908,63.389999,450300,62.617924
"2017-03-07",63.534,64.091,62.38,62.200001,854700,61.442421
"2017-03-08",61.975,63.969,61.752,62.18,850700,61.422661
"2017-03-09",62.775,63.584,61.944,61.450001,452800,60.701553
"2017-03-10",62.208,63.848,62.086,62.950001,467400,62.183285
"2017-03-13",63.807,64.313,63.24,63.029999,373700,62.26231
"2017-03-14",63.777,64.354,62.339,61.779999,462600,61.027534
"2017-03-15",63.058,66.034,62.511,65.050003,659500,64.257713
"2017-03-16",66.925,66.996,65.366,64.800003,453500,64.01075
"2017-03-17",65.822,66.601,65.154,64.839996,1365700,64.050262
"2017-03-20",65.7,66.277,65.002,65.190002,594900,64.396004
"2017-03-21",66.166,67.917,65.994,66.720001,854400,65.907372
"2017-03-22",67.877,69.112,67.512,67.480003,782400,66.658112
"2017-03-23",68.474,68.727,66.692,67.150002,758900,66.332138
"2017-03-24",67.725,68.919,67.634,67.230003,438000,66.411156
"2017-03-27",69.021,69.901,68.616,68.860001,582100,68.021309
"2017-03-28",69.81,70.306,68.525,68.339996,617000,67.507629
"2017-03-29",68.97,70.438,68.919,69.300003,506700,68.455948
"2017-03-30",69.75,70.408,69.233,69.230003,514100,68.386795
"2017-03-31",69.922,71.572,69.922,70.050003,607300,69.196815
"2017-04-03",71.066,71.339,70.418,70.25,532000,69.394379
"2017-04-04",71.632,72.361,71.096,71.449997,537600,70.579758
"2017-04-05",71.674,71.765,70.201,70.410004,521700,69.786835
"2017-04-06",70.847,72.451,70.635,71.470001,418200,70.837463
"2017-04-07",72.814,73.803,72.33,72.07,559500,71.432144
"2017-04-10",72.592,72.986,71.715,72.190002,442600,71.551086
"2017-04-11",73.359,75.629,72.865,74.730003,731000,74.068611
"2017-04-12",75.276,75.407,74.348,74.610001,420800,73.949669
"2017-04-13",75.67,76.356,74.59,74.529999,639800,73.870369
"2017-04-17",75.196,76.003,75.064,74.809998,345000,74.147896
"2017-04-18",75.367,76.154,74.55,75.279999,656300,74.613731
"2017-04-19",75.175,75.307,73.42,73.260002,714000,72.61161
"2017-04-20",73.965,74.045,72.754,72.68,664700,72.036743
"2017-04-21",73.4,73.45,72.512,72.400002,567000,71.759232
"2017-04-24",72.048,73.521,71.059,72.440002,626400,71.798874
"2017-04-25",73.077,74.156,70.332,70.389999,888600,69.767014
"2017-04-26",70.645,71.17,69.465,70.300003,817500,69.677811
"2017-04-27",70.645,70.645,69.243,69.410004,679100,68.795692
"2017-04-28",70.06,71.442,69.919,70.68,655000,70.054451
"2017-05-01",71.029,71.422,69.132,69.099998,579100,68.488426
"2017-05-02",69.445,70.655,69.313,69.580002,498000,68.964188
"2017-05-03",69.959,71.049,69.192,68.839996,614000,68.230736
"2017-05-04",68.607,68.799,67.699,67.849998,632800,67.249496
"2017-05-05",68.779,71.119,68.708,69.910004,516000,69.291267
"2017-05-08",70.403,70.877,69.858,70.139999,520100,69.519226
"2017-05-09",70.242,71.311,69.707,70.339996,450100,69.717461
"2017-05-10",71.765,71.765,70.746,70.489998,613500,69.866119
"2017-05-11",71.432,76.063,70.797,75.290001,988000,74.62365
"2017-05-12",76.558,78.495,76.285,77.059998,871900,76.377975
"2017-05-15",79.201,79.261,77.395,77.57,619000,76.883469
"2017-05-16",78.606,79.625,78.323,78.550003,476100,77.85479
"2017-05-17",80.714,81.602,80.23,79.949997,737500,79.242393
