"","Open","High","Low","Close","Volume","Adjusted"
"2017-01-03",40.359,40.963,40.026,40.200001,6950900,39.892521
"2017-01-04",40.711,41.659,40.651,41.220001,8892900,40.904724
"2017-01-05",41.286,41.8,40.812,40.970001,6336200,40.656635
"2017-01-06",41.618,41.84,40.973,41.23,5639700,40.914642
"2017-01-09",41.316,41.568,40.953,41.119999,4413500,40.805477
"2017-01-10",41.507,41.81,41.306,41.189999,5197900,40.874943
"2017-01-11",41.457,41.739,41.135,41.32,4778300,41.003956
"2017-01-12",41.376,41.649,40.732,41.259998,6945900,40.944408
"2017-01-13",41.87,42.173,41.618,41.41,7671800,41.093269
"2017-01-17",41.387,41.649,40.57,40.330002,11112500,40.02153
"2017-01-18",40.379,41.578,39.442,41.099998,13651700,40.785637
"2017-01-19",41.699,41.921,41.266,41.439999,10399200,41.123032
"2017-01-20",41.84,42.062,41.256,41.310001,7369300,40.994034
"2017-01-23",41.427,41.638,41.064,41.189999,4866200,40.874943
"2017-01-24",41.749,42.435,41.548,41.799999,5451700,41.480282
"2017-01-25",42.606,42.777,42.253,42.290001,7747700,41.966534
"2017-01-26",42.807,42.938,42.515,42.450001,5146700,42.125313
"2017-01-27",42.828,42.868,42.435,42.310001,4052100,41.986389
"2017-01-30",42.364,42.364,41.729,41.830002,6281600,41.510056
"2017-01-31",41.941,42.142,41.407,41.240002,8055300,40.924568
"2017-02-01",41.991,42.304,41.437,41.34,10398100,41.023804
"2017-02-02",40.177,40.863,39.331,39.169998,20291300,38.870396
"2017-02-03",40.177,40.994,39.996,40.169998,12348700,39.862747
"2017-02-06",40.056,40.389,39.815,39.740002,7212700,39.436043
"2017-02-07",40.238,40.439,39.925,39.68,5612300,39.376499
"2017-02-08",39.644,39.865,39.412,39.439999,8493200,39.2174
"2017-02-09",39.966,40.529,39.774,40.080002,7484900,39.85379
"2017-02-10",40.529,40.599,40.137,39.939999,6789900,39.714581
"2017-02-13",40.458,41.223,40.428,40.720001,7576300,40.490181
"2017-02-14",40.921,41.726,40.68,41.259998,7885900,41.027126
"2017-02-15",41.866,42.701,41.544,42.16,11623000,41.922047
"2017-02-16",42.319,42.389,41.474,41.549999,4987200,41.315491
"2017-02-17",41.404,41.826,41.233,41.549999,4713600,41.315491
"2017-02-21",42.057,42.369,41.907,41.779999,4933300,41.544193
"2017-02-22",41.565,42.178,41.555,41.619999,5368800,41.385098
"2017-02-23",41.846,41.846,41.072,41.240002,4493800,41.00724
"2017-02-24",40.981,41.343,40.77,41.110001,5223600,40.877979
